"Rank","Season","Player","Team","Att","Points Earned","PE Per Play","Points Above Avg","PAA Per Play","EPA","EPA/A","Positive%","Boom%","Bust%"
"[object Object]","2025","Parker Navarro","Ohio","160","72.89","0.453","63.97","0.397","-4.30","-0.027","47.5%","22.5%","16.9%"
"[object Object]","2025","Caleb Hawkins","North Texas","231","70.21","0.304","62.23","0.269","65.17","0.282","57.1%","22.1%","6.9%"
"[object Object]","2025","Byrum Brown","South Florida","175","62.65","0.358","54.26","0.310","13.65","0.078","52.6%","23.4%","15.4%"
"[object Object]","2025","Ahmad Hardy","Missouri","257","62.15","0.242","54.17","0.211","37.98","0.148","49.8%","12.5%","4.3%"
"[object Object]","2025","LaNorris Sellers","South Carolina","149","58.90","0.393","50.81","0.339","-38.85","-0.261","42.3%","16.8%","23.5%"
"[object Object]","2025","Antwan Raymond","Rutgers","244","58.78","0.241","51.68","0.212","17.15","0.070","48.4%","12.3%","6.1%"
"[object Object]","2025","Kewan Lacy","Ole Miss","306","57.75","0.189","47.56","0.155","16.16","0.053","47.7%","9.8%","5.6%"
"[object Object]","2025","Jeremiyah Love","Notre Dame","199","55.50","0.279","49.19","0.247","43.67","0.219","49.2%","17.6%","7.5%"
"[object Object]","2025","Caden Creel","Jacksonville State","183","52.79","0.288","42.46","0.232","7.05","0.039","45.9%","19.7%","14.2%"
"[object Object]","2025","Demond Williams Jr.","Washington","143","50.96","0.356","40.84","0.286","-14.75","-0.103","42.7%","23.8%","27.3%"
"[object Object]","2025","LJ Martin","BYU","236","50.19","0.212","42.26","0.178","30.12","0.128","51.3%","11.0%","6.4%"
"[object Object]","2025","Kiael Kelly","Ball State","211","49.71","0.236","39.03","0.185","-77.39","-0.367","32.7%","11.8%","26.1%"
"[object Object]","2025","Taylen Green","Arkansas","138","46.77","0.339","39.52","0.286","25.68","0.186","51.4%","27.5%","23.2%"
"[object Object]","2025","Kaytron Allen","Penn State","210","46.31","0.221","39.09","0.186","39.44","0.188","53.3%","12.4%","5.2%"
"[object Object]","2025","Marcellous Hawkins","Virginia Tech","118","45.98","0.390","42.39","0.359","14.85","0.126","53.4%","12.7%","7.6%"
"[object Object]","2025","Brendon Lewis","Memphis","151","44.82","0.297","36.67","0.243","3.55","0.024","51.7%","22.5%","18.5%"
"[object Object]","2025","Emmett Johnson","Nebraska","251","43.95","0.175","35.64","0.142","23.04","0.092","53.4%","9.6%","6.8%"
"[object Object]","2025","Nico Iamaleava","UCLA","111","42.86","0.386","34.86","0.314","-12.14","-0.109","46.8%","24.3%","31.5%"
"[object Object]","2025","Bryson Barnes","Utah State","189","42.09","0.223","31.83","0.168","-25.25","-0.134","42.9%","17.5%","21.2%"
"[object Object]","2025","Jadan Baugh","Florida","221","39.68","0.180","32.37","0.146","10.93","0.049","52.9%","8.1%","7.7%"
"[object Object]","2025","Nate Sheppard","Duke","200","39.47","0.197","31.93","0.160","13.28","0.066","44.0%","12.5%","6.5%"
"[object Object]","2025","Sieh Bangura","Ohio","242","39.27","0.162","31.14","0.129","28.16","0.116","49.2%","12.4%","5.8%"
