"Rank","Season","Player","Team","Att","Points Earned","PE Per Play","Points Above Avg","PAA Per Play","EPA","EPA/A","Positive%","Boom%","Bust%"
"[object Object]","2024","Bryson Washington","Baylor","172","34.90","0.203","31.27","0.182","19.42","0.113","44.2%","13.4%","4.7%"
"[object Object]","2024","Damien Martinez","Miami FL","159","34.32","0.216","30.42","0.191","42.58","0.268","52.2%","17.6%","3.8%"
"[object Object]","2024","Brashard Smith","SMU","235","33.27","0.142","26.63","0.113","16.83","0.072","47.2%","16.2%","9.4%"
"[object Object]","2024","Devin Neal","Kansas","219","31.67","0.145","26.11","0.119","34.83","0.159","45.2%","20.1%","6.4%"
"[object Object]","2024","Sam Leavitt","Arizona State","109","30.90","0.283","23.64","0.217","1.42","0.013","48.6%","26.6%","23.9%"
"[object Object]","2024","Tre Stewart","Jacksonville State","280","30.51","0.109","22.63","0.081","26.95","0.096","45.0%","20.7%","9.6%"
"[object Object]","2024","Brendon Lewis","Nevada","157","29.52","0.188","23.18","0.148","-7.92","-0.050","51.6%","22.9%","22.3%"
"[object Object]","2024","Isaac Brown","Louisville","164","29.25","0.178","24.52","0.149","25.23","0.154","48.8%","22.0%","10.4%"
"[object Object]","2024","RJ Harvey","UCF","232","27.72","0.119","22.52","0.097","49.31","0.213","47.4%","22.4%","9.5%"
"[object Object]","2024","Devon Dampier","New Mexico","158","27.68","0.175","21.43","0.136","59.13","0.374","61.4%","31.0%","10.1%"
"[object Object]","2024","Kyle Monangai","Rutgers","256","27.63","0.108","21.85","0.085","7.70","0.030","43.8%","16.4%","7.8%"
"[object Object]","2024","Taisun Phommachanh","UMASS","107","27.54","0.257","23.03","0.215","-29.64","-0.277","41.1%","17.8%","26.2%"
"[object Object]","2024","Kanye Udoh","Army","179","27.23","0.152","21.35","0.119","28.13","0.157","46.4%","15.1%","7.3%"
"[object Object]","2024","TreVeyon Henderson","Ohio State","144","27.14","0.187","21.69","0.150","25.28","0.176","47.9%","21.5%","8.3%"
"[object Object]","2024","Raheim Sanders","South Carolina","183","26.91","0.147","22.48","0.123","13.26","0.072","43.2%","16.9%","9.3%"
"[object Object]","2024","Jadarian Price","Notre Dame","121","26.26","0.217","21.90","0.181","6.33","0.052","40.5%","18.2%","12.4%"
"[object Object]","2024","Demond Claiborne","Wake Forest","228","25.95","0.114","20.36","0.089","15.33","0.067","42.5%","15.8%","6.6%"
"[object Object]","2024","Jadan Baugh","Florida","133","25.55","0.192","21.62","0.163","5.03","0.038","43.6%","17.3%","12.0%"
