"Rank","Season","Player","Team","Att","Points Earned","PE Per Play","Points Above Avg","PAA Per Play","EPA","Positive%","Boom%","Bust%"
"[object Object]","2025","Diego Pavia","Vanderbilt","378","148.44","0.371","81.28","0.203","121.35","55.8%","29.0%","12.5%"
"[object Object]","2025","Drew Mestemaker","North Texas","462","143.26","0.298","78.01","0.163","138.04","52.9%","28.3%","15.0%"
"[object Object]","2025","Noah Fifita","Arizona","428","134.47","0.295","69.97","0.153","53.31","46.3%","22.4%","15.4%"
"[object Object]","2025","Arch Manning","Texas","405","132.15","0.309","66.59","0.156","24.16","42.5%","23.4%","20.1%"
"[object Object]","2025","Julian Sayin","Ohio State","392","127.41","0.312","63.70","0.156","130.12","58.6%","26.2%","13.0%"
"[object Object]","2025","Trinidad Chambliss","Ole Miss","445","124.86","0.272","60.02","0.131","113.72","52.3%","27.5%","15.5%"
"[object Object]","2025","Fernando Mendoza","Indiana","379","124.47","0.309","61.09","0.152","121.99","57.3%","30.5%","15.9%"
"[object Object]","2025","Jaron-Keawe Sagapolutele","California","491","124.32","0.239","53.19","0.102","11.49","45.1%","23.4%","16.7%"
"[object Object]","2025","Darian Mensah","Duke","500","123.38","0.233","48.37","0.091","95.06","48.3%","25.7%","18.1%"
"[object Object]","2025","Haynes King","Georgia Tech","360","121.23","0.329","67.97","0.184","57.04","50.7%","25.7%","15.7%"
"[object Object]","2025","Dante Moore","Oregon","412","119.58","0.279","54.27","0.126","93.74","52.2%","26.8%","15.9%"
"[object Object]","2025","Anthony Colandrea","UNLV","416","118.60","0.270","52.83","0.120","57.81","48.0%","25.7%","16.1%"
"[object Object]","2025","Chandler Morris","Virginia","436","117.04","0.259","57.18","0.127","28.27","44.2%","23.2%","16.8%"
"[object Object]","2025","Carson Beck","Miami FL","467","116.49","0.240","42.39","0.087","108.22","53.2%","25.6%","14.6%"
"[object Object]","2025","Ty Simpson","Alabama","473","116.48","0.232","38.24","0.076","36.92","47.3%","25.4%","18.5%"
"[object Object]","2025","Demond Williams Jr.","Washington","354","113.21","0.294","50.39","0.131","46.87","49.4%","24.7%","17.1%"
"[object Object]","2025","Malik Washington","Maryland","473","111.20","0.231","42.97","0.089","-12.87","40.7%","20.3%","18.7%"
"[object Object]","2025","Nico Iamaleava","UCLA","325","111.09","0.316","53.23","0.151","-52.54","43.8%","15.1%","18.8%"
"[object Object]","2025","Brendan Sorsby","Cincinnati","336","109.88","0.320","53.04","0.155","75.99","48.7%","24.8%","13.1%"
"[object Object]","2025","Walker Eget","San Jose State","392","109.86","0.276","55.54","0.140","14.43","45.7%","22.1%","16.8%"
"[object Object]","2025","Jayden Maiava","USC","403","109.74","0.263","50.32","0.121","124.12","52.3%","29.5%","15.8%"
"[object Object]","2025","Jake Retzlaff","Tulane","389","104.71","0.262","44.74","0.112","74.44","50.6%","28.8%","16.0%"
"[object Object]","2025","Joey Aguilar","Tennessee","404","104.31","0.245","46.63","0.110","67.76","50.8%","25.6%","13.6%"
"[object Object]","2025","Bryson Barnes","Utah State","355","103.70","0.263","41.19","0.104","-2.96","40.5%","22.3%","21.3%"
"[object Object]","2025","LaNorris Sellers","South Carolina","293","102.15","0.305","48.22","0.144","-23.85","39.7%","17.9%","21.5%"
"[object Object]","2025","Brendon Lewis","Memphis","367","100.58","0.253","42.85","0.108","11.21","45.7%","20.1%","18.3%"
"[object Object]","2025","Zevi Eckhaus","Washington State","306","97.34","0.300","47.58","0.146","-1.07","43.1%","22.8%","17.2%"
"[object Object]","2025","Parker Navarro","Ohio","303","95.59","0.291","45.46","0.139","8.93","47.3%","24.4%","18.6%"
"[object Object]","2025","Tucker Gleason","Toledo","321","95.48","0.288","49.72","0.150","29.66","48.3%","25.4%","18.7%"
"[object Object]","2025","Brad Jackson","Texas State","354","94.64","0.249","38.98","0.103","60.81","49.7%","26.1%","14.7%"
"[object Object]","2025","Byrum Brown","South Florida","341","94.54","0.265","43.09","0.121","61.84","49.0%","26.3%","15.7%"
"[object Object]","2025","Joe Fagnano","UCONN","413","94.23","0.220","35.80","0.084","111.35","52.1%","25.9%","15.0%"
