Name,Team,POS,playerStatsSnapsOffenseTotal,DropbacksTotal,AttemptsTotal,AttemptsCatchablePercentage,CompletionsTotal,CompletionsPercentage,CompletionsAdjustedPercentage,CompletionsOverExpected,OpportunitiesTotal,YardsTotal,YardsPerAttempt,YardsAfterCatchPercentage,YardsAdjustedNetPercentage,YardsAirTotal,PlayActionLabel,PressuredLabel,PressuredExpected,PressuredOverExpected,BlitzedLabel,TargetedReadFirstPercentage,AverageTimeToThrow,AverageDepthOfTarget,PasserRating,TargetsContestedLabel,TargetsCatchableLabel,playerStatsFirstDownsPassing,playerStatsFantasyPointsNonPpr,playerStatsFantasyPointsPpr,playerStatsFantasyPointsHalfPpr,playerStatsFantasyPointsHalfPprRb,playerStatsFantasyPointsPprTe,playerStatsFantasyPointsDraftKings,playerStatsFantasyPointsFanDuel,playerStatsFantasyPointsCbs,playerStatsFantasyPointsNfl,playerStatsFantasyPointsEspn,playerStatsFantasyPointsYahoo,playerStatsFantasyPointsFfpc,playerStatsFantasyPointsNffc,playerStatsGamesPlayed,AttemptsInEndzoneTotal,DropsYardsLost,DropsPercentage,TouchdownsTotal,PressuredTotal,PressuredPercentage,RunPassOptionPercentage,TargetedReadCheckdownPercentage,AverageTimeToPressure,DeepThrowAttemptsTotal,DeepThrowAttemptsPercentage,HeroThrowPercentage,InterceptionsTotal,TowThrowPercentage
Tim Boyle,NYG,QB,1,1,1,1,1,1,1,0.3869,1,16,16,0.125,16,14,No,No,0.1768,-0.1768,No,1,1.6,14,118.8,No,Yes,1,0.64,0.64,0.64,0.64,0.64,0.64,0.64,0.64,0.64,0.64,0.64,0.8,0.8,3,,,,,,,,,,,,,,
Jordan Love,GB,QB,26,26,26,1,21,0.8077,0.9615,0.1836,26,267,10.2692,0.5581,11.8077,132,No,Yes,7.9261,-0.0356,No,0.8077,2.3423,5.0769,135.1,No,Yes,15,18.68,18.68,18.68,18.68,18.68,18.68,18.68,18.68,18.68,18.68,18.68,21.35,21.35,15,1,12,0.1538,2,7,0.2692,0.0769,0.0769,2.4,,,,,
Sam Howell,SEA,QB,1,1,1,1,,,1,0.2154,1,,,,,6,Yes,Yes,0.5908,0.4092,No,,4,6,39.6,No,Yes,,,,,,,,,,,,,,,2,,6,1,,1,1,,,2.8,,,,,
Jameis Winston,CLV,QB,16,16,16,1,16,1,1,0.26,16,145,9.0625,0.1448,9.0625,124,No,No,5.5543,-0.1596,Yes,0.5625,2.5875,7.75,104.4,No,Yes,9,5.8,5.8,5.8,5.8,5.8,5.8,5.8,5.8,5.8,5.8,5.8,7.25,7.25,12,,,,,3,0.1875,0.0625,0.125,2.5,,,,,
Skylar Thompson,MIA,QB,1,1,1,1,1,1,1,0.1202,1,1,1,,1,1,No,No,0.2458,-0.2458,No,,2,1,79.2,No,No,,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.05,0.05,3,,,,,,,,1,,,,,,
Josh Allen,BUF,QB,12,12,12,1,8,0.6667,0.9167,0.2221,12,107,8.9167,0.215,8.9167,119,No,No,6.5376,0.0385,No,0.3333,3.7333,9.9167,94.8,No,No,5,4.28,4.28,4.28,4.28,4.28,4.28,4.28,4.28,4.28,4.28,4.28,5.35,5.35,17,,22,0.25,,7,0.5833,,0.0833,2.7143,3,0.25,0.25,,
Jake Haener,NO,QB,1,1,1,1,1,1,1,0.3636,1,11,11,,11,11,No,No,0.2631,-0.2631,No,1,2.1,11,112.5,No,No,,0.44,0.44,0.44,0.44,0.44,0.44,0.44,0.44,0.44,0.44,0.44,0.55,0.55,8,,,,,,,,,,,,,,
Michael Penix,ATL,QB,5,5,5,1,3,0.6,0.6,-0.0846,5,24,4.8,-0.0417,-4.2,50,No,Yes,1.022,0.1956,Yes,0.8,1.76,10,32.5,No,Yes,1,-0.04,-0.04,-0.04,-0.04,-0.04,-0.04,-0.04,-1.04,-1.04,-1.04,-1.04,0.2,-0.8,5,,,,,2,0.4,,,1.8,1,0.2,,1,
Tyrod Taylor,NYJ,QB,3,3,3,1,2,0.6667,0.6667,-0.177,3,9,3,0.4444,3,8,Yes,Yes,1.7034,0.4322,No,0.3333,3.8667,2.6667,70.1,No,Yes,,0.36,0.36,0.36,0.36,0.36,0.36,0.36,0.36,0.36,0.36,0.36,0.45,0.45,2,,,,,3,1,,,2.4667,,,,,
Drew Lock,NYG,QB,4,4,4,1,3,0.75,1,0.262,4,39,9.75,0.0769,9.75,34,No,No,2.001,0.2498,No,0.75,3.475,8.5,105.2,No,No,2,1.56,1.56,1.56,1.56,1.56,1.56,1.56,1.56,1.56,1.56,1.56,1.95,1.95,7,,-2,0.25,,3,0.75,,,2.3,,,0.25,,
Jalen Hurts,PHI,QB,15,15,15,1,14,0.9333,1,0.2401,15,131,8.7333,0.3511,8.7333,104,No,No,4.4805,-0.1654,No,0.8,2.3067,6.9333,103.1,No,No,10,5.24,5.24,5.24,5.24,5.24,5.24,5.24,5.24,5.24,5.24,5.24,6.55,6.55,15,,19,0.0667,,2,0.1333,0.2,0.1333,2.5,,,,,
Cooper Rush,DAL,QB,9,9,9,1,7,0.7778,1,0.2265,9,66,7.3333,0.3636,9.5556,56,No,Yes,2.8159,-0.2018,No,0.6667,2.3889,6.2222,134.3,No,Yes,5,6.64,6.64,6.64,6.64,6.64,6.64,6.64,6.64,6.64,6.64,6.64,7.3,7.3,12,1,11,0.2222,1,1,0.1111,0.1111,,2.1,,,,,
Taylor Heinicke,LAC,QB,1,1,1,1,,,1,0.0762,1,,,,,-1,Yes,No,0.3838,-0.3838,No,1,2.8,-1,39.6,No,Yes,,,,,,,,,,,,,,,4,,-1,1,,,,,,,,,,,
Malik Willis,GB,QB,4,4,4,1,4,1,1,0.2992,4,48,12,0.2292,12,37,Yes,No,0.9659,0.0085,No,1,1.975,9.25,116.7,No,Yes,1,1.92,1.92,1.92,1.92,1.92,1.92,1.92,1.92,1.92,1.92,1.92,2.4,2.4,7,,,,,1,0.25,0.25,,2.5,1,0.25,,,
Desmond Ridder,LV,QB,2,2,2,1,2,1,1,0.2071,2,10,5,,5,10,No,No,0.5261,-0.2631,No,0.5,2.1,5,87.5,No,No,,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.5,0.5,5,,,,,,,,0.5,,,,,,
Will Levis,TEN,QB,14,14,14,1,10,0.7143,1,0.3417,14,163,11.6429,0.135,13.0714,177,No,No,5.6147,-0.1153,No,0.7143,2.9,12.6429,133.9,No,No,8,10.52,10.52,10.52,10.52,10.52,10.52,10.52,10.52,10.52,10.52,10.52,12.15,12.15,12,,36,0.2857,1,4,0.2857,,0.0714,2.575,3,0.2143,,,0.0714
Kenny Pickett,PHI,QB,1,1,1,1,1,1,1,0.0628,1,-5,-5,,-5,-5,No,Yes,0.1941,0.8059,Yes,,1.7,-5,79.2,No,Yes,,-0.2,-0.2,-0.2,-0.2,-0.2,-0.2,-0.2,-0.2,-0.2,-0.2,-0.2,-0.25,-0.25,5,,,,,1,1,,1,1.6,,,,,
Lamar Jackson,BLT,QB,18,18,18,1,17,0.9444,1,0.275,18,214,11.8889,0.3785,13,138,No,No,5.9079,-0.0504,No,0.7778,2.4778,7.6667,134.7,No,No,12,12.56,12.56,12.56,12.56,12.56,12.56,12.56,12.56,12.56,12.56,12.56,14.7,14.7,17,1,2,0.0556,1,5,0.2778,,,2.32,,,,,
Dorian Thompson-Robinson,CLV,QB,4,4,4,1,3,0.75,1,0.2193,4,27,6.75,-0.037,6.75,26,No,No,0.9659,-0.2415,No,0.75,1.975,6.5,92.7,No,No,,1.08,1.08,1.08,1.08,1.08,1.08,1.08,1.08,1.08,1.08,1.08,1.35,1.35,7,,-2,0.25,,,,0.25,,,,,,,
Bo Nix,DEN,QB,21,21,21,1,19,0.9048,0.9524,0.2049,21,219,10.4286,0.379,10.4286,156,Yes,No,7.4905,-0.071,No,0.6667,2.6429,7.4286,110.1,No,Yes,10,8.76,8.76,8.76,8.76,8.76,8.76,8.76,8.76,8.76,8.76,8.76,10.95,10.95,17,,16,0.0476,,6,0.2857,0.1429,0.1905,2.2667,2,0.0952,,,0.0476
Trevor Lawrence,JAX,QB,7,7,7,1,5,0.7143,0.7143,0.0438,7,78,11.1429,0.2051,11.1429,76,No,No,3.1868,-0.0267,No,0.5714,3.2143,10.8571,108,No,No,4,3.12,3.12,3.12,3.12,3.12,3.12,3.12,3.12,3.12,3.12,3.12,3.9,3.9,10,,,,,3,0.4286,,0.1429,2.5333,,,,,
Andy Dalton,CAR,QB,9,9,9,1,4,0.4444,0.8889,0.1054,9,24,2.6667,0.2083,2.6667,54,Yes,No,2.4882,-0.1654,Yes,0.7778,2.1778,6,51.6,No,Yes,2,0.96,0.96,0.96,0.96,0.96,0.96,0.96,0.96,0.96,0.96,0.96,1.2,1.2,6,,28,0.4444,,1,0.1111,,,2.4,,,,,
Sam Darnold,MIN,QB,17,17,17,1,15,0.8824,1,0.1956,17,145,8.5294,0.4828,9.7059,85,Yes,Yes,6.8524,0.1263,No,0.5294,2.9118,5,121.8,No,Yes,6,9.8,9.8,9.8,9.8,9.8,9.8,9.8,9.8,9.8,9.8,9.8,11.25,11.25,17,,10,0.1176,1,9,0.5294,,0.1765,2.8778,1,0.0588,,,
Jayden Daniels,WAS,QB,26,26,26,1,22,0.8462,0.9231,0.1898,26,234,9,0.2692,10.5385,202,No,No,9.0991,-0.1961,No,0.7308,2.6038,7.7692,129.8,No,No,12,17.36,17.36,17.36,17.36,17.36,17.36,17.36,17.36,17.36,17.36,17.36,19.7,19.7,17,1,14,0.0769,2,4,0.1538,0.0385,0.0385,2.75,1,0.0385,,,
Kirk Cousins,ATL,QB,14,14,14,1,11,0.7857,0.9286,0.2084,14,108,7.7143,0.1852,7.7143,126,No,No,5.5629,-0.3259,No,0.7143,2.8786,9,98.8,No,Yes,5,4.32,4.32,4.32,4.32,4.32,4.32,4.32,4.32,4.32,4.32,4.32,5.4,5.4,14,,34,0.1429,,1,0.0714,0.0714,0.2143,2.8,2,0.1429,,,
Mac Jones,JAX,QB,10,10,10,1,7,0.7,1,0.2945,10,65,6.5,0.2769,6.5,95,No,No,4.252,-0.0252,No,0.7,3.04,9.5,87.5,Yes,Yes,2,2.6,2.6,2.6,2.6,2.6,2.6,2.6,2.6,2.6,2.6,2.6,3.25,3.25,10,,48,0.3,,4,0.4,,,2.4,2,0.2,,,
