Name,Team,POS,playerStatsSnapsOffenseTotal,DropbacksTotal,AttemptsTotal,AttemptsInEndzoneTotal,CompletionsOverExpected,OpportunitiesTotal,YardsAirTotal,PlayActionLabel,PressuredLabel,PressuredTotal,PressuredPercentage,PressuredExpected,PressuredOverExpected,BlitzedLabel,OffTargetThrowAttemptsPercentage,DeepThrowAttemptsTotal,DeepThrowAttemptsPercentage,TowThrowPercentage,TargetedReadFirstPercentage,AverageTimeToThrow,AverageTimeToPressure,AverageDepthOfTarget,PasserRating,TargetsContestedLabel,TargetsCatchableLabel,playerStatsGamesPlayed,TargetedReadCheckdownPercentage,YardsAdjustedNetPercentage,InterceptionsTotal,RunPassOptionPercentage,playerStatsFantasyPointsNonPpr,playerStatsFantasyPointsPpr,playerStatsFantasyPointsHalfPpr,playerStatsFantasyPointsHalfPprRb,playerStatsFantasyPointsPprTe,playerStatsFantasyPointsDraftKings,playerStatsFantasyPointsFanDuel,playerStatsFantasyPointsCbs,playerStatsFantasyPointsNfl,playerStatsFantasyPointsEspn,playerStatsFantasyPointsYahoo,playerStatsFantasyPointsFfpc,playerStatsFantasyPointsNffc
Brock Purdy,SF,QB,5,5,5,1,-0.5823,5,79,No,No,2,0.4,2.126,-0.0252,No,1,2,0.4,,0.6,3.04,3.75,15.8,39.6,No,No,15,,,,,,,,,,,,,,,,,
Justin Herbert,LAC,QB,13,13,13,,-0.6497,13,173,No,No,3,0.2308,4.3684,-0.1053,No,1,3,0.2308,0.1538,0.6923,2.5231,1.9333,13.3077,7.5,No,No,17,,-3.4615,1,,-1,-1,-1,-1,-1,-1,-1,-2,-2,-2,-2,-1,-2
Geno Smith,SEA,QB,8,8,8,,-0.7499,8,64,No,No,4,0.5,3.1911,0.1011,No,1,1,0.125,,0.375,2.8875,2.1,8,39.6,No,No,17,0.25,,,,,,,,,,,,,,,,
Drake Maye,NE,QB,9,9,9,2,-0.6841,9,94,No,No,,,2.3502,-0.2611,No,1,1,0.1111,0.3333,0.8889,2.0889,,10.4444,,No,No,13,,-5,1,,-1,-1,-1,-1,-1,-1,-1,-2,-2,-2,-2,-1,-2
Aidan O'Connell,LV,QB,7,7,7,,-0.6045,7,87,No,No,2,0.2857,2.8591,-0.1227,No,1,1,0.1429,0.2857,0.2857,2.9429,2.8,14.2857,,No,No,9,0.1429,-6.4286,1,,-1,-1,-1,-1,-1,-1,-1,-2,-2,-2,-2,-1,-2
Matthew Stafford,LA,QB,5,5,5,,-0.8469,5,10,No,No,1,0.2,2.0225,-0.2045,Yes,1,,,,0.8,2.92,2.4,2,39.6,No,No,16,,,,,,,,,,,,,,,,,
Patrick Mahomes,KC,QB,9,9,9,,-0.6912,9,85,Yes,Yes,3,0.3333,3.506,-0.0562,Yes,1,2,0.2222,0.1111,0.5556,2.8333,2.5,9.4444,39.6,No,No,16,,,,,,,,,,,,,,,,,
Tyler Huntley,MIA,QB,2,2,2,,-0.7552,2,13,No,No,1,0.5,0.9746,0.0127,No,1,,,,0.5,3.4,2.6,6.5,39.6,No,No,5,,,,,,,,,,,,,,,,,
Mason Rudolph,TEN,QB,3,3,3,1,-0.6229,3,40,No,No,1,0.3333,0.8582,0.0473,No,1,,,,1,2.2333,1.8,13.3333,39.6,No,No,8,,,,,,,,,,,,,,,,,
Aaron Rodgers,NYJ,QB,16,16,16,1,-0.6693,16,180,Yes,Yes,5,0.3125,6.2615,-0.0788,No,1,1,0.0625,0.125,0.6875,2.8438,2.68,11.25,13.5,No,No,17,0.0625,-2.8125,1,,-1,-1,-1,-1,-1,-1,-1,-2,-2,-2,-2,-1,-2
Baker Mayfield,TB,QB,6,6,6,,-0.6402,6,77,No,No,1,0.1667,1.975,-0.1625,No,1,1,0.1667,,0.5,2.4833,1.9,12.8333,39.6,No,No,17,,,,,,,,,,,,,,,,,
Deshaun Watson,CLV,QB,3,3,3,,-0.8093,3,15,No,No,,,0.5649,-0.1883,No,1,,,,1,1.6667,,5,39.6,No,No,7,,,,,,,,,,,,,,,,,
Dak Prescott,DAL,QB,7,7,7,1,-0.7196,7,64,No,No,2,0.2857,2.1691,-0.0242,No,1,1,0.1429,,0.8571,2.3714,2.4,9.1429,39.6,No,No,8,0.1429,,,,,,,,,,,,,,,,
Spencer Rattler,NO,QB,1,1,1,,-0.6278,1,13,Yes,No,,,0.4528,-0.4528,Yes,1,,,,,3.2,,13,39.6,No,No,7,,,,,,,,,,,,,,,,,
Carson Wentz,KC,QB,1,1,1,,-0.743,1,7,No,No,,,0.1423,-0.1423,No,1,,,,1,1.4,,7,39.6,No,No,3,,,,,,,,,,,,,,,,,
Tommy DeVito,NYG,QB,2,2,2,,-0.7277,2,16,No,No,1,0.5,0.6296,0.1852,No,1,,,,1,2.4,2.8,8,39.6,No,No,3,,,,,,,,,,,,,,,,,
Bryce Young,CAR,QB,8,8,8,,-0.5969,8,120,Yes,No,3,0.375,3.2256,-0.0282,No,1,,,,0.625,2.9125,1.9333,15,39.6,No,No,14,,,,,,,,,,,,,,,,,
Jordan Love,GB,QB,6,6,6,1,-0.6557,6,71,No,No,1,0.1667,3.5966,-0.4328,No,1,3,0.5,0.3333,0.5,4.05,4.3,11.8333,39.6,No,No,15,0.5,,,,,,,,,,,,,,,,
Derek Carr,NO,QB,3,3,3,,-0.7805,3,15,No,Yes,1,0.3333,1.2549,-0.085,Yes,1,,,,0.3333,3,2,5,39.6,No,No,10,0.3333,,,,,,,,,,,,,,,,
