Name,Team,POS,playerStatsSnapsOffenseTotal,DropbacksTotal,AttemptsTotal,AttemptsCatchablePercentage,CompletionsTotal,CompletionsPercentage,CompletionsAdjustedPercentage,CompletionsOverExpected,OpportunitiesTotal,YardsTotal,YardsPerAttempt,YardsAfterCatchPercentage,YardsAdjustedNetPercentage,YardsAirTotal,TouchdownsTotal,PlayActionLabel,PressuredLabel,PressuredTotal,PressuredPercentage,PressuredExpected,PressuredOverExpected,BlitzedLabel,TargetedReadFirstPercentage,ThrowAccuracyHighlyAccuratePercentage,AverageTimeToThrow,AverageTimeToPressure,AverageDepthOfTarget,PasserRating,TargetsContestedLabel,TargetsCatchableLabel,playerStatsFirstDownsPassing,playerStatsFantasyPointsNonPpr,playerStatsFantasyPointsPpr,playerStatsFantasyPointsHalfPpr,playerStatsFantasyPointsHalfPprRb,playerStatsFantasyPointsPprTe,playerStatsFantasyPointsDraftKings,playerStatsFantasyPointsFanDuel,playerStatsFantasyPointsCbs,playerStatsFantasyPointsNfl,playerStatsFantasyPointsEspn,playerStatsFantasyPointsYahoo,playerStatsFantasyPointsFfpc,playerStatsFantasyPointsNffc,playerStatsGamesPlayed,AttemptsInEndzoneTotal,DropsYardsLost,DropsPercentage,RunPassOptionPercentage,DeepThrowAttemptsTotal,DeepThrowAttemptsPercentage,HeroThrowPercentage,TargetedReadCheckdownPercentage,InterceptionsTotal,TowThrowPercentage
Patrick Mahomes,KC,QB,201,201,201,1,193,0.9602,0.9851,0.144,201,1558,7.7512,0.7574,8.8458,476,11,No,No,25,0.1244,51.105,-0.1299,No,0.7463,1,2.0478,2.764,2.3682,117.2,No,Yes,91,106.32,106.32,106.32,106.32,106.32,109.32,109.32,106.32,106.32,106.32,106.32,121.9,121.9,16,6,29,0.0249,0.1294,2,0.01,0.005,0.0846,,
Justin Herbert,LAC,QB,179,179,179,1,170,0.9497,0.9777,0.1697,179,1675,9.3575,0.6197,10.4749,704,10,No,No,22,0.1229,54.1679,-0.1797,No,0.6313,1,2.3284,2.45,3.933,124.3,No,Yes,80,107,107,107,107,107,110,110,107,107,107,107,123.75,123.75,17,4,24,0.0279,0.0335,9,0.0503,0.0391,0.162,,
Geno Smith,SEA,QB,223,223,223,1,217,0.9731,0.9865,0.1778,223,2104,9.435,0.6202,10.1525,943,8,No,No,33,0.148,66.5003,-0.1502,No,0.6457,1,2.3031,2.5455,4.2287,117.9,No,Yes,101,116.16,116.16,116.16,116.16,116.16,119.16,119.16,116.16,116.16,116.16,116.16,137.2,137.2,17,8,50,0.0135,0.0493,8,0.0359,0.0269,0.1256,,
Drake Maye,NE,QB,110,110,110,1,106,0.9636,0.9909,0.1572,110,917,8.3364,0.7481,9.2455,270,5,No,No,26,0.2364,32.1957,-0.0563,No,0.6909,1,2.2718,2.3154,2.4545,116.6,No,No,45,56.68,56.68,56.68,56.68,56.68,59.68,59.68,56.68,56.68,56.68,56.68,65.85,65.85,13,4,14,0.0273,0.0455,1,0.0091,0.0182,0.2,,
Jordan Love,GB,QB,126,126,126,1,115,0.9127,0.9683,0.1677,126,1119,8.881,0.6113,9.9921,541,7,Yes,No,25,0.1984,37.3533,-0.098,No,0.7619,1,2.2937,2.452,4.2937,122.2,Yes,Yes,53,72.76,72.76,72.76,72.76,72.76,75.76,75.76,72.76,72.76,72.76,72.76,83.95,83.95,15,3,39,0.0556,0.0714,7,0.0556,0.0079,0.0873,,
Mitchell Trubisky,BUF,QB,16,16,16,1,15,0.9375,0.9375,0.0847,16,147,9.1875,0.966,10.4375,17,1,Yes,No,2,0.125,3.8121,-0.1133,No,0.8125,1,1.9563,2.4,1.0625,125.8,No,Yes,5,9.88,9.88,9.88,9.88,9.88,9.88,9.88,9.88,9.88,9.88,9.88,11.35,11.35,9,,,,0.0625,,,,,,
Tim Boyle,NYG,QB,8,8,8,1,7,0.875,0.875,0.0312,8,58,7.25,0.7069,7.25,20,,No,No,,,1.2764,-0.1595,No,0.75,1,1.5,,2.5,96.9,No,Yes,3,2.32,2.32,2.32,2.32,2.32,2.32,2.32,2.32,2.32,2.32,2.32,2.9,2.9,3,,,,,,,,,,
Bryce Young,CAR,QB,108,108,108,1,97,0.8981,0.9444,0.1514,108,776,7.1852,0.5399,7.5556,504,2,No,No,14,0.1296,28.6854,-0.136,No,0.787,1,2.1148,2.0643,4.6667,102.8,No,Yes,33,39.04,39.04,39.04,39.04,39.04,42.04,42.04,39.04,39.04,39.04,39.04,46.8,46.8,14,3,86,0.0463,0.037,6,0.0556,0.0556,0.0648,,
Derek Carr,NO,QB,74,74,74,1,71,0.9595,0.973,0.1151,74,678,9.1622,0.9027,9.7027,117,2,No,Yes,13,0.1757,21.3632,-0.113,No,0.6622,1,2.2486,2.3769,1.5811,113.9,No,Yes,28,35.12,35.12,35.12,35.12,35.12,38.12,38.12,35.12,35.12,35.12,35.12,41.9,41.9,10,,-1,0.0135,0.027,1,0.0135,,0.1892,,
Tommy DeVito,NYG,QB,13,13,13,1,12,0.9231,0.9231,0.1301,13,109,8.3846,0.5596,8.3846,58,,No,No,3,0.2308,3.7647,-0.0588,No,0.6154,1,2.2538,2.4,4.4615,101.6,No,Yes,6,4.36,4.36,4.36,4.36,4.36,4.36,4.36,4.36,4.36,4.36,4.36,5.45,5.45,3,,,,,,,,0.2308,,
