Name,Team,POS,playerStatsSnapsOffenseTotal,DropbacksTotal,AttemptsTotal,AttemptsCatchablePercentage,CompletionsTotal,CompletionsPercentage,CompletionsAdjustedPercentage,CompletionsOverExpected,OpportunitiesTotal,YardsTotal,YardsPerAttempt,YardsAfterCatchPercentage,YardsAdjustedNetPercentage,YardsAirTotal,TouchdownsTotal,PlayActionLabel,PressuredLabel,PressuredTotal,PressuredPercentage,PressuredExpected,PressuredOverExpected,BlitzedLabel,TargetedReadFirstPercentage,ThrowAccuracyHighlyAccuratePercentage,AverageTimeToThrow,AverageTimeToPressure,AverageDepthOfTarget,PasserRating,TargetsContestedLabel,TargetsCatchableLabel,playerStatsFirstDownsPassing,playerStatsFantasyPointsNonPpr,playerStatsFantasyPointsPpr,playerStatsFantasyPointsHalfPpr,playerStatsFantasyPointsHalfPprRb,playerStatsFantasyPointsPprTe,playerStatsFantasyPointsDraftKings,playerStatsFantasyPointsFanDuel,playerStatsFantasyPointsCbs,playerStatsFantasyPointsNfl,playerStatsFantasyPointsEspn,playerStatsFantasyPointsYahoo,playerStatsFantasyPointsFfpc,playerStatsFantasyPointsNffc,playerStatsGamesPlayed,AttemptsInEndzoneTotal,DropsYardsLost,DropsPercentage,RunPassOptionPercentage,DeepThrowAttemptsTotal,DeepThrowAttemptsPercentage,HeroThrowPercentage,TargetedReadCheckdownPercentage,InterceptionsTotal,TowThrowPercentage
Kyle Trask,TB,QB,1,1,1,1,1,1,1,0.0587,1,5,5,1.6,5,-3,,No,No,,,0.0388,-0.0388,No,1,1,0.8,,-3,87.5,No,No,,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.25,0.25,4,,,,,,,,,,
Malik Willis,GB,QB,15,15,15,1,15,1,1,0.1526,15,104,6.9333,0.75,6.9333,26,,No,No,2,0.1333,4.0838,-0.1389,No,0.8667,1,2.1533,2.6,1.7333,95.6,No,Yes,3,4.16,4.16,4.16,4.16,4.16,4.16,4.16,4.16,4.16,4.16,4.16,5.2,5.2,7,,,,,,,,0.0667,,
Davis Mills,HST,QB,9,9,9,1,9,1,1,0.1785,9,72,8,0.5417,8,33,,No,No,,,2.1604,-0.24,No,0.8889,1,1.9667,,3.6667,100,No,Yes,4,2.88,2.88,2.88,2.88,2.88,2.88,2.88,2.88,2.88,2.88,2.88,3.6,3.6,4,,,,,,,,,,
Jalen Hurts,PHI,QB,103,103,103,1,100,0.9709,0.9806,0.1747,103,935,9.0777,0.5829,9.6602,426,3,No,No,19,0.1845,38.6172,-0.1905,No,0.6505,1,2.7485,2.7053,4.1359,114.2,No,Yes,45,49.4,49.4,49.4,49.4,49.4,52.4,52.4,49.4,49.4,49.4,49.4,58.75,58.75,15,2,4,0.0097,0.1262,,,0.0097,0.1359,,
Cooper Rush,DAL,QB,91,91,91,1,84,0.9231,0.967,0.1428,91,789,8.6703,0.7338,9.1099,306,2,No,No,13,0.1429,22.6438,-0.106,No,0.7473,1,2.0176,2.1154,3.3626,110.1,No,Yes,33,39.56,39.56,39.56,39.56,39.56,42.56,42.56,39.56,39.56,39.56,39.56,47.45,47.45,12,1,21,0.044,0.044,3,0.033,0.022,0.1099,,
Taylor Heinicke,LAC,QB,2,2,2,1,2,1,1,0.1466,2,10,5,0.6,5,4,,No,No,,,0.7676,-0.3838,No,,1,2.8,,2,87.5,No,No,,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.5,0.5,4,,,,,,,,0.5,,
Lamar Jackson,BLT,QB,143,143,143,1,133,0.9301,0.965,0.1673,143,1347,9.4196,0.663,10.5035,597,10,No,No,21,0.1469,45.6029,-0.172,No,0.6993,1,2.4238,2.6048,4.1748,126.3,No,Yes,59,92.88,92.88,92.88,92.88,92.88,95.88,95.88,91.88,91.88,91.88,91.88,106.35,105.35,17,5,40,0.035,0.0629,6,0.042,0.035,0.1119,1,
Dorian Thompson-Robinson,CLV,QB,20,20,20,1,18,0.9,0.95,0.0773,20,109,5.45,0.9174,5.45,10,,No,No,,,4.3468,-0.2173,No,0.75,1,1.835,,0.5,89.4,No,Yes,4,4.36,4.36,4.36,4.36,4.36,4.36,4.36,4.36,4.36,4.36,4.36,5.45,5.45,7,,-5,0.05,0.1,,,,0.15,,
Mike White,BUF,QB,4,3,3,1,3,1,1,0.0965,3,28,9.3333,1.1429,9.3333,-4,,No,No,,,0.5994,-0.1998,No,1,1,1.7333,,-1.3333,105.6,No,Yes,1,1.12,1.12,1.12,1.12,1.12,1.12,1.12,1.12,1.12,1.12,1.12,1.4,1.4,1,,,,,,,,,,
Kenny Pickett,PHI,QB,13,13,13,1,13,1,1,0.1933,13,86,6.6154,0.2674,8.1538,63,1,No,No,2,0.1538,3.0919,-0.084,No,0.6923,1,1.9538,2.45,4.8462,119.9,No,Yes,5,7.44,7.44,7.44,7.44,7.44,7.44,7.44,7.44,7.44,7.44,7.44,8.3,8.3,5,,,,,,,,,,
Joe Burrow,CIN,QB,217,217,217,1,197,0.9078,0.9677,0.1542,217,1735,7.9954,0.5839,8.9171,845,10,Yes,No,41,0.1889,66.1899,-0.1161,No,0.6175,1,2.3433,2.3683,3.894,115.3,No,Yes,90,109.4,109.4,109.4,109.4,109.4,112.4,112.4,109.4,109.4,109.4,109.4,126.75,126.75,17,7,63,0.0599,0.0138,6,0.0276,0.0276,0.1429,,
Russell Wilson,PIT,QB,109,109,109,1,102,0.9358,0.9725,0.156,109,968,8.8807,0.6178,9.4312,418,3,No,Yes,23,0.211,35.3137,-0.113,No,0.5872,1,2.4532,2.3783,3.8349,112.8,No,Yes,42,50.72,50.72,50.72,50.72,50.72,53.72,53.72,50.72,50.72,50.72,50.72,60.4,60.4,11,,10,0.0367,0.0275,5,0.0459,0.0275,0.1927,,
Anthony Richardson,IND,QB,54,54,54,1,46,0.8519,0.9259,0.115,54,503,9.3148,0.7237,9.6852,196,1,No,Yes,8,0.1481,15.9427,-0.1471,No,0.7222,1,2.2852,2.375,3.6296,111.7,No,Yes,21,24.12,24.12,24.12,24.12,24.12,27.12,27.12,24.12,24.12,24.12,24.12,29.15,29.15,11,1,29,0.0741,0.1296,1,0.0185,0.0185,0.0926,,
Mac Jones,JAX,QB,79,79,79,1,77,0.9747,0.9873,0.153,79,586,7.4177,0.6143,7.4177,236,,No,No,11,0.1392,22.9674,-0.1515,Yes,0.7342,1,2.2595,2.4182,2.9873,97.6,No,Yes,27,23.44,23.44,23.44,23.44,23.44,26.44,26.44,23.44,23.44,23.44,23.44,29.3,29.3,10,1,-6,0.0127,0.0633,1,0.0127,0.0127,0.1139,,
Kirk Cousins,ATL,QB,146,146,146,1,138,0.9452,0.9658,0.1678,146,1400,9.589,0.6129,10.274,636,5,No,No,25,0.1712,44.0288,-0.1303,Yes,0.7055,1,2.3233,2.524,4.3562,118,Yes,Yes,65,76,76,76,76,76,79,79,76,76,76,76,90,90,14,3,22,0.0205,0.0137,3,0.0205,0.0068,0.1027,,
Joshua Dobbs,SF,QB,13,13,13,1,13,1,1,0.2438,13,126,9.6923,0.3571,9.6923,81,,No,No,2,0.1538,2.5572,-0.0429,No,0.5385,1,1.7154,2.1,6.2308,107.1,No,Yes,8,5.04,5.04,5.04,5.04,5.04,5.04,5.04,5.04,5.04,5.04,5.04,6.3,6.3,2,,,,,,,,,,
Jimmy Garoppolo,LA,QB,13,13,13,1,11,0.8462,0.8462,0.0273,13,158,12.1538,0.8608,12.1538,33,,Yes,No,6,0.4615,4.5409,0.1122,No,0.6154,1,2.6,2.6833,2.5385,117.3,No,Yes,7,6.32,6.32,6.32,6.32,6.32,6.32,6.32,6.32,6.32,6.32,6.32,7.9,7.9,1,,,,0.0769,1,0.0769,,0.1538,,
Andy Dalton,CAR,QB,48,48,48,1,45,0.9375,0.9792,0.1451,48,402,8.375,0.6891,9.2083,134,2,No,No,6,0.125,12.9369,-0.1445,Yes,0.6667,1,2.1375,2.6167,2.7917,115.5,No,Yes,18,24.08,24.08,24.08,24.08,24.08,27.08,27.08,24.08,24.08,24.08,24.08,28.1,28.1,6,1,5,0.0417,0.0417,1,0.0208,,0.2708,,
Sam Darnold,MIN,QB,155,154,154,1,146,0.9481,0.9805,0.1728,154,1319,8.5649,0.5641,9.6039,639,8,No,No,26,0.1688,53.3437,-0.1776,No,0.6299,1,2.5831,2.6846,4.1494,119.7,Yes,Yes,62,84.76,84.76,84.76,84.76,84.76,87.76,87.76,84.76,84.76,84.76,84.76,97.95,97.95,17,4,14,0.0325,0.0844,6,0.039,0.039,0.0779,,0.0065
Jayden Daniels,WAS,QB,165,165,165,1,159,0.9636,0.9879,0.1615,165,1413,8.5636,0.7113,9.4121,509,7,Yes,No,11,0.0667,40.902,-0.1812,No,0.7455,1,2.0121,2.4,3.0848,116.5,No,Yes,68,84.52,84.52,84.52,84.52,84.52,87.52,87.52,84.52,84.52,84.52,84.52,98.65,98.65,17,6,15,0.0242,0.0909,4,0.0242,0.0242,0.097,,
Brandon Allen,SF,QB,11,11,11,1,11,1,1,0.1625,11,111,10.0909,0.7207,10.0909,31,,No,No,1,0.0909,2.8935,-0.1721,No,0.6364,1,2.1,1.9,2.8182,108.7,No,No,2,4.44,4.44,4.44,4.44,4.44,4.44,4.44,4.44,4.44,4.44,4.44,5.55,5.55,3,,,,,,,,0.1818,,
Bo Nix,DEN,QB,208,208,208,1,194,0.9327,0.9615,0.1285,208,1623,7.8029,0.7381,8.476,503,7,No,No,22,0.1058,62.8736,-0.1965,No,0.6154,1,2.3274,2.6227,2.4183,110.4,No,Yes,70,92.92,92.92,92.92,92.92,92.92,95.92,95.92,92.92,92.92,92.92,92.92,109.15,109.15,17,2,22,0.0288,0.1202,4,0.0192,0.0096,0.1683,,
Trevor Lawrence,JAX,QB,87,87,87,1,77,0.8851,0.9425,0.1554,87,797,9.1609,0.5031,8.8736,473,1,No,No,12,0.1379,23.0406,-0.1269,No,0.8391,1,2.1103,2.225,5.4368,103.9,No,Yes,36,34.38,34.38,34.38,34.38,34.38,37.38,37.38,33.38,33.38,33.38,33.38,42.35,41.35,10,4,25,0.0575,0.069,6,0.069,0.046,0.092,1,
