Name,Team,POS,playerStatsSnapsOffenseTotal,DropbacksTotal,AttemptsTotal,AttemptsInEndzoneTotal,CompletionsOverExpected,OpportunitiesTotal,YardsAdjustedNetPercentage,YardsAirTotal,InterceptionsTotal,PlayActionLabel,PressuredLabel,PressuredTotal,PressuredPercentage,PressuredExpected,PressuredOverExpected,BlitzedLabel,OffTargetThrowAttemptsPercentage,DeepThrowAttemptsTotal,DeepThrowAttemptsPercentage,TowThrowPercentage,TargetedReadFirstPercentage,AverageTimeToThrow,AverageTimeToPressure,AverageDepthOfTarget,TargetsContestedLabel,TargetsCatchableLabel,playerStatsFantasyPointsNonPpr,playerStatsFantasyPointsPpr,playerStatsFantasyPointsHalfPpr,playerStatsFantasyPointsHalfPprRb,playerStatsFantasyPointsPprTe,playerStatsFantasyPointsDraftKings,playerStatsFantasyPointsFanDuel,playerStatsFantasyPointsCbs,playerStatsFantasyPointsNfl,playerStatsFantasyPointsEspn,playerStatsFantasyPointsYahoo,playerStatsFantasyPointsFfpc,playerStatsFantasyPointsNffc,playerStatsGamesPlayed,RunPassOptionPercentage,TargetedReadCheckdownPercentage,PasserRating,AttemptsCatchablePercentage
Patrick Mahomes,KC,QB,17,17,17,4,-0.6285,17,-7.9412,245,3,Yes,No,8,0.4706,7.3871,0.0361,Yes,1,5,0.2941,0.4706,0.6471,3.0941,2.85,14.4118,No,No,-3,-3,-3,-3,-3,-3,-3,-6,-6,-6,-6,-3,-6,16,0.0588,,,
Justin Herbert,LAC,QB,16,16,16,1,-0.5486,16,-5.625,290,2,No,No,3,0.1875,7.5381,-0.2836,No,1,5,0.3125,0.3125,0.75,3.3062,2.9667,18.125,No,No,-2,-2,-2,-2,-2,-2,-2,-4,-4,-4,-4,-2,-4,17,,,,
Geno Smith,SEA,QB,23,23,23,5,-0.6157,23,-9.7826,336,5,No,No,6,0.2609,8.9826,-0.1297,Yes,1,4,0.1739,0.6087,0.6957,2.8391,2.4833,14.6087,No,No,-5,-5,-5,-5,-5,-5,-5,-10,-10,-10,-10,-5,-10,17,0.0435,,,
Drake Maye,NE,QB,11,11,11,1,-0.6707,11,-8.1818,151,2,No,No,4,0.3636,4.1528,-0.0139,No,1,2,0.1818,0.4545,0.7273,2.7636,2.45,13.7273,No,No,-2,-2,-2,-2,-2,-2,-2,-4,-4,-4,-4,-2,-4,13,,,,
Justin Fields,PIT,QB,3,3,3,1,-0.6001,3,,52,,No,No,1,0.3333,1.4964,-0.1655,No,1,1,0.3333,,0.6667,3.4667,3.5,17.3333,No,No,,,,,,,,,,,,,,10,,,39.6,
Brock Purdy,SF,QB,15,15,15,1,-0.6361,15,-15,203,5,Yes,No,5,0.3333,4.653,0.0231,No,1,3,0.2,0.4667,0.8667,2.3733,1.72,13.5333,No,No,-5,-5,-5,-5,-5,-5,-5,-10,-10,-10,-10,-5,-10,15,,,,
Caleb Williams,CHI,QB,18,18,18,2,-0.5787,18,-10,289,4,No,No,7,0.3889,8.0124,-0.0562,No,1,7,0.3889,0.4444,0.7222,3.1556,2.4857,16.0556,No,No,-4,-4,-4,-4,-4,-4,-4,-8,-8,-8,-8,-4,-8,17,,,,
Tua Tagovailoa,MIA,QB,17,17,17,4,-0.6953,17,-7.9412,164,3,Yes,No,5,0.2941,5.7484,-0.044,No,1,,,0.4706,0.7059,2.5353,2.1,9.6471,No,No,-3,-3,-3,-3,-3,-3,-3,-6,-6,-6,-6,-3,-6,11,,,,
Gardner Minshew,LV,QB,8,8,8,2,-0.6806,8,-11.25,90,2,No,Yes,2,0.25,3.2084,-0.1511,No,1,1,0.125,0.25,0.75,2.9,2.15,11.25,No,No,-2,-2,-2,-2,-2,-2,-2,-4,-4,-4,-4,-2,-4,10,,,,
Jared Goff,DET,QB,9,9,9,3,-0.6596,9,-10,122,2,No,No,3,0.3333,2.5054,0.055,Yes,1,2,0.2222,0.3333,1,2.1889,2.6667,13.5556,No,No,-2,-2,-2,-2,-2,-2,-2,-4,-4,-4,-4,-2,-4,17,,,,
Kyler Murray,ARZ,QB,14,14,14,1,-0.6352,14,-9.6429,184,3,No,No,3,0.2143,4.804,-0.1289,No,1,3,0.2143,0.2857,0.7857,2.5643,2.1333,13.1429,No,No,-3,-3,-3,-3,-3,-3,-3,-6,-6,-6,-6,-3,-6,17,,,,
Tanner McKee,PHI,QB,3,3,3,,-0.7265,3,,26,,No,No,2,0.6667,1.0824,0.3059,Yes,1,,,0.3333,0.6667,2.6667,2.75,8.6667,No,No,,,,,,,,,,,,,,2,,,39.6,
C.J. Stroud,HST,QB,24,24,24,,-0.6336,24,-9.375,339,5,No,No,9,0.375,9.3319,-0.0138,No,1,6,0.25,0.2917,0.6667,2.8292,2.4556,14.125,No,No,-5,-5,-5,-5,-5,-5,-5,-10,-10,-10,-10,-5,-10,17,,,,
Daniel Jones,NYG,QB,15,15,15,1,-0.7056,15,-6,155,2,Yes,No,5,0.3333,5.0498,-0.0033,Yes,1,2,0.1333,0.2667,0.9333,2.5267,2.7,10.3333,No,No,-2,-2,-2,-2,-2,-2,-2,-4,-4,-4,-4,-2,-4,10,0.0667,,,
Joe Flacco,IND,QB,8,8,8,2,-0.6614,8,-16.875,94,3,No,Yes,2,0.25,3.1049,-0.1381,No,1,2,0.25,0.75,0.75,2.825,2.75,11.75,No,No,-3,-3,-3,-3,-3,-3,-3,-6,-6,-6,-6,-3,-6,8,,,,
