Name,Team,POS,playerStatsSnapsOffenseTotal,DropbacksTotal,AttemptsTotal,AttemptsCatchablePercentage,CompletionsTotal,CompletionsPercentage,CompletionsAdjustedPercentage,CompletionsOverExpected,OpportunitiesTotal,DropsYardsLost,DropsPercentage,YardsTotal,YardsPerAttempt,YardsAfterCatchPercentage,YardsAdjustedNetPercentage,YardsAirTotal,PlayActionLabel,PressuredLabel,PressuredTotal,PressuredPercentage,PressuredExpected,PressuredOverExpected,BlitzedLabel,TowThrowPercentage,TargetedReadFirstPercentage,TargetedReadCheckdownPercentage,AverageTimeToThrow,AverageTimeToPressure,AverageDepthOfTarget,PasserRating,TargetsContestedLabel,TargetsCatchableLabel,playerStatsFirstDownsPassing,playerStatsFantasyPointsNonPpr,playerStatsFantasyPointsPpr,playerStatsFantasyPointsHalfPpr,playerStatsFantasyPointsHalfPprRb,playerStatsFantasyPointsPprTe,playerStatsFantasyPointsDraftKings,playerStatsFantasyPointsFanDuel,playerStatsFantasyPointsCbs,playerStatsFantasyPointsNfl,playerStatsFantasyPointsEspn,playerStatsFantasyPointsYahoo,playerStatsFantasyPointsFfpc,playerStatsFantasyPointsNffc,playerStatsGamesPlayed,AttemptsInEndzoneTotal,TouchdownsTotal,RunPassOptionPercentage,DeepThrowAttemptsTotal,DeepThrowAttemptsPercentage,HeroThrowPercentage,InterceptionsTotal
Jared Goff,DET,QB,10,10,10,1,6,0.6,0.7,-0.0456,10,6,0.1,59,5.9,0.661,5.9,74,No,No,3,0.3,3.7,-0.07,No,0.1,0.5,0.1,2.72,2.5667,7.4,76.7,No,No,4,2.36,2.36,2.36,2.36,2.36,2.36,2.36,2.36,2.36,2.36,2.36,2.95,2.95,17,,,,,,,
Kyler Murray,ARZ,QB,28,28,28,1,17,0.6071,0.7143,-0.0137,28,18,0.1071,150,5.3571,0.2733,8.9286,244,Yes,No,4,0.1429,8.8316,-0.1726,No,,0.7857,0.0714,2.4036,2.425,8.7143,114.6,No,Yes,9,26,26,26,26,26,26,26,26,26,26,26,27.5,27.5,17,5,5,0.0714,4,0.1429,0.1071,
Tanner McKee,PHI,QB,2,2,2,1,1,0.5,1,0.3059,2,7,0.5,11,5.5,-0.0909,5.5,19,No,No,1,0.5,0.4571,0.2714,No,,1,,1.9,1.8,9.5,66.7,Yes,Yes,1,0.44,0.44,0.44,0.44,0.44,0.44,0.44,0.44,0.44,0.44,0.44,0.55,0.55,2,,,,,,,
C.J. Stroud,HST,QB,27,27,27,1,18,0.6667,0.9259,0.218,27,81,0.2593,259,9.5926,0.3514,11.0741,291,No,No,9,0.3333,9.9141,-0.0339,No,,0.5556,0.1111,2.7037,2.1778,10.7778,122.3,No,No,10,18.36,18.36,18.36,18.36,18.36,18.36,18.36,18.36,18.36,18.36,18.36,20.95,20.95,17,2,2,,4,0.1481,0.1111,
Daniel Jones,NYG,QB,10,10,10,1,3,0.3,0.9,0.1275,10,38,0.6,37,3.7,0.8108,3.7,54,No,No,1,0.1,3.2342,-0.2234,No,,0.9,0.1,2.45,1.7,5.4,42.5,No,No,2,1.48,1.48,1.48,1.48,1.48,1.48,1.48,1.48,1.48,1.48,1.48,1.85,1.85,10,,,,,,,
Joe Flacco,IND,QB,6,6,6,1,4,0.6667,1,0.1998,6,18,0.3333,18,3,0.2222,3,32,No,No,2,0.3333,2.3201,-0.0533,No,,0.6667,0.1667,2.8167,3.25,5.3333,70.1,No,No,1,0.72,0.72,0.72,0.72,0.72,0.72,0.72,0.72,0.72,0.72,0.72,0.9,0.9,8,,,,,,,
Jacoby Brissett,NE,QB,11,11,11,1,5,0.4545,0.9091,0.1651,11,45,0.4545,42,3.8182,0.2619,3.8182,79,No,No,3,0.2727,4.0148,-0.0923,No,,0.9091,,2.6909,2.8333,7.1818,55.9,No,No,2,1.68,1.68,1.68,1.68,1.68,1.68,1.68,1.68,1.68,1.68,1.68,2.1,2.1,8,,,,,,,
Justin Fields,PIT,QB,6,6,6,1,5,0.8333,0.8333,0.181,6,,,66,11,0.2424,14.3333,82,No,No,2,0.3333,2.1475,-0.0246,No,,0.8333,0.1667,2.65,2.85,13.6667,152.1,No,No,3,6.64,6.64,6.64,6.64,6.64,6.64,6.64,6.64,6.64,6.64,6.64,7.3,7.3,10,1,1,,2,0.3333,,
Brock Purdy,SF,QB,21,21,21,1,16,0.7619,0.8095,0.0625,21,4,0.0476,153,7.2857,0.2157,7.2857,154,No,No,9,0.4286,6.7143,0.1088,No,,0.7143,0.0952,2.4286,2.2556,7.3333,95.9,No,Yes,8,6.12,6.12,6.12,6.12,6.12,6.12,6.12,6.12,6.12,6.12,6.12,7.65,7.65,15,2,,0.0476,1,0.0476,,
Caleb Williams,CHI,QB,25,25,25,1,18,0.72,0.84,0.0596,25,16,0.12,163,6.52,0.4785,7.32,145,No,Yes,3,0.12,7.1283,-0.1651,No,,0.76,0.04,2.228,1.7667,5.8,102.6,No,Yes,6,10.52,10.52,10.52,10.52,10.52,10.52,10.52,10.52,10.52,10.52,10.52,12.15,12.15,17,1,1,0.16,2,0.08,,
Tua Tagovailoa,MIA,QB,18,18,18,1,12,0.6667,0.7222,-0.0478,18,4,0.0556,130,7.2222,0.7154,8.3333,104,No,Yes,5,0.2778,5.1317,-0.0073,No,,0.7778,0.1111,2.2278,2.2,5.7778,106.3,No,Yes,7,9.2,9.2,9.2,9.2,9.2,9.2,9.2,9.2,9.2,9.2,9.2,10.5,10.5,11,1,1,0.0556,1,0.0556,0.0556,
Gardner Minshew,LV,QB,9,9,9,1,7,0.7778,0.8889,0.0843,9,17,0.1111,44,4.8889,0.5909,4.8889,38,No,No,4,0.4444,2.402,0.1776,No,,0.7778,0.1111,2.1222,2.425,4.2222,87,No,Yes,3,1.76,1.76,1.76,1.76,1.76,1.76,1.76,1.76,1.76,1.76,1.76,2.2,2.2,10,,,0.2222,,,,
Tyler Huntley,MIA,QB,3,3,3,1,1,0.3333,0.6667,-0.0495,3,9,0.3333,10,3.3333,,3.3333,23,Yes,Yes,1,0.3333,0.9617,0.0128,Yes,,1,,2.4333,3.2,7.6667,43.8,No,Yes,1,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.5,0.5,5,,,,,,,
Marcus Mariota,WAS,QB,2,2,2,1,2,1,1,0.2766,2,,,20,10,0.1,10,18,No,No,,,0.5089,-0.2544,Yes,,1,,2.05,,9,108.3,Yes,Yes,,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,1,1,3,,,,,,,
Aidan O'Connell,LV,QB,10,10,10,1,7,0.7,0.7,-0.077,10,,,51,5.1,0.3922,0.6,53,No,No,3,0.3,3.424,-0.0424,No,,0.7,0.1,2.56,2.4333,5.3,42.1,No,Yes,2,1.04,1.04,1.04,1.04,1.04,1.04,1.04,0.04,0.04,0.04,0.04,1.55,0.55,9,,,,,,,1
Matthew Stafford,LA,QB,24,23,23,1,17,0.7391,0.8261,0.1227,23,22,0.087,211,9.1739,0.2512,8.9565,215,No,No,8,0.3478,7.2921,0.0308,No,0.0435,0.8696,,2.413,2.35,9.3478,112.8,No,No,11,15.44,15.44,15.44,15.44,15.44,15.44,15.44,14.44,14.44,14.44,14.44,17.55,16.55,16,2,2,,1,0.0435,0.1739,1
