Name,Team,POS,playerStatsSnapsOffenseTotal,DropbacksTotal,AttemptsTotal,AttemptsCatchablePercentage,AttemptsInEndzoneTotal,CompletionsTotal,CompletionsPercentage,CompletionsAdjustedPercentage,CompletionsOverExpected,OpportunitiesTotal,IncompletionsThrownAway,YardsTotal,YardsPerAttempt,YardsAfterCatchPercentage,YardsAdjustedNetPercentage,YardsAirTotal,TouchdownsTotal,SackedTotal,SackedPressuredPercentage,SackedYardsLost,SackedPercentage,ScramblesTotal,ScramblesYards,PlayActionLabel,PressuredLabel,PressuredTotal,PressuredPercentage,PressuredExpected,PressuredOverExpected,BlitzedLabel,RunPassOptionPercentage,OffTargetThrowAttemptsPercentage,DeepThrowAttemptsTotal,DeepThrowAttemptsPercentage,TargetedReadFirstPercentage,TargetedReadCheckdownPercentage,ThrowAccuracyHighlyAccuratePercentage,AverageTimeToThrow,AverageTimeToSack,AverageTimeToScramble,AverageTimeToPressure,AverageDepthOfTarget,PasserRating,TargetsContestedLabel,TargetsCatchableLabel,playerStatsFirstDownsPassing,playerStatsFantasyPointsNonPpr,playerStatsFantasyPointsPpr,playerStatsFantasyPointsHalfPpr,playerStatsFantasyPointsHalfPprRb,playerStatsFantasyPointsPprTe,playerStatsFantasyPointsDraftKings,playerStatsFantasyPointsFanDuel,playerStatsFantasyPointsCbs,playerStatsFantasyPointsNfl,playerStatsFantasyPointsEspn,playerStatsFantasyPointsYahoo,playerStatsFantasyPointsFfpc,playerStatsFantasyPointsNffc,playerStatsGamesPlayed,IncompletionsBatted,DropsYardsLost,DropsPercentage,InterceptionsTotal,SackedFaultTotal,ScramblesTouchdowns,TowThrowPercentage,HeroThrowPercentage
Drew Lock,NYG,QB,41,41,1,0.7692,1,27,0.6923,0.7838,-0.0254,41,2,316,8.1026,0.6772,7.675,137,2,1,0.0833,-4,0.0244,1,5,Yes,Yes,12,0.2927,14.0712,-0.0505,No,0.0976,0.1795,2,0.0513,0.7179,0.0769,0.5385,2.6667,3.6,6.9,2.6833,3.7027,99.9,No,Yes,13,26.14,26.14,26.14,26.14,26.14,29.14,29.14,25.14,25.14,25.14,25.14,29.3,28.3,7,,6,0.0513,1,,1,0.0513,0.0513
Skylar Thompson,MIA,QB,12,12,11,0.8182,,9,0.8182,0.9,0.1722,12,,91,8.2727,0.4945,7.5833,85,,1,0.25,,0.0833,,,No,No,4,0.3333,3.5663,0.0361,No,0.0833,0.0909,1,0.0909,0.6364,0.0909,0.4545,2.4545,7.1,,3.425,7.7273,101.1,No,No,4,3.64,3.64,3.64,3.64,3.64,3.64,3.64,3.64,3.64,3.64,3.64,4.55,4.55,3,,,,,1,,,
Tyrod Taylor,NYJ,QB,3,3,1,1,,2,1,1,0.1479,3,,9,4.5,0.4444,4.5,5,,,,,,1,6,Yes,Yes,3,1,1.0091,0.6636,No,,,,,0.5,,,3.5,,5.6,2.5667,2.5,85.4,No,Yes,,0.96,0.96,0.96,0.96,0.96,0.96,0.96,0.96,0.96,0.96,0.96,1.05,1.05,2,,,,,,,,
Michael Penix,ATL,QB,22,22,22,0.7727,1,13,0.5909,0.7143,-0.0114,22,1,156,7.0909,0.5705,7.0909,193,,,,,,,,Yes,No,4,0.1818,7.3741,-0.1534,Yes,0.1818,0.1818,4,0.1818,0.7273,0.0909,0.6364,2.5182,,,3.075,9.1905,80.9,No,Yes,7,6.24,6.24,6.24,6.24,6.24,6.24,6.24,6.24,6.24,6.24,6.24,7.8,7.8,5,,15,0.0909,,,,,0.0909
Taylor Heinicke,LAC,QB,4,4,1,1,,1,0.5,1,0.2316,4,,18,9,0.2222,2.6667,13,,1,0.5,-10,0.25,1,8,Yes,No,2,0.5,0.6813,0.3297,No,0.25,,,,1,,,2.55,3,5.2,2.85,6.5,81.3,No,Yes,1,1.52,1.52,1.52,1.52,1.52,1.52,1.52,1.52,1.52,1.52,1.52,1.7,1.7,4,,-1,0.5,,,,,
Jalen Hurts,PHI,QB,120,120,8,0.7925,5,80,0.7547,0.9333,0.1762,120,13,943,8.8962,0.4337,8.9375,659,5,6,0.1818,-42,0.05,8,65,Yes,No,33,0.275,44.7538,-0.0979,Yes,0.2583,0.0566,9,0.0849,0.6509,0.0755,0.5849,3.0226,3.55,4.025,2.8394,7.2418,117.8,No,No,44,64.22,64.22,64.22,64.22,64.22,67.22,67.22,64.22,64.22,64.22,64.22,73.65,73.65,15,2,32,0.0377,,,,0.0094,0.0472
Cooper Rush,DAL,QB,69,69,2,0.7846,3,40,0.6154,0.7903,0.0332,69,2,466,7.1692,0.5343,7.0597,406,1,2,0.1538,-13,0.029,2,7,Yes,Yes,13,0.1884,20.2722,-0.1054,Yes,0.1449,0.1538,3,0.0462,0.7385,0.0462,0.4462,2.3831,3.2,2.65,2.7231,6.5484,88.4,No,No,25,23.34,23.34,23.34,23.34,23.34,26.34,26.34,23.34,23.34,23.34,23.34,28,28,12,1,63,0.1385,,1,,,0.0154
Davis Mills,HST,QB,8,8,8,0.875,1,5,0.625,0.625,-0.1002,8,,75,9.375,0.4933,9.375,68,,,,,,,,Yes,No,1,0.125,2.7944,-0.2243,No,0.125,0.125,1,0.125,0.75,,0.25,2.6,,,2.7,8.5,93.2,No,No,2,3,3,3,3,3,3,3,3,3,3,3,3.75,3.75,4,,,,,,,,
Malik Willis,GB,QB,21,21,2,0.7222,,10,0.5556,0.6667,-0.0868,21,,188,10.4444,0.7287,11.4737,117,2,1,0.1667,-10,0.0476,2,24,Yes,No,6,0.2857,5.7872,0.0101,No,0.1905,0.2222,1,0.0556,0.8889,,0.5,2.4389,4.5,5.55,3,6.5,128.9,No,Yes,7,17.92,17.92,17.92,17.92,17.92,17.92,17.92,17.92,17.92,17.92,17.92,19.8,19.8,7,,1,0.1111,,1,,,0.0556
Will Levis,TEN,QB,91,90,2,0.7848,4,58,0.7342,0.8333,0.0732,90,6,621,7.8608,0.6216,6.5114,505,4,9,0.3103,-38,0.1,2,23,Yes,No,29,0.3222,29.1472,-0.0016,No,0.0889,0.1266,9,0.1139,0.6962,0.1139,0.557,2.7139,3.5444,3.8,2.7586,7.0139,102.3,No,No,27,41.14,41.14,41.14,41.14,41.14,44.14,44.14,39.14,39.14,39.14,39.14,47.35,45.35,12,1,-4,0.0253,2,4,,0.0506,0.0253
Desmond Ridder,LV,QB,9,8,1,0.7143,,3,0.4286,0.5714,-0.1954,8,,18,2.5714,0.7778,2.5714,48,,,,,,1,8,No,No,1,0.125,1.9103,-0.1138,No,0.25,0.2857,1,0.1429,0.8571,0.1429,0.1429,2.1571,,4.4,1.9,6.8571,50.3,No,No,1,1.52,1.52,1.52,1.52,1.52,1.52,1.52,1.52,1.52,1.52,1.52,1.7,1.7,5,,-1,0.1429,,,,,
Trey Lance,DAL,QB,16,16,16,0.8125,2,12,0.75,0.75,-0.0236,16,,132,8.25,0.447,8.25,95,,,,,,,,Yes,No,3,0.1875,6.0028,-0.1877,No,0.0625,0.1875,,,0.6875,0.0625,0.5,2.75,,,2.5333,5.9375,99,No,Yes,7,5.28,5.28,5.28,5.28,5.28,5.28,5.28,5.28,5.28,5.28,5.28,6.6,6.6,4,,,,,,,,
Kenny Pickett,PHI,QB,11,11,2,0.5714,1,2,0.2857,0.3333,-0.3721,11,1,50,7.1429,0.08,3.7778,71,,2,0.4,-16,0.1818,2,5,Yes,No,5,0.4545,2.7039,0.2087,Yes,0.2727,0.2857,1,0.1429,0.8571,,0.1429,2.8143,2.75,4.55,2.84,11.8333,56.8,No,No,1,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,3,3,5,,,,,1,,,
Dorian Thompson-Robinson,CLV,QB,39,39,1,0.6571,2,17,0.4857,0.6562,-0.1609,39,2,123,3.5143,0.8618,-0.7368,115,,3,0.375,-16,0.0769,1,14,Yes,No,8,0.2051,10.6385,-0.0677,No,0.2051,0.2571,2,0.0571,0.7143,0.0286,0.4857,2.3371,4.3667,3.8,2.55,3.5938,21.5,No,No,5,3.32,3.32,3.32,3.32,3.32,3.32,3.32,0.32,0.32,0.32,0.32,4.55,1.55,7,1,-1,0.1143,3,1,,0.0571,
Lamar Jackson,BLT,QB,157,157,11,0.7914,12,102,0.7338,0.7836,0.0752,157,3,1318,9.482,0.4795,10.226,1288,13,7,0.1522,-40,0.0446,11,72,Yes,No,46,0.293,53.5897,-0.0483,Yes,0.1146,0.1655,23,0.1655,0.7698,0.036,0.5036,2.8101,3.6143,4.4273,2.8174,9.5407,130.9,No,Yes,69,109.92,109.92,109.92,109.92,109.92,112.92,111.92,107.92,107.92,107.92,107.92,123.1,121.1,17,1,5,0.0216,1,,,0.0216,0.0504
Trevor Lawrence,JAX,QB,85,85,3,0.7595,3,54,0.6835,0.7308,0.011,85,,733,9.2785,0.4311,8.0122,759,2,3,0.2308,-26,0.0353,3,16,Yes,Yes,13,0.1529,27.9397,-0.1758,No,0.1176,0.2278,12,0.1519,0.7089,0.1392,0.5063,2.6253,3.3667,5.4333,2.6538,9.7308,95.6,No,No,32,36.92,36.92,36.92,36.92,36.92,39.92,39.92,34.92,34.92,34.92,34.92,44.25,42.25,10,1,8,0.038,2,,,0.0253,0.0253
Bo Nix,DEN,QB,186,185,17,0.7576,13,112,0.6788,0.7895,0.0032,185,9,1057,6.4061,0.7521,7.0595,859,14,3,0.0811,-16,0.0162,17,108,Yes,No,37,0.2,59.3077,-0.1206,No,0.2486,0.1636,12,0.0727,0.5879,0.1333,0.497,2.6588,5.8667,4.2353,2.9919,5.5779,106,No,Yes,48,118.28,119.28,118.78,119.28,119.28,125.28,124.78,116.28,116.28,116.28,115.78,129.85,126.85,17,2,79,0.0485,3,3,1,0.0182,0.0182
Bailey Zappe,CLV,QB,11,11,1,0.7,1,5,0.5,0.6,-0.138,11,,48,4.8,0.6875,4.8,76,,,,,,1,3,Yes,No,3,0.2727,3.5275,-0.048,No,0.2727,0.3,,,0.8,0.1,0.6,2.62,,5.1,3,7.6,63.8,No,No,2,2.22,2.22,2.22,2.22,2.22,2.22,2.22,2.22,2.22,2.22,2.22,2.7,2.7,1,,18,0.1,,,,,
Brandon Allen,SF,QB,8,8,7,0.5714,,4,0.5714,0.8,0.0434,8,2,78,11.1429,0.5385,9.75,36,,1,0.25,,0.125,,,No,No,4,0.5,2.6521,0.1685,No,,0.1429,,,0.4286,0.1429,0.5714,2.7714,2.6,,2.175,7.2,96.1,No,No,3,2.12,2.12,2.12,2.12,2.12,2.12,1.12,1.12,1.12,1.12,1.12,2.9,1.9,3,,,,,,,,0.2857
Jayden Daniels,WAS,QB,195,194,32,0.7755,10,102,0.6939,0.7986,0.042,194,5,1154,7.8503,0.6274,6.642,962,7,15,0.2679,-83,0.0773,32,216,Yes,No,56,0.2887,49.4496,0.0338,No,0.1598,0.1701,11,0.0748,0.7211,0.0816,0.5374,2.5252,4.0667,4.4688,2.8893,6.9209,100,No,Yes,56,98.76,98.76,98.76,98.76,98.76,104.76,104.76,95.76,95.76,95.76,95.76,110.3,107.3,17,3,76,0.0612,3,6,1,0.0136,0.0204
Sam Darnold,MIN,QB,193,191,10,0.7824,12,121,0.7118,0.8497,0.1201,191,9,1655,9.7353,0.5094,9.4972,1357,14,11,0.1864,-81,0.0576,10,71,Yes,Yes,59,0.3089,73.1638,-0.0742,No,0.0942,0.1235,27,0.1588,0.6294,0.0824,0.5118,3.07,4.1455,5.39,2.9661,8.6306,122.1,No,Yes,70,125.3,125.3,125.3,125.3,125.3,128.3,127.3,121.3,121.3,121.3,121.3,141.85,137.85,17,4,112,0.0529,3,2,,0.0235,0.0647
Andy Dalton,CAR,QB,55,55,52,0.7308,5,34,0.6538,0.7,-0.0497,55,1,302,5.8077,0.5199,3.8545,367,1,3,0.2308,-20,0.0545,,,Yes,No,13,0.2364,16.7491,-0.0682,No,0.0909,0.2115,5,0.0962,0.7115,0.1923,0.4615,2.4423,2.1667,,2.3769,7.34,71.2,No,Yes,16,14.08,14.08,14.08,14.08,14.08,17.08,17.08,12.08,12.08,12.08,12.08,17.1,15.1,6,1,6,0.0192,2,2,,0.0577,
Joshua Dobbs,SF,QB,6,6,5,1,,5,1,1,0.2545,6,,63,12.6,0.4127,11.1667,37,1,1,1,-16,0.1667,,,Yes,No,1,0.1667,1.16,-0.0267,No,0.1667,,2,0.4,0.8,,0.6,1.92,2.2,,1.9,7.4,158.3,No,Yes,2,6.52,6.52,6.52,6.52,6.52,6.52,6.52,6.52,6.52,6.52,6.52,7.15,7.15,2,,,,,1,,,
Mac Jones,JAX,QB,60,60,2,0.8,2,38,0.6909,0.8627,0.1039,60,4,381,6.9273,0.6457,6.431,361,2,3,0.1364,-3,0.05,2,9,Yes,No,22,0.3667,20.7812,0.0203,No,0.1333,0.1273,6,0.1091,0.7091,0.0545,0.6364,2.7655,5.0333,4.55,2.4818,7.0784,93.1,No,Yes,19,23.14,23.14,23.14,23.14,23.14,26.14,26.14,22.14,22.14,22.14,22.14,26.95,25.95,10,,107,0.1091,1,1,,0.0364,0.0182
Anthony Richardson,IND,QB,103,103,7,0.617,2,49,0.5213,0.6118,-0.0615,103,6,805,8.5638,0.564,6.25,1015,4,2,0.0541,-15,0.0194,7,65,Yes,No,37,0.3592,34.9215,0.0202,No,0.1359,0.2872,18,0.1915,0.7872,,0.4149,2.7287,4.9,4.8571,2.6432,11.9412,68.8,No,Yes,30,47.7,47.7,47.7,47.7,47.7,50.7,49.7,40.7,40.7,40.7,40.7,55.75,48.75,11,3,43,0.0319,6,,,0.0745,0.0426
Kirk Cousins,ATL,QB,79,79,78,0.7051,,50,0.641,0.8,0.055,79,8,526,6.7436,0.6445,5.4051,506,,1,0.0455,-9,0.0127,,,Yes,No,22,0.2785,31.5924,-0.1214,Yes,0.1013,0.1026,11,0.141,0.5513,0.1282,0.4872,2.9231,2.4,,2.7818,7.7846,72.9,No,No,25,19.04,19.04,19.04,19.04,19.04,22.04,22.04,17.04,17.04,17.04,17.04,24.3,22.3,14,5,63,0.0256,2,1,,0.0385,0.0385
Joe Burrow,CIN,QB,154,154,5,0.8,9,99,0.7071,0.814,0.0656,154,7,1088,7.7714,0.5046,7.3356,962,7,9,0.1698,-45,0.0584,5,27,Yes,No,53,0.3442,54.6463,-0.0107,No,0.0649,0.1143,11,0.0786,0.5786,0.1,0.6071,2.8379,3.6889,4.88,2.3906,7.4,104.1,No,Yes,53,71.22,71.22,71.22,71.22,71.22,74.22,73.22,68.22,68.22,68.22,68.22,82.1,79.1,17,3,52,0.0429,2,2,,0.0286,0.0643
