Name,Team,POS,playerStatsSnapsOffenseTotal,DropbacksTotal,AttemptsTotal,AttemptsCatchablePercentage,AttemptsInEndzoneTotal,CompletionsTotal,CompletionsPercentage,CompletionsAdjustedPercentage,CompletionsOverExpected,OpportunitiesTotal,IncompletionsThrownAway,YardsTotal,YardsPerAttempt,YardsAfterCatchPercentage,YardsAdjustedNetPercentage,YardsAirTotal,TouchdownsTotal,SackedTotal,SackedPressuredPercentage,SackedYardsLost,SackedPercentage,ScramblesTotal,ScramblesYards,PlayActionLabel,PressuredLabel,PressuredTotal,PressuredPercentage,PressuredExpected,PressuredOverExpected,BlitzedLabel,RunPassOptionPercentage,OffTargetThrowAttemptsPercentage,DeepThrowAttemptsTotal,DeepThrowAttemptsPercentage,TargetedReadFirstPercentage,TargetedReadCheckdownPercentage,ThrowAccuracyHighlyAccuratePercentage,AverageTimeToThrow,AverageTimeToSack,AverageTimeToScramble,AverageTimeToPressure,AverageDepthOfTarget,PasserRating,TargetsContestedLabel,TargetsCatchableLabel,playerStatsFirstDownsPassing,playerStatsFantasyPointsNonPpr,playerStatsFantasyPointsPpr,playerStatsFantasyPointsHalfPpr,playerStatsFantasyPointsHalfPprRb,playerStatsFantasyPointsPprTe,playerStatsFantasyPointsDraftKings,playerStatsFantasyPointsFanDuel,playerStatsFantasyPointsCbs,playerStatsFantasyPointsNfl,playerStatsFantasyPointsEspn,playerStatsFantasyPointsYahoo,playerStatsFantasyPointsFfpc,playerStatsFantasyPointsNffc,playerStatsGamesPlayed,IncompletionsBatted,DropsYardsLost,DropsPercentage,InterceptionsTotal,SackedFaultTotal,ScramblesTouchdowns,TowThrowPercentage,HeroThrowPercentage
Gardner Minshew,LV,QB,84,84,5,0.7808,2,54,0.7397,0.8333,0.0313,84,6,534,7.3151,0.6573,6.2152,283,2,6,0.2727,-38,0.0714,5,18,Yes,No,22,0.2619,26.1889,-0.0499,No,0.1429,0.1233,2,0.0274,0.6849,0.0959,0.4932,2.6548,3.7333,5.52,3.0227,4.2879,97.6,No,Yes,23,29.16,29.16,29.16,29.16,29.16,32.16,31.16,27.16,27.16,27.16,27.16,34.5,32.5,10,1,17,0.0137,1,2,,0.0137,
Tua Tagovailoa,MIA,QB,102,102,1,0.8557,2,73,0.7526,0.8298,0.0577,102,2,822,8.4742,0.6363,8.4059,554,5,4,0.1905,-28,0.0392,1,3,Yes,No,21,0.2059,29.8284,-0.0866,No,0.1569,0.1031,6,0.0619,0.7113,0.0928,0.6598,2.3577,3.625,5,2.4762,5.8936,113,No,Yes,42,52.18,52.18,52.18,52.18,52.18,55.18,55.18,51.18,51.18,51.18,51.18,60.4,59.4,11,1,22,0.0515,1,2,,0.0309,0.0206
Caleb Williams,CHI,QB,143,142,10,0.7373,5,79,0.6695,0.8,0.0168,142,11,940,7.9661,0.7968,6.8258,596,6,14,0.3111,-69,0.0986,10,75,Yes,No,45,0.3169,43.3176,0.0118,No,0.1479,0.1441,12,0.1017,0.6864,0.0593,0.5339,2.7025,4.1,5.91,2.9444,5.6226,101,No,Yes,45,66.1,66.1,66.1,66.1,66.1,69.1,68.1,63.1,63.1,63.1,63.1,75.5,72.5,17,1,30,0.0424,2,1,,0.0254,0.0339
Brock Purdy,SF,QB,120,118,12,0.7525,5,68,0.6733,0.7188,0.0035,118,2,1011,10.0099,0.4768,9.2075,879,6,5,0.1389,-20,0.0424,12,85,Yes,No,36,0.3051,39.967,-0.0336,No,0.0424,0.1782,12,0.1188,0.7426,0.0495,0.4356,2.8673,4.02,4.6833,2.7417,9.1562,107.3,No,No,47,69.94,69.94,69.94,69.94,69.94,72.94,72.94,66.94,66.94,66.94,66.94,80.05,77.05,15,3,-5,0.0099,3,1,,0.0297,0.0099
Justin Fields,PIT,QB,63,63,10,0.7826,2,29,0.6304,0.7619,-0.0312,63,3,235,5.1087,0.817,3.7547,208,,7,0.2414,-36,0.1111,10,42,No,No,29,0.4603,20.6218,0.133,No,0.0317,0.1304,5,0.1087,0.4783,0.3478,0.5435,3.1739,3.4857,4.29,2.8138,4.9524,75.9,No,No,10,25.6,25.6,25.6,25.6,25.6,25.6,25.6,25.6,25.6,25.6,25.6,27.95,27.95,10,1,-6,0.0652,,1,2,0.0217,
Geno Smith,SEA,QB,136,135,3,0.7967,5,89,0.7236,0.8261,0.0629,135,3,823,6.6911,0.5577,5.3788,763,4,9,0.2571,-58,0.0667,3,26,Yes,No,35,0.2593,45.9481,-0.0811,No,0.1111,0.1463,16,0.1301,0.6179,0.1138,0.4878,2.7407,3.3889,3.1333,2.6371,6.5983,90.9,No,Yes,45,48.52,48.52,48.52,48.52,48.52,51.52,51.52,45.52,45.52,45.52,45.52,56.75,53.75,17,3,88,0.0488,3,2,,0.0325,0.0244
Drake Maye,NE,QB,90,90,16,0.7826,2,50,0.7246,0.8095,0.0276,90,6,442,6.4058,0.8484,5.6622,399,4,5,0.1351,-13,0.0556,16,141,No,No,37,0.4111,24.7054,0.1366,No,0.1333,0.1304,7,0.1014,0.6522,0.1304,0.5217,2.6507,3.68,5.0375,2.5919,6.3333,96.4,No,No,24,45.78,45.78,45.78,45.78,45.78,51.78,51.78,43.78,43.78,43.78,43.78,50.2,48.2,13,,37,0.0145,2,3,,0.0435,0.0435
Justin Herbert,LAC,QB,199,199,15,0.8284,7,128,0.7574,0.8418,0.1172,199,5,1672,9.8935,0.4916,8.9728,1371,8,15,0.2727,-91,0.0754,15,187,Yes,No,55,0.2764,64.255,-0.0465,Yes,0.0603,0.1006,23,0.1361,0.6154,0.1065,0.645,2.7792,3.78,4.68,2.7855,8.6226,117.3,Yes,Yes,79,114.58,114.58,114.58,114.58,114.58,120.58,119.58,111.58,111.58,111.58,111.58,131.3,128.3,17,5,21,0.0296,2,2,,0.0118,0.0828
Patrick Mahomes,KC,QB,187,187,4,0.7912,8,134,0.7363,0.8235,0.0384,187,8,1392,7.6484,0.6782,7.4918,1005,6,1,0.0244,-6,0.0053,4,22,Yes,No,41,0.2193,56.056,-0.0805,No,0.2513,0.1319,16,0.0879,0.7143,0.0659,0.5055,2.3588,2.5,3.725,2.8098,5.8772,99.4,No,No,71,78.88,78.88,78.88,78.88,78.88,81.88,81.88,75.88,75.88,75.88,75.88,92.8,89.8,16,3,43,0.033,3,,,0.0165,0.033
Matthew Stafford,LA,QB,173,173,1,0.7964,10,121,0.7246,0.8258,0.0817,173,7,1512,9.0539,0.4974,9.6512,1174,9,5,0.1351,-32,0.0289,1,15,Yes,No,37,0.2139,64.3361,-0.158,Yes,0.052,0.1257,21,0.1257,0.7605,0.0719,0.5689,2.8084,3.9,4.2,2.6919,7.4494,118.2,No,Yes,71,96.98,96.98,96.98,96.98,96.98,99.98,98.98,95.98,95.98,95.98,95.98,112.1,111.1,16,2,60,0.0419,,1,,0.024,0.0659
