teamTeamId,teamLocation,teamNickname,opponentAbbreviation,opponentConference,opponentDivisionName,playDefenseMiddleOfTheFieldLookPreName,playDefenseMiddleOfTheFieldLookPostName,playDefenseCoverageSchemeParent,teamStatsGamesPlayed,opponentStatsSnapsOffenseTotal,opponentStatsPassingPlayActionLabel,opponentStatsPassingPressuredLabel,opponentStatsPassingBlitzedLabel,opponentStatsReceivingRoutesTotal,opponentStatsReceivingTargetsTotal,opponentStatsReceivingTargetsContestedLabel,opponentStatsReceivingTargetsContestedTotal,opponentStatsReceivingTargetsCatchableLabel,opponentStatsReceivingTargetsCatchableTotal,opponentStatsReceivingTargetsCatchablePercentage,opponentStatsReceivingTargetsPerRoute,opponentStatsReceivingReceptionsTotal,opponentStatsReceivingReceptionsContested,opponentStatsReceivingReceptionsHero,opponentStatsReceivingReceptionsPercentage,opponentStatsReceivingYardsTotal,opponentStatsReceivingYardsAfterCatchTotal,opponentStatsReceivingYardsAfterContactTotal,opponentStatsReceivingYardsAirTotal,opponentStatsReceivingDropsTotal,opponentStatsReceivingMissedTacklesForcedTotal,opponentStatsReceivingMissedTacklesForcedPerReception,opponentStatsReceivingAlignmentBackfieldTargetsPercentage,opponentStatsReceivingAlignmentInlineTargetsPercentage,opponentStatsReceivingAlignmentSlotTargetsPercentage,opponentStatsReceivingAlignmentWideTargetsPercentage,opponentStatsReceivingTargetedReadFirstTotal,opponentStatsReceivingTargetedReadFirstPercentage,opponentStatsReceivingTargetedReadDesignTotal,opponentStatsReceivingTargetedReadDesignPercentage,opponentStatsReceivingAverageDepthOfTarget,opponentStatsReceivingPasserRatingWhenTargeted,opponentStatsReceivingAveragesPerRouteYardsTotal,opponentStatsReceivingAveragesPerTargetYardsTotal,opponentStatsReceivingAveragesPerTargetYardsOverExpected,opponentStatsReceivingAveragesPerTargetDropsTotal,opponentStatsReceivingAveragesPerReceptionYardsTotal,opponentStatsReceivingAveragesPerReceptionYardsAfterCatch,opponentStatsReceivingAveragesPerReceptionYardsAfterContact,opponentStatsFirstDownsPassing,opponentStatsInside20ReceivingTargetsTotal,teamIsHomeTeam,opponentStatsReceivingTargetsInEndzone,opponentStatsReceivingTouchdownsTotal,opponentStatsReceivingTouchdownsInEndzone
28,Seattle,Seahawks,LA,NFC,NFC West,Open,Open,Cover 2 Man,16,24,Yes,No,No,96,24,Yes,4,Yes,24,1,0.25,19,3,5,0.7917,179,18,8,185,2,2,0.1053,0.0417,0.0833,0.375,0.5,13,0.5417,2,0.0833,7.7083,97.7,1.8646,7.4583,0.2551,0.0833,9.4211,0.9474,0.4211,9,3,,,,
22,New England,Patriots,BUF,AFC,AFC East,Open,Open,Cover 4,17,24,No,Yes,No,106,24,No,1,Yes,24,1,0.2264,16,,1,0.6667,169,29,9,206,6,,,0.2083,0.1667,0.2083,0.4167,13,0.5417,1,0.0417,8.5833,83.5,1.5943,7.0417,-1.2096,0.25,10.5625,1.8125,0.5625,9,2,1,3,1,1
30,Tampa Bay,Buccaneers,NO,NFC,NFC South,Open,Open,Cover 6,17,16,Yes,Yes,No,68,16,No,1,Yes,16,1,0.2353,13,,,0.8125,111,34,9,98,2,1,0.0769,0.1875,0.0625,0.3125,0.4375,10,0.625,2,0.125,6.125,95.6,1.6324,6.9375,-0.2209,0.125,8.5385,2.6154,0.6923,5,4,1,,,
17,Los Angeles,Rams,SEA,NFC,NFC West,Open,Open,Cover 2 Man,15,19,Yes,No,No,78,19,Yes,1,Yes,19,1,0.2436,14,,1,0.7368,131,50,29,168,3,3,0.2143,0.3158,0.1053,0.2105,0.3684,13,0.6842,3,0.1579,8.8421,92.2,1.6795,6.8947,-0.5734,0.1579,9.3571,3.5714,2.0714,7,,1,,,
31,Tennessee,Titans,HST,AFC,AFC South,Open,Closed,Cover 1,17,14,Yes,No,Yes,58,14,No,,Yes,14,1,0.2414,13,,,0.9286,101,49,13,57,1,1,0.0769,0.1429,0.2143,0.2857,0.3571,10,0.7143,3,0.2143,4.0714,96.7,1.7414,7.2143,0.4245,0.0714,7.7692,3.7692,1,4,1,1,,,
14,Indianapolis,Colts,JAX,AFC,AFC South,Closed,Closed,Prevent,17,24,No,No,No,90,24,Yes,4,Yes,24,1,0.2667,20,3,,0.8333,171,14,5,174,2,3,0.15,0.2083,0.0417,0.2083,0.5417,18,0.75,3,0.125,7.25,79,1.9,7.125,-0.5722,0.0833,8.55,0.7,0.25,4,3,1,,,
10,Denver,Broncos,KC,AFC,AFC West,Open,Closed,Cover 1,15,21,No,No,No,88,21,Yes,2,Yes,21,1,0.2386,18,1,,0.8571,145,75,32,79,2,2,0.1111,0.3333,0.0952,0.2857,0.2857,12,0.5714,3,0.1429,3.7619,95.4,1.6477,6.9048,0.1739,0.0952,8.0556,4.1667,1.7778,9,2,1,,,
27,Pittsburgh,Steelers,CIN,AFC,AFC North,Open,Open,Cover 2,17,25,No,No,No,115,25,No,3,Yes,25,1,0.2174,23,3,,0.92,228,43,7,193,2,,,0.04,0.08,0.2,0.68,19,0.76,1,0.04,7.72,118,1.9826,9.12,1.5685,0.08,9.913,1.8696,0.3043,13,1,1,1,1,1
29,San Francisco,49ers,ARZ,NFC,NFC West,Open,Open,Cover 4,16,24,No,No,No,112,24,No,2,Yes,24,1,0.2143,18,,1,0.75,144,50,15,139,2,1,0.0556,0.1667,0.125,0.25,0.4583,11,0.4583,,,5.7917,89.6,1.2857,6,-0.8346,0.0833,8,2.7778,0.8333,6,1,,,,
16,Kansas City,Chiefs,DEN,AFC,AFC West,Open,Closed,Cover 1,16,17,No,No,No,72,17,Yes,1,Yes,17,1,0.2361,15,,,0.8824,103,47,13,77,1,4,0.2667,0.1176,0.1176,0.4706,0.2941,8,0.4706,3,0.1765,4.5294,91.9,1.4306,6.0588,-0.8547,0.0588,6.8667,3.1333,0.8667,3,1,,,,
