teamTeamId,teamLocation,teamNickname,opponentAbbreviation,opponentConference,opponentDivisionName,playDefenseMiddleOfTheFieldLookPreName,playDefenseMiddleOfTheFieldLookPostName,playDefenseCoverageSchemeParent,teamStatsGamesPlayed,opponentStatsSnapsOffenseTotal,opponentStatsPassingPlayActionLabel,opponentStatsPassingPressuredLabel,opponentStatsPassingBlitzedLabel,opponentStatsReceivingRoutesTotal,opponentStatsReceivingTargetsTotal,opponentStatsReceivingTargetsContestedLabel,opponentStatsReceivingTargetsCatchableLabel,opponentStatsReceivingTargetsPerRoute,opponentStatsReceivingYardsAirTotal,opponentStatsReceivingAlignmentBackfieldTargetsPercentage,opponentStatsReceivingAlignmentInlineTargetsPercentage,opponentStatsReceivingAlignmentSlotTargetsPercentage,opponentStatsReceivingAlignmentWideTargetsPercentage,opponentStatsReceivingTargetedReadFirstTotal,opponentStatsReceivingTargetedReadFirstPercentage,opponentStatsReceivingAverageDepthOfTarget,opponentStatsReceivingAveragesPerTargetYardsOverExpected,opponentStatsInside20ReceivingTargetsTotal,teamIsHomeTeam,opponentStatsReceivingTargetsInEndzone,opponentStatsReceivingTargetedReadDesignTotal,opponentStatsReceivingTargetedReadDesignPercentage,opponentStatsReceivingPasserRatingWhenTargeted,opponentStatsReceivingTargetsContestedTotal
12,Green Bay,Packers,MIN,NFC,NFC North,Open,Closed,Cover 1,15,17,No,No,No,80,17,No,No,0.2125,153,0.2353,0.0588,0.4118,0.2941,12,0.7059,9,-7.605,1,,,,,,
17,Los Angeles,Rams,SEA,NFC,NFC West,Open,Open,Cover 2,17,24,No,Yes,No,103,24,No,No,0.233,257,0.0833,0.125,0.4583,0.3333,18,0.75,10.7083,-8.5032,4,1,1,2,0.0833,22.2,
22,New England,Patriots,BUF,AFC,AFC East,Open,Closed,Cover 3,15,19,No,No,No,89,19,No,No,0.2135,182,,0.1053,0.3684,0.5263,16,0.8421,9.5789,-7.7468,,1,1,,,39.6,
30,Tampa Bay,Buccaneers,NO,NFC,NFC South,Open,Closed,Cover 1,16,23,No,No,No,97,23,No,No,0.2371,246,0.2174,0.087,0.2174,0.4783,16,0.6957,10.6957,-7.8896,6,1,3,,,21.5,
28,Seattle,Seahawks,LA,NFC,NFC West,Open,Open,Cover 2,15,29,No,Yes,No,135,29,No,No,0.2148,284,0.1379,0.1379,0.3448,0.3793,16,0.5517,9.7931,-7.8939,7,,5,1,0.0345,25.2,
31,Tennessee,Titans,HST,AFC,AFC South,Open,Closed,Cover 1,15,24,No,No,Yes,103,24,No,No,0.233,154,0.0833,0.0833,0.2917,0.5,18,0.75,6.4167,-7.0399,3,1,1,1,0.0417,4.9,
10,Denver,Broncos,KC,AFC,AFC West,Closed,Closed,Cover 1,16,19,Yes,No,No,82,20,No,No,0.2439,179,0.05,0.1,0.35,0.45,16,0.8,8.95,-7.5845,3,1,2,1,0.05,39.6,
14,Indianapolis,Colts,JAX,AFC,AFC South,Open,Open,Cover 2 Man,17,20,No,No,No,85,20,No,No,0.2353,141,0.15,0.05,0.5,0.3,14,0.7,7.05,-7.6323,5,1,2,1,0.05,39.6,1
4,Buffalo,Bills,NE,AFC,AFC East,Open,Closed,Cover 3,15,17,No,No,No,79,17,No,No,0.2152,159,0.1765,,0.4118,0.4118,10,0.5882,9.3529,-8.2782,4,,1,1,0.0588,39.6,
1,Arizona,Cardinals,SF,NFC,NFC West,Closed,Closed,Cover 1,12,15,No,Yes,No,69,15,No,No,0.2174,184,0.0667,0.1333,0.4,0.4,10,0.6667,12.2667,-8.6568,4,1,2,,,11.8,1
