teamTeamId,teamLocation,teamNickname,opponentAbbreviation,opponentConference,opponentDivisionName,playDefenseMiddleOfTheFieldLookPreName,playDefenseMiddleOfTheFieldLookPostName,playDefenseCoverageSchemeParent,teamStatsGamesPlayed,opponentStatsSnapsOffenseTotal,opponentStatsPassingPlayActionLabel,opponentStatsPassingPressuredLabel,opponentStatsPassingBlitzedLabel,opponentStatsReceivingRoutesTotal,opponentStatsReceivingTargetsTotal,opponentStatsReceivingTargetsContestedLabel,opponentStatsReceivingTargetsContestedTotal,opponentStatsReceivingTargetsCatchableLabel,opponentStatsReceivingTargetsCatchableTotal,opponentStatsReceivingTargetsCatchablePercentage,opponentStatsReceivingTargetsInEndzone,opponentStatsReceivingTargetsPerRoute,opponentStatsReceivingReceptionsTotal,opponentStatsReceivingReceptionsContested,opponentStatsReceivingReceptionsHero,opponentStatsReceivingReceptionsPercentage,opponentStatsReceivingYardsTotal,opponentStatsReceivingYardsAfterCatchTotal,opponentStatsReceivingYardsAfterContactTotal,opponentStatsReceivingYardsAirTotal,opponentStatsReceivingTouchdownsTotal,opponentStatsReceivingTouchdownsInEndzone,opponentStatsReceivingDropsTotal,opponentStatsReceivingMissedTacklesForcedTotal,opponentStatsReceivingMissedTacklesForcedPerReception,opponentStatsReceivingAlignmentBackfieldTargetsPercentage,opponentStatsReceivingAlignmentInlineTargetsPercentage,opponentStatsReceivingAlignmentSlotTargetsPercentage,opponentStatsReceivingAlignmentWideTargetsPercentage,opponentStatsReceivingTargetedReadFirstTotal,opponentStatsReceivingTargetedReadFirstPercentage,opponentStatsReceivingTargetedReadDesignTotal,opponentStatsReceivingTargetedReadDesignPercentage,opponentStatsReceivingAverageDepthOfTarget,opponentStatsReceivingPasserRatingWhenTargeted,opponentStatsReceivingAveragesPerRouteYardsTotal,opponentStatsReceivingAveragesPerTargetYardsTotal,opponentStatsReceivingAveragesPerTargetYardsOverExpected,opponentStatsReceivingAveragesPerTargetDropsTotal,opponentStatsReceivingAveragesPerReceptionYardsTotal,opponentStatsReceivingAveragesPerReceptionYardsAfterCatch,opponentStatsReceivingAveragesPerReceptionYardsAfterContact,opponentStatsFirstDownsPassing,opponentStatsInside20ReceivingTargetsTotal,teamIsHomeTeam
5,Carolina,Panthers,ATL,NFC,NFC South,Open,Open,Red Zone,17,91,No,Yes,No,398,91,No,10,Yes,91,1,12,0.2286,82,6,3,0.9011,1060,383,110,875,15,11,6,8,0.0976,0.1758,0.1319,0.3077,0.3846,60,0.6593,2,0.022,9.6154,154.8,2.6633,11.6484,3.5416,0.0659,12.9268,4.6707,1.3415,52,23,
6,Chicago,Bears,GB,NFC,NFC North,Closed,Closed,Cover 3,17,91,Yes,No,No,409,91,No,9,Yes,91,1,6,0.2225,83,6,1,0.9121,1274,590,216,835,6,4,5,5,0.0602,0.1538,0.2308,0.2308,0.3846,67,0.7363,4,0.044,9.1758,140.7,3.1149,14,5.9335,0.0549,15.3494,7.1084,2.6024,55,13,
1,Arizona,Cardinals,SF,NFC,NFC West,Open,Closed,Cover 3,16,87,No,No,No,397,87,No,10,Yes,87,1,5,0.2191,80,7,,0.9195,871,404,131,601,7,3,3,9,0.1125,0.2414,0.092,0.3218,0.3448,59,0.6782,2,0.023,6.908,135.2,2.194,10.0115,2.5989,0.0345,10.8875,5.05,1.6375,42,14,1
4,Buffalo,Bills,NE,AFC,AFC East,Closed,Closed,Cover 1,17,96,No,No,No,428,96,No,10,Yes,96,1,7,0.2243,87,6,1,0.9062,1190,480,152,853,10,6,5,6,0.069,0.1458,0.1042,0.3021,0.4479,80,0.8333,,,8.8854,153,2.7804,12.3958,4.5515,0.0521,13.6782,5.5172,1.7471,66,15,
24,New York,Giants,PHI,NFC,NFC East,Open,Open,Cover 6,17,96,Yes,Yes,No,409,96,No,8,Yes,96,1,7,0.2347,88,6,,0.9167,1346,523,188,908,10,6,5,8,0.0909,0.0729,0.125,0.3021,0.5,72,0.75,2,0.0208,9.4583,153.5,3.291,14.0208,6.0762,0.0521,15.2955,5.9432,2.1364,57,12,
29,San Francisco,49ers,ARZ,NFC,NFC West,Open,Closed,Cover 3,17,103,No,No,No,456,103,No,10,Yes,103,1,9,0.2259,95,6,,0.9223,1217,579,124,798,12,6,3,13,0.1368,0.1942,0.0874,0.3592,0.3592,76,0.7379,5,0.0485,7.7476,154.7,2.6689,11.8155,4.2798,0.0291,12.8105,6.0947,1.3053,61,18,
16,Kansas City,Chiefs,DEN,AFC,AFC West,Closed,Closed,Cover 3,17,87,Yes,No,No,365,87,No,12,Yes,87,1,6,0.2384,78,8,5,0.8966,1205,451,102,932,8,5,5,5,0.0641,0.069,0.2069,0.3448,0.3793,66,0.7586,2,0.023,10.7126,149.4,3.3014,13.8506,5.6192,0.0575,15.4487,5.7821,1.3077,55,6,
27,Pittsburgh,Steelers,CIN,AFC,AFC North,Open,Open,Cover 6,17,99,No,No,No,443,99,No,6,Yes,99,1,10,0.2235,94,5,1,0.9495,1253,567,213,807,12,9,3,12,0.1277,0.0808,0.1414,0.3434,0.4343,77,0.7778,2,0.0202,8.1515,149.9,2.8284,12.6566,5.0034,0.0303,13.3298,6.0319,2.266,58,17,1
26,Philadelphia,Eagles,NYG,NFC,NFC East,Open,Open,Cover 6,17,105,Yes,Yes,No,475,105,No,11,Yes,105,1,5,0.2211,92,3,1,0.8762,1069,511,205,790,9,5,8,13,0.1413,0.1143,0.1238,0.419,0.3333,85,0.8095,2,0.019,7.5238,137.7,2.2505,10.181,2.7511,0.0762,11.6196,5.5543,2.2283,55,14,1
8,Cleveland,Browns,BLT,AFC,AFC North,Closed,Closed,Cover 1,17,109,Yes,No,Yes,464,109,No,8,Yes,109,1,12,0.2349,101,6,1,0.9266,1553,667,206,1029,15,10,5,18,0.1782,0.1009,0.1284,0.2844,0.4862,85,0.7798,4,0.0367,9.4404,158.3,3.347,14.2477,6.4084,0.0459,15.3762,6.604,2.0396,64,15,
7,Cincinnati,Bengals,PIT,AFC,AFC North,Open,Open,Cover 6,17,81,No,No,No,351,81,No,10,Yes,81,1,10,0.2308,73,4,1,0.9012,1073,382,121,873,14,10,2,5,0.0685,0.0988,0.2099,0.2963,0.3951,54,0.6667,2,0.0247,10.7778,158.3,3.057,13.2469,5.0862,0.0247,14.6986,5.2329,1.6575,46,8,
2,Atlanta,Falcons,CAR,NFC,NFC South,Open,Open,Red Zone,17,110,No,Yes,No,467,110,No,17,Yes,110,1,9,0.2355,100,10,,0.9091,1272,528,137,885,15,7,5,10,0.1,0.1636,0.1364,0.3455,0.3545,81,0.7364,5,0.0455,8.0455,154.4,2.7238,11.5636,3.9524,0.0455,12.72,5.28,1.37,63,22,1
32,Washington,Commanders,DAL,NFC,NFC East,Closed,Closed,Cover 1,16,96,No,No,Yes,406,96,Yes,9,Yes,96,1,7,0.2365,89,7,2,0.9271,1251,527,174,828,11,6,4,15,0.1685,0.0625,0.125,0.3542,0.4479,80,0.8333,5,0.0521,8.625,156.9,3.0813,13.0312,5.2728,0.0417,14.0562,5.9213,1.9551,65,11,
