teamTeamId,teamLocation,teamNickname,opponentAbbreviation,opponentConference,opponentDivisionName,playDefenseMiddleOfTheFieldLookPreName,playDefenseMiddleOfTheFieldLookPostName,playDefenseCoverageSchemeParent,teamStatsGamesPlayed,opponentStatsSnapsOffenseTotal,opponentStatsPassingPlayActionLabel,opponentStatsPassingPressuredLabel,opponentStatsPassingBlitzedLabel,opponentStatsReceivingRoutesTotal,opponentStatsReceivingTargetsTotal,opponentStatsReceivingTargetsContestedLabel,opponentStatsReceivingTargetsContestedTotal,opponentStatsReceivingTargetsCatchableLabel,opponentStatsReceivingTargetsCatchableTotal,opponentStatsReceivingTargetsCatchablePercentage,opponentStatsReceivingTargetsInEndzone,opponentStatsReceivingTargetsPerRoute,opponentStatsReceivingReceptionsTotal,opponentStatsReceivingReceptionsContested,opponentStatsReceivingReceptionsHero,opponentStatsReceivingReceptionsPercentage,opponentStatsReceivingYardsTotal,opponentStatsReceivingYardsAfterCatchTotal,opponentStatsReceivingYardsAfterContactTotal,opponentStatsReceivingYardsAirTotal,opponentStatsReceivingTouchdownsTotal,opponentStatsReceivingTouchdownsInEndzone,opponentStatsReceivingDropsTotal,opponentStatsReceivingMissedTacklesForcedTotal,opponentStatsReceivingMissedTacklesForcedPerReception,opponentStatsReceivingAlignmentBackfieldTargetsPercentage,opponentStatsReceivingAlignmentInlineTargetsPercentage,opponentStatsReceivingAlignmentSlotTargetsPercentage,opponentStatsReceivingAlignmentWideTargetsPercentage,opponentStatsReceivingTargetedReadFirstTotal,opponentStatsReceivingTargetedReadFirstPercentage,opponentStatsReceivingTargetedReadDesignTotal,opponentStatsReceivingTargetedReadDesignPercentage,opponentStatsReceivingAverageDepthOfTarget,opponentStatsReceivingPasserRatingWhenTargeted,opponentStatsReceivingAveragesPerRouteYardsTotal,opponentStatsReceivingAveragesPerTargetYardsTotal,opponentStatsReceivingAveragesPerTargetYardsOverExpected,opponentStatsReceivingAveragesPerTargetDropsTotal,opponentStatsReceivingAveragesPerReceptionYardsTotal,opponentStatsReceivingAveragesPerReceptionYardsAfterCatch,opponentStatsReceivingAveragesPerReceptionYardsAfterContact,opponentStatsFirstDownsPassing,opponentStatsInside20ReceivingTargetsTotal,teamIsHomeTeam
16,Kansas City,Chiefs,DEN,AFC,AFC West,Closed,Closed,Cover 1,17,64,No,No,No,282,64,No,11,Yes,64,1,5,0.227,61,9,1,0.9531,629,248,67,457,6,5,2,3,0.0492,0.1562,0.125,0.4062,0.3125,51,0.7969,3,0.0469,7.1406,138.9,2.2305,9.8281,2.6203,0.0312,10.3115,4.0656,1.0984,35,15,
27,Pittsburgh,Steelers,CIN,AFC,AFC North,Open,Open,Cover 6,16,49,No,Yes,No,205,49,Yes,9,Yes,49,1,3,0.239,39,4,,0.7959,366,171,80,315,2,1,4,2,0.0513,0.2041,0.1224,0.3265,0.3469,32,0.6531,3,0.0612,6.4286,102.9,1.7854,7.4694,0.0821,0.0816,9.3846,4.3846,2.0513,17,6,1
29,San Francisco,49ers,ARZ,NFC,NFC West,Open,Open,Cover 2,16,33,No,No,No,152,33,Yes,8,Yes,33,1,2,0.2171,24,3,,0.7273,332,131,34,323,2,1,4,1,0.0417,0.1818,0.2121,0.1212,0.4848,27,0.8182,1,0.0303,9.7879,112.2,2.1842,10.0606,1.9169,0.1212,13.8333,5.4583,1.4167,17,6,
4,Buffalo,Bills,NE,AFC,AFC East,Open,Open,Bracket,14,20,No,No,No,84,20,No,3,Yes,20,1,1,0.2381,17,2,,0.85,203,102,54,112,3,1,2,4,0.2353,0.4,0.15,0.2,0.25,12,0.6,3,0.15,5.6,148.5,2.4167,10.15,3.0741,0.1,11.9412,6,3.1765,10,4,
1,Arizona,Cardinals,SF,NFC,NFC West,Open,Open,Cover 2,13,44,No,No,No,197,44,Yes,8,Yes,44,1,2,0.2234,38,4,2,0.8636,506,178,56,391,4,1,1,5,0.1316,0.1591,0.1591,0.2955,0.3864,30,0.6818,,,8.8864,144.9,2.5685,11.5,3.8739,0.0227,13.3158,4.6842,1.4737,24,7,1
24,New York,Giants,PHI,NFC,NFC East,Open,Open,Cover 6,17,48,No,Yes,No,211,48,No,7,Yes,48,1,2,0.2275,35,1,1,0.7292,452,158,55,463,3,1,5,9,0.2571,0.1042,0.0833,0.2292,0.5833,34,0.7083,1,0.0208,9.6458,114.2,2.1422,9.4167,1.6535,0.1042,12.9143,4.5143,1.5714,23,7,
5,Carolina,Panthers,ATL,NFC,NFC South,Open,Open,Cover 4,16,41,No,No,No,188,41,No,5,Yes,41,1,3,0.2181,29,1,,0.7073,408,133,44,404,3,1,7,2,0.069,0.2927,0.0976,0.0976,0.5122,31,0.7561,,,9.8537,116.7,2.1702,9.9512,1.9737,0.1707,14.069,4.5862,1.5172,19,13,
6,Chicago,Bears,GB,NFC,NFC North,Open,Closed,Cover 1,16,39,No,No,Yes,169,39,No,6,Yes,39,1,2,0.2308,31,1,,0.7949,341,138,38,321,2,2,1,,,0.1026,0.2051,0.359,0.3333,31,0.7949,4,0.1026,8.2308,120.2,2.0178,8.7436,1.4195,0.0256,11,4.4516,1.2258,18,6,
2,Atlanta,Falcons,CAR,NFC,NFC South,Open,Open,Cover 4,17,52,No,No,No,231,52,No,12,Yes,52,1,3,0.2251,43,7,,0.8269,385,166,63,297,3,2,3,10,0.2326,0.1346,0.1538,0.3269,0.3846,29,0.5577,1,0.0192,5.7115,116.7,1.6667,7.4038,0.404,0.0577,8.9535,3.8605,1.4651,23,8,1
32,Washington,Commanders,DAL,NFC,NFC East,Open,Open,Cover 0,17,50,No,No,Yes,219,50,Yes,9,Yes,50,1,2,0.2283,36,1,,0.72,538,228,98,443,2,1,7,6,0.1667,0.1,0.08,0.36,0.46,31,0.62,2,0.04,8.86,120.2,2.4566,10.76,2.9638,0.14,14.9444,6.3333,2.7222,19,5,
