Name,Team,POS,playerStatsSnapsOffenseTotal,PlayActionLabel,PressuredLabel,BlitzedLabel,RoutesTotal,TargetsTotal,TargetsContestedLabel,TargetsCatchableLabel,TargetsPerRoute,YardsAirTotal,AlignmentSlotRoutesPercentage,AlignmentWideRoutesPercentage,TargetedReadFirstTotal,AverageDepthOfTarget,DeepTargetTargetsTotal,AveragesPerTargetYardsOverExpected,playerStatsXfpPprTotal,playerStatsXfpPprReceiving,playerStatsOffenseThreatsPercentage,playerStatsGamesPlayed,TargetsContestedTotal,TargetsCatchableTotal,TargetsCatchablePercentage,ReceptionsTotal,ReceptionsContested,ReceptionsPercentage,YardsTotal,YardsAfterCatchTotal,YardsAfterContactTotal,DropsTotal,MissedTacklesForcedTotal,MissedTacklesForcedPerReception,AlignmentBackfieldRoutesPercentage,TargetedReadDesignTotal,TargetedReadDesignPercentage,PasserRatingWhenTargeted,AveragesPerRouteYardsTotal,AveragesPerTargetYardsTotal,AveragesPerTargetDropsTotal,AveragesPerReceptionYardsTotal,AveragesPerReceptionYardsAfterCatch,AveragesPerReceptionYardsAfterContact,playerStatsFirstDownsReceiving,playerStatsFantasyPointsNonPpr,playerStatsFantasyPointsPpr,playerStatsFantasyPointsHalfPpr,playerStatsFantasyPointsHalfPprRb,playerStatsFantasyPointsPprTe,playerStatsFantasyPointsDraftKings,playerStatsFantasyPointsFanDuel,playerStatsFantasyPointsCbs,playerStatsFantasyPointsNfl,playerStatsFantasyPointsEspn,playerStatsFantasyPointsYahoo,playerStatsFantasyPointsFfpc,playerStatsFantasyPointsNffc,playerStatsInside20ReceivingTargetsTotal,TouchdownsTotal,TargetsInEndzone,ReceptionsHero,TouchdownsInEndzone,AlignmentInlineRoutesPercentage
Treylon Burks,TEN,WR,29,Yes,No,Yes,22,1,Yes,Yes,0.0455,45,0.1364,0.8636,1,45,1,-15,3.4321,3.4321,0.0435,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bucky Irving,TB,RB,84,Yes,Yes,Yes,65,24,No,No,0.3692,-63,0.1077,0.0308,12,-2.625,,2.2215,35.8463,35.8463,0.338,17,2,23,0.9583,21,1,0.875,189,238,59,1,8,0.381,0.8615,12,0.5,99.5,2.9077,7.875,0.0417,9,11.3333,2.8095,9,18.9,39.9,29.4,50.4,39.9,42.9,32.4,39.9,39.9,39.9,29.4,39.9,39.9,2,,,,,
D.J. Moore,CHI,WR,140,Yes,No,No,127,37,No,Yes,0.2913,216,0.2126,0.7874,33,5.8378,5,0.8483,62.6877,62.6877,0.3592,17,2,29,0.7838,28,1,0.7568,298,273,91,,2,0.0714,,15,0.4054,105.5,2.3465,8.0541,,10.6429,9.75,3.25,13,40.8,68.8,54.8,68.8,68.8,71.8,56.8,67.8,67.8,67.8,53.8,68.8,67.8,9,2,,,,
Keaton Mitchell,BLT,RB,2,Yes,No,Yes,2,,No,Yes,,,,,,,,,,,,4,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Tyjae Spears,TEN,RB,29,Yes,Yes,Yes,19,6,No,No,0.3158,-9,0.0526,,2,-1.5,,3.9894,8.4655,8.4655,0.24,12,,6,1,5,,0.8333,58,61,14,1,,,0.9474,2,0.3333,106.9,3.0526,9.6667,0.1667,11.6,12.2,2.8,1,5.8,10.8,8.3,13.3,10.8,10.8,8.3,10.8,10.8,10.8,8.3,10.8,10.8,,,,,,
Laviska Shenault,LAC,WR,8,Yes,No,Yes,5,1,No,Yes,0.2,-4,0.8,0.2,1,-4,,-2.4851,1.7181,1.7181,0.125,12,,1,1,1,,1,2,6,2,,,,,,,79.2,0.4,2,,2,6,2,,0.2,1.2,0.7,1.2,1.2,1.2,0.7,1.2,1.2,1.2,0.7,1.2,1.2,,,,,,
Josh Oliver,MIN,TE,120,Yes,Yes,No,70,16,No,Yes,0.2286,122,0.0143,0.0143,9,7.625,2,4.6229,28.3864,28.3864,0.1684,15,,15,0.9375,15,,0.9375,191,108,28,,,,,1,0.0625,156,2.7286,11.9375,,12.7333,7.2,1.8667,10,31.1,46.1,38.6,46.1,53.6,49.1,41.6,46.1,46.1,46.1,38.6,53.6,46.1,2,2,2,1,1,0.9714
Nick Chubb,CLV,RB,51,Yes,No,No,26,5,No,Yes,0.1923,11,,,2,2.2,,-0.7764,7.0426,7.0426,0.1136,8,,4,0.8,2,,0.4,29,27,5,1,,,1,1,0.2,20,1.1154,5.8,0.2,14.5,13.5,2.5,2,2.9,4.9,3.9,5.9,4.9,4.9,3.9,4.9,4.9,4.9,3.9,4.9,4.9,,,,,,
Michael Carter,ARZ,RB,30,Yes,No,No,17,4,No,Yes,0.2353,-8,,,,-2,,0.4705,5.0344,5.0344,0.16,3,,4,1,4,,1,24,32,21,,1,0.25,1,,,91.7,1.4118,6,,6,8,5.25,1,2.4,6.4,4.4,8.4,6.4,6.4,4.4,6.4,6.4,6.4,4.4,6.4,6.4,1,,,,,
Isaiah Davis,NYJ,RB,12,Yes,Yes,No,6,2,No,Yes,0.3333,5,,,,2.5,,-5.4821,5.9189,5.9189,0.2,13,1,2,1,1,,0.5,2,6,2,,,,1,,,56.3,0.3333,1,,2,6,2,,0.2,1.2,0.7,1.7,1.2,1.2,0.7,1.2,1.2,1.2,0.7,1.2,1.2,,,,,,
