Name,Team,POS,playerStatsSnapsOffenseTotal,PlayActionLabel,PressuredLabel,BlitzedLabel,RoutesTotal,TargetsTotal,TargetsContestedLabel,TargetsCatchableLabel,TargetsPerRoute,YardsAirTotal,AlignmentSlotRoutesPercentage,AlignmentWideRoutesPercentage,TargetedReadFirstTotal,AverageDepthOfTarget,DeepTargetTargetsTotal,AveragesPerTargetYardsOverExpected,playerStatsXfpPprTotal,playerStatsXfpPprReceiving,playerStatsOffenseThreatsPercentage,playerStatsGamesPlayed,TargetsContestedTotal,TargetsCatchableTotal,TargetsCatchablePercentage,ReceptionsTotal,ReceptionsContested,ReceptionsPercentage,YardsTotal,YardsAfterCatchTotal,YardsAfterContactTotal,DropsTotal,MissedTacklesForcedTotal,MissedTacklesForcedPerReception,AlignmentBackfieldRoutesPercentage,TargetedReadDesignTotal,TargetedReadDesignPercentage,PasserRatingWhenTargeted,AveragesPerRouteYardsTotal,AveragesPerTargetYardsTotal,AveragesPerTargetDropsTotal,AveragesPerReceptionYardsTotal,AveragesPerReceptionYardsAfterCatch,AveragesPerReceptionYardsAfterContact,playerStatsFirstDownsReceiving,playerStatsFantasyPointsNonPpr,playerStatsFantasyPointsPpr,playerStatsFantasyPointsHalfPpr,playerStatsFantasyPointsHalfPprRb,playerStatsFantasyPointsPprTe,playerStatsFantasyPointsDraftKings,playerStatsFantasyPointsFanDuel,playerStatsFantasyPointsCbs,playerStatsFantasyPointsNfl,playerStatsFantasyPointsEspn,playerStatsFantasyPointsYahoo,playerStatsFantasyPointsFfpc,playerStatsFantasyPointsNffc,playerStatsInside20ReceivingTargetsTotal,TouchdownsTotal,TargetsInEndzone,ReceptionsHero,TouchdownsInEndzone,AlignmentInlineRoutesPercentage
Colby Parkinson,LA,TE,117,Yes,No,No,70,17,No,Yes,0.2429,90,0.0286,,14,5.2941,2,-0.7053,25.2747,25.2747,0.1604,17,2,13,0.7647,11,,0.6471,113,83,28,1,1,0.0909,,2,0.1176,103.3,1.6143,6.6471,0.0588,10.2727,7.5455,2.5455,6,17.3,28.3,22.8,28.3,33.8,31.3,25.8,28.3,28.3,28.3,22.8,33.8,28.3,4,1,1,,1,0.9714
Brenden Bates,CLV,TE,13,Yes,No,Yes,7,1,No,Yes,0.1429,-2,,,,-2,,-4.8511,1.6098,1.6098,0.0833,6,,,,,,,,,,,,,,,,39.6,,,,,,,,,,,,,,,,,,,,,,,,,,1
Rome Odunze,CHI,WR,100,Yes,No,No,69,19,No,Yes,0.2754,216,0.4493,0.5507,14,11.3684,5,-0.8073,37.7452,37.7452,0.2468,17,4,15,0.7895,12,2,0.6316,144,73,20,1,2,0.1667,,4,0.2105,81.9,2.087,7.5789,0.0526,12,6.0833,1.6667,8,20.4,32.4,26.4,32.4,32.4,35.4,29.4,32.4,32.4,32.4,26.4,32.4,32.4,3,1,2,,1,
Devaughn Vele,DEN,WR,70,Yes,No,No,52,11,No,No,0.2115,38,0.6346,0.3269,8,3.4545,,-0.9252,19.5177,19.5177,0.1833,13,,8,0.7273,8,,0.7273,58,37,15,,2,0.25,,3,0.2727,124.2,1.1154,5.2727,,7.25,4.625,1.875,4,17.8,25.8,21.8,25.8,25.8,25.8,21.8,25.8,25.8,25.8,21.8,25.8,25.8,2,2,2,,2,0.0385
Khalil Herbert,CIN,RB,19,Yes,No,No,12,2,No,Yes,0.1667,-6,,,,-3,,-1.384,2.8781,2.8781,0.1111,13,,2,1,2,,1,9,15,6,,,,1,,,85.4,0.75,4.5,,4.5,7.5,3,,0.9,2.9,1.9,3.9,2.9,2.9,1.9,2.9,2.9,2.9,1.9,2.9,2.9,,,,,,
Trey Sermon,IND,RB,42,Yes,No,No,19,5,No,Yes,0.2632,-3,0.0526,,,-0.6,,0.5125,7.3382,7.3382,0.1389,17,,5,1,5,,1,32,35,9,,1,0.2,0.9474,,,93.3,1.6842,6.4,,6.4,7,1.8,2,3.2,8.2,5.7,10.7,8.2,8.2,5.7,8.2,8.2,8.2,5.7,8.2,8.2,1,,,,,
Josh Downs,IND,WR,79,Yes,No,No,76,18,No,Yes,0.2368,80,0.7895,0.1842,18,4.4444,1,7.3033,28.4658,28.4658,0.2769,14,,16,0.8889,16,,0.8889,253,191,46,,5,0.3125,0.0132,7,0.3889,155.8,3.3289,14.0556,,15.8125,11.9375,2.875,9,37.3,53.3,45.3,53.3,53.3,56.3,48.3,53.3,53.3,53.3,45.3,53.3,53.3,,2,,,,0.0132
Foster Moreau,NO,TE,126,Yes,Yes,Yes,61,15,No,No,0.2459,198,0.082,0.0328,12,13.2,4,5.0147,40.3323,40.3323,0.1579,17,,12,0.8,12,,0.8,196,72,18,,2,0.1667,,1,0.0667,130.6,3.2131,13.0667,,16.3333,6,1.5,11,37.6,49.6,43.6,49.6,55.6,52.6,46.6,49.6,49.6,49.6,43.6,55.6,49.6,3,3,4,,3,0.8852
Tyler Allgeier,ATL,RB,30,Yes,No,No,20,4,No,Yes,0.2,1,,,,0.25,,1.7691,5.551,5.551,0.1667,17,,4,1,4,,1,33,32,11,,1,0.25,1,,,101,1.65,8.25,,8.25,8,2.75,1,3.3,7.3,5.3,9.3,7.3,7.3,5.3,7.3,7.3,7.3,5.3,7.3,7.3,,,,,,
Devin Singletary,NYG,RB,71,Yes,No,No,36,10,No,Yes,0.2778,-49,0.0556,,7,-4.9,,1.1812,16.3563,16.3563,0.1724,15,,9,0.9,9,,0.9,66,106,26,,2,0.2222,0.9444,7,0.7,54.6,1.8333,6.6,,7.3333,11.7778,2.8889,3,6.6,15.6,11.1,20.1,15.6,15.6,11.1,15.6,15.6,15.6,11.1,15.6,15.6,,,,,,
Jermar Jefferson,DET,RB,3,Yes,No,Yes,2,1,No,Yes,0.5,,,,,,,4.1729,1.5297,1.5297,0.5,2,,1,1,1,,1,10,10,3,,,,1,,,108.3,5,10,,10,10,3,1,1,2,1.5,2.5,2,2,1.5,2,2,2,1.5,2,2,,,,,,
Isaiah Hodgins,NYG,WR,9,Yes,No,No,7,1,No,Yes,0.1429,6,0.2857,0.5714,,6,,0.0509,1.3192,1.3192,0.2,3,,1,1,1,,1,7,1,,,,,,,,95.8,1,7,,7,1,,,0.7,1.7,1.2,1.7,1.7,1.7,1.2,1.7,1.7,1.7,1.2,1.7,1.7,,,,,,0.1429
Zamir White,LV,RB,30,Yes,No,Yes,14,1,No,Yes,0.0714,-4,,,,-4,,-3.5699,1.3975,1.3975,0.0435,8,,1,1,1,,1,2,6,2,,,,1,,,79.2,0.1429,2,,2,6,2,,0.2,1.2,0.7,1.7,1.2,1.2,0.7,1.2,1.2,1.2,0.7,1.2,1.2,,,,,,
Ameer Abdullah,LV,RB,41,Yes,No,No,27,6,No,No,0.2222,-1,,,3,-0.1667,,0.4182,8.3844,8.3844,0.1579,16,,5,0.8333,5,,0.8333,38,40,8,,1,0.2,1,1,0.1667,93.1,1.4074,6.3333,,7.6,8,1.6,1,3.8,8.8,6.3,11.3,8.8,8.8,6.3,8.8,8.8,8.8,6.3,8.8,8.8,,,,,,
Tanner McLachlan,CIN,TE,1,Yes,Yes,No,1,,Yes,Yes,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
Teagan Quitoriano,HST,TE,18,Yes,Yes,Yes,11,,No,No,,,,,,,,,,,,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
Ashton Dulin,IND,WR,34,Yes,No,No,30,4,No,Yes,0.1333,82,0.5667,0.4,4,20.5,1,5.4703,8.4145,8.4145,0.1333,15,,2,0.5,2,,0.5,67,43,11,,1,0.5,,,,135.4,2.2333,16.75,,33.5,21.5,5.5,2,12.7,14.7,13.7,14.7,14.7,14.7,13.7,14.7,14.7,14.7,13.7,14.7,14.7,,1,,,,0.0333
Jauan Jennings,SF,WR,88,Yes,No,No,82,20,No,Yes,0.2439,239,0.2561,0.7439,17,11.95,2,2.8918,34.8937,34.8937,0.274,15,6,16,0.8,14,4,0.7,225,40,11,,,,,,,146.9,2.7439,11.25,,16.0714,2.8571,0.7857,12,40.5,54.5,47.5,54.5,54.5,57.5,50.5,54.5,54.5,54.5,47.5,54.5,54.5,4,3,2,1,1,
Ja'Tavion Sanders,CAR,TE,82,Yes,No,No,55,16,No,Yes,0.2909,42,0.1091,0.0182,11,2.625,1,2.2735,27.046,27.046,0.2581,16,,13,0.8125,13,,0.8125,135,119,53,,3,0.2308,0.0364,1,0.0625,101.8,2.4545,8.4375,,10.3846,9.1538,4.0769,5,13.5,26.5,20,26.5,33,29.5,23,26.5,26.5,26.5,20,33,26.5,4,,,,,0.8364
Anthony Miller,BLT,WR,3,Yes,No,No,2,1,No,Yes,0.5,16,,1,1,16,,5.9048,1.7588,1.7588,0.3333,2,,1,1,1,,1,16,,,,,,,,,118.8,8,16,,16,,,1,1.6,2.6,2.1,2.6,2.6,2.6,2.1,2.6,2.6,2.6,2.1,2.6,2.6,,,,,,
Tanner Conner,MIA,TE,3,Yes,No,No,3,2,No,Yes,0.6667,40,,0.3333,1,20,1,-8.7877,3.1259,3.1259,0.6667,7,,1,0.5,1,,0.5,1,,,,,,0.3333,,,56.3,0.3333,0.5,,1,,,,0.1,1.1,0.6,1.1,1.6,1.1,0.6,1.1,1.1,1.1,0.6,1.6,1.1,1,,,,,0.3333
Quintin Morris,BUF,TE,20,Yes,No,Yes,14,4,No,Yes,0.2857,36,,0.0714,3,9,1,-4.0346,9.2785,9.2785,0.2353,16,,3,0.75,3,,0.75,15,12,3,,,,,1,0.25,119.8,1.0714,3.75,,5,4,1,2,7.5,10.5,9,10.5,12,10.5,9,10.5,10.5,10.5,9,12,10.5,1,1,1,,1,0.9286
Juwan Johnson,NO,TE,67,Yes,Yes,Yes,56,11,No,No,0.1964,116,0.0714,0.1786,10,10.5455,2,2.3325,20.0001,20.0001,0.2,17,,8,0.7273,8,,0.7273,133,71,19,,,,0.0179,2,0.1818,113.1,2.375,12.0909,,16.625,8.875,2.375,5,13.3,21.3,17.3,21.3,25.3,24.3,20.3,21.3,21.3,21.3,17.3,25.3,21.3,,,,,,0.7321
David Montgomery,DET,RB,95,Yes,No,Yes,67,28,No,No,0.4179,-17,,,10,-0.6071,,4.1033,41.4488,41.4488,0.35,14,1,26,0.9286,26,1,0.9286,281,304,111,,12,0.4615,1,9,0.3214,108.5,4.194,10.0357,,10.8077,11.6923,4.2692,14,28.1,54.1,41.1,67.1,54.1,57.1,44.1,54.1,54.1,54.1,41.1,54.1,54.1,,,,,,
Mack Hollins,BUF,WR,83,Yes,No,Yes,56,7,No,Yes,0.125,60,0.25,0.6786,4,8.5714,,-0.9667,12.0908,12.0908,0.0972,17,,5,0.7143,5,,0.7143,47,16,5,,,,,,,89.6,0.8393,6.7143,,9.4,3.2,1,3,4.7,9.7,7.2,9.7,9.7,9.7,7.2,9.7,9.7,9.7,7.2,9.7,9.7,1,,,,,0.0714
Tyler Boyd,TEN,WR,57,Yes,Yes,Yes,46,14,No,No,0.3043,37,0.6522,0.3478,12,2.6429,1,-1.6502,21.1912,21.1912,0.2979,16,1,13,0.9286,12,,0.8571,65,76,21,,,,,9,0.6429,86,1.413,4.6429,,5.4167,6.3333,1.75,3,6.5,18.5,12.5,18.5,18.5,18.5,12.5,18.5,18.5,18.5,12.5,18.5,18.5,1,,,,,
Hassan Haskins,LAC,RB,22,Yes,No,Yes,9,1,Yes,Yes,0.1111,3,,,,3,,3.4906,1.3903,1.3903,0.0588,15,,1,1,1,,1,10,7,2,,,,1,,,108.3,1.1111,10,,10,7,2,1,1,2,1.5,2.5,2,2,1.5,2,2,2,1.5,2,2,,,,,,
Andrew Ogletree,IND,TE,88,Yes,No,No,36,8,No,Yes,0.2222,97,,,5,12.125,2,-2.1242,13.4045,13.4045,0.1053,17,,5,0.625,5,,0.625,58,27,4,,,,,1,0.125,44.8,1.6111,7.25,,11.6,5.4,0.8,3,5.8,10.8,8.3,10.8,13.3,10.8,8.3,10.8,10.8,10.8,8.3,13.3,10.8,,,,,,1
Jaylen Warren,PIT,RB,50,Yes,No,No,37,12,No,Yes,0.3243,-4,,,4,-0.3333,,2.4004,20.4281,20.4281,0.3529,15,,11,0.9167,11,,0.9167,103,123,43,,3,0.2727,1,4,0.3333,102.4,2.7838,8.5833,,9.3636,11.1818,3.9091,7,10.3,21.3,15.8,26.8,21.3,24.3,18.8,21.3,21.3,21.3,15.8,21.3,21.3,2,,1,,,
Kendrick Bourne,NE,WR,50,Yes,No,Yes,37,4,No,Yes,0.1081,-3,0.0811,0.9189,4,-0.75,,-1.9972,6.5222,6.5222,0.1026,12,,4,1,4,,1,14,17,1,,,,,3,0.75,81.3,0.3784,3.5,,3.5,4.25,0.25,,1.4,5.4,3.4,5.4,5.4,5.4,3.4,5.4,5.4,5.4,3.4,5.4,5.4,,,,,,
Jalen Brooks,DAL,WR,39,Yes,Yes,No,31,3,No,No,0.0968,16,0.1935,0.8065,2,5.3333,,-0.8366,8.5622,8.5622,0.0857,14,,2,0.6667,2,,0.6667,18,12,6,,1,0.5,,1,0.3333,82.6,0.5806,6,,9,6,3,1,1.8,3.8,2.8,3.8,3.8,3.8,2.8,3.8,3.8,3.8,2.8,3.8,3.8,1,,1,,,
Jordan Mims,NO,RB,10,Yes,Yes,Yes,6,,No,No,,,,,,,,,,,,9,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
David Bell,CLV,WR,3,Yes,Yes,No,3,1,No,No,0.3333,7,0.3333,0.6667,1,7,,1.9355,1.6222,1.6222,0.3333,1,,1,1,1,,1,9,2,1,,,,,,,104.2,3,9,,9,2,1,1,0.9,1.9,1.4,1.9,1.9,1.9,1.4,1.9,1.9,1.9,1.4,1.9,1.9,,,,,,
Kevin Austin,NO,WR,33,Yes,Yes,Yes,23,6,No,No,0.2609,66,0.2174,0.7826,5,11,,0.5426,9.9003,9.9003,0.2222,8,2,4,0.6667,3,1,0.5,56,12,6,,,,,1,0.1667,82.6,2.4348,9.3333,,18.6667,4,2,3,5.6,8.6,7.1,8.6,8.6,8.6,7.1,8.6,8.6,8.6,7.1,8.6,8.6,,,,,,
Kenneth Gainwell,PHI,RB,31,Yes,No,No,17,2,No,Yes,0.1176,8,,,,4,,2.6288,2.867,2.867,0.0833,17,,2,1,2,,1,19,11,3,,,,1,,,106.3,1.1176,9.5,,9.5,5.5,1.5,1,1.9,3.9,2.9,4.9,3.9,3.9,2.9,3.9,3.9,3.9,2.9,3.9,3.9,,,,,,
Marquise Brown,KC,WR,11,Yes,No,No,11,7,No,No,0.6364,34,0.2727,0.7273,6,4.8571,,-1.0989,11.8697,11.8697,0.6364,2,,5,0.7143,5,,0.7143,41,21,2,,,,,2,0.2857,86,3.7273,5.8571,,8.2,4.2,0.4,2,4.1,9.1,6.6,9.1,9.1,9.1,6.6,9.1,9.1,9.1,6.6,9.1,9.1,2,,,,,
Jalen Nailor,MIN,WR,74,Yes,Yes,No,60,10,No,Yes,0.1667,137,0.4,0.6,8,13.7,2,-0.3394,23.0835,23.0835,0.1695,17,,9,0.9,8,,0.8,87,15,1,1,,,,,,142.5,1.45,8.7,0.1,10.875,1.875,0.125,7,26.7,34.7,30.7,34.7,34.7,34.7,30.7,34.7,34.7,34.7,30.7,34.7,34.7,2,3,3,,3,
John Metchie,HST,WR,50,Yes,No,No,40,9,No,No,0.225,76,0.6,0.4,6,8.4444,,-2.4331,16.4091,16.4091,0.225,13,2,7,0.7778,6,1,0.6667,51,12,,,,,,2,0.2222,81.3,1.275,5.6667,,8.5,2,,3,5.1,11.1,8.1,11.1,11.1,11.1,8.1,11.1,11.1,11.1,8.1,11.1,11.1,3,,,,,
Jamison Crowder,WAS,WR,21,Yes,Yes,No,14,4,No,No,0.2857,43,0.9286,0.0714,3,10.75,,-6.2139,7.6247,7.6247,0.2667,6,,2,0.5,2,,0.5,11,8,,,,,,1,0.25,95.8,0.7857,2.75,,5.5,4,,1,7.1,9.1,8.1,9.1,9.1,9.1,8.1,9.1,9.1,9.1,8.1,9.1,9.1,1,1,1,,1,
KaVontae Turpin,DAL,WR,41,Yes,Yes,No,35,7,No,No,0.2,24,0.6857,0.2857,5,3.4286,,-0.1324,11.6909,11.6909,0.1795,17,,7,1,5,,0.7143,49,39,8,2,1,0.2,0.0286,3,0.4286,90.8,1.4,7,0.2857,9.8,7.8,1.6,2,4.9,9.9,7.4,9.9,9.9,9.9,7.4,9.9,9.9,9.9,7.4,9.9,9.9,1,,,,,
Jake Ferguson,DAL,TE,92,Yes,Yes,No,72,34,No,No,0.4722,89,0.1944,0.0417,28,2.6176,1,-1.1973,51.7845,51.7845,0.4,14,4,27,0.7941,23,2,0.6765,176,155,64,2,7,0.3043,0.0278,4,0.1176,80,2.4444,5.1765,0.0588,7.6522,6.7391,2.7826,6,15.6,38.6,27.1,38.6,50.1,41.6,28.1,36.6,36.6,36.6,25.1,50.1,36.6,1,,1,1,,0.7361
Davante Adams,NYJ,WR,148,Yes,Yes,No,131,42,No,Yes,0.3206,279,0.4046,0.5954,35,6.6429,4,0.0085,80.483,80.483,0.3158,14,7,33,0.7857,29,3,0.6905,305,162,67,,6,0.2069,,9,0.2143,111.7,2.3282,7.2619,,10.5172,5.5862,2.3103,17,54.5,83.5,69,83.5,83.5,86.5,72,83.5,83.5,83.5,69,83.5,83.5,9,4,6,2,4,
Dare Ogunbowale,HST,RB,9,Yes,No,No,5,3,No,No,0.6,-7,,,3,-2.3333,,-1.8387,7.5741,7.5741,0.375,17,,3,1,3,,1,12,19,1,,,,1,2,0.6667,122.9,2.4,4,,4,6.3333,0.3333,2,7.2,10.2,8.7,11.7,10.2,10.2,8.7,10.2,10.2,10.2,8.7,10.2,10.2,1,1,,,,
Nico Collins,HST,WR,96,Yes,No,No,88,33,No,No,0.375,423,0.1591,0.8295,27,12.8182,8,4.5244,66.1832,66.1832,0.4024,12,5,28,0.8485,26,4,0.7879,437,155,69,1,4,0.1538,0.0114,10,0.303,136.4,4.9659,13.2424,0.0303,16.8077,5.9615,2.6538,20,61.7,87.7,74.7,87.7,87.7,90.7,77.7,87.7,87.7,87.7,74.7,87.7,87.7,5,3,3,1,2,
Jerry Jeudy,CLV,WR,172,Yes,No,Yes,159,42,No,Yes,0.2642,641,0.2516,0.7358,35,15.2619,11,3.6662,75.3926,75.3926,0.3066,17,2,30,0.7143,26,1,0.619,556,240,26,2,1,0.0385,,6,0.1429,111.7,3.4969,13.2381,0.0476,21.3846,9.2308,1,18,67.6,93.6,80.6,93.6,93.6,96.6,83.6,93.6,93.6,93.6,80.6,93.6,93.6,4,2,2,,,0.0126
Ronnie Rivers,LA,RB,25,Yes,No,No,11,4,No,Yes,0.3636,-17,,,1,-4.25,,3.1089,6.2471,6.2471,0.2105,6,,4,1,4,,1,34,51,7,,1,0.25,1,1,0.25,102.1,3.0909,8.5,,8.5,12.75,1.75,1,3.4,7.4,5.4,9.4,7.4,7.4,5.4,7.4,7.4,7.4,5.4,7.4,7.4,,,,,,
Amari Cooper,BUF,WR,90,Yes,Yes,No,77,18,No,Yes,0.2338,294,0.0909,0.9091,13,16.3333,4,-3.6662,38.8285,38.8285,0.2687,14,2,10,0.5556,9,2,0.5,111,27,6,1,,,,1,0.0556,64.8,1.4416,6.1667,0.0556,12.3333,3,0.6667,5,17.1,26.1,21.6,26.1,26.1,29.1,24.6,26.1,26.1,26.1,21.6,26.1,26.1,2,1,1,1,1,
Darius Slayton,NYG,WR,126,Yes,No,No,95,16,No,Yes,0.1684,226,0.1579,0.8421,9,14.125,2,3.5345,37.199,37.199,0.1569,16,1,13,0.8125,11,1,0.6875,208,33,15,,,,,,,132.3,2.1895,13,,18.9091,3,1.3636,9,26.8,37.8,32.3,37.8,37.8,40.8,35.3,37.8,37.8,37.8,32.3,37.8,37.8,,1,,,,
Samaje Perine,KC,RB,11,Yes,No,No,3,,No,No,,,,,,,,,,,,17,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Myles Gaskin,MIN,RB,2,Yes,No,Yes,2,1,No,Yes,0.5,-2,0.5,,,-2,,4.802,1.7831,1.7831,0.5,4,,1,1,1,,1,11,13,2,,,,0.5,,,112.5,5.5,11,,11,13,2,,1.1,2.1,1.6,2.6,2.1,2.1,1.6,2.1,2.1,2.1,1.6,2.1,2.1,,,,,,
Jordan Whittington,LA,WR,52,Yes,No,No,46,11,No,Yes,0.2391,-6,0.3478,0.5652,9,-0.5455,,4.9134,16.2785,16.2785,0.2391,15,,10,0.9091,10,,0.9091,112,121,18,,3,0.3,0.087,4,0.3636,109.1,2.4348,10.1818,,11.2,12.1,1.8,7,11.2,21.2,16.2,21.2,21.2,24.2,19.2,21.2,21.2,21.2,16.2,21.2,21.2,,,,,,
Josh Whyle,TEN,TE,57,Yes,No,No,31,12,No,No,0.3871,16,0.0323,,6,1.3333,,3.4816,17.6653,17.6653,0.2553,17,,10,0.8333,9,,0.75,118,95,27,1,1,0.1111,,1,0.0833,105.6,3.8065,9.8333,0.0833,13.1111,10.5556,3,6,11.8,20.8,16.3,20.8,25.3,23.8,19.3,20.8,20.8,20.8,16.3,25.3,20.8,1,,,,,0.9677
Travis Etienne,JAX,RB,81,Yes,No,No,45,17,No,Yes,0.3778,-2,,,6,-0.1176,,-0.4927,26.4296,26.4296,0.2329,15,1,12,0.7059,11,,0.6471,96,90,25,,1,0.0909,1,6,0.3529,79.5,2.1333,5.6471,,8.7273,8.1818,2.2727,6,9.6,20.6,15.1,26.1,20.6,20.6,15.1,20.6,20.6,20.6,15.1,20.6,20.6,,,,,,
J.K. Dobbins,LAC,RB,105,Yes,No,Yes,56,13,Yes,Yes,0.2321,-21,,,6,-1.6154,,-2.3397,21.5449,21.5449,0.1529,13,1,13,1,11,,0.8462,45,58,7,1,,,1,4,0.3077,81.1,0.8036,3.4615,0.0769,4.0909,5.2727,0.6364,2,4.5,15.5,10,21,15.5,15.5,10,15.5,15.5,15.5,10,15.5,15.5,1,,,,,
Emari Demercado,ARZ,RB,10,Yes,No,No,8,1,No,Yes,0.125,4,,,1,4,,2.3381,1.44,1.44,0.1111,13,,1,1,1,,1,9,5,2,,,,1,,,104.2,1.125,9,,9,5,2,,0.9,1.9,1.4,2.4,1.9,1.9,1.4,1.9,1.9,1.9,1.4,1.9,1.9,,,,,,
