Name,Team,POS,playerStatsSnapsOffenseTotal,PlayActionLabel,PressuredLabel,BlitzedLabel,RoutesTotal,TargetsTotal,TargetsContestedLabel,TargetsCatchableLabel,TargetsCatchableTotal,TargetsCatchablePercentage,TargetsInEndzone,TargetsPerRoute,ReceptionsTotal,ReceptionsPercentage,YardsTotal,YardsAfterCatchTotal,YardsAfterContactTotal,YardsAirTotal,DropsTotal,MissedTacklesForcedTotal,MissedTacklesForcedPerReception,AlignmentBackfieldRoutesPercentage,AlignmentSlotRoutesPercentage,AlignmentWideRoutesPercentage,TargetedReadFirstTotal,AverageDepthOfTarget,DeepTargetTargetsTotal,PasserRatingWhenTargeted,AveragesPerRouteYardsTotal,AveragesPerTargetYardsTotal,AveragesPerTargetYardsOverExpected,AveragesPerTargetDropsTotal,AveragesPerReceptionYardsTotal,AveragesPerReceptionYardsAfterCatch,AveragesPerReceptionYardsAfterContact,playerStatsFirstDownsReceiving,playerStatsXfpPprTotal,playerStatsXfpPprReceiving,playerStatsOffenseThreatsPercentage,playerStatsFantasyPointsNonPpr,playerStatsFantasyPointsPpr,playerStatsFantasyPointsHalfPpr,playerStatsFantasyPointsHalfPprRb,playerStatsFantasyPointsPprTe,playerStatsFantasyPointsDraftKings,playerStatsFantasyPointsFanDuel,playerStatsFantasyPointsCbs,playerStatsFantasyPointsNfl,playerStatsFantasyPointsEspn,playerStatsFantasyPointsYahoo,playerStatsFantasyPointsFfpc,playerStatsFantasyPointsNffc,playerStatsGamesPlayed,TargetsContestedTotal,ReceptionsContested,ReceptionsHero,TouchdownsTotal,AlignmentInlineRoutesPercentage,playerStatsInside20ReceivingTargetsTotal,TouchdownsInEndzone
Jaylen Waddle,MIA,WR,232,No,No,No,228,58,No,Yes,41,0.7069,1,0.2544,35,0.6034,525,171,61,630,5,,,,0.2588,0.7368,58,10.8621,4,81.5,2.3026,9.0517,0.7944,0.0862,15,4.8857,1.7429,28,104.8884,104.8884,0.25,58.5,93.5,76,93.5,93.5,96.5,79,93.5,93.5,93.5,76,93.5,93.5,15,2,1,,1,0.0044,7,
Tee Higgins,CIN,WR,246,No,Yes,No,244,90,No,No,76,0.8444,11,0.3689,63,0.7,791,198,127,1025,4,9,0.1429,,0.1885,0.8074,90,11.3889,11,130.4,3.2418,8.7889,0.6201,0.0444,12.5556,3.1429,2.0159,39,178.4277,178.4277,0.3659,132.1,195.1,163.6,195.1,195.1,198.1,165.6,194.1,194.1,194.1,162.6,195.1,194.1,12,23,14,3,9,0.0041,16,5
Josh Jacobs,GB,RB,149,No,No,No,99,3,No,Yes,3,1,,0.0303,3,1,16,6,1,10,,,,0.899,0.0202,0.0707,3,3.3333,,88.9,0.1616,5.3333,-1.2395,,5.3333,2,0.3333,1,4.3414,4.3414,0.0201,1.6,4.6,3.1,6.1,4.6,4.6,3.1,4.6,4.6,4.6,3.1,4.6,4.6,17,,,,,0.0101,1,
Cade Stover,HST,TE,76,No,Yes,No,54,8,No,Yes,6,0.75,,0.1481,4,0.5,48,35,6,75,1,,,0.0926,0.1481,0.1111,8,9.375,1,68.8,0.8889,6,-2.4412,0.125,12,8.75,1.5,2,12.5187,12.5187,0.1053,4.8,8.8,6.8,8.8,10.8,8.8,6.8,8.8,8.8,8.8,6.8,10.8,8.8,15,2,,,,0.6481,1,
Sam LaPorta,DET,TE,249,No,Yes,Yes,222,49,No,No,42,0.8571,8,0.2207,38,0.7755,500,167,63,492,2,3,0.0789,0.0045,0.2387,0.2207,49,10.0408,5,140.3,2.2523,10.2041,2.0851,0.0408,13.1579,4.3947,1.6579,27,99.0833,99.0833,0.1968,86,124,105,124,143,127,108,124,124,124,105,143,124,16,7,6,,6,0.536,13,5
Jaxon Smith-Njigba,SEA,WR,264,No,No,No,256,70,No,No,55,0.7857,8,0.2734,46,0.6571,639,158,72,951,2,8,0.1739,,0.8555,0.1445,70,13.5857,16,108,2.4961,9.1286,0.1952,0.0286,13.8913,3.4348,1.5652,33,140.3848,140.3848,0.2652,89.3,135.3,112.3,135.3,135.3,138.3,115.3,135.3,135.3,135.3,112.3,135.65,135.65,17,11,5,1,4,,8,3
Jalen Moreno-Cropper,DAL,WR,5,No,No,Yes,5,,No,Yes,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,
Ross Dwelley,ATL,TE,9,No,No,No,8,1,No,Yes,1,1,,0.125,1,1,5,4,2,1,,,,,0.625,0.125,1,1,,87.5,0.625,5,-0.7754,,5,4,2,,1.3747,1.3747,0.1111,0.5,1.5,1,1.5,2,1.5,1,1.5,1.5,1.5,1,2,1.5,14,,,,,0.25,,
Parker Hesse,DET,TE,6,No,No,No,3,,No,Yes,,,,,,,,,,,,,,0.3333,,0.6667,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,,,,,,,
D'Wayne Eskridge,MIA,WR,8,No,No,Yes,8,2,No,No,2,1,,0.25,2,1,36,19,4,17,,1,0.5,,0.25,0.75,2,8.5,,118.8,4.5,18,10.2955,,18,9.5,2,2,2.9339,2.9339,0.25,3.6,5.6,4.6,5.6,5.6,5.6,4.6,5.6,5.6,5.6,4.6,5.6,5.6,6,,,,,,,
Joshua Cephus,JAX,WR,1,No,No,No,1,,No,No,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,
Khalil Shakir,BUF,WR,155,No,Yes,No,150,39,No,Yes,33,0.8462,,0.26,32,0.8205,353,193,67,266,,9,0.2812,,0.6733,0.32,39,6.8205,4,110.8,2.3533,9.0513,2.16,,11.0312,6.0312,2.0938,13,60.4936,60.4936,0.2516,47.3,79.3,63.3,79.3,79.3,82.3,66.3,79.3,79.3,79.3,63.3,79.3,79.3,15,5,3,,2,0.0067,,
Sterling Shepard,TB,WR,168,No,No,Yes,164,31,No,Yes,21,0.6774,3,0.189,18,0.5806,207,17,1,404,2,1,0.0556,0.0061,0.4451,0.5488,31,13.0323,5,89,1.2622,6.6774,-2.1067,0.0645,11.5,0.9444,0.0556,9,55.2809,55.2809,0.1845,26.7,44.7,35.7,44.7,44.7,47.7,38.7,44.7,44.7,44.7,35.7,44.7,44.7,14,4,4,2,1,,5,1
Christian McCaffrey,SF,RB,59,Yes,No,No,46,8,Yes,Yes,5,0.625,,0.1739,5,0.625,61,35,11,37,,1,0.2,0.7826,0.1304,0.087,8,4.625,,46.4,1.3261,7.625,1.2664,,12.2,7,2.2,4,12.4772,12.4772,0.1356,6.1,11.1,8.6,13.6,11.1,11.1,8.6,11.1,11.1,11.1,8.6,11.1,11.1,4,,,,,,2,
Robert Woods,HST,WR,78,No,Yes,No,77,9,No,Yes,6,0.6667,2,0.1169,6,0.6667,51,16,4,76,,1,0.1667,,0.3247,0.6753,9,8.4444,1,81.3,0.6623,5.6667,-1.3273,,8.5,2.6667,0.6667,5,17.3326,17.3326,0.1154,5.1,11.1,8.1,11.1,11.1,11.1,8.1,11.1,11.1,11.1,8.1,11.1,11.1,15,,,,,,1,
Brycen Tremayne,WAS,WR,4,No,No,Yes,4,,Yes,Yes,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,
Chris Blair,ATL,WR,5,No,No,No,5,2,No,Yes,1,0.5,,0.4,1,0.5,17,1,,36,,,,,0.4,0.6,2,18,1,39.6,3.4,8.5,-1.9802,,17,1,,1,3.6292,3.6292,0.4,1.7,2.7,2.2,2.7,2.7,2.7,2.2,2.7,2.7,2.7,2.2,2.7,2.7,3,,,,,,,
Olamide Zaccheaus,WAS,WR,127,No,No,Yes,125,41,Yes,Yes,34,0.8293,3,0.328,26,0.6341,296,111,56,352,5,8,0.3077,,0.48,0.52,41,8.5854,4,101.3,2.368,7.2195,-0.2968,0.122,11.3846,4.2692,2.1538,18,73.8188,73.8188,0.3228,41.6,67.6,54.6,67.6,67.6,70.6,57.6,67.6,67.6,67.6,54.6,67.6,67.6,17,5,2,,2,,4,2
Chris Rodriguez Jr.,WAS,RB,12,No,No,Yes,7,1,Yes,Yes,1,1,,0.1429,1,1,12,11,2,1,,,,0.7143,0.1429,0.1429,1,1,,116.7,1.7143,12,6.2706,,12,11,2,1,1.3329,1.3329,0.0833,1.2,2.2,1.7,2.7,2.2,2.2,1.7,2.2,2.2,2.2,1.7,2.2,2.2,7,,,,,,,
Bo Melton,GB,WR,48,No,No,No,44,12,No,Yes,4,0.3333,2,0.2727,4,0.3333,37,5,5,227,,,,0.0227,0.4318,0.5455,12,18.9167,5,8,0.8409,3.0833,-6.7515,,9.25,1.25,1.25,3,25.7181,25.7181,0.25,3.7,7.7,5.7,7.7,7.7,7.7,5.7,7.7,7.7,7.7,5.7,7.7,7.7,17,,,,,,,
Irvin Charles,NYJ,WR,2,No,Yes,No,1,,No,No,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10,,,,,,,
Alec Pierce,IND,WR,248,No,Yes,No,245,54,Yes,Yes,39,0.7222,5,0.2204,29,0.537,742,102,34,1310,5,1,0.0345,,0.1714,0.8286,54,24.2593,27,97.4,3.0286,13.7407,2.6831,0.0926,25.5862,3.5172,1.1724,26,112.7645,112.7645,0.2177,110.2,139.2,124.7,139.2,139.2,142.2,127.7,139.2,139.2,139.2,124.7,139.2,139.2,16,9,4,1,6,,4,3
Drake London,ATL,WR,299,No,No,No,295,130,No,Yes,105,0.8077,13,0.4407,90,0.6923,1110,296,159,1444,4,18,0.2,,0.3864,0.6136,130,11.1077,15,108.8,3.7627,8.5385,0.0798,0.0308,12.3333,3.2889,1.7667,61,238.9894,238.9894,0.4348,165,255,210,255,255,258,213,255,255,255,210,255,255,17,28,17,2,9,,22,6
Jalen Tolbert,DAL,WR,300,No,No,Yes,299,57,Yes,Yes,48,0.8421,6,0.1906,39,0.6842,464,121,36,715,4,1,0.0256,,0.3177,0.6823,57,12.5439,11,107.6,1.5518,8.1404,-0.1585,0.0702,11.8974,3.1026,0.9231,22,108.837,108.837,0.19,76.4,115.4,95.9,115.4,115.4,118.4,98.9,115.4,115.4,115.4,95.9,115.4,115.4,17,12,5,1,5,,8,5
Bub Means,NO,WR,41,No,No,No,40,13,No,No,10,0.7692,1,0.325,7,0.5385,90,2,-1,166,,,,,0.325,0.675,13,12.7692,3,101.4,2.25,6.9231,-1.8583,,12.8571,0.2857,-0.1429,6,21.8701,21.8701,0.3171,15,22,18.5,22,22,22,18.5,22,22,22,18.5,22,22,7,3,2,,1,,1,1
Mike Boone,CAR,RB,15,No,No,No,14,,No,Yes,,,,,,,,,,,,,,0.5714,0.1429,0.2857,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,,,,,,,
Will Mallory,IND,TE,41,No,No,No,40,6,No,No,5,0.8333,,0.15,4,0.6667,29,5,1,52,,1,0.25,,0.65,0.25,6,8.6667,,38.2,0.725,4.8333,-3.2231,,7.25,1.25,0.25,1,11.1906,11.1906,0.1463,2.9,6.9,4.9,6.9,8.9,6.9,4.9,6.9,6.9,6.9,4.9,8.9,6.9,10,1,,1,,0.1,,
Velus Jones,CAR,WR,2,No,No,Yes,2,,No,Yes,,,,,,,,,,,,,,,0.5,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,
Noah Fant,SEA,TE,190,No,No,No,173,38,No,No,30,0.7895,3,0.2197,29,0.7632,314,130,54,296,1,5,0.1724,0.0347,0.526,0.1561,38,7.7895,1,87,1.815,8.2632,0.7322,0.0263,10.8276,4.4828,1.8621,18,68.8092,68.8092,0.2,37.4,66.4,51.9,66.4,80.9,69.4,54.9,66.4,66.4,66.4,51.9,80.9,66.4,14,1,1,,1,0.2832,5,
CeeDee Lamb,DAL,WR,286,No,No,No,281,107,No,No,86,0.8037,11,0.3808,71,0.6636,953,311,121,1143,6,15,0.2113,0.0071,0.4804,0.5089,107,10.6822,15,89.8,3.3915,8.9065,0.894,0.0561,13.4225,4.3803,1.7042,42,202.4446,202.4446,0.3741,130.3,201.3,165.8,201.3,201.3,204.3,167.8,200.3,200.3,200.3,164.8,201.3,200.3,16,18,8,1,6,0.0036,13,4
Elijah Cooks,JAX,WR,2,No,No,No,2,,No,Yes,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,
Peyton Hendershot,KC,TE,15,Yes,No,No,12,2,No,Yes,2,1,,0.1667,2,1,21,18,13,3,,,,,0.3333,0.3333,2,1.5,,110.4,1.75,10.5,5.0159,,10.5,9,6.5,1,2.9636,2.9636,0.1333,2.1,4.1,3.1,4.1,5.1,4.1,3.1,4.1,4.1,4.1,3.1,5.1,4.1,7,,,,,0.3333,,
Jordan Akins,CLV,TE,177,No,No,No,163,32,No,Yes,26,0.8125,2,0.1963,23,0.7188,250,72,33,282,,1,0.0435,,0.454,0.1718,32,8.8125,,115.4,1.5337,7.8125,-0.1958,,10.8696,3.1304,1.4348,14,57.571,57.571,0.1808,37,60,48.5,60,71.5,63,51.5,60,60,60,48.5,71.5,60,17,8,5,,2,0.3742,5,1
Nick Vannett,TEN,TE,68,No,Yes,No,48,7,No,Yes,7,1,,0.1458,7,1,70,47,13,23,,,,,0.0625,0.1042,7,3.2857,,147.9,1.4583,10,3.7633,,10,6.7143,1.8571,3,10.8464,10.8464,0.1029,13,20,16.5,20,23.5,20,16.5,20,20,20,16.5,23.5,20,17,,,,1,0.8333,1,
Ja'Lynn Polk,NE,WR,115,Yes,No,No,112,26,No,Yes,18,0.6923,4,0.2321,9,0.3462,70,8,2,344,5,,,,0.2232,0.7768,26,13.2308,7,69.1,0.625,2.6923,-6.1302,0.1923,7.7778,0.8889,0.2222,4,51.2087,51.2087,0.2261,19,28,23.5,28,28,28,23.5,28,28,28,23.5,28,28,15,10,3,1,2,,4,2
Jared Wiley,KC,TE,12,No,Yes,Yes,11,1,Yes,Yes,1,1,,0.0909,1,1,7,3,2,4,,,,,0.2727,0.0909,1,4,,95.8,0.6364,7,0.9333,,7,3,2,,1.4343,1.4343,0.0833,0.7,1.7,1.2,1.7,2.2,1.7,1.2,1.7,1.7,1.7,1.2,2.2,1.7,7,,,,,0.6364,,
James Cook,BUF,RB,92,No,No,No,80,8,No,No,8,1,,0.1,6,0.75,42,55,7,24,1,1,0.1667,0.9,0.05,0.05,8,3,1,126,0.525,5.25,-0.9471,0.125,7,9.1667,1.1667,4,15.3889,15.3889,0.087,10.2,16.2,13.2,19.2,16.2,16.2,13.2,16.2,16.2,16.2,13.2,16.2,16.2,16,1,,,1,,2,
Joshua Kelley,TEN,RB,1,No,Yes,No,1,,No,Yes,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,
Treylon Burks,TEN,WR,34,No,No,No,33,5,No,Yes,3,0.6,,0.1515,2,0.4,11,4,3,98,,,,,0.2727,0.7273,5,19.6,2,8.3,0.3333,2.2,-7.1899,,5.5,2,1.5,1,9.7647,9.7647,0.1471,1.1,3.1,2.1,3.1,3.1,3.1,2.1,3.1,3.1,3.1,2.1,3.1,3.1,5,1,,,,,,
Dalton Schultz,HST,TE,242,No,Yes,No,205,52,No,Yes,38,0.7308,1,0.2537,32,0.6154,318,122,48,374,4,3,0.0938,0.0244,0.3366,0.1024,52,7.1923,3,78.8,1.5512,6.1154,-1.439,0.0769,9.9375,3.8125,1.5,16,82.3408,82.3408,0.2149,31.8,63.8,47.8,63.8,79.8,66.8,50.8,63.8,63.8,63.8,47.8,79.8,63.8,17,2,1,,,0.5366,3,
Anthony Gould,IND,WR,2,No,Yes,No,2,1,Yes,Yes,1,1,,0.5,1,1,23,6,,17,,,,,0.5,0.5,1,17,,118.8,11.5,23,11.3347,,23,6,,1,1.8638,1.8638,0.5,2.3,3.3,2.8,3.3,3.3,3.3,2.8,3.3,3.3,3.3,2.8,3.3,3.3,8,,,,,,,
George Kittle,SF,TE,235,No,No,No,198,60,Yes,Yes,53,0.8833,6,0.303,50,0.8333,757,278,103,689,1,8,0.16,0.0051,0.3788,0.1111,60,11.4833,7,145.1,3.8232,12.6167,4.1991,0.0167,15.14,5.56,2.06,35,128.0578,128.0578,0.2553,111.7,161.7,136.7,161.7,186.7,164.7,139.7,161.7,161.7,161.7,136.7,186.7,161.7,15,9,7,1,6,0.5051,13,5
Keenan Allen,CHI,WR,211,No,No,No,204,79,No,Yes,58,0.7342,7,0.3873,43,0.5443,472,139,47,793,10,2,0.0465,0.0049,0.5245,0.4706,79,10.038,14,89.2,2.3137,5.9747,-1.9632,0.1266,10.9767,3.2326,1.093,26,144.7748,144.7748,0.3744,70.2,113.2,91.7,113.2,113.2,116.2,94.7,112.2,112.2,112.2,90.7,113.2,112.2,15,11,6,2,4,,9,2
Isaiah Likely,BLT,TE,145,No,No,No,131,32,No,Yes,25,0.7812,3,0.2443,22,0.6875,278,111,47,359,1,3,0.1364,0.0076,0.5954,0.1298,32,11.2188,6,116.4,2.1221,8.6875,0.1232,0.0312,12.6364,5.0455,2.1364,16,59.7179,59.7179,0.2207,39.8,61.8,50.8,61.8,72.8,64.8,53.8,61.8,61.8,61.8,50.8,72.8,61.8,16,2,,,2,0.2672,6,1
Ko Kieft,TB,TE,10,No,No,Yes,2,,No,Yes,,,,,,,,,,,,,,0.5,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,17,,,,,,,
Brenden Rice,LAC,WR,1,No,No,No,1,,No,No,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,
C.J. Uzomah,PHI,TE,16,No,No,No,9,,No,No,,,,,,,,,,,,,,,0.6667,0.1111,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7,,,,,0.2222,,
Chig Okonkwo,TEN,TE,209,No,Yes,No,193,44,No,Yes,36,0.8182,3,0.228,33,0.75,355,154,52,349,1,4,0.1212,0.0104,0.456,0.2021,44,7.9318,6,75.5,1.8394,8.0682,-0.0137,0.0227,10.7576,4.6667,1.5758,14,86.6515,86.6515,0.2105,47.5,80.5,64,80.5,97,83.5,67,80.5,80.5,80.5,64,97,80.5,17,5,4,,2,0.3316,4,1
Gerald Everett,CHI,TE,53,No,No,No,44,6,No,Yes,4,0.6667,2,0.1364,2,0.3333,5,4,2,47,1,,,0.0455,0.3182,0.2273,6,7.8333,1,42.4,0.1136,0.8333,-7.267,0.1667,2.5,2,1,,10.7011,10.7011,0.1132,0.5,2.5,1.5,2.5,3.5,2.5,1.5,2.5,2.5,2.5,1.5,3.5,2.5,17,,,,,0.4091,2,
Lucas Krull,DEN,TE,87,Yes,No,No,76,10,No,Yes,9,0.9,,0.1316,8,0.8,88,20,8,92,,,,0.0132,0.4079,0.1447,10,9.2,1,103.3,1.1579,8.8,0.5935,,11,2.5,1,6,15.3007,15.3007,0.1149,8.8,16.8,12.8,16.8,20.8,16.8,12.8,16.8,16.8,16.8,12.8,20.8,16.8,13,1,,,,0.4342,,
Tyler Johnson,LA,WR,112,No,No,No,109,19,No,No,13,0.6842,2,0.1743,11,0.5789,102,26,10,161,,2,0.1818,,0.2844,0.7064,19,8.4737,1,33.1,0.9358,5.3684,-2.2694,,9.2727,2.3636,0.9091,4,35.9112,35.9112,0.1696,10.2,21.2,15.7,21.2,21.2,24.2,18.7,21.2,21.2,21.2,15.7,21.2,21.2,15,3,2,,,0.0092,4,
Kendric Pryor,CIN,WR,3,No,Yes,No,3,,No,No,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,
Brandon Johnson,PIT,WR,5,No,Yes,No,5,,No,No,,,,,,,,,,,,,,,0.2,0.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,,,,,,,
Alex Bachman,LV,WR,25,No,Yes,Yes,24,2,Yes,Yes,2,1,,0.0833,2,1,29,11,1,18,,1,0.5,,0.4583,0.5417,2,9,,118.8,1.2083,14.5,6.8102,,14.5,5.5,0.5,2,3.2465,3.2465,0.08,2.9,4.9,3.9,4.9,4.9,4.9,3.9,4.9,4.9,4.9,3.9,4.9,4.9,5,,,,,,,
Austin Trammell,JAX,WR,16,No,Yes,No,16,2,No,No,2,1,,0.125,2,1,40,9,3,31,,,,,0.6875,0.3125,2,15.5,,118.8,2.5,20,9.2607,,20,4.5,1.5,2,4.3441,4.3441,0.125,4,6,5,6,6,6,5,6,6,6,5,6,6,1,,,,,,,
Tony Pollard,TEN,RB,198,No,Yes,No,146,17,No,Yes,17,1,,0.1164,15,0.8824,114,55,31,63,2,2,0.1333,0.8288,0.0822,0.089,17,3.7059,2,70.1,0.7808,6.7059,-0.1402,0.1176,7.6,3.6667,2.0667,4,25.2219,25.2219,0.0859,11.4,26.4,18.9,33.9,26.4,29.4,21.9,26.4,26.4,26.4,18.9,26.4,26.4,16,3,3,,,,,
Romeo Doubs,GB,WR,174,Yes,No,No,173,61,No,Yes,48,0.7869,5,0.3526,40,0.6557,517,120,35,722,5,1,0.025,,0.1561,0.8439,61,11.8361,11,94.8,2.9884,8.4754,0.019,0.082,12.925,3,0.875,28,110.062,110.062,0.3506,69.7,109.7,89.7,109.7,109.7,112.7,92.7,109.7,109.7,109.7,89.7,109.7,109.7,13,8,6,4,3,,9,1
Ladd McConkey,LAC,WR,229,No,No,No,226,83,No,Yes,70,0.8434,4,0.3673,64,0.7711,936,319,98,868,5,15,0.2344,,0.7389,0.2522,83,10.4578,8,129.4,4.1416,11.2771,2.9737,0.0602,14.625,4.9844,1.5312,43,144.2358,144.2358,0.3624,117.6,181.6,149.6,181.6,181.6,184.6,152.6,181.6,181.6,181.6,149.6,181.6,181.6,16,10,7,2,4,0.0088,7,2
JuJu Smith-Schuster,KC,WR,111,Yes,No,No,104,14,No,Yes,11,0.7857,1,0.1346,9,0.6429,72,46,22,66,,2,0.2222,,0.4038,0.5962,14,4.7143,,86.9,0.6923,5.1429,-1.1499,,8,5.1111,2.4444,6,30.3394,30.3394,0.1261,19.2,28.2,23.7,28.2,28.2,28.2,23.7,28.2,28.2,28.2,23.7,28.2,28.2,14,3,1,,2,,4,
Ray Davis,BUF,RB,49,No,No,No,40,7,No,No,7,1,1,0.175,7,1,108,100,55,8,,1,0.1429,0.925,0.05,0.025,7,1.1429,,158.3,2.7,15.4286,9.2547,,15.4286,14.2857,7.8571,5,14.1016,14.1016,0.1429,28.8,35.8,32.3,39.3,35.8,38.8,35.3,35.8,35.8,35.8,32.3,35.8,35.8,17,1,1,,3,,2,1
DeeJay Dallas,ARZ,RB,15,No,No,No,8,1,Yes,Yes,1,1,1,0.125,1,1,1,,,1,,,,0.75,0.125,0.125,1,1,,118.8,0.125,1,-4.7294,,1,,,1,4.7038,4.7038,0.0667,6.1,7.1,6.6,7.6,7.1,7.1,6.6,7.1,7.1,7.1,6.6,7.1,7.1,16,,,,1,,1,1
Greg Dulcich,NYG,TE,61,No,No,No,57,8,No,No,5,0.625,,0.1404,3,0.375,23,12,3,51,2,,,,0.4561,0.2105,8,6.375,1,45.8,0.4035,2.875,-4.3336,0.25,7.6667,4,1,,14.075,14.075,0.1311,2.3,5.3,3.8,5.3,6.8,5.3,3.8,5.3,5.3,5.3,3.8,6.8,5.3,9,,,,,0.3333,1,
Justin Jefferson,MIN,WR,281,No,Yes,Yes,281,102,No,No,76,0.7451,13,0.363,64,0.6275,1093,284,101,1362,5,6,0.0938,0.0178,0.274,0.7082,102,13.3529,15,108.8,3.8897,10.7157,1.7738,0.049,17.0781,4.4375,1.5781,45,219.066,219.066,0.363,157.3,221.3,189.3,221.3,221.3,224.3,192.3,221.3,221.3,221.3,189.3,221.3,221.3,17,20,11,4,8,,18,6
Rashid Shaheed,NO,WR,86,No,No,No,86,31,No,Yes,18,0.5806,2,0.3605,12,0.3871,213,49,10,623,1,,,,0.2791,0.7209,31,20.0968,13,44.9,2.4767,6.871,-3.2573,0.0323,17.75,4.0833,0.8333,8,60.3861,60.3861,0.3605,33.3,45.3,39.3,45.3,45.3,48.3,42.3,45.3,45.3,45.3,39.3,45.3,45.3,6,6,,,2,,3,
Xavier Legette,CAR,WR,234,No,No,No,226,64,No,Yes,52,0.8125,7,0.2832,40,0.625,404,79,18,818,7,5,0.125,,0.3053,0.6947,64,12.7812,15,89.6,1.7876,6.3125,-2.2551,0.1094,10.1,1.975,0.45,22,114.9321,114.9321,0.2735,58.4,98.4,78.4,98.4,98.4,101.4,81.4,98.4,98.4,98.4,78.4,98.4,98.4,16,7,1,,3,,7,3
J.J. Taylor,HST,RB,13,No,No,No,6,2,No,Yes,2,1,,0.3333,2,1,,,,,,,,0.6667,,0.3333,2,,,79.2,,,-6.2963,,,,,,3.1913,3.1913,0.1538,,2,1,3,2,2,1,2,2,2,1,2,2,4,,,,,,,
Craig Reynolds,DET,RB,18,No,Yes,Yes,9,,No,No,,,,,,,,,,,,,,0.8889,0.1111,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14,,,,,,,
Johnny Mundt,MIN,TE,98,No,Yes,Yes,92,9,No,No,8,0.8889,2,0.0978,7,0.7778,66,39,8,60,,1,0.1429,0.0109,0.2717,0.1848,9,6.6667,,134.3,0.7174,7.3333,-0.642,,9.4286,5.5714,1.1429,4,22.9959,22.9959,0.0918,12.6,19.6,16.1,19.6,23.1,19.6,16.1,19.6,19.6,19.6,16.1,23.1,19.6,17,,,,1,0.5326,3,1
Durham Smythe,MIA,TE,66,No,No,No,40,10,No,Yes,9,0.9,2,0.25,6,0.6,39,16,5,54,2,,,0.075,0.45,0.05,10,5.4,,68.3,0.975,3.9,-2.9683,0.2,6.5,2.6667,0.8333,1,17.3166,17.3166,0.1515,3.9,9.9,6.9,9.9,12.9,9.9,6.9,9.9,9.9,9.9,6.9,12.9,9.9,17,2,1,,,0.425,3,
Isaac Guerendo,SF,RB,56,No,No,No,46,2,Yes,Yes,2,1,,0.0435,1,0.5,27,4,,28,1,,,0.8696,0.087,0.0435,2,14,1,95.8,0.587,13.5,3.7909,0.5,27,4,,1,2.6477,2.6477,0.0357,2.7,3.7,3.2,4.2,3.7,3.7,3.2,3.7,3.7,3.7,3.2,3.7,3.7,16,,,,,,,
Jalin Hyatt,NYG,WR,111,No,No,No,110,18,No,No,12,0.6667,,0.1636,8,0.4444,62,7,3,328,3,,,,0.1273,0.8727,18,18.2222,7,13.9,0.5636,3.4444,-6.2296,0.1667,7.75,0.875,0.375,3,33.1671,33.1671,0.1622,6.2,14.2,10.2,14.2,14.2,14.2,10.2,14.2,14.2,14.2,10.2,14.2,14.2,16,1,,,,,,
David Njoku,CLV,TE,222,No,No,No,211,61,No,No,48,0.7869,10,0.2891,39,0.6393,333,143,57,390,5,2,0.0513,0.0047,0.3318,0.1469,61,6.3934,2,86.3,1.5782,5.459,-1.7095,0.082,8.5385,3.6667,1.4615,16,112.382,112.382,0.2748,57.3,96.3,76.8,96.3,115.8,99.3,79.8,96.3,96.3,96.3,76.8,115.8,96.3,11,8,4,1,4,0.5166,13,3
Brock Bowers,LV,TE,311,No,No,No,287,100,No,Yes,84,0.84,5,0.3484,75,0.75,869,422,138,785,3,3,0.04,0.0105,0.561,0.1742,100,7.85,11,101.6,3.0279,8.69,1.2134,0.03,11.5867,5.6267,1.84,43,172.7536,172.7536,0.3215,110.9,185.9,148.4,185.9,223.4,188.9,151.4,185.9,185.9,185.9,148.4,223.4,185.9,17,18,9,3,4,0.2544,10,
Ke'Shawn Vaughn,SF,RB,1,No,No,No,1,,No,Yes,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,
Jamaal Williams,NO,RB,54,No,No,Yes,32,,No,Yes,,,,,,,,,,,,,,0.8438,0.0938,0.0312,,,,,,,,,,,,,1.5875,1.5875,,,,,,,,,,,,,,,14,,,,,0.0312,,
