Name,Team,POS,playerStatsSnapsOffenseTotal,PlayActionLabel,PressuredLabel,BlitzedLabel,RoutesTotal,TargetsTotal,TargetsContestedLabel,TargetsCatchableLabel,TargetsCatchableTotal,TargetsCatchablePercentage,TargetsInEndzone,TargetsPerRoute,ReceptionsTotal,ReceptionsPercentage,YardsTotal,YardsAfterCatchTotal,YardsAfterContactTotal,YardsAirTotal,DropsTotal,MissedTacklesForcedTotal,MissedTacklesForcedPerReception,AlignmentBackfieldRoutesPercentage,AlignmentSlotRoutesPercentage,AlignmentWideRoutesPercentage,TargetedReadFirstTotal,AverageDepthOfTarget,DeepTargetTargetsTotal,PasserRatingWhenTargeted,AveragesPerRouteYardsTotal,AveragesPerTargetYardsTotal,AveragesPerTargetYardsOverExpected,AveragesPerTargetDropsTotal,AveragesPerReceptionYardsTotal,AveragesPerReceptionYardsAfterCatch,AveragesPerReceptionYardsAfterContact,playerStatsFirstDownsReceiving,playerStatsXfpPprTotal,playerStatsXfpPprReceiving,playerStatsOffenseThreatsPercentage,playerStatsFantasyPointsNonPpr,playerStatsFantasyPointsPpr,playerStatsFantasyPointsHalfPpr,playerStatsFantasyPointsHalfPprRb,playerStatsFantasyPointsPprTe,playerStatsFantasyPointsDraftKings,playerStatsFantasyPointsFanDuel,playerStatsFantasyPointsCbs,playerStatsFantasyPointsNfl,playerStatsFantasyPointsEspn,playerStatsFantasyPointsYahoo,playerStatsFantasyPointsFfpc,playerStatsFantasyPointsNffc,playerStatsGamesPlayed,TargetsContestedTotal,ReceptionsContested,ReceptionsHero,TouchdownsTotal,AlignmentInlineRoutesPercentage,playerStatsInside20ReceivingTargetsTotal,TouchdownsInEndzone
Adonai Mitchell,IND,WR,124,No,Yes,No,123,45,Yes,Yes,26,0.5778,7,0.3659,20,0.4444,301,87,19,674,2,,,,0.1545,0.8455,45,14.9778,15,67,2.4472,6.6889,-2.4635,0.0444,15.05,4.35,0.95,15,101.4414,101.4414,0.3629,30.1,50.1,40.1,50.1,50.1,53.1,43.1,50.1,50.1,50.1,40.1,50.1,50.1,17,2,,3,,,6,
Nick Westbrook-Ikhine,TEN,WR,223,No,Yes,No,221,48,No,Yes,31,0.6458,7,0.2172,26,0.5417,425,120,33,621,3,4,0.1538,,0.2127,0.7873,48,12.9375,7,97.7,1.9231,8.8542,-0.0109,0.0625,16.3462,4.6154,1.2692,19,94.3048,94.3048,0.2152,84.5,110.5,97.5,110.5,110.5,113.5,100.5,110.5,110.5,110.5,97.5,110.5,110.5,17,7,3,,7,,8,5
Ronnie Rivers,LA,RB,22,No,No,No,10,,No,No,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6,,,,,,,
Amari Cooper,BUF,WR,172,No,Yes,No,170,72,No,Yes,50,0.6944,4,0.4235,38,0.5278,475,118,25,988,7,4,0.1053,,0.1529,0.8471,72,13.7222,18,75.9,2.7941,6.5972,-2.151,0.0972,12.5,3.1053,0.6579,21,134.2076,134.2076,0.4186,65.5,103.5,84.5,103.5,103.5,106.5,87.5,103.5,103.5,103.5,84.5,103.5,103.5,14,7,3,3,3,,5,3
Darius Slayton,NYG,WR,277,No,No,No,267,51,No,No,37,0.7255,5,0.191,27,0.5294,389,103,57,698,5,7,0.2593,,0.1985,0.8015,51,13.6863,12,74.7,1.4569,7.6275,-1.308,0.098,14.4074,3.8148,2.1111,21,108.1713,108.1713,0.1841,50.9,77.9,64.4,77.9,77.9,80.9,67.4,77.9,77.9,77.9,64.4,77.9,77.9,16,8,6,,2,,5,
Jake Ferguson,DAL,TE,231,No,No,Yes,215,60,Yes,Yes,44,0.7333,1,0.2791,40,0.6667,390,236,98,311,2,10,0.25,0.014,0.5814,0.093,60,5.1833,2,84.7,1.814,6.5,-0.1794,0.0333,9.75,5.9,2.45,14,95.1902,95.1902,0.2597,38,78,58,78,98,81,60,77,77,77,57,98,77,14,5,4,1,,0.3116,4,
Davante Adams,NYJ,WR,254,No,No,No,249,100,No,Yes,77,0.77,12,0.4016,64,0.64,882,362,156,1003,7,10,0.1562,,0.4578,0.5422,100,10.03,16,107.2,3.5422,8.82,0.8529,0.07,13.7812,5.6562,2.4375,41,191.343,191.343,0.3937,130.2,194.2,162.2,194.2,194.2,197.2,165.2,194.2,194.2,194.2,162.2,194.2,194.2,14,12,6,3,7,,15,5
Dare Ogunbowale,HST,RB,103,No,Yes,No,63,4,No,Yes,4,1,,0.0635,3,0.75,45,38,9,10,1,,,0.8254,0.127,0.0476,4,2.5,,151,0.7143,11.25,4.873,0.25,15,12.6667,3,3,8.702,8.702,0.0388,10.5,13.5,12,15,13.5,13.5,12,13.5,13.5,13.5,12,13.5,13.5,17,,,,1,,1,
Nico Collins,HST,WR,156,No,Yes,No,155,63,No,Yes,48,0.7619,8,0.4065,39,0.619,706,178,61,903,5,1,0.0256,,0.2065,0.7935,63,14.3333,14,107,4.5548,11.2063,2.1403,0.0794,18.1026,4.5641,1.5641,32,128.4829,128.4829,0.4038,100.6,139.6,120.1,139.6,139.6,142.6,123.1,139.6,139.6,139.6,120.1,139.6,139.6,12,9,6,2,5,,8,3
Jerry Jeudy,CLV,WR,371,No,No,No,366,112,No,Yes,82,0.7321,8,0.306,68,0.6071,882,261,32,1286,6,1,0.0147,0.0055,0.3306,0.6612,112,11.4821,15,83.3,2.4098,7.875,-0.4841,0.0536,12.9706,3.8382,0.4706,41,199.6736,199.6736,0.3019,106.2,174.2,140.2,174.2,174.2,177.2,143.2,174.2,174.2,174.2,140.2,174.2,174.2,17,9,2,,3,0.0027,11,1
J.K. Dobbins,LAC,RB,132,No,No,No,74,4,No,Yes,4,1,,0.0541,4,1,45,38,1,-3,,,,0.8378,0.0946,0.0676,4,-0.75,,113.5,0.6081,11.25,3.9986,,11.25,9.5,0.25,2,9.3739,9.3739,0.0303,4.5,8.5,6.5,10.5,8.5,8.5,6.5,8.5,8.5,8.5,6.5,8.5,8.5,13,,,,,,,
Emari Demercado,ARZ,RB,63,No,No,No,39,2,No,No,2,1,,0.0513,2,1,16,9,5,7,,1,0.5,0.8205,0.0256,0.1538,2,3.5,,100,0.4103,8,1.4143,,8,4.5,2.5,,2.8303,2.8303,0.0317,1.6,3.6,2.6,4.6,3.6,3.6,2.6,3.6,3.6,3.6,2.6,3.6,3.6,13,,,,,,,
Equanimeous St. Brown,NO,WR,10,No,No,No,10,,No,No,,,,,,,,,,,,,,,0.7,0.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,
Samaje Perine,KC,RB,93,Yes,No,No,67,7,No,Yes,7,1,,0.1045,6,0.8571,108,100,19,6,1,2,0.3333,0.8657,0.0746,0.0597,7,0.8571,,118.8,1.6119,15.4286,9.2518,0.1429,18,16.6667,3.1667,5,10.9535,10.9535,0.0753,10.8,16.8,13.8,19.8,16.8,19.8,16.8,16.8,16.8,16.8,13.8,16.8,16.8,17,,,,,,,
Jordan Whittington,LA,WR,61,No,No,No,60,14,No,No,10,0.7143,1,0.2333,10,0.7143,146,90,18,107,,2,0.2,0.0333,0.3,0.6667,14,7.6429,2,105.1,2.4333,10.4286,3.2186,,14.6,9,1.8,5,23.4784,23.4784,0.2295,14.6,24.6,19.6,24.6,24.6,27.6,22.6,24.6,24.6,24.6,19.6,24.6,24.6,15,1,1,,,,2,
Josh Whyle,TEN,TE,99,No,Yes,No,83,16,No,Yes,11,0.6875,1,0.1928,11,0.6875,92,42,9,79,,,,,0.3614,0.2048,16,4.9375,,83.3,1.1084,5.75,-1.2026,,8.3636,3.8182,0.8182,6,28.712,28.712,0.1616,9.2,20.2,14.7,20.2,25.7,20.2,14.7,20.2,20.2,20.2,14.7,25.7,20.2,17,1,1,,,0.4337,2,
