Name,Team,POS,playerStatsSnapsOffenseTotal,PlayActionLabel,PressuredLabel,BlitzedLabel,RoutesTotal,TargetsTotal,TargetsContestedLabel,TargetsCatchableLabel,TargetsCatchableTotal,TargetsCatchablePercentage,TargetsPerRoute,ReceptionsTotal,ReceptionsPercentage,YardsTotal,YardsAfterCatchTotal,YardsAfterContactTotal,YardsAirTotal,MissedTacklesForcedTotal,MissedTacklesForcedPerReception,AlignmentBackfieldRoutesPercentage,AverageDepthOfTarget,PasserRatingWhenTargeted,AveragesPerRouteYardsTotal,AveragesPerTargetYardsTotal,AveragesPerTargetYardsOverExpected,AveragesPerReceptionYardsTotal,AveragesPerReceptionYardsAfterCatch,AveragesPerReceptionYardsAfterContact,playerStatsFirstDownsReceiving,playerStatsXfpPprTotal,playerStatsXfpPprReceiving,playerStatsOffenseThreatsPercentage,playerStatsFantasyPointsNonPpr,playerStatsFantasyPointsPpr,playerStatsFantasyPointsHalfPpr,playerStatsFantasyPointsHalfPprRb,playerStatsFantasyPointsPprTe,playerStatsFantasyPointsDraftKings,playerStatsFantasyPointsFanDuel,playerStatsFantasyPointsCbs,playerStatsFantasyPointsNfl,playerStatsFantasyPointsEspn,playerStatsFantasyPointsYahoo,playerStatsFantasyPointsFfpc,playerStatsFantasyPointsNffc,playerStatsInside20ReceivingTargetsTotal,playerStatsGamesPlayed,AlignmentWideRoutesPercentage,TargetsContestedTotal,AlignmentSlotRoutesPercentage,DeepTargetTargetsTotal,TargetsInEndzone,ReceptionsContested,DropsTotal,AlignmentInlineRoutesPercentage,AveragesPerTargetDropsTotal,TouchdownsTotal,TouchdownsInEndzone,ReceptionsHero
Treylon Burks,TEN,WR,10,No,Yes,Yes,9,3,Yes,Yes,3,1,0.3333,2,0.6667,23,1,1,33,,,,11,89.6,2.5556,7.6667,-0.6204,11.5,0.5,0.5,2,4.2135,4.2135,0.3,2.3,4.3,3.3,4.3,4.3,4.3,3.3,4.3,4.3,4.3,3.3,4.3,4.3,,5,0.8889,1,0.1111,,,1,1,,0.3333,,,
Dalton Schultz,HST,TE,82,No,No,No,74,16,No,Yes,14,0.875,0.2162,12,0.75,147,61,24,115,3,0.25,0.027,7.1875,123.7,1.9865,9.1875,1.5779,12.25,5.0833,2,8,26.1897,26.1897,0.1951,20.7,32.7,26.7,32.7,38.7,35.7,29.7,32.7,32.7,32.7,26.7,38.7,32.7,2,17,0.1486,3,0.2027,1,,2,1,0.6216,0.0625,1,,
Anthony Gould,IND,WR,1,No,No,No,1,,Yes,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8,1,,,,,,,,,,,
George Kittle,SF,TE,73,No,No,No,67,15,No,No,15,1,0.2239,13,0.8667,181,86,40,111,2,0.1538,,7.4,116.9,2.7015,12.0667,4.7079,13.9231,6.6154,3.0769,8,26.0489,26.0489,0.2055,18.1,31.1,24.6,31.1,37.6,34.1,27.6,31.1,31.1,31.1,24.6,37.6,31.1,3,15,0.1642,4,0.2687,,1,2,,0.5672,,,,
Keenan Allen,CHI,WR,69,No,No,Yes,69,16,No,Yes,14,0.875,0.2319,14,0.875,157,38,9,184,1,0.0714,,11.5,147.1,2.2754,9.8125,1.4814,11.2143,2.7143,0.6429,9,27.6234,27.6234,0.2319,27.7,41.7,34.7,41.7,41.7,44.7,37.7,41.7,41.7,41.7,34.7,41.7,41.7,2,15,0.5072,,0.4928,4,2,,,,,2,1,
Isaiah Likely,BLT,TE,42,No,No,No,36,7,No,Yes,6,0.8571,0.1944,6,0.8571,75,29,13,73,2,0.3333,,10.4286,150.9,2.0833,10.7143,2.3321,12.5,4.8333,2.1667,5,15.1715,15.1715,0.1667,13.5,19.5,16.5,19.5,22.5,19.5,16.5,19.5,19.5,19.5,16.5,22.5,19.5,2,16,0.1667,,0.5278,,2,,,0.3056,,1,1,
Brenden Rice,LAC,WR,1,No,Yes,No,1,,No,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,1,,,,,,,,,,,
C.J. Uzomah,PHI,TE,3,No,No,No,3,,Yes,Yes,,,,,,,,,,,,0.3333,,,,,,,,,,,,,,,,,,,,,,,,,,,7,,,,,,,,0.6667,,,,
Chig Okonkwo,TEN,TE,50,No,No,No,49,11,No,Yes,10,0.9091,0.2245,9,0.8182,93,52,23,52,3,0.3333,0.0408,4.7273,101.9,1.898,8.4545,1.8623,10.3333,5.7778,2.5556,3,16.8413,16.8413,0.22,9.3,18.3,13.8,18.3,22.8,18.3,13.8,18.3,18.3,18.3,13.8,22.8,18.3,,17,0.102,,0.4694,,,,,0.3878,,,,
Gerald Everett,CHI,TE,12,No,No,Yes,11,1,No,Yes,1,1,0.0909,1,1,17,10,9,7,1,1,0.0909,7,118.8,1.5455,17,9.6922,17,10,9,1,1.5154,1.5154,0.0833,1.7,2.7,2.2,2.7,3.2,2.7,2.2,2.7,2.7,2.7,2.2,3.2,2.7,,17,0.0909,,0.5455,,,,,0.2727,,,,
Lucas Krull,DEN,TE,27,No,No,No,26,7,No,Yes,7,1,0.2692,7,1,45,29,10,16,2,0.2857,0.0385,2.2857,93.5,1.7308,6.4286,0.4242,6.4286,4.1429,1.4286,1,10.1187,10.1187,0.2593,4.5,11.5,8,11.5,15,11.5,8,11.5,11.5,11.5,8,15,11.5,,13,0.1923,,0.3846,,,,,0.3846,,,,
Tyler Johnson,LA,WR,37,No,No,No,37,17,Yes,Yes,14,0.8235,0.4595,13,0.7647,167,130,55,89,6,0.4615,,5.2353,126.3,4.5135,9.8235,3.4218,12.8462,10,4.2308,5,30.9807,30.9807,0.4595,22.7,35.7,29.2,35.7,35.7,38.7,32.2,35.7,35.7,35.7,29.2,35.7,35.7,4,15,0.6757,4,0.3243,,3,3,,,,1,1,
Kendric Pryor,CIN,WR,2,No,No,No,2,1,No,Yes,1,1,0.5,1,1,9,-1,-1,10,,,,10,104.2,4.5,9,1.5,9,-1,-1,,1.9113,1.9113,0.5,0.9,1.9,1.4,1.9,1.9,1.9,1.4,1.9,1.9,1.9,1.4,1.9,1.9,,2,1,,,,,,,,,,,
Brandon Johnson,PIT,WR,1,No,No,No,1,,No,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,1,,,,,,,,,,,
Alex Bachman,LV,WR,3,No,Yes,Yes,3,,No,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,0.3333,,0.6667,,,,,,,,,
Tony Pollard,TEN,RB,40,No,No,No,28,6,No,Yes,6,1,0.2143,4,0.6667,27,14,5,13,1,0.25,0.7857,2.1667,76.4,0.9643,4.5,-1.8943,6.75,3.5,1.25,,9.8973,9.8973,0.15,2.7,6.7,4.7,8.7,6.7,6.7,4.7,6.7,6.7,6.7,4.7,6.7,6.7,,16,0.0714,,0.1429,,,,2,,0.3333,,,
Romeo Doubs,GB,WR,39,No,Yes,No,39,6,No,No,4,0.6667,0.1538,4,0.6667,62,21,13,89,1,0.25,,14.8333,140.3,1.5897,10.3333,1.0831,15.5,5.25,3.25,4,12.4179,12.4179,0.1538,12.2,16.2,14.2,16.2,16.2,16.2,14.2,16.2,16.2,16.2,14.2,16.2,16.2,2,13,0.9231,2,0.0769,2,1,2,,,,1,,
Ray Davis,BUF,RB,15,No,No,No,13,3,No,Yes,3,1,0.2308,3,1,7,18,8,-11,1,0.3333,0.8462,-3.6667,79.2,0.5385,2.3333,-2.8556,2.3333,6,2.6667,,4.0157,4.0157,0.2,0.7,3.7,2.2,5.2,3.7,3.7,2.2,3.7,3.7,3.7,2.2,3.7,3.7,,17,0.0769,,0.0769,,,,,,,,,
JuJu Smith-Schuster,KC,WR,30,No,No,No,30,7,No,Yes,5,0.7143,0.2333,4,0.5714,120,61,3,81,,,,11.5714,101.8,4,17.1429,8.4643,30,15.25,0.75,4,11.0472,11.0472,0.2333,12,16,14,16,16,19,17,16,16,16,14,16,16,,14,0.5,,0.5,,,,1,,0.1429,,,
Ladd McConkey,LAC,WR,85,No,No,Yes,85,17,No,No,14,0.8235,0.2,12,0.7059,178,66,17,156,2,0.1667,,9.1765,124.1,2.0941,10.4706,2.8821,14.8333,5.5,1.4167,6,28.0874,28.0874,0.2,23.8,35.8,29.8,35.8,35.8,38.8,32.8,35.8,35.8,35.8,29.8,35.8,35.8,,16,0.2706,1,0.7059,1,,,1,0.0235,0.0588,1,,
Greg Dulcich,NYG,TE,12,No,Yes,No,11,2,No,Yes,1,0.5,0.1818,1,0.5,5,1,1,6,,,,3,56.3,0.4545,2.5,-3.7184,5,1,1,,2.998,2.998,0.1667,0.5,1.5,1,1.5,2,1.5,1,1.5,1.5,1.5,1,2,1.5,,9,0.3636,,0.2727,,,,,0.3636,,,,
Justin Jefferson,MIN,WR,106,No,No,No,105,25,Yes,Yes,20,0.8,0.2381,18,0.72,236,51,12,278,1,0.0556,0.0095,11.12,84.8,2.2476,9.44,1.2683,13.1111,2.8333,0.6667,10,52.4579,52.4579,0.2358,23.6,41.6,32.6,41.6,41.6,44.6,35.6,41.6,41.6,41.6,32.6,41.6,41.6,4,17,0.7429,3,0.2476,4,4,2,1,,0.04,,,
Bryce Ford-Wheaton,NYG,WR,1,No,Yes,No,1,,No,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8,1,,,,,,,,,,,
Rashid Shaheed,NO,WR,14,No,Yes,No,14,4,No,Yes,4,1,0.2857,4,1,110,28,,82,,,0.0714,20.5,158.3,7.8571,27.5,16.8321,27.5,7,,3,7.9557,7.9557,0.2857,17,21,19,21,21,24,22,21,21,21,19,21,21,,6,0.8571,,0.0714,1,,,,,,1,,
Xavier Legette,CAR,WR,40,No,No,No,40,7,Yes,Yes,6,0.8571,0.175,4,0.5714,53,10,2,109,,,,15.5714,120.8,1.325,7.5714,-1.7875,13.25,2.5,0.5,3,12.1542,12.1542,0.175,11.3,15.3,13.3,15.3,15.3,15.3,13.3,15.3,15.3,15.3,13.3,15.3,15.3,1,16,0.625,,0.375,2,1,,2,,0.2857,1,1,
J.J. Taylor,HST,RB,1,No,No,Yes,1,,No,No,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,4,,,,,,,,,,,,
Craig Reynolds,DET,RB,7,No,No,No,4,3,Yes,Yes,2,0.6667,0.75,2,0.6667,35,32,26,6,1,0.5,1,2,106.3,8.75,11.6667,5.3365,17.5,16,13,2,4.7358,4.7358,0.4286,3.5,5.5,4.5,6.5,5.5,5.5,4.5,5.5,5.5,5.5,4.5,5.5,5.5,,14,,,,,,,,,,,,
Johnny Mundt,MIN,TE,33,No,No,No,28,8,Yes,Yes,8,1,0.2857,6,0.75,41,20,8,29,,,,3.625,85.9,1.4643,5.125,-1.2377,6.8333,3.3333,1.3333,2,11.4638,11.4638,0.2424,4.1,10.1,7.1,10.1,13.1,10.1,7.1,10.1,10.1,10.1,7.1,13.1,10.1,,17,0.1071,1,0.1786,,,1,1,0.7143,0.125,,,
Durham Smythe,MIA,TE,18,No,No,Yes,14,5,No,Yes,4,0.8,0.3571,3,0.6,14,1,1,31,,,,6.2,64.6,1,2.8,-4.4486,4.6667,0.3333,0.3333,,8.939,8.939,0.2778,1.4,4.4,2.9,4.4,5.9,4.4,2.9,4.4,4.4,4.4,2.9,5.9,4.4,,17,0.0714,,0.4286,,,,1,0.5,0.2,,,
Isaac Guerendo,SF,RB,16,No,No,No,15,7,No,No,7,1,0.4667,7,1,84,42,17,42,,,0.9333,6,116.7,5.6,12,5.7809,12,6,2.4286,4,10.8349,10.8349,0.4375,8.4,15.4,11.9,18.9,15.4,15.4,11.9,15.4,15.4,15.4,11.9,15.4,15.4,,16,,,0.0667,1,,,,,,,,
Jalin Hyatt,NYG,WR,18,No,Yes,No,18,,No,Yes,,,,,,,,,,,,,,,,,,,,,,1.7271,1.7271,,,,,,,,,,,,,,,,16,0.8889,,0.1111,,,,,,,,,
David Njoku,CLV,TE,45,No,No,No,44,14,No,Yes,14,1,0.3182,13,0.9286,79,34,19,49,1,0.0769,,3.5,114,1.7955,5.6429,-0.8173,6.0769,2.6154,1.4615,3,20.6413,20.6413,0.3111,13.9,26.9,20.4,26.9,33.4,26.9,20.4,26.9,26.9,26.9,20.4,33.4,26.9,1,11,0.1364,2,0.2273,,1,1,,0.6364,,1,1,1
Brock Bowers,LV,TE,86,No,No,Yes,81,23,No,No,19,0.8261,0.284,17,0.7391,187,94,32,132,3,0.1765,0.0123,5.7391,79.4,2.3086,8.1304,1.124,11,5.5294,1.8824,12,36.5771,36.5771,0.2674,18.7,35.7,27.2,35.7,44.2,38.7,30.2,35.7,35.7,35.7,27.2,44.2,35.7,4,17,0.1358,1,0.5802,,1,,1,0.2716,0.0435,,,
Jamaal Williams,NO,RB,8,No,No,No,5,2,No,Yes,2,1,0.4,2,1,10,7,3,3,,,0.8,1.5,87.5,2,5,-1.1683,5,3.5,1.5,,2.6703,2.6703,0.25,1,3,2,4,3,3,2,3,3,3,2,3,3,,14,,,0.2,,,,,,,,,
Kenny Yeboah,NYJ,TE,4,No,No,Yes,4,2,No,Yes,1,0.5,0.5,1,0.5,13,1,,26,,,,13,70.8,3.25,6.5,-2.9739,13,1,,1,3.15,3.15,0.5,1.3,2.3,1.8,2.3,2.8,2.3,1.8,2.3,2.3,2.3,1.8,2.8,2.3,,9,,,0.25,,,,,0.75,,,,
A.J. Brown,PHI,WR,35,No,No,No,34,8,Yes,Yes,6,0.75,0.2353,5,0.625,126,63,2,121,1,0.2,,15.125,145.8,3.7059,15.75,6.9205,25.2,12.6,0.4,3,14.2076,14.2076,0.2286,24.6,29.6,27.1,29.6,29.6,32.6,30.1,29.6,29.6,29.6,27.1,29.6,29.6,1,13,0.8235,1,0.1765,3,,,,,,2,,
Luke McCaffrey,WAS,WR,22,Yes,Yes,No,22,3,No,No,3,1,0.1364,3,1,58,21,6,37,,,,12.3333,118.8,2.6364,19.3333,10.5907,19.3333,7,2,3,4.5026,4.5026,0.1364,5.8,8.8,7.3,8.8,8.8,8.8,7.3,8.8,8.8,8.8,7.3,8.8,8.8,,17,0.3182,,0.6818,,,,,,,,,
Brock Wright,DET,TE,31,No,No,No,24,3,Yes,Yes,3,1,0.125,3,1,23,10,4,13,,,0.0417,4.3333,98.6,0.9583,7.6667,1.4622,7.6667,3.3333,1.3333,1,4.2063,4.2063,0.0968,2.3,5.3,3.8,5.3,6.8,5.3,3.8,5.3,5.3,5.3,3.8,6.8,5.3,1,17,0.125,,,,,,,0.8333,,,,
Kylen Granson,IND,TE,35,No,No,No,33,10,Yes,Yes,6,0.6,0.303,3,0.3,38,16,5,132,,,,13.2,3.3,1.1515,3.8,-4.1026,12.6667,5.3333,1.6667,1,15.8911,15.8911,0.2857,3.8,6.8,5.3,6.8,8.3,6.8,5.3,6.8,6.8,6.8,5.3,8.3,6.8,1,17,0.1212,3,0.6061,2,,1,1,0.2727,0.1,,,
Brandin Cooks,DAL,WR,33,Yes,Yes,No,33,8,No,No,6,0.75,0.2424,4,0.5,27,7,3,79,,,,9.875,97.4,0.8182,3.375,-4.4663,6.75,1.75,0.75,4,17.2732,17.2732,0.2424,8.7,12.7,10.7,12.7,12.7,12.7,10.7,12.7,12.7,12.7,10.7,12.7,12.7,1,10,0.8182,1,0.1818,1,1,,1,,0.125,1,1,
John Ross,PHI,WR,2,No,Yes,No,2,1,No,Yes,1,1,0.5,1,1,6,2,1,4,,,,4,91.7,3,6,-0.0498,6,2,1,1,1.3584,1.3584,0.5,0.6,1.6,1.1,1.6,1.6,1.6,1.1,1.6,1.6,1.6,1.1,1.6,1.6,,1,0.5,,0.5,,,,,,,,,
Ryan Miller,TB,WR,16,No,No,No,15,3,No,Yes,3,1,0.2,3,1,34,4,2,30,,,,10,113.9,2.2667,11.3333,3.3786,11.3333,1.3333,0.6667,1,4.6197,4.6197,0.1875,3.4,6.4,4.9,6.4,6.4,6.4,4.9,6.4,6.4,6.4,4.9,6.4,6.4,,11,0.7333,1,0.2667,1,,1,,,,,,
Mike Williams,PIT,WR,33,No,No,No,33,2,No,Yes,1,0.5,0.0606,1,0.5,5,1,1,35,,,,17.5,56.3,0.1515,2.5,-6.8235,5,1,1,,7.81,7.81,0.0606,0.5,1.5,1,1.5,1.5,1.5,1,1.5,1.5,1.5,1,1.5,1.5,,18,0.6667,,0.3333,1,,,,,,,,
Devin Thompkins,CAR,WR,2,No,No,No,2,,No,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7,0.5,,0.5,,,,,,,,,
Terrace Marshall,LV,WR,17,No,No,Yes,17,,No,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7,0.6471,,0.3529,,,,,,,,,
Derius Davis,LAC,WR,9,No,No,Yes,9,1,No,No,1,1,0.1111,1,1,12,18,1,-6,,,0.1111,-6,116.7,1.3333,12,8.2581,12,18,1,1,1.4674,1.4674,0.1111,1.2,2.2,1.7,2.2,2.2,2.2,1.7,2.2,2.2,2.2,1.7,2.2,2.2,,15,0.2222,,0.6667,,,,,,,,,
Kimani Vidal,LAC,RB,10,No,No,Yes,8,1,No,No,1,1,0.125,,,,,,3,,,1,3,39.6,,,-6.5094,,,,,1.5384,1.5384,0.1,,,,,,,,,,,,,,,10,,,,,,,1,,1,,,
Mason Tipton,NO,WR,17,No,No,No,17,3,No,Yes,2,0.6667,0.1765,2,0.6667,16,,,58,,,,19.3333,79.9,0.9412,5.3333,-4.483,8,,,,4.1811,4.1811,0.1765,1.6,3.6,2.6,3.6,3.6,3.6,2.6,3.6,3.6,3.6,2.6,3.6,3.6,,11,0.7059,,0.2941,1,,,,,,,,
Zack Moss,CIN,RB,20,Yes,No,No,16,3,No,Yes,3,1,0.1875,3,1,27,24,5,3,2,0.6667,0.6875,1,104.2,1.6875,9,2.8973,9,8,1.6667,2,4.6326,4.6326,0.15,2.7,5.7,4.2,7.2,5.7,5.7,4.2,5.7,5.7,5.7,4.2,5.7,5.7,1,8,0.0625,,0.125,,,,,0.125,,,,
Tyreek Hill,MIA,WR,51,No,No,Yes,50,12,No,Yes,7,0.5833,0.24,7,0.5833,72,20,5,152,,,,12.6667,75.7,1.44,6,-2.5661,10.2857,2.8571,0.7143,5,23.9453,23.9453,0.2353,7.2,14.2,10.7,14.2,14.2,14.2,10.7,14.2,14.2,14.2,10.7,14.2,14.2,1,17,0.66,1,0.34,2,1,1,,,,,,
Demarcus Robinson,LA,WR,87,No,No,No,87,10,Yes,Yes,4,0.4,0.1149,3,0.3,31,3,2,144,,,,14.4,33.8,0.3563,3.1,-6.4071,10.3333,1,0.6667,2,24.5377,24.5377,0.1149,9.1,12.1,10.6,12.1,12.1,12.1,10.6,12.1,12.1,12.1,10.6,12.1,12.1,4,17,0.6552,,0.3448,2,5,,,,,1,1,
Travis Kelce,KC,TE,85,No,No,No,80,27,No,Yes,19,0.7037,0.3375,18,0.6667,178,88,14,250,1,0.0556,0.0125,9.2593,85.1,2.225,6.5926,-1.2042,9.8889,4.8889,0.7778,9,43.3394,43.3394,0.3176,16.8,34.8,25.8,34.8,43.8,37.8,27.8,33.8,33.8,33.8,24.8,43.8,33.8,1,16,0.3,4,0.3875,4,1,3,1,0.3,0.037,,,
Cole Kmet,CHI,TE,77,No,No,Yes,69,16,No,Yes,16,1,0.2319,16,1,158,56,31,102,,,0.0145,6.375,128.6,2.2899,9.875,2.7485,9.875,3.5,1.9375,10,29.2607,29.2607,0.2078,21.8,37.8,29.8,37.8,45.8,40.8,32.8,37.8,37.8,37.8,29.8,45.8,37.8,2,17,0.0725,4,0.6667,,,4,,0.2464,,1,,
Brenton Strange,JAX,TE,30,No,No,No,22,5,Yes,Yes,4,0.8,0.2273,3,0.6,20,4,2,37,,,,7.4,68.8,0.9091,4,-3.5204,6.6667,1.3333,0.6667,1,10.0233,10.0233,0.1667,2,5,3.5,5,6.5,5,3.5,5,5,5,3.5,6.5,5,,17,0.1364,1,0.4545,,,1,1,0.4091,0.2,,,
Rhamondre Stevenson,NE,RB,26,No,No,No,22,5,No,Yes,2,0.4,0.2273,2,0.4,20,20,8,30,1,0.5,0.8636,6,52.1,0.9091,4,-2.9502,10,10,4,1,10.2057,10.2057,0.1923,2,4,3,5,4,4,3,4,4,4,3,4,4,2,15,0.0455,,0.0909,1,1,,,,,,,
Pat Freiermuth,PIT,TE,41,No,No,No,40,8,No,Yes,7,0.875,0.2,6,0.75,55,22,8,54,,,,6.75,132.8,1.375,6.875,-0.5175,9.1667,3.6667,1.3333,2,11.8837,11.8837,0.1951,11.5,17.5,14.5,17.5,20.5,17.5,14.5,17.5,17.5,17.5,14.5,20.5,17.5,1,17,0.15,,0.55,,,,1,0.3,0.125,1,,
Cordarrelle Patterson,PIT,RB,5,No,No,No,5,3,No,Yes,3,1,0.6,3,1,30,8,4,22,,,,7.3333,108.3,6,10,2.6865,10,2.6667,1.3333,1,5.4707,5.4707,0.6,3,6,4.5,7.5,6,6,4.5,6,6,6,4.5,6,6,1,13,0.6,1,0.2,,,1,,0.2,,,,
Isiah Pacheco,KC,RB,18,No,No,No,14,2,No,Yes,2,1,0.1429,2,1,5,14,3,-9,,,0.9286,-4.5,79.2,0.3571,2.5,-3.2205,2.5,7,1.5,,2.8413,2.8413,0.1111,0.5,2.5,1.5,3.5,2.5,2.5,1.5,2.5,2.5,2.5,1.5,2.5,2.5,,7,,,0.0714,,,,,,,,,
Bijan Robinson,ATL,RB,74,No,No,No,56,13,Yes,Yes,11,0.8462,0.2321,11,0.8462,81,82,30,7,2,0.1818,0.8393,0.5385,92.6,1.4464,6.2308,-0.0272,7.3636,7.4545,2.7273,4,18.6294,18.6294,0.1757,8.1,19.1,13.6,24.6,19.1,19.1,13.6,19.1,19.1,19.1,13.6,19.1,19.1,1,17,0.0179,,0.125,,,,,0.0179,,,,1
Jaleel McLaughlin,DEN,RB,16,No,No,No,13,2,No,Yes,2,1,0.1538,2,1,6,17,2,-11,,,0.7692,-5.5,79.2,0.4615,3,-2.0493,3,8.5,1,,2.9336,2.9336,0.125,0.6,2.6,1.6,3.6,2.6,2.6,1.6,2.6,2.6,2.6,1.6,2.6,2.6,,16,0.1538,,0.0769,,,,,,,,,
Geoff Swaim,CLV,TE,4,No,No,No,4,,No,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8,,,,,,,,1,,,,
Jalen Virgil,BUF,WR,1,No,Yes,Yes,1,,Yes,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7,,,1,,,,,,,,,
Jacob Cowing,SF,WR,11,No,No,No,11,1,No,No,1,1,0.0909,1,1,16,9,2,7,,,,7,118.8,1.4545,16,8.9355,16,9,2,1,1.5355,1.5355,0.0909,1.6,2.6,2.1,2.6,2.6,2.6,2.1,2.6,2.6,2.6,2.1,2.6,2.6,,15,0.5455,,0.4545,,,,,,,,,
Calvin Austin,PIT,WR,36,No,No,No,36,3,No,Yes,3,1,0.0833,3,1,66,7,1,59,,,,19.6667,118.8,1.8333,22,11.7121,22,2.3333,0.3333,2,4.7343,4.7343,0.0833,6.6,9.6,8.1,9.6,9.6,9.6,8.1,9.6,9.6,9.6,8.1,9.6,9.6,,17,0.4167,,0.5833,1,,,,,,,,
Ronnie Bell,SF,WR,10,No,Yes,Yes,10,2,No,Yes,1,0.5,0.2,,,,,,13,,,,6.5,,,,-6.4749,,,,,2.9506,2.9506,0.2,,,,,,,,,,,,,,,8,0.7,,0.3,,,,1,,0.5,,,
Kareem Hunt,KC,RB,30,No,No,No,26,5,No,Yes,4,0.8,0.1923,4,0.8,30,33,10,3,2,0.5,0.8846,0.6,91.7,1.1538,6,-0.4495,7.5,8.25,2.5,3,8.8141,8.8141,0.1667,3,7,5,9,7,7,5,7,7,7,5,7,7,2,13,0.0385,,0.0769,,1,,,,,,,
Brandon Powell,MIN,WR,27,No,No,No,27,3,Yes,Yes,3,1,0.1111,3,1,26,3,2,23,,,,7.6667,102.8,0.963,8.6667,1.214,8.6667,1,0.6667,2,4.7112,4.7112,0.1111,2.6,5.6,4.1,5.6,5.6,5.6,4.1,5.6,5.6,5.6,4.1,5.6,5.6,1,17,0.5185,,0.4815,,,,,,,,,
Derrick Henry,BLT,RB,30,No,No,No,20,4,No,Yes,4,1,0.2,4,1,53,50,27,3,3,0.75,1,0.75,118.8,2.65,13.25,7.3055,13.25,12.5,6.75,3,5.4388,5.4388,0.1333,5.3,9.3,7.3,11.3,9.3,9.3,7.3,9.3,9.3,9.3,7.3,9.3,9.3,,17,,,,,,,,,,,,
Robert Tonyan,MIN,TE,1,Yes,No,No,1,,No,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,,,,,,,,1,,,,
Ty Johnson,BUF,RB,30,No,No,No,26,3,No,Yes,1,0.3333,0.1154,1,0.3333,9,5,2,30,,,0.7308,10,42.4,0.3462,3,-5.4222,9,5,2,1,5.0533,5.0533,0.1,0.9,1.9,1.4,2.4,1.9,1.9,1.4,1.9,1.9,1.9,1.4,1.9,1.9,1,17,0.1538,,0.0769,1,,,,0.0385,,,,
Cam Grandy,CIN,TE,3,No,No,No,2,1,No,Yes,1,1,0.5,1,1,9,6,3,3,,,,3,104.2,4.5,9,2.6782,9,6,3,,1.3777,1.3777,0.3333,0.9,1.9,1.4,1.9,2.4,1.9,1.4,1.9,1.9,1.9,1.4,2.4,1.9,,8,0.5,,0.5,,,,,,,,,
Van Jefferson,PIT,WR,29,No,No,No,29,7,No,Yes,4,0.5714,0.2414,4,0.5714,56,1,,102,,,,14.5714,122.6,1.931,8,-0.7911,14,0.25,,2,14.9658,14.9658,0.2414,11.6,15.6,13.6,15.6,15.6,15.6,13.6,15.6,15.6,15.6,13.6,15.6,15.6,1,17,0.7931,,0.2069,2,,,,,,1,,1
Malachi Corley,NYJ,WR,4,Yes,Yes,No,4,,No,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7,0.75,,0.25,,,,,,,,,
Rachaad White,TB,RB,39,No,No,No,31,3,No,Yes,3,1,0.0968,3,1,31,25,3,6,,,0.7742,2,149.3,1,10.3333,3.826,10.3333,8.3333,1,1,4.7629,4.7629,0.0769,9.1,12.1,10.6,13.6,12.1,12.1,10.6,12.1,12.1,12.1,10.6,12.1,12.1,,16,0.129,,0.0968,,,,,,,1,,
Xavier Worthy,KC,WR,75,No,No,No,75,10,No,Yes,6,0.6,0.1333,5,0.5,81,29,10,139,,,0.0133,13.9,77.5,1.08,8.1,-0.3927,16.2,5.8,2,4,20.7472,20.7472,0.1333,8.1,13.1,10.6,13.1,13.1,13.1,10.6,13.1,13.1,13.1,10.6,13.1,13.1,,17,0.6667,2,0.32,3,,2,,,,,,
Elijah Moore,CLV,WR,52,No,No,No,52,13,No,Yes,10,0.7692,0.25,10,0.7692,120,19,6,149,,,,11.4615,130.3,2.3077,9.2308,0.9918,12,1.9,0.6,4,20.5964,20.5964,0.25,18,28,23,28,28,31,26,28,28,28,23,28,28,,17,0.5577,1,0.4423,2,1,1,,,,1,1,1
Zach Charbonnet,SEA,RB,65,No,No,No,49,14,Yes,Yes,14,1,0.2857,14,1,114,104,25,10,1,0.0714,0.8367,0.7143,124.4,2.3265,8.1429,2.1177,8.1429,7.4286,1.7857,3,24.3703,24.3703,0.2154,17.4,31.4,24.4,38.4,31.4,34.4,27.4,31.4,31.4,31.4,24.4,31.4,31.4,,17,0.1224,1,0.0204,,,1,,0.0204,,1,,
