Name,Team,POS,playerStatsSnapsOffenseTotal,PlayActionLabel,PressuredLabel,BlitzedLabel,RoutesTotal,TargetsTotal,TargetsContestedLabel,TargetsContestedTotal,TargetsCatchableLabel,TargetsCatchableTotal,TargetsCatchablePercentage,TargetsInEndzone,TargetsPerRoute,ReceptionsTotal,ReceptionsContested,ReceptionsPercentage,YardsTotal,YardsAfterCatchTotal,YardsAfterContactTotal,YardsAirTotal,MissedTacklesForcedTotal,MissedTacklesForcedPerReception,AlignmentInlineRoutesPercentage,AlignmentSlotRoutesPercentage,AlignmentWideRoutesPercentage,TargetedReadFirstTotal,TargetedReadDesignTotal,TargetedReadDesignPercentage,AverageDepthOfTarget,PasserRatingWhenTargeted,AveragesPerRouteYardsTotal,AveragesPerTargetYardsTotal,AveragesPerTargetYardsOverExpected,AveragesPerReceptionYardsTotal,AveragesPerReceptionYardsAfterCatch,AveragesPerReceptionYardsAfterContact,playerStatsFirstDownsReceiving,playerStatsXfpPprTotal,playerStatsXfpPprReceiving,playerStatsOffenseThreatsPercentage,playerStatsFantasyPointsNonPpr,playerStatsFantasyPointsPpr,playerStatsFantasyPointsHalfPpr,playerStatsFantasyPointsHalfPprRb,playerStatsFantasyPointsPprTe,playerStatsFantasyPointsDraftKings,playerStatsFantasyPointsFanDuel,playerStatsFantasyPointsCbs,playerStatsFantasyPointsNfl,playerStatsFantasyPointsEspn,playerStatsFantasyPointsYahoo,playerStatsFantasyPointsFfpc,playerStatsFantasyPointsNffc,playerStatsInside20ReceivingTargetsTotal,playerStatsGamesPlayed,TouchdownsTotal,DropsTotal,AlignmentBackfieldRoutesPercentage,AveragesPerTargetDropsTotal,TouchdownsInEndzone,DeepTargetTargetsTotal,ReceptionsHero
Hunter Long,JAX,TE,39,No,No,No,27,6,Yes,1,Yes,6,1,1,0.2222,5,1,0.8333,37,14,5,25,,,0.5185,0.2593,0.2222,2,,,4.1667,131.9,1.3704,6.1667,-0.2717,7.4,2.8,1,2,12.5835,12.5835,0.1538,9.7,14.7,12.2,14.7,17.2,14.7,12.2,14.7,14.7,14.7,12.2,17.2,14.7,2,9,1,1,,0.1667,1,,
Sal Cannella,CLV,TE,5,No,No,Yes,5,1,Yes,,Yes,,,,0.2,,,,,,,8,,,0.6,0.4,,1,,,8,39.6,,,-7.7205,,,,,1.1343,1.1343,0.2,,,,,,,,,,,,,,,2,,,,,,,
Kayshon Boutte,NE,WR,97,Yes,No,Yes,86,12,No,6,Yes,12,1,,0.1395,10,4,0.8333,103,18,5,100,,,,0.0581,0.9419,9,,,8.3333,102.4,1.1977,8.5833,1.0356,10.3,1.8,0.5,6,24.0566,24.0566,0.1319,10.3,20.3,15.3,20.3,20.3,23.3,18.3,20.3,20.3,20.3,15.3,20.3,20.3,,14,,,,,,,
Steven Sims,ARZ,WR,2,No,No,No,1,,No,,Yes,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,,,,,,,
Tommy Tremble,CAR,TE,95,No,No,No,82,14,Yes,2,Yes,11,0.7857,1,0.1707,11,2,0.7857,96,65,18,52,1,0.0909,0.5122,0.4024,0.061,12,1,0.0714,3.7143,119,1.1707,6.8571,0.2051,8.7273,5.9091,1.6364,6,23.7836,23.7836,0.1772,15.6,26.6,21.1,26.6,32.1,26.6,21.1,26.6,26.6,26.6,21.1,32.1,26.6,2,17,1,,0.0244,,1,,
Jonathan Mingo,DAL,WR,10,Yes,No,No,10,2,No,,Yes,,,,0.2,,,,,,,19,,,,0.1,0.9,1,,,9.5,39.6,,,-7.4769,,,,,2.7265,2.7265,0.2222,,,,,,,,,,,,,,,6,,,,,,,
Cooper Kupp,SEA,WR,125,No,No,No,112,21,Yes,3,Yes,16,0.7619,3,0.1875,15,3,0.7143,140,78,33,116,4,0.2667,0.0089,0.4821,0.5089,20,2,0.0952,5.5238,85.4,1.25,6.6667,-0.0896,9.3333,5.2,2.2,8,37.7054,37.7054,0.1842,20,35,27.5,35,35,38,30.5,35,35,35,27.5,35,35,4,16,1,1,,0.0476,1,,
Adam Trautman,DEN,TE,83,Yes,No,No,38,6,No,1,Yes,6,1,,0.1579,6,1,1,62,38,22,24,4,0.6667,0.5526,0.3158,0.1316,5,,,4,109.7,1.6316,10.3333,3.7101,10.3333,6.3333,3.6667,3,8.8296,8.8296,0.0759,6.2,12.2,9.2,12.2,15.2,12.2,9.2,12.2,12.2,12.2,9.2,15.2,12.2,,17,,,,,,,
Trevor Etienne,CAR,RB,5,No,No,No,4,1,Yes,,Yes,1,1,,0.25,1,,1,4,3,,1,,,,0.25,0.25,,,,1,83.3,1,4,-1.7294,4,3,,,1.2988,1.2988,0.3333,0.4,1.4,0.9,1.9,1.4,1.4,0.9,1.4,1.4,1.4,0.9,1.4,1.4,,17,,,0.5,,,,
D'Andre Swift,CHI,RB,81,Yes,No,No,64,17,No,,Yes,14,0.8235,,0.2656,13,,0.7647,186,239,60,-48,2,0.1538,0.0156,0.0625,0.0469,9,7,0.4118,-2.8235,131,2.9062,10.9412,5.2868,14.3077,18.3846,4.6154,7,26.514,26.514,0.2297,24.6,37.6,31.1,44.1,37.6,40.6,34.1,37.6,37.6,37.6,31.1,37.6,37.6,,16,1,1,0.875,0.0588,,,
