Name,Team,POS,playerStatsSnapsOffenseTotal,PlayActionLabel,PressuredLabel,BlitzedLabel,RoutesTotal,TargetsTotal,TargetsContestedLabel,TargetsContestedTotal,TargetsCatchableLabel,TargetsCatchableTotal,TargetsCatchablePercentage,TargetsInEndzone,TargetsPerRoute,ReceptionsTotal,ReceptionsContested,ReceptionsPercentage,YardsTotal,YardsAfterCatchTotal,YardsAfterContactTotal,YardsAirTotal,MissedTacklesForcedTotal,MissedTacklesForcedPerReception,AlignmentInlineRoutesPercentage,AlignmentSlotRoutesPercentage,AlignmentWideRoutesPercentage,TargetedReadFirstTotal,TargetedReadDesignTotal,TargetedReadDesignPercentage,AverageDepthOfTarget,PasserRatingWhenTargeted,AveragesPerRouteYardsTotal,AveragesPerTargetYardsTotal,AveragesPerTargetYardsOverExpected,AveragesPerReceptionYardsTotal,AveragesPerReceptionYardsAfterCatch,AveragesPerReceptionYardsAfterContact,playerStatsFirstDownsReceiving,playerStatsXfpPprTotal,playerStatsXfpPprReceiving,playerStatsOffenseThreatsPercentage,playerStatsFantasyPointsNonPpr,playerStatsFantasyPointsPpr,playerStatsFantasyPointsHalfPpr,playerStatsFantasyPointsHalfPprRb,playerStatsFantasyPointsPprTe,playerStatsFantasyPointsDraftKings,playerStatsFantasyPointsFanDuel,playerStatsFantasyPointsCbs,playerStatsFantasyPointsNfl,playerStatsFantasyPointsEspn,playerStatsFantasyPointsYahoo,playerStatsFantasyPointsFfpc,playerStatsFantasyPointsNffc,playerStatsInside20ReceivingTargetsTotal,playerStatsGamesPlayed,TouchdownsTotal,DropsTotal,AlignmentBackfieldRoutesPercentage,AveragesPerTargetDropsTotal,TouchdownsInEndzone,DeepTargetTargetsTotal,ReceptionsHero
J.K. Dobbins,DEN,RB,41,No,No,Yes,22,7,No,,Yes,7,1,,0.3182,6,,0.8571,26,35,9,-15,1,0.1667,,0.0455,,5,3,0.4286,-2.1429,82.1,1.1818,3.7143,-2.1263,4.3333,5.8333,1.5,,9.9611,9.9611,0.175,2.6,8.6,5.6,11.6,8.6,8.6,5.6,8.6,8.6,8.6,5.6,8.6,8.6,,10,,1,0.9545,0.1429,,,
Efton Chism,NE,WR,7,Yes,No,Yes,5,,No,,Yes,,,,,,,,,,,,,,,0.4,0.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8,,,,,,,
Elijah Mitchell,KC,RB,1,No,No,No,1,,No,,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,1,,,,
Samaje Perine,CIN,RB,57,No,No,Yes,40,8,Yes,1,Yes,8,1,,0.2,7,,0.875,30,41,10,-16,2,0.2857,0.05,,0.025,,,,-2,82.3,0.75,3.75,-2.2676,4.2857,5.8571,1.4286,4,11.0859,11.0859,0.1455,3,10,6.5,13.5,10,10,6.5,10,10,10,6.5,10,10,,15,,1,0.925,0.125,,,
Bam Knight,ARZ,RB,37,No,No,No,27,9,No,,No,8,0.8889,1,0.3333,8,,0.8889,75,70,20,8,2,0.25,,0.0741,0.0741,3,1,0.1111,0.8889,138.4,2.7778,8.3333,2.3417,9.375,8.75,2.5,4,17.853,17.853,0.25,13.5,21.5,17.5,25.5,21.5,21.5,17.5,21.5,21.5,21.5,17.5,21.5,21.5,3,12,1,,0.8519,,,,
Jaret Patterson,LAC,RB,14,Yes,No,No,8,3,No,,Yes,2,0.6667,,0.375,2,,0.6667,5,6,2,-3,,,0.125,,0.125,2,1,0.3333,-1,70.1,0.625,1.6667,-4.2814,2.5,3,1,1,4.4785,4.4785,0.2143,0.5,2.5,1.5,3.5,2.5,2.5,1.5,2.5,2.5,2.5,1.5,2.5,2.5,,6,,,0.75,,,,
Travis Etienne,JAX,RB,95,No,No,No,69,18,Yes,2,Yes,16,0.8889,,0.2609,14,,0.7778,84,114,15,-36,4,0.2857,,0.1159,0.0725,11,8,0.4444,-2,125.7,1.2174,4.6667,-1.3271,6,8.1429,1.0714,6,28.9634,28.9634,0.2069,26.4,40.4,33.4,47.4,40.4,40.4,33.4,40.4,40.4,40.4,33.4,40.4,40.4,4,17,3,1,0.8116,0.0556,,,
Josh Whyle,GB,TE,18,No,No,Yes,14,,No,,Yes,,,,,,,,,,,,,,0.5714,0.1429,0.2857,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8,,,,,,,
Jordan Whittington,LA,WR,62,No,No,No,50,11,No,1,Yes,10,0.9091,,0.22,8,1,0.7273,47,38,13,23,,,0.02,0.6,0.38,8,2,0.1818,2.0909,80.5,0.94,4.2727,-1.8382,5.875,4.75,1.625,2,18.3039,18.3039,0.1774,4.7,12.7,8.7,12.7,12.7,12.7,8.7,12.7,12.7,12.7,8.7,12.7,12.7,,17,,2,,0.1818,,,
John FitzPatrick,GB,TE,32,No,No,No,27,6,No,,No,6,1,,0.2222,5,,0.8333,30,19,6,12,1,0.2,0.7407,0.1111,0.0741,2,,,2,87.5,1.1111,5,-1.0488,6,3.8,1.2,1,11.8231,11.8231,0.1935,3,8,5.5,8,10.5,8,5.5,8,8,8,5.5,10.5,8,1,15,,1,0.0741,0.1667,,,
Quentin Skinner,NYJ,WR,4,Yes,No,No,4,,No,,Yes,,,,,,,,,,,,,,,0.25,0.75,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,
Sean Tucker,TB,RB,20,No,No,No,14,4,Yes,,Yes,4,1,,0.2857,4,,1,6,19,4,-13,,,,,0.2857,,,,-3.25,79.2,0.4286,1.5,-4.4011,1.5,4.75,1,,6.9194,6.9194,0.2,0.6,4.6,2.6,6.6,4.6,4.6,2.6,4.6,4.6,4.6,2.6,4.6,4.6,,17,,,0.7143,,,,
Brashard Smith,KC,RB,31,No,No,No,26,16,No,,No,16,1,,0.6154,13,,0.8125,101,138,25,-31,2,0.1538,,0.3462,0.3077,15,11,0.6875,-1.9375,93,3.8846,6.3125,0.2066,7.7692,10.6154,1.9231,5,24.4697,24.4697,0.5333,10.1,23.1,16.6,29.6,23.1,26.1,19.6,23.1,23.1,23.1,16.6,23.1,23.1,2,17,,1,0.3462,0.0625,,,
Cedrick Wilson,MIA,WR,21,Yes,No,Yes,13,1,No,1,Yes,1,1,,0.0769,1,1,1,8,4,1,4,,,,0.3077,0.6923,1,,,4,100,0.6154,8,1.9502,8,4,1,,1.253,1.253,0.0476,0.8,1.8,1.3,1.8,1.8,1.8,1.3,1.8,1.8,1.8,1.3,1.8,1.8,,10,,,,,,,
Tank Bigsby,PHI,RB,13,No,Yes,No,10,2,No,,Yes,2,1,,0.2,1,,0.5,2,3,2,,,,,0.1,0.1,,,,,56.3,0.2,1,-4.7742,2,3,2,,3.3079,3.3079,0.1818,0.2,1.2,0.7,1.7,1.2,1.2,0.7,1.2,1.2,1.2,0.7,1.2,1.2,1,16,,1,0.8,0.5,,,
Jordan Watkins,SF,WR,3,No,Yes,Yes,3,1,No,,No,1,1,,0.3333,1,,1,7,1,,6,,,,0.3333,0.6667,1,,,6,95.8,2.3333,7,0.0509,7,1,,,1.665,1.665,0.5,0.7,1.7,1.2,1.7,1.7,1.7,1.2,1.7,1.7,1.7,1.2,1.7,1.7,,4,,,,,,,
Jordan Addison,MIN,WR,107,No,No,Yes,94,18,No,4,Yes,15,0.8333,1,0.1915,11,2,0.6111,92,19,8,115,2,0.1818,,0.2766,0.7234,18,1,0.0556,6.3889,92.8,0.9787,5.1111,-1.8297,8.3636,1.7273,0.7273,5,29.0793,29.0793,0.1856,15.2,26.2,20.7,26.2,26.2,26.2,20.7,26.2,26.2,26.2,20.7,26.2,26.2,4,14,1,4,,0.2222,1,,
Tyler Lockett,LV,WR,101,No,No,No,94,18,No,5,No,17,0.9444,1,0.1915,14,2,0.7778,101,36,9,94,1,0.0714,,0.766,0.234,17,3,0.1667,5.2222,90,1.0745,5.6111,-1.1375,7.2143,2.5714,0.6429,3,32.9442,32.9442,0.2022,10.1,24.1,17.1,24.1,24.1,27.1,20.1,24.1,24.1,24.1,17.1,24.1,24.1,1,17,,,,,,,
Keon Coleman,BUF,WR,78,Yes,No,No,68,15,No,4,Yes,11,0.7333,3,0.2206,9,1,0.6,54,29,6,89,,,0.0147,0.2647,0.7206,12,1,0.0667,5.9333,89.3,0.7941,3.6,-3.3033,6,3.2222,0.6667,2,28.0296,28.0296,0.2055,10.4,19.4,14.9,19.4,19.4,19.4,13.9,18.4,18.4,18.4,13.9,19.4,18.4,3,13,1,2,,0.1333,1,,
Lil'Jordan Humphrey,DEN,WR,42,Yes,No,No,29,8,No,2,Yes,6,0.75,3,0.2759,5,1,0.625,40,10,4,58,,,,0.3103,0.6897,8,,,7.25,114.6,1.3793,5,-2.1791,8,2,0.8,3,18.0775,18.0775,0.2051,10,15,12.5,15,15,15,12.5,15,15,15,12.5,15,15,4,10,1,,,,1,,
Xavier Smith,LA,WR,44,No,No,No,36,7,No,,Yes,7,1,,0.1944,7,,1,62,40,11,22,1,0.1429,,0.7222,0.2778,2,2,0.2857,3.1429,103.6,1.7222,8.8571,2.7899,8.8571,5.7143,1.5714,3,11.0967,11.0967,0.175,6.2,13.2,9.7,13.2,13.2,13.2,9.7,13.2,13.2,13.2,9.7,13.2,13.2,2,16,,,,,,,
Kenneth Walker,SEA,RB,66,No,No,No,46,14,Yes,,Yes,14,1,,0.3043,14,,1,159,196,62,-37,4,0.2857,,0.0652,0.087,10,6,0.4286,-2.6429,114,3.4565,11.3571,5.4816,11.3571,14,4.4286,7,22.2133,22.2133,0.2258,15.9,29.9,22.9,36.9,29.9,32.9,25.9,29.9,29.9,29.9,22.9,29.9,29.9,1,17,,,0.8478,,,,
De'Von Achane,MIA,RB,129,No,No,No,100,35,No,2,Yes,31,0.8857,,0.35,31,2,0.8857,212,258,37,-37,8,0.2581,,0.24,0.12,15,9,0.2571,-1.0571,80,2.12,6.0571,-0.2671,6.8387,8.3226,1.1935,11,54.5978,54.5978,0.2966,21.2,52.2,36.7,67.7,52.2,55.2,39.7,52.2,52.2,52.2,36.7,52.2,52.2,1,16,,,0.64,,,,
Mike Evans,TB,WR,60,No,No,No,48,15,Yes,5,Yes,12,0.8,3,0.3125,8,2,0.5333,65,12,6,130,1,0.125,,0.2292,0.7708,14,,,8.6667,64.6,1.3542,4.3333,-3.3371,8.125,1.5,0.75,5,37.0794,37.0794,0.2586,18.5,26.5,22.5,26.5,26.5,26.5,22.5,26.5,26.5,26.5,22.5,26.5,26.5,3,8,2,1,,0.0667,2,,
Rashee Rice,KC,WR,67,No,No,Yes,61,27,No,4,Yes,23,0.8519,3,0.4426,21,1,0.7778,178,186,19,32,2,0.0952,,0.459,0.5082,23,13,0.4815,1.1852,118.3,2.918,6.5926,0.8258,8.4762,8.8571,0.9048,11,49.992,49.992,0.4355,41.8,62.8,52.3,62.8,62.8,65.8,55.3,62.8,62.8,62.8,52.3,62.8,62.8,8,8,4,,0.0328,,2,,
Ty Chandler,MIN,RB,7,No,No,Yes,6,3,No,,Yes,2,0.6667,,0.5,2,,0.6667,9,19,4,-14,,,,,,3,3,1,-4.6667,70.1,1.5,3,-2.4059,4.5,9.5,2,1,5.4598,5.4598,0.75,0.9,2.9,1.9,3.9,2.9,2.9,1.9,2.9,2.9,2.9,1.9,2.9,2.9,2,3,,,1,,,,
Austin Hooper,NE,TE,56,Yes,No,Yes,37,1,No,1,Yes,1,1,1,0.027,1,1,1,3,,,12,,,0.7297,0.0541,0.2162,1,,,12,118.8,0.0811,3,-5.6661,3,,,1,3.1286,3.1286,0.02,6.3,7.3,6.8,7.3,7.8,7.3,6.8,7.3,7.3,7.3,6.8,7.8,7.3,1,16,1,,,,1,,1
Justin Watson,HST,WR,12,No,No,Yes,11,1,No,,Yes,1,1,,0.0909,1,,1,15,2,1,13,,,,0.6364,0.3636,1,,,13,118.8,1.3636,15,6.0855,15,2,1,1,1.8537,1.8537,0.0833,1.5,2.5,2,2.5,2.5,2.5,2,2.5,2.5,2.5,2,2.5,2.5,,3,,,,,,,
Britain Covey,PHI,WR,6,No,Yes,No,6,2,No,,Yes,2,1,,0.3333,1,,0.5,12,17,2,-2,,,,0.8333,0.1667,1,1,0.5,-1,68.8,2,6,1.1952,12,17,2,1,3.0146,3.0146,0.3333,1.2,2.2,1.7,2.2,2.2,2.2,1.7,2.2,2.2,2.2,1.7,2.2,2.2,,6,,1,,0.5,,,
Jaylen Wright,MIA,RB,12,Yes,No,Yes,9,3,No,,Yes,2,0.6667,,0.3333,2,,0.6667,31,38,23,-13,1,0.5,,0.2222,,3,3,1,-4.3333,100.7,3.4444,10.3333,4.6138,15.5,19,11.5,1,4.2321,4.2321,0.25,3.1,5.1,4.1,6.1,5.1,5.1,4.1,5.1,5.1,5.1,4.1,5.1,5.1,,10,,,0.7778,,,,
Ben Yurosek,MIN,TE,6,No,No,Yes,4,,No,,Yes,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12,,,,,,,
Devin Culp,TB,TE,9,Yes,No,No,8,,No,,Yes,,,,,,,,,,,,,,0.625,0.125,0.25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11,,,,,,,
Tyrone Tracy,NYG,RB,88,Yes,No,No,62,19,No,2,Yes,18,0.9474,,0.3065,16,,0.8421,95,138,50,-42,4,0.25,,0.0484,0.0484,7,3,0.1579,-2.2105,87.5,1.5323,5,-0.4711,5.9375,8.625,3.125,5,28.5313,28.5313,0.2346,9.5,25.5,17.5,33.5,25.5,25.5,17.5,25.5,25.5,25.5,17.5,25.5,25.5,,15,,1,0.9032,0.0526,,,
Michael Mayer,LV,TE,71,No,No,No,60,15,No,4,No,12,0.8,,0.25,8,,0.5333,66,42,18,40,2,0.25,0.6667,0.2167,0.1,11,1,0.0667,2.6667,37.1,1.1,4.4,-1.6887,8.25,5.25,2.25,4,21.3623,21.3623,0.2239,6.6,14.6,10.6,14.6,18.6,14.6,10.6,14.6,14.6,14.6,10.6,18.6,14.6,1,13,,1,0.0167,0.0667,,,
Jelani Woods,NYJ,TE,9,No,No,No,6,,No,,Yes,,,,,,,,,,,,,,0.3333,0.5,0.1667,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,,,,,,,
Bryce Oliver,TEN,WR,10,No,No,No,7,,Yes,,Yes,,,,,,,,,,,,,,,0.1429,0.8571,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,,,,,,,
Marvin Harrison,ARZ,WR,95,No,No,No,86,21,No,,Yes,15,0.7143,5,0.2442,12,,0.5714,113,63,28,144,2,0.1667,,0.186,0.814,17,2,0.0952,6.8571,111.7,1.314,5.381,-1.7387,9.4167,5.25,2.3333,9,41.7458,41.7458,0.2471,29.3,41.3,35.3,41.3,41.3,44.3,38.3,41.3,41.3,41.3,35.3,41.3,41.3,6,12,3,2,,0.0952,3,,
Ollie Gordon,MIA,RB,35,Yes,No,Yes,18,5,No,,Yes,5,1,,0.2778,5,,1,28,45,10,-17,4,0.8,,,,4,4,0.8,-3.4,129.6,1.5556,5.6,-0.1051,5.6,9,2,1,7.188,7.188,0.1515,8.8,13.8,11.3,16.3,13.8,13.8,11.3,13.8,13.8,13.8,11.3,13.8,13.8,1,17,1,,1,,,,
Mo Alie-Cox,IND,TE,60,No,No,Yes,33,8,No,1,Yes,7,0.875,,0.2424,5,,0.625,44,38,10,31,,,0.9394,0.0606,,6,,,3.875,37.5,1.3333,5.5,-1.1308,8.8,7.6,2,1,12.1708,12.1708,0.1481,4.4,9.4,6.9,9.4,11.9,9.4,6.9,9.4,9.4,9.4,6.9,11.9,9.4,2,17,,2,,0.25,,,
T.J. Hockenson,MIN,TE,107,No,No,Yes,82,14,No,,Yes,13,0.9286,,0.1707,10,,0.7143,85,42,19,69,1,0.1,0.4756,0.378,0.1463,10,2,0.1429,4.9286,86.9,1.0366,6.0714,-0.8796,8.5,4.2,1.9,4,20.7916,20.7916,0.1414,8.5,18.5,13.5,18.5,23.5,18.5,13.5,18.5,18.5,18.5,13.5,23.5,18.5,1,15,,3,,0.2143,,,
Stone Smartt,NYJ,TE,17,Yes,No,No,14,3,No,1,Yes,2,0.6667,,0.2143,2,1,0.6667,10,,,12,,,0.4286,0.5,0.0714,3,,,4,71.5,0.7143,3.3333,-3.1766,5,,,1,4.225,4.225,0.2143,1,3,2,3,4,3,2,3,3,3,2,4,3,,8,,,,,,,
Xavier Hutchinson,HST,WR,117,No,No,Yes,107,13,No,2,Yes,12,0.9231,,0.1215,11,1,0.8462,102,43,10,72,,,,0.2336,0.7664,11,1,0.0769,5.5385,99.4,0.9533,7.8462,0.9985,9.2727,3.9091,0.9091,4,24.0685,24.0685,0.1161,10.2,21.2,15.7,21.2,21.2,24.2,18.7,21.2,21.2,21.2,15.7,21.2,21.2,1,17,,,,,,,
Simi Fehoko,ARZ,WR,10,No,No,No,7,,No,,Yes,,,,,,,,,,,,,,,0.1429,0.8571,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7,,,,,,,
Josh Reynolds,NYJ,WR,39,No,No,No,37,5,No,1,Yes,3,0.6,,0.1351,3,1,0.6,27,1,1,51,,,,0.1892,0.8108,4,,,10.2,74.6,0.7297,5.4,-2.7545,9,0.3333,0.3333,1,7.0485,7.0485,0.1471,2.7,5.7,4.2,5.7,5.7,5.7,4.2,5.7,5.7,5.7,4.2,5.7,5.7,,5,,,,,,,
Noah Gray,KC,TE,88,No,No,No,56,13,No,,No,10,0.7692,1,0.2321,10,,0.7692,98,74,24,40,,,0.4464,0.3393,0.1786,9,1,0.0769,3.0769,97.6,1.75,7.5385,1.0727,9.8,7.4,2.4,4,22.5051,22.5051,0.1605,9.8,19.8,14.8,19.8,24.8,19.8,14.8,19.8,19.8,19.8,14.8,24.8,19.8,2,16,,,0.0357,,,,
Brian Thomas,JAX,WR,125,No,No,No,113,26,Yes,1,Yes,22,0.8462,1,0.2301,18,,0.6923,188,70,14,168,2,0.1111,,0.2566,0.7434,23,1,0.0385,6.4615,102.7,1.6637,7.2308,0.2403,10.4444,3.8889,0.7778,11,41.6838,41.6838,0.2241,24.8,42.8,33.8,42.8,42.8,45.8,36.8,42.8,42.8,42.8,33.8,42.8,42.8,3,14,1,3,,0.1154,,,
Chimere Dike,TEN,WR,119,No,No,No,107,24,Yes,,Yes,22,0.9167,,0.2243,21,,0.875,116,113,22,22,3,0.1429,,0.7196,0.271,22,13,0.5417,0.9167,100.7,1.0841,4.8333,-0.7966,5.5238,5.381,1.0476,5,40.9329,40.9329,0.2162,17.6,38.6,28.1,38.6,38.6,41.6,31.1,38.6,38.6,38.6,28.1,38.6,38.6,3,17,1,1,0.0093,0.0417,,,
Tim Patrick,JAX,WR,47,No,No,No,42,10,Yes,5,Yes,9,0.9,2,0.2381,6,3,0.6,44,13,4,92,1,0.1667,,0.3571,0.6429,6,,,9.2,64.2,1.0476,4.4,-3.5938,7.3333,2.1667,0.6667,4,22.2728,22.2728,0.2381,10.4,16.4,13.4,16.4,16.4,16.4,13.4,16.4,16.4,16.4,13.4,16.4,16.4,5,16,1,2,,0.2,1,,
DeAndre Hopkins,BLT,WR,51,No,Yes,No,44,10,No,2,No,8,0.8,,0.2273,7,2,0.7,81,10,2,85,,,,0.3409,0.6591,10,,,8.5,94.2,1.8409,8.1,0.5195,11.5714,1.4286,0.2857,4,18.8193,18.8193,0.2041,8.1,15.1,11.6,15.1,15.1,15.1,11.6,15.1,15.1,15.1,11.6,15.1,15.1,,17,,1,,0.1,,,
Jahmyr Gibbs,DET,RB,110,Yes,No,No,83,28,No,3,Yes,26,0.9286,,0.3373,24,3,0.8571,150,187,39,-54,10,0.4167,0.012,0.0602,0.1084,19,11,0.3929,-1.9286,100.9,1.8072,5.3571,-0.6522,6.25,7.7917,1.625,6,41.5317,41.5317,0.2857,21,45,33,57,45,48,36,45,45,45,33,45,45,2,17,1,2,0.8193,0.0714,,,
Cody White,SEA,WR,9,No,Yes,Yes,9,1,No,,Yes,1,1,,0.1111,1,,1,21,13,13,8,1,1,,0.3333,0.6667,1,,,8,118.8,2.3333,21,13.4894,21,13,13,1,1.7034,1.7034,0.125,2.1,3.1,2.6,3.1,3.1,3.1,2.6,3.1,3.1,3.1,2.6,3.1,3.1,,9,,,,,,,
Tay Martin,WAS,WR,5,No,No,No,3,2,No,,Yes,2,1,,0.6667,2,,1,23,5,3,18,,,,,1,2,,,9,114.6,7.6667,11.5,3.8613,11.5,2.5,1.5,1,2.6494,2.6494,0.4,2.3,4.3,3.3,4.3,4.3,4.3,3.3,4.3,4.3,4.3,3.3,4.3,4.3,,3,,,,,,,
Zavier Scott,MIN,RB,22,No,No,Yes,13,5,No,,Yes,5,1,,0.3846,5,,1,26,29,8,-3,,,0.0769,0.2308,0.3077,4,3,0.6,-0.6,88.3,2,5.2,-0.9896,5.2,5.8,1.6,2,8.9773,8.9773,0.25,2.6,7.6,5.1,10.1,7.6,7.6,5.1,7.6,7.6,7.6,5.1,7.6,7.6,,11,,,0.3846,,,,
Jakobi Meyers,JAX,WR,150,No,No,No,146,30,Yes,3,Yes,27,0.9,3,0.2055,27,3,0.9,253,140,43,142,4,0.1481,,0.5,0.5,28,4,0.1333,4.7333,112.9,1.7329,8.4333,1.7408,9.3704,5.1852,1.5926,11,49.6066,49.6066,0.2143,30.3,57.3,43.8,57.3,57.3,60.3,45.8,56.3,56.3,56.3,42.8,57.3,56.3,4,16,1,,,,1,,
Dalton Kincaid,BUF,TE,58,Yes,No,No,47,16,No,1,Yes,14,0.875,1,0.3404,12,,0.75,182,113,33,107,1,0.0833,0.3191,0.4468,0.234,13,2,0.125,6.6875,132.8,3.8723,11.375,3.9367,15.1667,9.4167,2.75,7,26.4217,26.4217,0.2909,24.2,36.2,30.2,36.2,42.2,39.2,33.2,36.2,36.2,36.2,30.2,42.2,36.2,2,12,1,1,,0.0625,,,
Hunter Henry,NE,TE,132,Yes,No,Yes,107,21,No,6,Yes,18,0.8571,2,0.1963,16,4,0.7619,206,105,30,136,1,0.0625,0.2991,0.4579,0.215,18,,,6.4762,146,1.9252,9.8095,2.71,12.875,6.5625,1.875,12,42.8939,42.8939,0.1707,38.6,54.6,46.6,54.6,62.6,57.6,49.6,54.6,54.6,54.6,46.6,62.6,54.6,7,17,3,2,0.028,0.0952,1,,
Michael Wilson,ARZ,WR,160,No,No,No,149,38,No,9,Yes,31,0.8158,4,0.255,26,4,0.6842,269,92,51,284,5,0.1923,,0.3154,0.6846,32,1,0.0263,7.4737,123.7,1.8054,7.0789,-0.2677,10.3462,3.5385,1.9615,17,69.2494,69.2494,0.2533,50.9,76.9,63.9,76.9,76.9,79.9,66.9,76.9,76.9,76.9,63.9,76.9,76.9,5,17,4,3,,0.0789,3,,2
Gabe Davis,BUF,WR,39,Yes,No,No,30,4,No,3,Yes,4,1,,0.1333,3,2,0.75,17,8,4,12,,,0.0667,0.1667,0.7667,4,,,3,82.3,0.5667,4.25,-1.321,5.6667,2.6667,1.3333,,8.2189,8.2189,0.1053,1.7,4.7,3.2,4.7,4.7,4.7,3.2,4.7,4.7,4.7,3.2,4.7,4.7,3,6,,,,,,,
Ian Thomas,LV,TE,36,No,No,No,20,6,No,,No,6,1,,0.3,6,,1,41,40,17,1,1,0.1667,0.85,0.05,0.1,4,1,0.1667,0.1667,95.1,2.05,6.8333,0.9283,6.8333,6.6667,2.8333,1,8.5089,8.5089,0.1714,4.1,10.1,7.1,10.1,13.1,10.1,7.1,10.1,10.1,10.1,7.1,13.1,10.1,,15,,,,,,,
Zay Flowers,BLT,WR,116,No,Yes,No,110,29,No,4,No,28,0.9655,1,0.2636,25,3,0.8621,223,138,37,108,7,0.28,,0.3636,0.6273,24,9,0.3103,3.7241,121.7,2.0273,7.6897,1.2113,8.92,5.52,1.48,11,47.0622,47.0622,0.2613,34.3,59.3,46.8,59.3,59.3,62.3,49.8,59.3,59.3,59.3,46.8,59.3,59.3,6,17,2,2,0.0091,0.069,,,
Javonte Williams,DAL,RB,145,No,Yes,No,102,22,Yes,3,Yes,17,0.7727,,0.2157,15,,0.6818,42,96,35,-56,4,0.2667,,0.0588,0.0098,9,6,0.2727,-2.5455,71.4,0.4118,1.9091,-3.9252,2.8,6.4,2.3333,2,35.4051,35.4051,0.1571,4.2,19.2,11.7,26.7,19.2,19.2,11.7,19.2,19.2,19.2,11.7,19.2,19.2,5,16,,,0.9314,,,,
Cam Akers,SEA,RB,1,No,No,No,1,1,Yes,,Yes,1,1,,1,,,,,,,-7,,,,,,1,1,1,-7,39.6,,,-4.5287,,,,,1.1825,1.1825,1,,,,,,,,,,,,,,,4,,1,1,1,,,
Courtland Sutton,DEN,WR,183,Yes,No,No,150,38,No,10,Yes,34,0.8947,2,0.2533,27,5,0.7105,263,83,57,284,4,0.1481,,0.2,0.8,32,,,7.4737,90.1,1.7533,6.9211,-0.2863,9.7407,3.0741,2.1111,16,68.7673,68.7673,0.2184,26.3,53.3,39.8,53.3,53.3,56.3,42.8,53.3,53.3,53.3,39.8,53.3,53.3,4,17,,1,,0.0263,,,
Greg Dortch,ARZ,WR,67,No,No,No,66,11,No,3,Yes,10,0.9091,,0.1667,10,2,0.9091,32,58,9,-20,2,0.2,,0.6364,0.303,9,6,0.5455,-1.8182,79.2,0.4848,2.9091,-2.2505,3.2,5.8,0.9,2,17.5604,17.5604,0.1774,3.2,13.2,8.2,13.2,13.2,13.2,8.2,13.2,13.2,13.2,8.2,13.2,13.2,2,12,,,0.0606,,,,
Terrell Jennings,NE,RB,2,No,Yes,Yes,2,1,Yes,,Yes,1,1,,0.5,1,,1,9,7,3,2,,,,,,,,,2,104.2,4.5,9,2.6053,9,7,3,,1.3529,1.3529,0.5,0.9,1.9,1.4,2.4,1.9,1.9,1.4,1.9,1.9,1.9,1.4,1.9,1.9,,6,,,1,,,,
Tip Reiman,ARZ,TE,14,No,No,No,10,3,No,,No,2,0.6667,,0.3,2,,0.6667,8,4,4,10,1,0.5,0.9,,0.1,2,,,3.3333,70.1,0.8,2.6667,-3.4915,4,2,2,,4.456,4.456,0.2308,0.8,2.8,1.8,2.8,3.8,2.8,1.8,2.8,2.8,2.8,1.8,3.8,2.8,,4,,,,,,,
Tyrell Shavers,BUF,WR,53,Yes,No,No,37,3,No,,Yes,2,0.6667,,0.0811,2,,0.6667,44,21,1,37,,,0.027,0.2703,0.7027,1,,,12.3333,109.7,1.1892,14.6667,5.924,22,10.5,0.5,2,4.7034,4.7034,0.0588,4.4,6.4,5.4,6.4,6.4,6.4,5.4,6.4,6.4,6.4,5.4,6.4,6.4,,17,,,,,,,
Audric Estime,NO,RB,26,No,No,No,21,4,No,,No,3,0.75,,0.1905,3,,0.75,27,14,2,16,,,,0.0476,0.1429,2,,,4,92.7,1.2857,6.75,-0.6105,9,4.6667,0.6667,1,5.9793,5.9793,0.16,2.7,5.7,4.2,7.2,5.7,5.7,4.2,5.7,5.7,5.7,4.2,5.7,5.7,,6,,,0.8095,,,,
Charlie Kolar,BLT,TE,21,No,Yes,No,16,2,No,,No,2,1,1,0.125,2,,1,13,5,,10,,,0.9375,,0.0625,2,,,5,133.3,0.8125,6.5,0.02,6.5,2.5,,2,5.2263,5.2263,0.1,13.3,15.3,14.3,15.3,16.3,15.3,14.3,15.3,15.3,15.3,14.3,16.3,15.3,2,17,2,,,,1,,
Zach Ertz,WAS,TE,95,Yes,No,Yes,78,25,Yes,4,Yes,21,0.84,1,0.3205,19,4,0.76,168,63,16,146,2,0.1053,0.3205,0.5256,0.1538,19,1,0.04,5.84,86.8,2.1538,6.72,-0.2885,8.8421,3.3158,0.8421,7,48.3384,48.3384,0.2941,28.8,47.8,38.3,47.8,57.3,50.8,41.3,47.8,47.8,47.8,38.3,57.3,47.8,3,13,2,2,,0.08,,,
