Name,Team,POS,playerStatsSnapsOffenseTotal,PlayActionLabel,PressuredLabel,BlitzedLabel,RoutesTotal,TargetsTotal,TargetsContestedLabel,TargetsCatchableLabel,TargetsInEndzone,TargetsPerRoute,YardsAirTotal,AlignmentSlotRoutesPercentage,AlignmentWideRoutesPercentage,TargetedReadFirstTotal,AverageDepthOfTarget,DeepTargetTargetsTotal,PasserRatingWhenTargeted,AveragesPerTargetYardsOverExpected,playerStatsXfpPprTotal,playerStatsXfpPprReceiving,playerStatsOffenseThreatsPercentage,playerStatsInside20ReceivingTargetsTotal,playerStatsGamesPlayed,TargetsContestedTotal,TargetsCatchableTotal,TargetsCatchablePercentage,ReceptionsTotal,ReceptionsContested,ReceptionsPercentage,YardsTotal,YardsAfterCatchTotal,YardsAfterContactTotal,TouchdownsTotal,MissedTacklesForcedTotal,MissedTacklesForcedPerReception,AveragesPerRouteYardsTotal,AveragesPerTargetYardsTotal,AveragesPerReceptionYardsTotal,AveragesPerReceptionYardsAfterCatch,AveragesPerReceptionYardsAfterContact,playerStatsFirstDownsReceiving,playerStatsFantasyPointsNonPpr,playerStatsFantasyPointsPpr,playerStatsFantasyPointsHalfPpr,playerStatsFantasyPointsHalfPprRb,playerStatsFantasyPointsPprTe,playerStatsFantasyPointsDraftKings,playerStatsFantasyPointsFanDuel,playerStatsFantasyPointsCbs,playerStatsFantasyPointsNfl,playerStatsFantasyPointsEspn,playerStatsFantasyPointsYahoo,playerStatsFantasyPointsFfpc,playerStatsFantasyPointsNffc,DropsTotal,AlignmentBackfieldRoutesPercentage,AveragesPerTargetDropsTotal,AlignmentInlineRoutesPercentage,TargetedReadDesignTotal,TargetedReadDesignPercentage,TouchdownsInEndzone,ReceptionsHero
Evan Hull,NO,RB,9,No,No,No,9,,No,Yes,,,,,0.3333,,,,,,,,,,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.6667,,,,,,
Breece Hall,NYJ,RB,33,No,No,No,28,7,No,Yes,1,0.25,25,,0.0714,2,3.5714,,104.2,2.4363,11.2303,11.2303,0.2333,2,16,1,7,1,6,,0.8571,63,42,25,,2,0.3333,2.25,9,10.5,7,4.1667,5,6.3,12.3,9.3,15.3,12.3,12.3,9.3,12.3,12.3,12.3,9.3,12.3,12.3,,0.9286,,,,,,
Trent Sherfield,ARZ,WR,10,No,Yes,No,9,1,No,Yes,,0.1111,2,0.4444,0.5556,,2,,79.2,-2.3344,1.3058,1.3058,0.1,,12,,1,1,1,,1,3,1,-1,,,,0.3333,3,3,1,-1,,0.3,1.3,0.8,1.3,1.3,1.3,0.8,1.3,1.3,1.3,0.8,1.3,1.3,,,,,,,,
Tyquan Thornton,KC,WR,30,No,No,No,28,2,No,Yes,2,0.0714,29,0.4643,0.5357,1,14.5,,139.6,-2.3557,5.1474,5.1474,0.0741,2,14,1,2,1,2,1,1,16,,,2,,,0.5714,8,8,,,2,13.6,15.6,14.6,15.6,15.6,15.6,14.6,15.6,15.6,15.6,14.6,15.6,15.6,,,,,,,2,
Julian Hill,MIA,TE,25,Yes,No,Yes,14,6,No,Yes,,0.4286,23,0.2143,,3,3.8333,,53.5,-0.1249,8.5031,8.5031,0.24,1,14,1,5,0.8333,5,1,0.8333,38,27,9,,1,0.2,2.7143,6.3333,7.6,5.4,1.8,1,3.8,8.8,6.3,8.8,11.3,8.8,6.3,8.8,8.8,8.8,6.3,11.3,8.8,,,,0.7857,2,0.3333,,
Dameon Pierce,KC,RB,1,No,No,No,1,,No,Yes,,,,,,,,,,,,,,,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,
Blake Corum,LA,RB,30,No,No,Yes,22,3,No,No,,0.1364,-2,0.2727,,,-0.6667,,70.1,-6.4427,4.154,4.154,0.1071,,17,,3,1,2,,0.6667,-2,3,1,,,,-0.0909,-0.6667,-1,1.5,0.5,,-0.2,1.8,0.8,2.8,1.8,1.8,0.8,1.8,1.8,1.8,0.8,1.8,1.8,1,0.7273,0.3333,,,,,
Travis Hunter,JAX,WR,38,No,No,No,36,11,No,No,1,0.3056,48,0.6389,0.3611,9,4.3636,1,83.1,-1.4934,17.9243,17.9243,0.3056,2,7,1,8,0.7273,8,1,0.7273,54,33,11,,2,0.25,1.5,4.9091,6.75,4.125,1.375,1,5.4,13.4,9.4,13.4,13.4,13.4,9.4,13.4,13.4,13.4,9.4,13.4,13.4,,,,,2,0.1818,,
Kendre Miller,NO,RB,2,Yes,No,Yes,2,1,No,No,,0.5,3,,,,3,,112.5,4.4906,1.3707,1.3707,0.5,,7,,1,1,1,,1,11,8,3,,,,5.5,11,11,8,3,1,1.1,2.1,1.6,2.6,2.1,2.1,1.6,2.1,2.1,2.1,1.6,2.1,2.1,,1,,,,,,
Thomas Fidone,NYG,TE,4,No,No,No,3,,No,Yes,,,,1,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Braxton Berrios,HST,WR,8,No,No,No,8,3,No,Yes,,0.375,16,0.625,0.375,3,5.3333,,100,1.3507,4.6198,4.6198,0.375,,4,,3,1,3,,1,24,8,5,,1,0.3333,3,8,8,2.6667,1.6667,1,2.4,5.4,3.9,5.4,5.4,5.4,3.9,5.4,5.4,5.4,3.9,5.4,5.4,,,,,,,,
DK Metcalf,PIT,WR,73,No,No,No,71,13,Yes,Yes,,0.1831,91,0.1408,0.8451,12,7,,145,7.4128,22.2336,22.2336,0.1884,1,15,1,12,0.9231,8,,0.6154,188,134,37,2,8,1,2.6479,14.4615,23.5,16.75,4.625,6,30.8,38.8,34.8,38.8,38.8,41.8,37.8,38.8,38.8,38.8,34.8,38.8,38.8,2,0.0141,0.1538,,1,0.0769,,
Mark Andrews,BLT,TE,58,Yes,No,No,51,16,No,Yes,3,0.3137,129,0.7843,0.1765,12,8.0625,,54.4,-1.2833,31.8747,31.8747,0.2909,3,17,4,14,0.875,10,2,0.625,101,24,14,,2,0.2,1.9804,6.3125,10.1,2.4,1.4,5,10.1,20.1,15.1,20.1,25.1,23.1,18.1,20.1,20.1,20.1,15.1,25.1,20.1,3,,0.1875,0.0392,,,,
Parker Washington,JAX,WR,74,No,No,No,69,17,No,Yes,,0.2464,124,0.5217,0.4638,13,7.2941,,102.7,1.3883,30.1871,30.1871,0.2464,2,16,4,16,0.9412,14,3,0.8235,147,58,24,,3,0.2143,2.1304,8.6471,10.5,4.1429,1.7143,8,14.7,28.7,21.7,28.7,28.7,31.7,24.7,28.7,28.7,28.7,21.7,28.7,28.7,2,0.0145,0.1176,,2,0.1176,,
Eric Saubert,SEA,TE,12,Yes,No,No,6,1,No,Yes,,0.1667,4,0.1667,,,4,,104.2,2.9333,1.5097,1.5097,0.1111,,11,,1,1,1,,1,9,5,,,,,1.5,9,9,5,,,0.9,1.9,1.4,1.9,2.4,1.9,1.4,1.9,1.9,1.9,1.4,2.4,1.9,,,,0.8333,,,,
Ray-Ray McCloud,NYG,WR,19,No,Yes,Yes,19,5,No,No,,0.2632,17,0.1579,0.8421,3,3.4,,64.6,-3.5057,7.1892,7.1892,0.2778,,6,1,4,0.8,3,1,0.6,12,7,6,,,,0.6316,2.4,4,2.3333,2,1,1.2,4.2,2.7,4.2,4.2,4.2,2.7,4.2,4.2,4.2,2.7,4.2,4.2,1,,0.2,,1,0.2,,
Tucker Fisk,LAC,TE,20,No,No,No,10,1,No,Yes,,0.1,4,0.1,0.1,1,4,,39.6,-6.0667,1.3418,1.3418,0.0526,,10,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,1,0.8,,,,
Tai Felton,MIN,WR,3,No,No,No,3,,Yes,Yes,,,,,1,,,,,,,,,,14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Jimmy Horn,CAR,WR,9,No,No,No,9,2,No,Yes,,0.2222,-8,0.6667,0.3333,2,-4,,79.2,-2.4851,3.2598,3.2598,0.2222,,13,,2,1,2,,1,4,12,3,,,,0.4444,2,2,6,1.5,,0.4,2.4,1.4,2.4,2.4,2.4,1.4,2.4,2.4,2.4,1.4,2.4,2.4,,,,,2,1,,
Brian Robinson,SF,RB,17,Yes,No,No,16,6,No,Yes,,0.375,9,0.125,,2,1.5,,70.1,-3.6381,8.7909,8.7909,0.3529,1,17,2,5,0.8333,4,1,0.6667,16,13,4,,1,0.25,1,2.6667,4,3.25,1,,1.6,5.6,3.6,7.6,5.6,5.6,3.6,5.6,5.6,5.6,3.6,5.6,5.6,,0.875,,,1,0.1667,,
Alvin Kamara,NO,RB,42,Yes,Yes,No,32,11,Yes,Yes,,0.3438,33,0.0312,,4,3,,95.8,0.4223,18.0567,18.0567,0.2619,2,11,1,11,1,9,,0.8182,77,52,5,,3,0.3333,2.4062,7,8.5556,5.7778,0.5556,5,7.7,16.7,12.2,21.2,16.7,16.7,12.2,16.7,16.7,16.7,12.2,16.7,16.7,1,0.9688,0.0909,,,,,
Gunner Olszewski,NYG,WR,11,No,No,No,11,2,No,Yes,,0.1818,3,0.6364,0.3636,2,1.5,,100,2.2252,2.7532,2.7532,0.2,,16,1,2,1,2,1,1,16,13,6,,,,1.4545,8,8,6.5,3,1,1.6,3.6,2.6,3.6,3.6,3.6,2.6,3.6,3.6,3.6,2.6,3.6,3.6,,,,,1,0.5,,
Taysom Hill,NO,TE,14,No,No,No,13,3,No,Yes,,0.2308,4,0.5385,0.2308,2,1.3333,,106.9,3.5101,4.0114,4.0114,0.2143,,13,,3,1,3,,1,29,25,9,,,,2.2308,9.6667,9.6667,8.3333,3,1,2.9,5.9,4.4,5.9,7.4,5.9,4.4,5.9,5.9,5.9,4.4,7.4,5.9,,0.0769,,0.1538,2,0.6667,,
Colson Yankoff,WAS,TE,2,No,No,Yes,1,,No,No,,,,1,,,,,,,,,,,14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Dylan Laube,LV,RB,5,No,No,No,4,2,No,Yes,,0.5,4,,,,2,,56.3,-4.1194,2.7407,2.7407,0.5,,17,,1,0.5,1,,0.5,4,3,2,,,,1,2,4,3,2,,0.4,1.4,0.9,1.9,1.4,1.4,0.9,1.4,1.4,1.4,0.9,1.4,1.4,,1,,,,,,
Jason Brownlee,KC,WR,3,No,No,No,2,,No,Yes,,,,,1,,,,,,,,,,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Carter Runyon,LV,TE,2,No,No,No,1,,No,Yes,,,,1,,,,,,,,,,,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Malik Nabers,NYG,WR,14,No,No,Yes,14,1,No,Yes,,0.0714,13,0.3571,0.6429,,13,,118.8,4.0855,1.6627,1.6627,0.1,,4,,1,1,1,,1,13,,,,,,0.9286,13,13,,,1,1.3,2.3,1.8,2.3,2.3,2.3,1.8,2.3,2.3,2.3,1.8,2.3,2.3,,,,,,,,
Cade Otton,TB,TE,86,No,No,No,78,25,No,Yes,1,0.3205,128,0.5641,0.2179,14,5.12,,72.9,-0.193,36.1775,36.1775,0.2941,2,16,6,22,0.88,18,2,0.72,165,85,50,,4,0.2222,2.1154,6.6,9.1667,4.7222,2.7778,9,16.5,34.5,25.5,34.5,43.5,37.5,28.5,34.5,34.5,34.5,25.5,43.5,34.5,,,,0.2179,1,0.04,,
DeMario Douglas,NE,WR,31,Yes,No,Yes,30,8,No,Yes,,0.2667,43,0.8333,0.1667,8,5.375,,98.4,1.5741,11.8769,11.8769,0.2759,2,17,1,7,0.875,6,1,0.75,65,33,8,,,,2.1667,8.125,10.8333,5.5,1.3333,4,6.5,12.5,9.5,12.5,12.5,12.5,9.5,12.5,12.5,12.5,9.5,12.5,12.5,,,,,1,0.125,,1
