Name,Team,POS,playerStatsSnapsOffenseTotal,PlayActionLabel,PressuredLabel,BlitzedLabel,RoutesTotal,TargetsTotal,TargetsContestedLabel,TargetsCatchableLabel,TargetsInEndzone,TargetsPerRoute,YardsAirTotal,AlignmentSlotRoutesPercentage,AlignmentWideRoutesPercentage,TargetedReadFirstTotal,AverageDepthOfTarget,DeepTargetTargetsTotal,PasserRatingWhenTargeted,AveragesPerTargetYardsOverExpected,playerStatsXfpPprTotal,playerStatsXfpPprReceiving,playerStatsOffenseThreatsPercentage,playerStatsInside20ReceivingTargetsTotal,playerStatsGamesPlayed,TargetsContestedTotal,TargetsCatchableTotal,TargetsCatchablePercentage,ReceptionsTotal,ReceptionsContested,ReceptionsPercentage,YardsTotal,YardsAfterCatchTotal,YardsAfterContactTotal,TouchdownsTotal,MissedTacklesForcedTotal,MissedTacklesForcedPerReception,AveragesPerRouteYardsTotal,AveragesPerTargetYardsTotal,AveragesPerReceptionYardsTotal,AveragesPerReceptionYardsAfterCatch,AveragesPerReceptionYardsAfterContact,playerStatsFirstDownsReceiving,playerStatsFantasyPointsNonPpr,playerStatsFantasyPointsPpr,playerStatsFantasyPointsHalfPpr,playerStatsFantasyPointsHalfPprRb,playerStatsFantasyPointsPprTe,playerStatsFantasyPointsDraftKings,playerStatsFantasyPointsFanDuel,playerStatsFantasyPointsCbs,playerStatsFantasyPointsNfl,playerStatsFantasyPointsEspn,playerStatsFantasyPointsYahoo,playerStatsFantasyPointsFfpc,playerStatsFantasyPointsNffc,DropsTotal,AlignmentBackfieldRoutesPercentage,AveragesPerTargetDropsTotal,AlignmentInlineRoutesPercentage,TargetedReadDesignTotal,TargetedReadDesignPercentage,TouchdownsInEndzone,ReceptionsHero
Devin Culp,TB,TE,6,No,No,Yes,6,1,Yes,Yes,1,0.1667,11,0.3333,0.5,1,11,,131.3,-2.7402,2.1046,2.1046,0.2,1,11,,1,1,1,,1,6,,,1,,,1,6,6,,,1,6.6,7.6,7.1,7.6,8.1,7.6,7.1,7.6,7.6,7.6,7.1,8.1,7.6,,,,0.1667,,,1,
Jelani Woods,NYJ,TE,2,No,No,No,2,1,No,Yes,,0.5,8,,0.5,1,8,,39.6,-7.7205,1.9732,1.9732,0.5,,4,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.5,,,,
Marvin Harrison,ARZ,WR,52,No,No,No,50,6,No,Yes,1,0.12,67,0.44,0.56,5,11.1667,,91.7,-0.3765,12.8188,12.8188,0.125,1,12,1,6,1,4,,0.6667,49,4,3,,,,0.98,8.1667,12.25,1,0.75,2,4.9,8.9,6.9,8.9,8.9,8.9,6.9,8.9,8.9,8.9,6.9,8.9,8.9,1,,0.1667,,,,,
Jaylen Wright,MIA,RB,6,Yes,No,Yes,6,1,No,Yes,,0.1667,-2,0.6667,,1,-2,,39.6,-6.198,1.5026,1.5026,0.1667,,10,,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,0.3333,1,,1,1,,
Rashee Rice,KC,WR,35,No,No,No,32,11,No,Yes,1,0.3438,44,0.5312,0.4688,8,4,,93.8,-2.4206,23.5969,23.5969,0.3333,5,8,2,10,0.9091,6,,0.5455,42,36,3,1,1,0.1667,1.3125,3.8182,7,6,0.5,2,10.2,16.2,13.2,16.2,16.2,16.2,13.2,16.2,16.2,16.2,13.2,16.2,16.2,3,,0.2727,,3,0.2727,,
Ty Chandler,MIN,RB,1,No,No,No,1,,Yes,Yes,,,,,,,,,,,,,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,
Britain Covey,PHI,WR,5,No,No,Yes,5,1,No,No,,0.2,5,0.6,0.4,1,5,,100,1.6372,1.6126,1.6126,0.2,,6,,1,1,1,,1,8,3,1,,,,1.6,8,8,3,1,1,0.8,1.8,1.3,1.8,1.8,1.8,1.3,1.8,1.8,1.8,1.3,1.8,1.8,,,,,,,,
Austin Hooper,NE,TE,38,Yes,No,Yes,33,7,No,Yes,,0.2121,52,0.1515,0.1818,3,7.4286,,87.8,-1.3447,10.3878,10.3878,0.1944,,16,2,6,0.8571,5,1,0.7143,44,10,4,,,,1.3333,6.2857,8.8,2,0.8,2,4.4,9.4,6.9,9.4,11.9,9.4,6.9,9.4,9.4,9.4,6.9,11.9,9.4,,0.0303,,0.6364,,,,
Justin Watson,HST,WR,3,No,No,No,3,,No,Yes,,,,,1,,,,,,,,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Nyheim Hines,NO,RB,1,No,No,No,1,,No,Yes,,,,,,,,,,,,,,,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,
Luke Musgrave,GB,TE,28,No,No,No,24,4,Yes,Yes,,0.1667,17,0.3333,0.25,3,4.25,,86.5,-1.2071,6.213,6.213,0.1481,,17,2,4,1,3,1,0.75,21,5,1,,,,0.875,5.25,7,1.6667,0.3333,1,2.1,5.1,3.6,5.1,6.6,5.1,3.6,5.1,5.1,5.1,3.6,6.6,5.1,,,,0.4167,,,,
Aaron Jones,MIN,RB,28,No,No,No,23,4,No,Yes,,0.1739,4,,,2,1,,87.5,-0.7079,8.509,8.509,0.16,,12,,3,0.75,3,,0.75,22,16,5,,,,0.9565,5.5,7.3333,5.3333,1.6667,,2.2,5.2,3.7,6.7,5.2,5.2,3.7,5.2,5.2,5.2,3.7,5.2,5.2,,1,,,1,0.25,,
Luke Farrell,SF,TE,26,Yes,No,No,25,5,No,Yes,1,0.2,31,0.2,0.08,4,6.2,,99.2,0.8059,9.3116,9.3116,0.2,1,17,2,4,0.8,4,2,0.8,39,18,11,,,,1.56,7.8,9.75,4.5,2.75,2,2.9,6.9,4.9,6.9,8.9,6.9,3.9,5.9,5.9,5.9,3.9,8.9,5.9,,0.04,,0.68,,,,
Christian Kirk,HST,WR,43,No,No,No,42,9,No,Yes,,0.2143,36,0.5476,0.4524,6,4,,54.6,2.4866,13.0876,13.0876,0.2143,,13,1,7,0.7778,6,,0.6667,79,61,14,,1,0.1667,1.881,8.7778,13.1667,10.1667,2.3333,3,7.9,13.9,10.9,13.9,13.9,13.9,10.9,13.9,13.9,13.9,10.9,13.9,13.9,,,,,1,0.1111,,
