Name,Team,POS,playerStatsSnapsOffenseTotal,PlayActionLabel,PressuredLabel,BlitzedLabel,RoutesTotal,TargetsTotal,TargetsContestedLabel,TargetsCatchableLabel,TargetsCatchableTotal,TargetsCatchablePercentage,TargetsPerRoute,ReceptionsTotal,ReceptionsPercentage,YardsTotal,YardsAfterCatchTotal,YardsAfterContactTotal,YardsAirTotal,DropsTotal,AlignmentBackfieldRoutesPercentage,AlignmentSlotRoutesPercentage,TargetedReadFirstTotal,TargetedReadDesignTotal,TargetedReadDesignPercentage,AverageDepthOfTarget,PasserRatingWhenTargeted,AveragesPerRouteYardsTotal,AveragesPerTargetYardsTotal,AveragesPerTargetYardsOverExpected,AveragesPerTargetDropsTotal,AveragesPerReceptionYardsTotal,AveragesPerReceptionYardsAfterCatch,AveragesPerReceptionYardsAfterContact,playerStatsFirstDownsReceiving,playerStatsXfpPprTotal,playerStatsXfpPprReceiving,playerStatsOffenseThreatsPercentage,playerStatsFantasyPointsNonPpr,playerStatsFantasyPointsPpr,playerStatsFantasyPointsHalfPpr,playerStatsFantasyPointsHalfPprRb,playerStatsFantasyPointsPprTe,playerStatsFantasyPointsDraftKings,playerStatsFantasyPointsFanDuel,playerStatsFantasyPointsCbs,playerStatsFantasyPointsNfl,playerStatsFantasyPointsEspn,playerStatsFantasyPointsYahoo,playerStatsFantasyPointsFfpc,playerStatsFantasyPointsNffc,playerStatsGamesPlayed,TargetsContestedTotal,TargetsInEndzone,ReceptionsContested,TouchdownsTotal,TouchdownsInEndzone,MissedTacklesForcedTotal,MissedTacklesForcedPerReception,AlignmentWideRoutesPercentage,playerStatsInside20ReceivingTargetsTotal,AlignmentInlineRoutesPercentage,DeepTargetTargetsTotal,ReceptionsHero
Keaton Mitchell,BLT,RB,15,No,Yes,Yes,12,5,No,No,5,1,0.4167,4,0.8,35,45,3,-11,1,0.9167,0.0833,2,2,0.4,-2.2,56.3,2.9167,7,1.0452,0.2,8.75,11.25,0.75,2,7.0516,7.0516,0.3846,3.5,7.5,5.5,9.5,7.5,7.5,5.5,7.5,7.5,7.5,5.5,7.5,7.5,13,,,,,,,,,,,,
DJ Moore,CHI,WR,188,No,No,No,168,22,No,Yes,18,0.8182,0.131,16,0.7273,153,104,30,55,1,0.0417,0.3929,17,9,0.4091,2.5,106.8,0.9107,6.9545,0.4439,0.0455,9.5625,6.5,1.875,9,36.0495,36.0495,0.135,24.38,40.38,32.38,40.38,40.38,43.38,34.38,39.38,39.38,39.38,31.38,40.4,39.4,17,3,1,1,1,1,3,0.1875,0.5655,4,,,
Bucky Irving,TB,RB,62,Yes,No,Yes,45,16,No,Yes,15,0.9375,0.3556,15,0.9375,109,169,31,-48,,0.8,0.0667,9,4,0.25,-3,115.9,2.4222,6.8125,1.1777,,7.2667,11.2667,2.0667,5,27.3674,27.3674,0.3077,16.9,31.9,24.4,39.4,31.9,34.9,27.4,31.9,31.9,31.9,24.4,31.9,31.9,10,,,,1,,6,0.4,0.1333,2,,,
Josh Oliver,MIN,TE,49,Yes,Yes,Yes,37,9,No,No,9,1,0.2432,9,1,102,73,10,29,,,0.1351,6,,,3.2222,153.5,2.7568,11.3333,4.6107,,11.3333,8.1111,1.1111,6,17.0737,17.0737,0.2045,28.2,37.2,32.7,37.2,41.7,40.2,35.7,37.2,37.2,37.2,32.7,41.7,37.2,15,1,,1,3,,1,0.1111,0.027,3,0.8378,,
Nick Chubb,HST,RB,47,No,No,No,29,6,No,No,5,0.8333,0.2069,4,0.6667,33,33,1,5,1,0.9655,,3,2,0.3333,0.8333,80.6,1.1379,5.5,-0.8876,0.1667,8.25,8.25,0.25,1,9.4809,9.4809,0.1304,3.3,7.3,5.3,9.3,7.3,7.3,5.3,7.3,7.3,7.3,5.3,7.3,7.3,15,,,,,,,,0.0345,2,,,
Michael Carter,ARZ,RB,77,Yes,No,No,62,17,No,Yes,16,0.9412,0.2742,15,0.8824,120,113,42,14,1,0.9194,0.0645,3,,,0.8235,96.1,1.9355,7.0588,0.8546,0.0588,8,7.5333,2.8,7,25.5573,25.5573,0.2361,12,27,19.5,34.5,27,30,22.5,27,27,27,19.5,27,27,13,,,,,,9,0.6,0.0161,2,,,
Tyjae Spears,TEN,RB,74,No,Yes,No,53,23,No,No,21,0.913,0.434,21,0.913,102,157,40,-54,,0.8679,0.0566,8,5,0.2174,-2.3478,85.1,1.9245,4.4348,-1.4074,,4.8571,7.4762,1.9048,3,36.5095,36.5095,0.3485,10.2,31.2,20.7,41.7,31.2,34.2,23.7,31.2,31.2,31.2,20.7,31.2,31.2,13,1,,1,,,13,0.619,0.0566,5,0.0189,,
Isaiah Davis,NYJ,RB,54,No,No,No,36,11,No,Yes,9,0.8182,0.3056,8,0.7273,101,96,28,15,1,0.8889,0.0556,3,,,1.3636,100.9,2.8056,9.1818,2.8195,0.0909,12.625,12,3.5,5,17.1131,17.1131,0.2245,10.1,18.1,14.1,22.1,18.1,21.1,17.1,18.1,18.1,18.1,14.1,18.1,18.1,16,,,,,,1,0.125,0.0556,,,,
Colby Parkinson,LA,TE,95,Yes,No,No,73,26,No,Yes,24,0.9231,0.3562,22,0.8462,211,183,34,49,2,,0.0548,22,8,0.3077,1.8846,124,2.8904,8.1154,2.0063,0.0769,9.5909,8.3182,1.5455,13,46.2276,46.2276,0.2889,45.1,67.1,56.1,67.1,78.1,70.1,59.1,67.1,67.1,67.1,56.1,78.1,67.1,15,,1,,4,1,4,0.1818,0.137,10,0.8082,,
Isaiah Bond,CLV,WR,79,No,Yes,No,74,5,No,No,2,0.4,0.0676,1,0.2,2,,,22,1,,0.4189,4,,,4.4,39.6,0.027,0.4,-6.0871,0.2,2,,,,8.6615,8.6615,0.0735,0.2,1.2,0.7,1.2,1.2,1.2,0.7,1.2,1.2,1.2,0.7,1.2,1.2,16,1,,1,,,,,0.5811,,,,
