"Rank","Name","Team","POS","G","Season","ATT","YDS","RuYDS/G","YPC","TD","FUM","1D","EXP RUN %","EXP YDS","EXP YDS %","i5 %","TD RATE","Success %","STUFF %","MTF","MTF/ATT","YACO","YACO/ATT","YACO %","YBCO/ATT","ATT","ATT %","YDS","TD","YPC","Success %","ATT","ATT %","YDS","TD","YPC","Success %","FP/G","FP","XFP","XFP/G"
"1","Saquon Barkley","PHI","RB","16","2024","345","2005","125.3","5.81","13","2","82","7.2","835","41.6","41.5","3.8","52.5","43.5","45","0.13","780","2.26","38.9","3.55","187","54.2","1025","8","5.48","51.3","151","43.8","959","5","6.35","54.3","22.3","356.3","270.4","16.9"
"2","Derrick Henry","BLT","RB","17","2024","325","1921","113.0","5.91","16","3","93","7.7","803","41.8","90.9","4.9","59.1","38.2","65","0.20","854","2.63","44.5","3.28","172","52.9","1098","5","6.38","58.7","152","46.8","818","11","5.38","59.2","19.8","337.4","237.5","14.0"
"3","Bijan Robinson","ATL","RB","17","2024","304","1456","85.6","4.79","14","1","82","3.9","252","17.3","68.0","4.6","60.2","36.5","60","0.20","772","2.54","53.0","2.25","231","76.0","1163","9","5.03","60.6","71","23.4","294","5","4.14","60.6","20.1","341.7","305.6","18.0"
"4","Jonathan Taylor","IND","RB","14","2024","303","1431","102.2","4.72","11","2","71","5.6","510","35.6","64.3","3.6","45.9","49.5","32","0.11","614","2.03","42.9","2.70","153","50.5","672","7","4.39","43.8","150","49.5","759","4","5.06","48.0","17.6","245.7","239.3","17.1"
"5","Jahmyr Gibbs","DET","RB","17","2024","250","1412","83.1","5.65","16","0","70","10.0","590","41.8","44.7","6.4","53.6","37.2","57","0.23","586","2.34","41.5","3.30","159","63.6","1000","13","6.29","56.0","90","36.0","408","3","4.53","48.9","21.4","363.9","259.8","15.3"
"6","Josh Jacobs","GB","RB","17","2024","301","1329","78.2","4.42","15","4","73","3.7","282","21.2","66.7","5.0","52.2","44.2","52","0.17","776","2.58","58.4","1.84","157","52.2","719","4","4.58","47.8","143","47.5","606","11","4.24","56.6","17.4","296.1","265.8","15.6"
"7","Kyren Williams","LA","RB","16","2024","316","1299","81.2","4.11","14","5","85","1.9","127","9.8","74.1","4.4","50.9","39.6","36","0.11","662","2.09","51.0","2.02","150","47.5","616","5","4.11","45.3","166","52.5","683","9","4.11","56.0","17.2","275.1","271.8","17.0"
"8","Chuba Hubbard","CAR","RB","15","2024","250","1195","79.7","4.78","10","1","62","6.0","337","28.2","80.8","4.0","54.8","40.0","38","0.15","676","2.70","56.6","2.08","163","65.2","760","2","4.66","53.4","83","33.2","413","8","4.98","56.6","16.3","244.6","251.8","16.8"
"9","Aaron Jones","MIN","RB","17","2024","255","1138","66.9","4.46","5","3","49","3.5","217","19.1","65.0","2.0","50.2","45.1","29","0.11","660","2.59","58.0","1.87","151","59.2","659","1","4.36","51.7","102","40.0","458","4","4.49","47.1","14.4","244.6","266.0","15.6"
"10","Bucky Irving","TB","RB","17","2024","207","1122","66.0","5.42","8","2","52","6.8","400","35.7","50.0","3.9","55.1","41.1","53","0.26","626","3.02","55.8","2.40","83","40.1","306","2","3.69","48.2","114","55.1","745","5","6.54","57.9","14.4","245.4","214.1","12.6"
"11","James Conner","ARZ","RB","16","2024","236","1094","68.4","4.64","8","2","66","6.8","339","31.0","75.0","3.4","51.7","45.3","68","0.29","625","2.65","57.1","1.99","69","29.2","270","2","3.91","44.9","164","69.5","809","6","4.93","54.3","15.9","254.8","234.2","14.6"
"12","Tony Pollard","TEN","RB","16","2024","260","1079","67.4","4.15","5","2","53","5.0","282","26.1","50.0","1.9","47.7","48.5","30","0.12","718","2.76","66.5","1.39","99","38.1","325","0","3.28","46.5","159","61.2","750","5","4.72","48.4","12.7","202.7","239.3","15.0"
"13","Rico Dowdle","DAL","RB","16","2024","235","1079","67.4","4.59","2","3","53","3.8","170","15.8","38.5","0.9","53.6","38.3","29","0.12","621","2.64","57.6","1.95","149","63.4","651","2","4.37","57.0","83","35.3","403","0","4.86","45.8","12.5","199.8","212.3","13.3"
"14","Najee Harris","PIT","RB","17","2024","263","1043","61.4","3.97","6","0","50","4.2","256","24.5","42.9","2.3","43.7","52.1","50","0.19","641","2.44","61.5","1.53","187","71.1","751","3","4.02","43.9","76","28.9","292","3","3.84","43.4","12.0","204.6","220.2","13.0"
"15","Joe Mixon","HST","RB","14","2024","245","1016","72.6","4.15","11","0","52","4.5","308","30.3","87.5","4.5","42.4","51.4","31","0.13","581","2.37","57.2","1.78","158","64.5","586","8","3.71","40.5","82","33.5","414","3","5.05","46.3","17.2","240.5","240.7","17.2"
"16","James Cook","BUF","RB","16","2024","207","1009","63.1","4.87","16","1","48","4.8","313","31.0","48.4","7.7","53.1","42.5","41","0.20","514","2.48","50.9","2.39","114","55.1","518","6","4.54","51.8","93","44.9","491","10","5.28","54.8","16.7","266.7","202.2","12.6"
"17","Chase Brown","CIN","RB","16","2024","229","990","61.9","4.32","7","2","49","4.4","235","23.7","52.0","3.1","52.4","43.2","36","0.16","526","2.30","53.1","2.03","137","59.8","581","1","4.24","54.0","88","38.4","393","6","4.47","48.9","16.0","256.0","258.6","16.2"
"18","D'Andre Swift","CHI","RB","17","2024","253","959","56.4","3.79","6","1","43","3.6","244","25.4","41.7","2.4","43.9","53.4","33","0.13","541","2.14","56.4","1.65","109","43.1","369","2","3.39","36.7","142","56.1","588","4","4.14","49.3","12.6","214.5","231.3","13.6"
"19","Alvin Kamara","NO","RB","14","2024","228","950","67.9","4.17","6","0","52","4.4","181","19.1","68.8","2.6","51.3","43.9","30","0.13","514","2.25","54.1","1.91","164","71.9","712","4","4.34","54.3","62","27.2","247","2","3.98","45.2","19.0","265.3","270.5","19.3"
"20","De'Von Achane","MIA","RB","17","2024","203","907","53.4","4.47","6","0","37","4.9","286","31.5","70.0","3.0","49.3","47.8","33","0.16","450","2.22","49.6","2.25","109","53.7","485","3","4.45","50.5","83","40.9","365","3","4.40","48.2","17.6","299.9","293.1","17.2"
"21","J.K. Dobbins","LAC","RB","13","2024","195","905","69.6","4.64","9","0","47","5.1","296","32.7","42.9","4.6","42.6","53.8","30","0.15","463","2.37","51.2","2.27","81","41.5","341","4","4.21","39.5","114","58.5","564","5","4.95","44.7","14.8","191.8","181.9","14.0"
"22","Breece Hall","NYJ","RB","16","2024","209","876","54.8","4.19","5","5","40","5.3","230","26.3","80.0","2.4","46.4","49.3","27","0.13","541","2.59","61.8","1.60","125","59.8","467","1","3.74","44.0","82","39.2","392","4","4.78","48.8","15.2","242.9","248.0","15.5"
"23","Tyrone Tracy","NYG","RB","17","2024","192","839","49.4","4.37","5","2","39","5.2","263","31.3","25.0","2.6","44.3","47.9","32","0.17","478","2.49","57.0","1.88","103","53.6","547","2","5.31","49.5","87","45.3","285","3","3.28","37.9","10.8","184.3","188.8","11.1"
"24","Rhamondre Stevenson","NE","RB","15","2024","207","801","53.4","3.87","7","6","40","3.4","147","18.4","70.6","3.4","50.2","46.9","27","0.13","480","2.32","59.9","1.55","87","42.0","280","2","3.22","48.3","119","57.5","515","5","4.33","51.3","11.9","178.9","209.3","14.0"
"25","Brian Robinson","WAS","RB","14","2024","187","799","57.1","4.27","8","2","47","5.3","238","29.8","54.2","4.3","48.7","50.3","24","0.13","420","2.25","52.6","2.03","92","49.2","339","3","3.68","47.8","94","50.3","440","5","4.68","48.9","11.6","161.8","164.8","11.8"
"26","Jordan Mason","SF","RB","12","2024","153","789","65.8","5.16","3","3","37","7.8","291","36.9","45.0","2.0","47.1","47.7","33","0.22","468","3.06","59.3","2.10","105","68.6","518","3","4.93","49.5","48","31.4","271","0","5.65","41.7","9.7","115.9","116.9","9.7"
"27","David Montgomery","DET","RB","14","2024","185","775","55.4","4.19","12","2","50","2.7","89","11.5","53.1","6.5","55.1","42.7","31","0.17","456","2.46","58.8","1.72","120","64.9","542","6","4.52","58.3","64","34.6","233","6","3.64","50.0","15.9","222.7","194.4","13.9"
"28","Tank Bigsby","JAX","RB","16","2024","168","766","47.9","4.56","7","3","39","4.8","242","31.6","50.0","4.2","49.4","50.6","28","0.17","554","3.30","72.3","1.26","66","39.3","292","2","4.42","47.0","98","58.3","405","4","4.13","51.0","8.1","130.0","127.6","8.0"
