"Rank","Name","Team","POS","G","Season","DB","ATT","CMP","CMP %","YDS","YDS/G","YPA","TD","INT","1D","RATE","SACK","SACK %","SK YDS","ANY/A","SCRM","YDS","TD","CPOE","aDOT","AY","Deep Throw %","Deep Throw","YAC %","ADJ CMP %","1Read %","ACC %","CATCH %","OFF %","HERO %","TWT %","EZATT","DROP %","DROP YDS","TTT","TTP","TTSK","TTSC","QB SK","QBP","PRESS %","PRESS SK %","PrROE","CHK %","RPO %","TA","BAT","SPK","FP/DB","FP/OPP","FP/G","FP","OPP"
"1","Matthew Stafford","LA","QB","17","2025","627","597","388","65.0","4707","276.9","7.88","46","8","236","109.2","23","3.7","150","8.25","7","22","0","3.4","9.4","5277","13.6","81","40.8","74.9","68.0","56.1","76.2","16.2","6.7","2.5","52","6.0","287","2.56","2.57","3.4","4.8","3","187","29.8","12.3","-2.74","8.4","2.1","19","5","3","0.58","0.56","21.3","361.4","649"
"2","Jared Goff","DET","QB","17","2025","621","578","393","68.0","4564","268.5","7.90","34","8","223","105.5","38","6.1","259","7.51","5","48","0","5.6","7.2","3723","6.6","38","54.4","81.1","68.2","63.5","76.1","13.7","3.8","1.4","26","5.5","260","2.48","2.50","3.1","5.2","3","200","32.2","19.0","1.67","5.7","1.3","32","17","2","0.50","0.49","18.2","310.1","635"
"3","Dak Prescott","DAL","QB","17","2025","657","600","404","67.3","4552","267.8","7.59","30","10","220","99.5","31","4.7","208","7.12","26","176","1","3.9","8.3","4746","12.0","72","44.7","77.3","62.3","60.8","79.3","13.3","4.8","3.5","50","5.3","287","2.65","2.56","3.8","4.9","4","244","37.1","12.7","4.50","10.0","1.5","15","12","3","0.50","0.48","19.2","325.8","684"
"4","Drake Maye","NE","QB","17","2025","601","492","354","72.0","4394","258.5","8.93","31","8","203","113.5","47","7.8","201","8.26","62","429","3","9.8","9.3","4283","12.4","61","41.1","81.3","67.5","61.0","79.3","12.4","5.5","2.2","31","4.1","196","2.82","2.68","4.0","4.8","23","266","44.3","17.7","12.57","9.3","0.7","20","8","0","0.60","0.57","21.4","363.0","642"
"5","Sam Darnold","SEA","QB","17","2025","518","477","323","67.7","4048","238.1","8.49","25","14","178","99.1","27","5.2","186","7.40","14","89","0","6.1","8.4","3634","10.1","48","44.7","78.8","63.1","64.2","74.8","13.2","5.7","3.1","29","3.1","134","2.51","2.47","2.9","4.8","6","164","31.7","16.5","0.84","7.1","2.1","21","17","4","0.49","0.47","15.0","255.4","539"
"6","Trevor Lawrence","JAX","QB","17","2025","643","560","341","60.9","4007","235.7","7.16","29","12","194","91.0","41","6.4","247","6.32","42","309","4","4.0","9.2","4840","13.6","76","42.1","75.0","69.3","54.3","76.4","14.6","4.8","2.7","38","8.6","397","2.62","2.65","3.6","5.3","11","225","35.0","18.2","4.19","5.7","0.8","14","17","3","0.55","0.52","20.8","353.2","683"
"7","Caleb Williams","CHI","QB","17","2025","635","568","330","58.1","3942","231.9","6.94","27","7","187","90.1","24","3.8","165","6.76","43","363","2","0.3","8.8","4438","11.4","65","47.9","72.7","58.3","54.2","69.4","18.1","3.7","3.0","39","6.5","361","3.02","2.72","4.4","5.6","8","240","37.8","10.0","0.05","7.2","1.6","44","17","2","0.51","0.49","19.2","326.2","669"
"8","Bo Nix","DEN","QB","17","2025","670","612","388","63.4","3931","231.2","6.42","25","11","196","87.8","22","3.3","119","6.02","36","307","3","0.5","7.9","4524","11.8","72","53.3","75.1","62.4","57.2","73.4","18.1","4.1","2.8","34","6.2","294","2.73","2.54","4.1","4.7","10","246","36.7","8.9","2.82","10.8","6.1","27","12","1","0.47","0.44","18.7","317.8","717"
"9","Justin Herbert","LAC","QB","16","2025","615","512","340","66.4","3727","232.9","7.28","26","13","175","94.1","54","8.8","301","5.94","49","439","1","4.9","8.2","3948","12.1","62","44.9","78.3","64.3","61.5","77.3","14.5","5.1","2.3","39","6.1","248","2.60","2.44","3.4","4.4","12","267","43.4","20.2","14.37","7.0","2.6","20","8","0","0.49","0.47","18.9","301.9","649"
"10","Baker Mayfield","TB","QB","17","2025","621","543","343","63.2","3693","217.2","6.80","26","11","172","90.6","36","5.8","234","6.02","42","373","1","-1.7","8.3","4321","10.9","59","52.7","71.4","64.8","57.3","74.6","19.3","5.3","3.5","35","4.4","244","2.67","2.55","3.5","5.4","13","226","36.4","15.9","4.79","7.0","3.1","14","9","1","0.46","0.45","16.8","285.9","634"
