"Rank","Name","Team","POS","G","Season","RTE","RTE %","aDOT","AY","AY Share","TGT","TGT/G","TGT %","TPRR","REC","CR %","YDS","RecYDS/G","TM YDS %","YPRR","YPT","YPR","YAC","YAC/REC","YACO","YACO/REC","TD","TM TD %","i20 TGT","EZTGT","EZTD","DP TGT","1READ","1READ %","MTF","MTF/REC","1D","1D/RR","DRP","DRP %","CTGT","CTGT %","DESIGN","DESIGN %","CT","CC","CC %","HERO","RATE","THREAT","YPTOE","WIDE RTE %","SLOT RTE %","INLINE RTE %","BACK RTE %","FP/RR","FP/G","FP","XFP","XFP/G","XFP/RR","RecXFP"
"1","Jaxon Smith-Njigba","SEA","WR","17","2025","479","91.8","11.4","1794","49.1","157","9.2","32.6","0.33","119","75.8","1793","105.5","44.1","3.74","11.42","15.07","557","4.68","226","1.90","10","40.0","17","11","5","25","135","44.6","16","0.13","79","0.165","4","2.5","130","82.8","15","9.6","19","10","52.6","4","123.4","38.6","3.0","75.8","22.5","0.8","0.8","0.75","21.2","360.9","301.1","17.7","0.62","298.0"
"2","Puka Nacua","LA","WR","16","2025","446","75.1","9.2","1507","30.3","163","10.2","28.8","0.37","129","79.1","1715","107.2","37.9","3.85","10.52","13.29","684","5.30","359","2.78","10","24.4","17","5","2","19","144","37.5","20","0.16","80","0.179","4","2.5","140","85.9","17","10.4","30","23","76.7","9","128.4","38.7","2.8","62.6","35.4","1.3","0.7","0.84","23.5","376.0","289.2","18.1","0.64","285.3"
"3","George Pickens","DAL","WR","17","2025","583","85.2","12.0","1574","31.8","131","7.7","21.0","0.22","93","71.0","1429","84.1","30.2","2.45","10.91","15.37","483","5.19","249","2.68","9","29.0","23","18","6","23","107","27.2","16","0.17","73","0.125","4","3.1","105","80.2","1","0.8","33","24","72.7","5","120.1","25.0","2.5","90.1","9.9","","","0.50","17.2","291.9","268.8","15.8","0.46","268.8"
"4","Ja'Marr Chase","CIN","WR","16","2025","613","94.2","8.6","1566","37.2","182","11.4","30.2","0.30","125","68.7","1412","88.3","34.9","2.30","7.76","11.30","655","5.24","223","1.78","8","22.9","22","8","3","21","160","40.3","22","0.18","73","0.119","8","4.4","146","80.2","26","14.3","31","17","54.8","3","94.8","33.5","0.2","65.7","33.3","0.2","0.8","0.51","19.7","314.6","321.7","20.1","0.52","320.3"
"5","Amon-Ra St. Brown","DET","WR","17","2025","527","84.2","8.5","1410","37.1","166","9.8","28.5","0.31","117","70.5","1401","82.4","30.7","2.66","8.44","11.97","601","5.14","163","1.39","11","31.4","33","10","4","10","149","37.4","17","0.15","71","0.135","13","7.8","136","81.9","12","7.2","16","9","56.3","1","105.5","34.5","0.8","42.9","56.4","","0.8","0.61","19.1","324.0","314.8","18.5","0.59","310.5"
"6","Trey McBride","ARZ","TE","17","2025","667","89.4","7.0","1158","25.6","165","9.7","25.4","0.25","126","76.4","1239","72.9","28.5","1.86","7.51","9.83","585","4.64","217","1.72","11","37.9","32","18","7","9","140","33.8","17","0.13","63","0.094","2","1.2","140","84.8","26","15.8","39","24","61.5","1","119.2","29.3","0.0","9.4","61.9","28.3","0.3","0.47","18.6","315.9","299.7","17.6","0.45","299.7"
"7","Zay Flowers","BLT","WR","17","2025","464","92.1","10.1","1177","35.1","117","6.9","27.7","0.25","86","73.5","1211","71.2","36.9","2.61","10.35","14.08","466","5.42","105","1.22","5","21.7","11","5","1","19","89","33.3","20","0.23","48","0.103","10","8.5","101","86.3","18","15.4","12","8","66.7","2","113.6","31.5","2.2","65.1","34.7","","0.2","0.53","14.5","246.3","211.5","12.4","0.45","206.9"
"8","Chris Olave","NO","WR","16","2025","557","87.9","12.1","1820","41.7","151","9.4","27.2","0.27","100","66.2","1163","72.7","30.9","2.09","7.70","11.63","289","2.89","56","0.56","9","50.0","14","14","5","31","127","33.8","7","0.07","53","0.095","9","6.0","116","76.8","10","6.6","21","7","33.3","2","98.2","31.5","-0.7","57.1","42.7","","0.2","0.48","16.8","269.0","285.3","17.8","0.51","284.7"
"9","Nico Collins","HST","WR","15","2025","458","80.4","12.9","1522","37.7","118","7.9","23.1","0.26","71","60.2","1117","74.5","32.5","2.44","9.47","15.73","358","5.04","156","2.20","6","28.6","16","12","4","24","98","28.1","4","0.06","48","0.105","3","2.5","84","71.2","3","2.5","31","22","71.0","2","105.1","29.9","0.8","79.7","20.3","","","0.50","15.1","227.2","237.4","15.8","0.52","236.0"
"10","Jameson Williams","DET","WR","17","2025","556","88.8","12.9","1273","33.5","99","5.8","17.0","0.18","65","65.7","1117","65.7","24.5","2.01","11.28","17.18","439","6.75","160","2.46","7","20.0","9","4","1","19","74","18.6","14","0.22","49","0.088","12","12.1","81","81.8","9","9.1","6","3","50.0","0","123.2","19.6","2.3","75.7","24.1","","0.2","0.40","12.9","219.9","179.3","10.5","0.32","176.1"
