"Rank","Name","Team","POS","G","Season","ATT","YDS","RuYDS/G","YPC","TD","FUM","1D","EXP RUN %","EXP YDS","EXP YDS %","i5 %","TD RATE","Success %","STUFF %","MTF","MTF/ATT","YACO","YACO/ATT","YACO %","YBCO/ATT","ATT","ATT %","YDS","TD","YPC","Success %","ATT","ATT %","YDS","TD","YPC","Success %","FP/G","FP","XFP","XFP/G"
"83","James Conner","ARZ","RB","3","2025","32","95","31.7","2.97","1","1","7","","0","","60.0","3.1","43.8","53.1","6","0.19","58","1.81","61.1","1.16","4","12.5","13","0","3.25","25.0","27","84.4","81","1","3.00","44.4","11.1","33.3","39.0","13.0"
"84","Trevor Etienne","CAR","RB","17","2025","20","94","5.5","4.70","0","0","6","5.0","22","23.4","8.3","","50.0","50.0","4","0.20","49","2.45","52.1","2.25","8","40.0","58","0","7.25","75.0","11","55.0","34","0","3.09","36.4","0.8","13.7","17.9","1.1"
"85","LeQuint Allen","JAX","RB","17","2025","23","94","5.5","4.09","0","0","5","","0","","3.1","","39.1","43.5","3","0.13","37","1.61","39.4","2.48","15","65.2","72","0","4.80","46.7","8","34.8","22","0","2.75","25.0","1.5","24.8","33.6","2.0"
"86","Justice Hill","BLT","RB","10","2025","18","93","9.3","5.17","2","1","4","5.6","71","76.3","4.3","11.1","33.3","55.6","1","0.06","26","1.44","28.0","3.72","10","55.6","83","1","8.30","20.0","8","44.4","10","1","1.25","50.0","6.5","65.2","53.1","5.3"
"87","Raheim Sanders","CLV","RB","4","2025","27","92","23.0","3.41","1","0","7","","0","","50.0","3.7","51.9","37.0","4","0.15","69","2.56","75.0","0.85","17","63.0","72","1","4.24","52.9","9","33.3","18","0","2.00","44.4","5.1","20.3","29.5","7.4"
"88","British Brooks","HST","FB","13","2025","17","78","6.0","4.59","0","0","5","5.9","20","25.6","9.1","","47.1","47.1","3","0.18","68","4.00","87.2","0.59","5","29.4","30","0","6.00","40.0","8","47.1","33","0","4.13","50.0","0.6","7.8","13.5","1.0"
"89","Braelon Allen","NYJ","RB","4","2025","18","76","19.0","4.22","1","1","4","5.6","15","19.7","0.0","5.6","50.0","44.4","0","","37","2.06","48.7","2.17","13","72.2","45","1","3.46","46.2","5","27.8","31","0","6.20","60.0","4.1","16.3","17.4","4.3"
"90","Terrell Jennings","NE","RB","6","2025","23","73","12.2","3.17","1","0","8","","0","","16.7","4.3","43.5","56.5","1","0.04","42","1.83","57.5","1.35","4","17.4","8","0","2.00","25.0","19","82.6","65","1","3.42","47.4","2.5","15.2","16.2","2.7"
"91","Jerome Ford","CLV","RB","13","2025","24","73","5.6","3.04","0","0","5","","0","","16.7","","45.8","62.5","1","0.04","49","2.04","67.1","1.00","12","50.0","26","0","2.17","33.3","12","50.0","47","0","3.92","58.3","3.4","43.6","65.2","5.0"
"92","George Holani","SEA","RB","10","2025","22","73","7.3","3.32","1","1","5","","0","","0.0","4.5","50.0","36.4","6","0.27","54","2.45","74.0","0.86","14","63.6","47","1","3.36","42.9","8","36.4","26","0","3.25","62.5","1.6","15.8","12.6","1.3"
"93","Hunter Luepke","DAL","FB","17","2025","16","71","4.2","4.44","0","0","6","","0","","0.0","","62.5","25.0","1","0.06","38","2.38","53.5","2.06","8","50.0","42","0","5.25","62.5","5","31.3","22","0","4.40","60.0","2.2","37.0","31.3","1.8"
