Name,Team,POS,RTE,TGT,REC,YDS,AY,YAC
Harrison Bryant,HST,TE,17,2,1,5,11,
Tylan Wallace,BLT,WR,17,2,1,6,14,7
Jonnu Smith,PIT,TE,72,12,8,48,39,43
Adam Thielen,PIT,WR,62,9,5,34,63,10
Elijah Higgins,ARZ,TE,90,11,11,108,17,91
Braelon Allen,NYJ,RB,8,1,1,12,3,9
Josiah Deguara,ARZ,TE,18,,,,,
CJ Dippre,NE,TE,1,,,,,
David Moore,CAR,WR,21,1,1,5,5,
Amon-Ra St. Brown,DET,WR,165,45,30,400,431,148
Chris Moore,WAS,WR,86,8,4,45,89,8
Tutu Atwell,LA,WR,37,5,2,43,101,-1
Isaiah Williams,NYJ,WR,56,10,8,53,22,40
Josh Palmer,BUF,WR,71,12,5,73,149,31
Antonio Gibson,NE,RB,7,1,,,6,
Charlie Woerner,ATL,TE,38,1,1,3,-2,5
Mason Kinsey,TEN,WR,13,1,,,27,
Omarion Hampton,LAC,RB,47,13,11,76,-6,86
Corey Kiner,ARZ,RB,2,,,,,
Jeff Wilson,MIA,RB,1,,,,,
Kameron Johnson,TB,WR,14,2,2,30,21,9
Dyami Brown,JAX,WR,77,14,8,125,237,13
Luther Burden,CHI,WR,80,22,18,301,161,163
Garrett Wilson,NYJ,WR,71,14,10,85,132,17
Blake Whiteheart,CLV,TE,23,2,1,,26,
Cameron Latu,PHI,TE,5,,,,,
Ja'Corey Brooks,WAS,WR,1,,,,,
Chris Manhertz,NYG,TE,6,1,,,11,
Mason Taylor,NYJ,TE,112,20,16,165,121,77
Emanuel Wilson,GB,RB,38,5,5,59,-3,62
Quentin Johnston,LAC,WR,124,26,17,263,292,117
Xavier Worthy,KC,WR,113,24,15,203,401,83
Rachaad White,TB,RB,83,13,13,79,-19,98
Cam Grandy,CIN,TE,1,1,1,1,-4,5
Elijah Moore,BUF,WR,48,6,2,33,56,12
Malachi Corley,CLV,WR,26,6,5,10,-19,43
AJ Barner,SEA,TE,109,18,13,205,135,105
Zach Charbonnet,SEA,RB,51,7,5,37,22,25
Chuba Hubbard,CAR,RB,72,16,13,108,-11,138
Derrick Henry,BLT,RB,47,6,4,47,13,39
Robert Tonyan,KC,TE,13,1,1,1,1,
Jared Wayne,HST,WR,7,2,2,20,16,4
Sean McKeon,IND,TE,1,,,,,
Kareem Hunt,KC,RB,56,7,6,43,-4,47
Ty Johnson,BUF,RB,77,18,14,181,-28,199
Van Jefferson,TEN,WR,105,16,10,116,162,57
Elic Ayomanor,TEN,WR,151,30,16,210,388,39
Andre Baccellia,ARZ,WR,20,,,,,
Bijan Robinson,ATL,RB,138,42,37,439,-21,493
Jaleel McLaughlin,DEN,RB,6,3,3,18,-13,31
LeQuint Allen,JAX,RB,36,4,4,17,-11,28
Calvin Austin,PIT,WR,57,11,6,37,42,31
Colston Loveland,CHI,TE,129,36,22,337,396,122
Ronnie Bell,NO,WR,5,2,,,60,
Isiah Pacheco,KC,RB,57,10,6,29,-25,39
Pat Freiermuth,PIT,TE,59,9,6,43,33,33
Darren Waller,MIA,TE,53,10,6,80,101,27
Stefon Diggs,NE,WR,126,28,27,331,256,104
Jaydon Blue,DAL,RB,6,1,1,5,-5,10
Ashton Jeanty,LV,RB,98,19,15,109,-31,142
Kyle Monangai,CHI,RB,65,11,9,106,15,97
Ben Sinnott,WAS,TE,35,5,5,40,18,22
Zay Jones,ARZ,WR,53,5,4,49,49,10
Jaylin Noel,HST,WR,50,7,6,84,74,27
Andrei Iosivas,CIN,WR,115,14,12,153,157,36
Isaac TeSlaa,DET,WR,80,9,6,115,157,19
Allen Lazard,NYJ,WR,56,10,6,41,126,21
Hunter Renfrow,CAR,WR,41,7,3,26,84,4
Darnell Mooney,ATL,WR,125,24,13,156,288,13
Jeremy Ruckert,NYJ,TE,70,15,13,94,45,60
Kalif Raymond,DET,WR,55,6,5,67,30,41
Curtis Samuel,BUF,WR,27,4,3,55,94,5
Tanner Hudson,CIN,TE,21,3,2,21,14,16
Najee Harris,LAC,RB,7,2,2,20,5,15
Chase Brown,CIN,RB,89,12,11,67,-7,73
Daniel Bellinger,NYG,TE,62,11,9,179,127,80
Dylan Drummond,ATL,WR,19,5,3,28,45,5
Drew Sample,CIN,TE,59,4,3,8,,8
Austin Ekeler,WAS,RB,5,2,1,3,19,6
Devontez Walker,BLT,WR,16,2,2,64,62,2
Malik Davis,DAL,RB,9,1,,,2,
Marcedes Lewis,DEN,TE,1,,,,,
Emeka Egbuka,TB,WR,163,45,27,329,444,123
Dontayvion Wicks,GB,WR,58,13,10,113,128,31
Dawson Knox,BUF,TE,107,17,16,239,164,78
Noah Brown,WAS,WR,15,4,2,27,43,6
John Bates,WAS,TE,40,6,4,45,30,28
Trey McBride,ARZ,TE,217,53,44,447,355,210
Cam Skattebo,NYG,RB,33,9,8,71,-6,77
Dont'e Thornton,LV,WR,58,8,3,40,140,13
Will Shipley,PHI,RB,20,4,3,14,,17
Kyren Williams,LA,RB,94,16,11,91,41,63
Raheem Mostert,LV,RB,19,3,3,,-9,9
Payne Durham,TB,TE,18,1,,,,
Tucker Kraft,GB,TE,59,12,8,134,53,100
Jalen Coker,CAR,WR,79,8,7,82,85,14
Zach Horton,DET,TE,1,,,,,
Dallas Goedert,PHI,TE,128,28,20,230,204,110
Cedric Tillman,CLV,WR,83,12,7,98,156,26
Arian Smith,NYJ,WR,81,9,5,56,122,30
Harold Fannin,CLV,TE,103,29,20,208,156,123
Marvin Mims,DEN,WR,84,14,9,76,128,50
Calvin Ridley,TEN,WR,48,13,6,86,128,32
Chris Godwin,TB,WR,84,18,13,127,107,82
Terry McLaurin,WAS,WR,70,22,18,281,289,52
TreVeyon Henderson,NE,RB,85,15,12,70,-12,82
Jayden Reed,GB,WR,28,4,3,45,55,9
Devin Neal,NO,RB,42,5,4,16,-4,20
Oronde Gadsden,LAC,TE,84,21,16,245,213,90
Kyle Pitts,ATL,TE,160,34,24,249,279,99
Dante Pettis,NO,WR,15,3,3,3,-12,15
Brayden Willis,SF,TE,1,1,,,2,
Dalen Cambre,NYG,WR,2,,,,,
Albert Okwuegbunam,LV,TE,5,2,1,16,20,15
Raheim Sanders,CLV,RB,3,1,,,3,
Tyler Warren,IND,TE,145,39,32,401,228,250
Will Mallory,IND,TE,5,1,1,16,16,
DJ Giddens,IND,RB,2,,,,,
Chris Rodriguez,WAS,RB,30,1,1,6,2,4
Olamide Zaccheaus,CHI,WR,111,26,19,172,176,79
Theo Wease,MIA,WR,12,5,3,48,64,14
