team,team_pass_att_pg,team_pass_yds_pg,team_pass_td_pg,team_int_pg,team_carries_pg,team_rush_yds_pg,team_rush_td_pg,source
ARI,34.294117647058826,223.94117647058823,1.0588235294117647,0.6470588235294118,23.88235294117647,103.11764705882354,0.6470588235294118,clay_6_10
ATL,33.35294117647059,238.41176470588235,1.1176470588235294,0.7647058823529411,26.823529411764707,120.70588235294117,0.7647058823529411,clay_6_10
BAL,27.470588235294116,228.52941176470588,1.5294117647058822,0.5882352941176471,31.58823529411765,152.11764705882354,1.1764705882352942,clay_6_10
BUF,29.941176470588236,232.05882352941177,1.5294117647058822,0.7058823529411765,29.88235294117647,140.23529411764707,1.5294117647058822,clay_6_10
CAR,31.58823529411765,213.76470588235293,1.1764705882352942,0.7058823529411765,26.470588235294116,111.70588235294117,0.6470588235294118,clay_6_10
CHI,31.058823529411764,224.76470588235293,1.4705882352941178,0.5882352941176471,29.176470588235293,134.0,0.9411764705882353,clay_6_10
CIN,34.94117647058823,252.0,2.0,0.7058823529411765,25.352941176470587,108.17647058823529,0.7647058823529411,clay_6_10
CLE,32.0,215.52941176470588,0.8823529411764706,0.7647058823529411,27.11764705882353,113.94117647058823,0.5882352941176471,clay_6_10
DAL,34.05882352941177,251.23529411764707,1.8235294117647058,0.7058823529411765,27.470588235294116,119.29411764705883,0.9411764705882353,clay_6_10
DEN,33.23529411764706,227.7058823529412,1.5294117647058822,0.6470588235294118,26.176470588235293,116.82352941176471,0.9411764705882353,clay_6_10
DET,32.0,247.52941176470588,1.7058823529411764,0.5882352941176471,27.764705882352942,126.05882352941177,1.2352941176470589,clay_6_10
GB,31.235294117647058,234.88235294117646,1.4705882352941178,0.6470588235294118,27.58823529411765,118.70588235294117,1.0,clay_6_10
HOU,32.411764705882355,232.11764705882354,1.2352941176470589,0.7058823529411765,26.529411764705884,113.58823529411765,0.6470588235294118,clay_6_10
IND,31.0,220.1764705882353,1.1764705882352942,0.6470588235294118,27.0,121.23529411764706,1.1176470588235294,clay_6_10
JAX,32.94117647058823,231.11764705882354,1.4705882352941178,0.7647058823529411,25.764705882352942,111.52941176470588,0.8823529411764706,clay_6_10
KC,33.64705882352941,243.11764705882354,1.588235294117647,0.7058823529411765,26.764705882352942,126.6470588235294,1.0,clay_6_10
LAC,31.058823529411764,226.23529411764707,1.5294117647058822,0.6470588235294118,26.764705882352942,120.47058823529412,0.8823529411764706,clay_6_10
LAR,32.8235294117647,251.88235294117646,2.0588235294117645,0.5882352941176471,27.235294117647058,121.47058823529412,1.1764705882352942,clay_6_10
LV,33.294117647058826,228.58823529411765,1.0588235294117647,0.7647058823529411,26.352941176470587,108.29411764705883,0.6470588235294118,clay_6_10
MIA,29.705882352941178,209.05882352941177,0.7647058823529411,0.5882352941176471,28.470588235294116,140.05882352941177,0.5882352941176471,clay_6_10
MIN,33.88235294117647,232.0,1.2941176470588236,0.7058823529411765,26.176470588235293,124.58823529411765,0.8235294117647058,clay_6_10
NE,30.58823529411765,240.88235294117646,1.588235294117647,0.6470588235294118,27.764705882352942,126.52941176470588,1.0588235294117647,clay_6_10
NO,32.23529411764706,228.64705882352942,1.1764705882352942,0.6470588235294118,27.11764705882353,115.3529411764706,0.7058823529411765,clay_6_10
NYG,29.647058823529413,217.0,1.2352941176470589,0.5882352941176471,28.941176470588236,129.88235294117646,0.9411764705882353,clay_6_10
NYJ,31.235294117647058,224.2941176470588,1.1764705882352942,0.8235294117647058,26.88235294117647,116.11764705882354,0.8235294117647058,clay_6_10
PHI,29.352941176470587,222.2941176470588,1.411764705882353,0.5294117647058824,29.58823529411765,126.82352941176471,1.2352941176470589,clay_6_10
PIT,33.470588235294116,221.41176470588235,1.1764705882352942,0.6470588235294118,26.11764705882353,112.94117647058823,0.5882352941176471,clay_6_10
SEA,30.176470588235293,236.0,1.411764705882353,0.7058823529411765,28.235294117647058,114.29411764705883,1.1176470588235294,clay_6_10
SF,31.176470588235293,245.94117647058823,1.588235294117647,0.8235294117647058,28.0,117.17647058823529,1.0,clay_6_10
TB,31.0,224.94117647058823,1.4705882352941178,0.7058823529411765,27.764705882352942,122.70588235294117,0.7647058823529411,clay_6_10
TEN,32.8235294117647,220.8235294117647,0.9411764705882353,0.5882352941176471,25.352941176470587,110.23529411764706,0.7647058823529411,clay_6_10
WAS,30.58823529411765,226.7058823529412,1.2941176470588236,0.5882352941176471,28.11764705882353,126.82352941176471,1.0,clay_6_10
