Name,Team,POS,ATT,YDS,TD,YBC,YAC,MTF,1D
Ashton Jeanty,LV,RB,53,183,0,0,117,8,0
Jaydon Blue,DAL,RB,17,74,0,0,28,2,0
Samaje Perine,CIN,RB,15,69,0,0,28,1,0
Bam Knight,ARZ,RB,30,85,3,0,64,7,0
Jaret Patterson,LAC,RB,9,52,1,0,26,2,0
Rhamondre Stevenson,NE,RB,30,138,2,0,56,3,0
Kaleb Johnson,PIT,RB,9,24,0,0,14,0,0
Travis Etienne,JAX,RB,43,191,0,0,87,9,0
D'Ernest Johnson,NE,RB,6,6,0,0,7,0,0
Myles Gaskin,SEA,RB,1,3,0,0,3,0,0
Saquon Barkley,PHI,RB,82,452,3,0,195,18,0
Miles Sanders,DAL,RB,4,16,0,0,10,0,0
Austin Ekeler,WAS,RB,4,18,0,0,7,1,0
Rasheen Ali,BLT,RB,3,5,0,0,3,0,0
Chase Brown,CIN,RB,52,275,1,0,154,13,0
Woody Marks,HST,RB,64,195,1,0,131,4,0
Aaron Jones,MIN,RB,33,99,2,0,47,5,0
Dylan Sampson,CLV,RB,21,62,0,0,39,2,0
Jawhar Jordan,HST,RB,5,23,0,0,14,1,0
Jerome Ford,CLV,RB,1,2,0,0,1,0,0
Hassan Haskins,LAC,RB,6,20,0,0,8,0,0
Clyde Edwards-Helaire,KC,RB,1,-2,0,0,0,0,0
Kalel Mullings,TEN,RB,1,3,0,0,3,1,0
Braelon Allen,NYJ,RB,2,0,0,0,0,0,0
Phil Mafah,DAL,RB,1,3,0,0,1,0,0
Ameer Abdullah,IND,RB,3,9,0,0,3,0,0
Dylan Laube,LV,RB,1,0,0,0,0,0,0
Kene Nwangwu,NYJ,RB,3,14,0,0,12,1,0
Roschon Johnson,CHI,RB,1,11,0,0,2,0,0
Evan Hull,NO,RB,3,4,0,0,0,0,0
Nate Carter,ATL,RB,3,15,0,0,7,0,0
Craig Reynolds,DET,RB,2,1,0,0,0,0,0
Jacob Saylors,DET,RB,1,9,0,0,6,1,0
Nyheim Hines,NO,RB,1,1,0,0,1,0,0
Adam Prentice,DEN,FB,1,3,0,0,2,0,0
