Name,Team,POS,ATT,YDS,TD,YBC,YAC,MTF,1D
Tahj Brooks,CIN,RB,5,18,0,0,14,1,0
Kyren Williams,LA,RB,25,142,0,0,82,6,0
Dylan Laube,LV,RB,2,2,0,0,4,0,0
Will Shipley,PHI,RB,3,22,0,0,8,0,0
Brian Robinson,SF,RB,12,93,0,0,46,2,0
Alvin Kamara,NO,RB,19,126,0,0,55,8,0
Malik Davis,DAL,RB,5,7,0,0,7,1,0
Trevor Etienne,CAR,RB,7,35,0,0,13,1,0
Cam Skattebo,NYG,RB,15,61,0,0,58,10,0
D'Andre Swift,CHI,RB,52,311,3,0,98,11,0
Tony Pollard,TEN,RB,46,275,1,0,96,10,0
Ray Davis,BUF,RB,9,45,0,0,17,1,0
Justice Hill,BLT,RB,3,71,1,0,5,1,0
Kendre Miller,NO,RB,14,56,0,0,32,5,0
Devin Neal,NO,RB,6,55,0,0,23,3,0
James Conner,ARZ,RB,4,15,0,0,10,1,0
TreVeyon Henderson,NE,RB,42,325,2,0,87,7,0
Blake Corum,LA,RB,21,191,0,0,73,9,0
James Cook,BUF,RB,40,229,0,0,104,8,0
Breece Hall,NYJ,RB,48,196,1,0,80,18,0
George Holani,SEA,RB,5,9,1,0,11,1,0
Evan Hull,NO,RB,4,10,0,0,4,0,0
Nate Carter,ATL,RB,1,9,0,0,2,1,0
Dare Ogunbowale,HST,RB,1,-3,0,0,1,0,0
Kimani Vidal,LAC,RB,37,244,1,0,98,12,0
RJ Harvey,DEN,RB,42,135,2,0,73,12,0
J.K. Dobbins,DEN,RB,27,249,1,0,68,11,0
Emari Demercado,ARZ,RB,11,55,0,0,23,0,0
Ashton Jeanty,LV,RB,29,111,0,0,78,10,0
Kyle Monangai,CHI,RB,20,121,0,0,78,6,0
Jaydon Blue,DAL,RB,8,14,0,0,16,1,0
Samaje Perine,CIN,RB,6,40,0,0,19,4,0
Bam Knight,ARZ,RB,25,109,1,0,55,2,0
Jaret Patterson,LAC,RB,6,21,0,0,13,2,0
Rhamondre Stevenson,NE,RB,15,83,2,0,43,6,0
Kaleb Johnson,PIT,RB,5,2,0,0,12,1,0
Travis Etienne,JAX,RB,71,375,3,0,146,11,0
Saquon Barkley,PHI,RB,61,295,2,0,129,7,0
Miles Sanders,DAL,RB,5,56,0,0,20,1,0
Austin Ekeler,WAS,RB,1,3,0,0,2,0,0
Chase Brown,CIN,RB,31,116,0,0,55,5,0
Woody Marks,HST,RB,31,128,1,0,53,1,0
Aaron Jones,MIN,RB,30,154,0,0,56,5,0
Dylan Sampson,CLV,RB,18,49,0,0,49,4,0
Jawhar Jordan,HST,RB,10,70,0,0,60,4,0
Kareem Hunt,KC,RB,10,44,0,0,25,2,0
Jerome Ford,CLV,RB,2,14,0,0,3,0,0
Ty Chandler,MIN,RB,3,11,0,0,5,1,0
Jeremy McNichols,WAS,RB,8,32,0,0,22,2,0
Derrick Henry,BLT,RB,67,442,5,0,189,15,0
Rico Dowdle,CAR,RB,31,255,0,0,115,9,0
Ty Johnson,BUF,RB,16,80,1,0,35,1,0
Jaylen Wright,MIA,RB,17,79,1,0,54,6,0
Hassan Haskins,LAC,RB,2,5,0,0,5,1,0
Rachaad White,TB,RB,18,30,2,0,18,7,0
Jaylen Warren,PIT,RB,50,312,3,0,165,21,0
Tyrone Tracy,NYG,RB,31,129,0,0,63,3,0
Zach Charbonnet,SEA,RB,38,147,2,0,105,9,0
Chuba Hubbard,CAR,RB,15,84,0,0,30,2,0
David Montgomery,DET,RB,15,96,0,0,23,2,0
Ollie Gordon,MIA,RB,5,15,0,0,11,1,0
Josh Jacobs,GB,RB,50,203,2,0,134,13,0
Bhayshul Tuten,JAX,RB,19,85,1,0,46,5,0
Sean Tucker,TB,RB,29,140,4,0,54,6,0
Kenneth Gainwell,PIT,RB,47,235,3,0,103,10,0
Isiah Pacheco,KC,RB,19,98,0,0,40,3,0
Brashard Smith,KC,RB,17,62,0,0,21,2,0
Tyler Badie,DEN,RB,2,-2,0,0,4,0,0
Tank Bigsby,PHI,RB,19,150,1,0,74,9,0
Trey Benson,ARZ,RB,8,80,0,0,36,4,0
LeQuint Allen,JAX,RB,2,3,0,0,2,0,0
Bijan Robinson,ATL,RB,78,374,3,0,238,29,0
Jaleel McLaughlin,DEN,RB,9,53,0,0,17,2,0
Kenneth Walker,SEA,RB,67,344,1,0,152,24,0
De'Von Achane,MIA,RB,98,651,5,0,283,24,0
Julius Chestnut,TEN,RB,2,27,0,0,8,0,0
Javonte Williams,DAL,RB,26,117,1,0,81,5,0
Tyjae Spears,TEN,RB,18,103,1,0,28,1,0
Nick Chubb,HST,RB,5,4,1,0,7,0,0
Chris Rodriguez,WAS,RB,10,54,0,0,29,1,0
Michael Carter,ARZ,RB,14,66,0,0,24,2,0
Omarion Hampton,LAC,RB,24,150,0,0,52,4,0
Bucky Irving,TB,RB,28,57,1,0,36,11,0
Antonio Gibson,NE,RB,2,24,0,0,20,1,0
Keaton Mitchell,BLT,RB,30,206,1,0,45,5,0
Terrell Jennings,NE,RB,1,0,0,0,2,0,0
Audric Estime,NO,RB,8,35,0,0,12,3,0
Jacory Croskey-Merritt,WAS,RB,25,122,3,0,39,5,0
British Brooks,HST,FB,1,2,0,0,2,0,0
Jonathan Taylor,IND,RB,48,214,4,0,80,5,0
Braelon Allen,NYJ,RB,1,-2,0,0,0,0,0
Isaiah Davis,NYJ,RB,4,27,1,0,4,0,0
Velus Jones,SEA,RB,1,4,0,0,2,0,0
Jordan Mason,MIN,RB,46,206,2,0,119,11,0
Tyler Goodson,IND,RB,5,16,0,0,4,1,0
Tyler Allgeier,ATL,RB,34,100,2,0,70,4,0
Brittain Brown,CHI,RB,1,5,0,0,0,0,0
Khalil Herbert,NYJ,RB,4,8,0,0,1,2,0
Emanuel Wilson,GB,RB,18,74,0,0,44,1,0
Quinshon Judkins,CLV,RB,31,119,0,0,70,8,0
AJ Dillon,PHI,RB,1,6,0,0,5,1,0
Jahmyr Gibbs,DET,RB,63,325,6,0,157,32,0
Zavier Scott,MIN,RB,10,31,0,0,21,1,0
Zamir White,LV,RB,2,8,0,0,5,1,0
Christian McCaffrey,SF,RB,79,235,3,0,137,14,0
Devin Singletary,NYG,RB,13,47,1,0,20,1,0
Travis Homer,CHI,RB,1,-2,0,0,4,0,0
Myles Gaskin,SEA,RB,1,3,0,0,7,0,0
Rasheen Ali,BLT,RB,1,5,0,0,2,0,0
Chris Brooks,GB,RB,3,-2,0,0,5,0,0
Dameon Pierce,KC,RB,1,1,0,0,1,0,0
Ameer Abdullah,IND,RB,2,6,0,0,8,0,0
Clyde Edwards-Helaire,KC,RB,1,2,0,0,2,0,0
