Name,Team,POS,ATT,YDS,TD,YBC,YAC,MTF,1D
Jeremy McNichols,WAS,RB,7,17,0,0,14,1,0
Derrick Henry,BLT,RB,91,471,7,0,230,9,0
Kareem Hunt,KC,RB,64,228,5,0,139,6,0
Ty Chandler,MIN,RB,5,15,0,0,7,0,0
Jerome Ford,CLV,RB,13,47,0,0,35,1,0
Rico Dowdle,CAR,RB,73,306,2,0,168,9,0
Jaylen Wright,MIA,RB,13,81,0,0,40,3,0
Ty Johnson,BUF,RB,10,50,0,0,11,1,0
Jaylen Warren,PIT,RB,58,190,1,0,105,8,0
Tyrone Tracy,NYG,RB,53,229,1,0,103,5,0
Hassan Haskins,LAC,RB,5,17,0,0,9,0,0
Rachaad White,TB,RB,50,236,1,0,102,4,0
Josh Jacobs,GB,RB,59,227,3,0,129,9,0
Chuba Hubbard,CAR,RB,36,125,1,0,75,6,0
Zach Charbonnet,SEA,RB,53,162,3,0,108,6,0
Ollie Gordon,MIA,RB,18,28,1,0,24,1,0
David Montgomery,DET,RB,29,176,1,0,123,6,0
Sean Tucker,TB,RB,30,77,0,0,47,1,0
Isiah Pacheco,KC,RB,44,157,0,0,85,1,0
Kenneth Gainwell,PIT,RB,18,77,0,0,38,2,0
Brashard Smith,KC,RB,8,26,0,0,18,0,0
Bhayshul Tuten,JAX,RB,17,69,0,0,42,2,0
Tank Bigsby,PHI,RB,23,93,0,0,63,6,0
Owen Wright,TB,RB,2,3,0,0,0,0,0
Clyde Edwards-Helaire,KC,RB,4,9,0,0,8,0,0
Tyler Badie,DEN,RB,4,16,0,0,9,0,0
Trey Benson,ARZ,RB,5,37,0,0,27,1,0
LeQuint Allen,JAX,RB,6,13,0,0,7,2,0
Bijan Robinson,ATL,RB,65,322,1,0,190,16,0
Jaleel McLaughlin,DEN,RB,11,51,0,0,22,4,0
De'Von Achane,MIA,RB,39,167,0,0,88,5,0
Kenneth Walker,SEA,RB,59,315,1,0,127,14,0
Julius Chestnut,TEN,RB,5,6,0,0,5,0,0
DJ Giddens,IND,RB,3,14,0,0,12,0,0
Nick Chubb,HST,RB,44,247,2,0,144,5,0
Chris Rodriguez,WAS,RB,31,109,0,0,78,5,0
Michael Carter,ARZ,RB,12,31,0,0,19,0,0
Tyjae Spears,TEN,RB,17,61,0,0,31,3,0
Javonte Williams,DAL,RB,72,355,6,0,240,7,0
Terrell Jennings,NE,RB,7,12,1,0,10,0,0
Antonio Gibson,NE,RB,8,19,0,0,14,0,0
Keaton Mitchell,BLT,RB,14,72,0,0,22,0,0
Omarion Hampton,LAC,RB,29,67,0,0,47,3,0
Bucky Irving,TB,RB,55,203,0,0,98,2,0
Jonathan Taylor,IND,RB,73,329,3,0,205,9,0
Audric Estime,NO,RB,10,33,0,0,19,1,0
Jacory Croskey-Merritt,WAS,RB,58,246,0,0,147,7,0
British Brooks,HST,FB,6,29,0,0,26,2,0
Jordan Mason,MIN,RB,29,149,1,0,62,4,0
Isaiah Davis,NYJ,RB,18,73,0,0,46,2,0
Tyler Goodson,IND,RB,3,8,0,0,6,0,0
Raheim Sanders,CLV,RB,7,30,0,0,23,2,0
Braelon Allen,NYJ,RB,7,18,0,0,11,0,0
Tyler Allgeier,ATL,RB,36,109,3,0,61,3,0
Phil Mafah,DAL,RB,2,6,1,0,3,0,0
C.J. Ham,MIN,FB,1,1,1,0,1,0,0
AJ Dillon,PHI,RB,5,25,0,0,8,0,0
Emanuel Wilson,GB,RB,43,183,2,0,112,3,0
Quinshon Judkins,CLV,RB,76,272,4,0,170,7,0
