Name,Team,POS,playerStatsSnapsOffenseTotal,PlayActionLabel,PressuredLabel,BlitzedLabel,RoutesTotal,TargetsContestedLabel,TargetsCatchableLabel,AlignmentSlotRoutesPercentage,AlignmentWideRoutesPercentage,playerStatsGamesPlayed,TargetsTotal,TargetsCatchableTotal,TargetsCatchablePercentage,TargetsPerRoute,ReceptionsTotal,ReceptionsPercentage,YardsTotal,YardsAfterCatchTotal,YardsAfterContactTotal,YardsAirTotal,TargetedReadFirstTotal,TargetedReadDesignTotal,TargetedReadDesignPercentage,AverageDepthOfTarget,PasserRatingWhenTargeted,AveragesPerRouteYardsTotal,AveragesPerTargetYardsTotal,AveragesPerTargetYardsOverExpected,AveragesPerReceptionYardsTotal,AveragesPerReceptionYardsAfterCatch,AveragesPerReceptionYardsAfterContact,playerStatsXfpPprTotal,playerStatsXfpPprReceiving,playerStatsOffenseThreatsPercentage,playerStatsFantasyPointsNonPpr,playerStatsFantasyPointsPpr,playerStatsFantasyPointsHalfPpr,playerStatsFantasyPointsHalfPprRb,playerStatsFantasyPointsPprTe,playerStatsFantasyPointsDraftKings,playerStatsFantasyPointsFanDuel,playerStatsFantasyPointsCbs,playerStatsFantasyPointsNfl,playerStatsFantasyPointsEspn,playerStatsFantasyPointsYahoo,playerStatsFantasyPointsFfpc,playerStatsFantasyPointsNffc,AlignmentBackfieldRoutesPercentage,MissedTacklesForcedTotal,MissedTacklesForcedPerReception,playerStatsInside20ReceivingTargetsTotal,playerStatsFirstDownsReceiving,DropsTotal,AveragesPerTargetDropsTotal,AlignmentInlineRoutesPercentage,TouchdownsTotal,TargetsContestedTotal,ReceptionsContested,TargetsInEndzone,TouchdownsInEndzone,DeepTargetTargetsTotal,ReceptionsHero
Elijah Higgins,ARZ,TE,20,Yes,No,No,4,No,Yes,0.25,,17,3,3,1,0.75,3,1,16,24,14,-8,3,3,1,-2.6667,88.9,4,5.3333,-0.6539,5.3333,8,4.6667,4.239,4.239,0.15,1.6,4.6,3.1,4.6,6.1,4.6,3.1,4.6,4.6,4.6,3.1,6.1,4.6,,4,1.3333,,,,,0.75,,,,,,,
Jonnu Smith,PIT,TE,52,No,No,No,21,No,Yes,0.3333,0.4762,17,12,12,1,0.5714,12,1,50,86,32,-36,12,12,1,-3,111.8,2.381,4.1667,-1.5628,4.1667,7.1667,2.6667,21.0932,21.0932,0.2308,11,23,17,23,29,23,17,23,23,23,17,29,23,0.0476,2,0.1667,3,2,,,0.1429,1,,,,,,
Tylan Wallace,BLT,WR,9,No,No,No,3,No,Yes,,1,14,1,1,1,0.3333,1,1,6,7,1,-1,1,1,1,-1,91.7,2,6,-0.1699,6,7,1,1.3738,1.3738,0.1111,0.6,1.6,1.1,1.6,1.6,1.6,1.1,1.6,1.6,1.6,1.1,1.6,1.6,,,,,,,,,,,,,,,
Charlie Woerner,ATL,TE,20,Yes,No,No,2,No,Yes,,0.5,17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.5,,,,,,,,,,,,,,
Omarion Hampton,LAC,RB,13,No,No,No,12,No,Yes,0.3333,,9,11,11,1,0.9167,11,1,44,101,29,-57,11,11,1,-5.1818,83.3,3.6667,4,-1.6506,4,9.1818,2.6364,16.4461,16.4461,0.8462,4.4,15.4,9.9,20.9,15.4,15.4,9.9,15.4,15.4,15.4,9.9,15.4,15.4,0.6667,1,0.0909,1,2,,,,,,,,,,
Josh Palmer,BUF,WR,14,No,No,Yes,3,No,Yes,0.3333,0.6667,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Antonio Gibson,NE,RB,2,No,No,No,2,No,Yes,,,5,2,2,1,1,2,1,6,16,5,-10,2,2,1,-5,79.2,3,3,-2.3296,3,8,2.5,2.7958,2.7958,1,0.6,2.6,1.6,3.6,2.6,2.6,1.6,2.6,2.6,2.6,1.6,2.6,2.6,1,,,,,,,,,,,,,,
Chris Moore,WAS,WR,22,No,No,Yes,8,No,Yes,,1,14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Tutu Atwell,LA,WR,11,Yes,No,No,3,No,Yes,0.6667,0.3333,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
David Moore,CAR,WR,4,Yes,No,No,1,No,Yes,,1,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
