Name,Team,POS,playerStatsSnapsOffenseTotal,PlayActionLabel,PressuredLabel,BlitzedLabel,RoutesTotal,TargetsContestedLabel,TargetsCatchableLabel,AlignmentSlotRoutesPercentage,AlignmentWideRoutesPercentage,playerStatsGamesPlayed,TargetsTotal,TargetsCatchableTotal,TargetsCatchablePercentage,TargetsPerRoute,ReceptionsTotal,ReceptionsPercentage,YardsTotal,YardsAfterCatchTotal,YardsAfterContactTotal,YardsAirTotal,TargetedReadFirstTotal,TargetedReadDesignTotal,TargetedReadDesignPercentage,AverageDepthOfTarget,PasserRatingWhenTargeted,AveragesPerRouteYardsTotal,AveragesPerTargetYardsTotal,AveragesPerTargetYardsOverExpected,AveragesPerReceptionYardsTotal,AveragesPerReceptionYardsAfterCatch,AveragesPerReceptionYardsAfterContact,playerStatsXfpPprTotal,playerStatsXfpPprReceiving,playerStatsOffenseThreatsPercentage,playerStatsFantasyPointsNonPpr,playerStatsFantasyPointsPpr,playerStatsFantasyPointsHalfPpr,playerStatsFantasyPointsHalfPprRb,playerStatsFantasyPointsPprTe,playerStatsFantasyPointsDraftKings,playerStatsFantasyPointsFanDuel,playerStatsFantasyPointsCbs,playerStatsFantasyPointsNfl,playerStatsFantasyPointsEspn,playerStatsFantasyPointsYahoo,playerStatsFantasyPointsFfpc,playerStatsFantasyPointsNffc,AlignmentBackfieldRoutesPercentage,MissedTacklesForcedTotal,MissedTacklesForcedPerReception,playerStatsInside20ReceivingTargetsTotal,playerStatsFirstDownsReceiving,DropsTotal,AveragesPerTargetDropsTotal,AlignmentInlineRoutesPercentage,TouchdownsTotal,TargetsContestedTotal,ReceptionsContested,TargetsInEndzone,TouchdownsInEndzone,DeepTargetTargetsTotal,ReceptionsHero
Drew Sample,CIN,TE,27,No,Yes,No,1,No,No,,1,17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Daniel Bellinger,NYG,TE,20,No,No,No,3,No,Yes,0.3333,,16,1,1,1,0.3333,1,1,29,30,25,-1,1,1,1,-1,158.3,9.6667,29,24.0986,29,30,25,1.3511,1.3511,0.05,8.9,9.9,9.4,9.9,10.4,9.9,9.4,9.9,9.9,9.9,9.4,10.4,9.9,0.3333,1,1,,1,,,0.3333,1,,,,,,
Jaylin Noel,HST,WR,11,No,No,No,7,No,Yes,0.7143,0.2857,17,6,6,1,0.8571,6,1,27,47,11,-20,6,6,1,-3.3333,85.4,3.8571,4.5,-0.3231,4.5,7.8333,1.8333,9.0558,9.0558,0.5455,2.7,8.7,5.7,8.7,8.7,8.7,5.7,8.7,8.7,8.7,5.7,8.7,8.7,,,,,,,,,,,,,,,
Zay Jones,ARZ,WR,10,No,No,No,2,No,Yes,1,,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ashton Jeanty,LV,RB,39,No,No,No,19,No,Yes,0.3158,0.2105,17,16,16,1,0.8421,15,0.9375,75,153,60,-82,16,16,1,-5.125,107,3.9474,4.6875,-0.8144,5,10.2,4,25.043,25.043,0.4103,13.5,28.5,21,36,28.5,28.5,21,28.5,28.5,28.5,21,28.5,28.5,0.4737,6,0.4,2,2,1,0.0625,,1,,,,,,
Kyle Monangai,CHI,RB,25,No,No,No,13,No,No,0.1538,0.0769,17,6,6,1,0.4615,4,0.6667,47,62,5,-24,6,6,1,-4,90.3,3.6154,7.8333,2.1217,11.75,15.5,1.25,10.7675,10.7675,0.24,4.7,8.7,6.7,10.7,8.7,8.7,6.7,8.7,8.7,8.7,6.7,8.7,8.7,0.7692,1,0.25,1,2,2,0.3333,,,,,,,,
Stefon Diggs,NE,WR,22,Yes,No,Yes,9,No,Yes,0.4444,0.5556,17,4,4,1,0.4444,4,1,14,28,4,-14,4,4,1,-3.5,120.8,1.5556,3.5,-1.2548,3.5,7,1,7.7726,7.7726,0.1818,7.4,11.4,9.4,11.4,11.4,11.4,9.4,11.4,11.4,11.4,9.4,11.4,11.4,,,,2,1,,,,1,,,,,,
Ben Sinnott,WAS,TE,7,No,No,Yes,1,No,Yes,,,16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,
Kalif Raymond,DET,WR,28,No,No,No,10,No,No,0.3,0.6,15,5,5,1,0.5,5,1,47,59,10,-12,5,5,1,-2.4,105.8,4.7,9.4,4.0789,9.4,11.8,2,7.0898,7.0898,0.1786,4.7,9.7,7.2,9.7,9.7,9.7,7.2,9.7,9.7,9.7,7.2,9.7,9.7,,,,,2,,,0.1,,,,,,,
Darnell Mooney,ATL,WR,37,Yes,No,No,8,No,Yes,0.125,0.875,15,3,3,1,0.375,3,1,15,20,6,-5,3,3,1,-1.6667,87.5,1.875,5,-0.7227,5,6.6667,2,4.3937,4.3937,0.0811,1.5,4.5,3,4.5,4.5,4.5,3,4.5,4.5,4.5,3,4.5,4.5,,1,0.3333,,1,,,,,,,,,,
Isaac TeSlaa,DET,WR,21,No,No,No,3,No,No,0.3333,0.6667,17,1,1,1,0.3333,1,1,11,13,5,-2,1,1,1,-2,112.5,3.6667,11,5.5009,11,13,5,2.3393,2.3393,0.0476,1.1,2.1,1.6,2.1,2.1,2.1,1.6,2.1,2.1,2.1,1.6,2.1,2.1,,,,1,1,,,,,,,,,,
Allen Lazard,NYJ,WR,11,No,No,No,3,No,Yes,0.3333,0.6667,10,2,2,1,0.6667,2,1,12,15,4,-3,2,2,1,-1.5,91.7,4,6,0.1655,6,7.5,2,2.8612,2.8612,0.1818,1.2,3.2,2.2,3.2,3.2,3.2,2.2,3.2,3.2,3.2,2.2,3.2,3.2,,,,,,,,,,,,,,,
Hunter Renfrow,CAR,WR,7,Yes,No,No,4,No,Yes,1,,6,2,2,1,0.5,2,1,6,8,4,-2,2,2,1,-1,79.2,1.5,3,-2.7688,3,4,2,2.9042,2.9042,0.2857,0.6,2.6,1.6,2.6,2.6,2.6,1.6,2.6,2.6,2.6,1.6,2.6,2.6,,,,1,,,,,,,,,,,
Andrei Iosivas,CIN,WR,33,No,Yes,No,2,No,No,0.5,0.5,17,1,1,1,0.5,1,1,2,3,1,-1,1,1,1,-1,79.2,1,2,-4.1699,2,3,1,1.4477,1.4477,0.0303,0.2,1.2,0.7,1.2,1.2,1.2,0.7,1.2,1.2,1.2,0.7,1.2,1.2,,1,1,,1,,,,,,,,,,
Dallas Goedert,PHI,TE,18,No,No,Yes,9,No,Yes,0.3333,0.3333,15,7,7,1,0.7778,7,1,25,42,12,-17,7,7,1,-2.4286,121.1,2.7778,3.5714,-1.7888,3.5714,6,1.7143,20.964,20.964,0.3889,32.5,39.5,36,39.5,43,39.5,36,39.5,39.5,39.5,36,43,39.5,,,,6,5,,,0.3333,5,,,,,,
Cedric Tillman,CLV,WR,28,No,Yes,No,5,No,No,,1,13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Arian Smith,NYJ,WR,13,No,No,Yes,3,No,Yes,1,,16,2,2,1,0.6667,2,1,-4,3,,-7,2,2,1,-3.5,79.2,-1.3333,-2,-6.7129,-2,1.5,,3.0319,3.0319,0.1538,-0.4,1.6,0.6,1.6,1.6,1.6,0.6,1.6,1.6,1.6,0.6,1.6,1.6,,,,,,,,,,,,,,,
Marvin Mims,DEN,WR,37,No,No,No,22,No,Yes,0.6818,0.2727,15,15,15,1,0.6818,15,1,67,126,23,-59,15,15,1,-3.9333,85.3,3.0455,4.4667,-0.1059,4.4667,8.4,1.5333,24.579,24.579,0.4054,6.7,21.7,14.2,21.7,21.7,21.7,14.2,21.7,21.7,21.7,14.2,21.7,21.7,0.0455,1,0.0667,1,3,,,,,,,,,,
Calvin Ridley,TEN,WR,11,Yes,No,No,4,No,Yes,0.25,0.75,7,1,1,1,0.25,1,1,1,3,1,-2,1,1,1,-2,79.2,0.25,1,-4.4991,1,3,1,1.6766,1.6766,0.0909,0.1,1.1,0.6,1.1,1.1,1.1,0.6,1.1,1.1,1.1,0.6,1.1,1.1,,,,,,,,,,,,,,,
Raheem Mostert,LV,RB,9,No,No,Yes,7,No,Yes,,,12,2,2,1,0.2857,2,1,-3,9,3,-12,2,2,1,-6,79.2,-0.4286,-1.5,-6.6999,-1.5,4.5,1.5,3.0321,3.0321,0.2222,-0.3,1.7,0.7,2.7,1.7,1.7,0.7,1.7,1.7,1.7,0.7,1.7,1.7,1,2,1,,1,,,,,,,,,,
Jalen Coker,CAR,WR,19,No,No,Yes,6,No,Yes,0.6667,0.3333,11,2,2,1,0.3333,2,1,-6,,1,-6,2,2,1,-3,79.2,-1,-3,-7.9408,-3,,0.5,4.3139,4.3139,0.1053,-1.6,0.4,-0.6,0.4,0.4,0.4,-1.6,-0.6,-0.6,-0.6,-1.6,0.4,-0.6,,,,1,,,,,,,,,,,
Kyle Pitts,ATL,TE,47,Yes,No,No,13,No,Yes,0.5385,0.3077,17,10,8,0.8,0.7692,8,0.8,26,48,10,-30,10,10,1,-3,39.6,2,2.6,-2.6655,3.25,6,1.25,15.2652,15.2652,0.2128,2.6,10.6,6.6,10.6,14.6,10.6,6.6,10.6,10.6,10.6,6.6,14.6,10.6,,1,0.125,2,,,,0.1538,,,,,,,
Dante Pettis,NO,WR,8,Yes,No,No,4,No,Yes,0.75,0.25,8,3,3,1,0.75,3,1,26,40,-1,-14,3,3,1,-4.6667,102.8,6.5,8.6667,4.3986,8.6667,13.3333,-0.3333,4.0756,4.0756,0.375,2.6,5.6,4.1,5.6,5.6,5.6,4.1,5.6,5.6,5.6,4.1,5.6,5.6,,1,0.3333,,1,,,,,,,,,,
TreVeyon Henderson,NE,RB,17,Yes,No,Yes,13,No,Yes,,,17,9,9,1,0.6923,8,0.8889,48,81,25,-35,9,9,1,-3.8889,88.9,3.6923,5.3333,-0.5711,6,10.125,3.125,16.0475,16.0475,0.5294,4.8,12.8,8.8,16.8,12.8,12.8,8.8,12.8,12.8,12.8,8.8,12.8,12.8,1,3,0.375,1,2,1,0.1111,,,,,,,,
Jayden Reed,GB,WR,7,No,No,Yes,7,No,Yes,0.8571,0.1429,7,4,4,1,0.5714,4,1,6,16,4,-10,4,4,1,-2.5,79.2,0.8571,1.5,-3.86,1.5,4,1,6.6334,6.6334,0.5714,0.6,4.6,2.6,4.6,4.6,4.6,2.6,4.6,4.6,4.6,2.6,4.6,4.6,,1,0.25,2,,,,,,,,,,,
Devin Neal,NO,RB,5,No,No,No,2,No,Yes,,,9,2,2,1,1,2,1,10,23,4,-13,2,2,1,-6.5,87.5,5,5,0.191,5,11.5,2,2.4575,2.4575,0.4,1,3,2,4,3,3,2,3,3,3,2,3,3,1,,,,,,,,,,,,,,
Oronde Gadsden,LAC,TE,26,No,No,No,7,No,Yes,0.1429,0.7143,15,1,1,1,0.1429,,,,,,-6,1,1,1,-6,39.6,,,-7.1169,,,,1.7417,1.7417,0.0385,,,,,,,,,,,,,,,,,1,,1,1,0.1429,,,,,,,
Chris Godwin,TB,WR,28,No,No,Yes,10,No,Yes,0.5,0.5,9,5,5,1,0.5,5,1,29,41,16,-12,5,5,1,-2.4,90.8,2.9,5.8,0.5017,5.8,8.2,3.2,7.8516,7.8516,0.1786,2.9,7.9,5.4,7.9,7.9,7.9,5.4,7.9,7.9,7.9,5.4,7.9,7.9,,3,0.6,,2,,,,,,,,,,
Terry McLaurin,WAS,WR,22,No,No,Yes,10,No,Yes,,1,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Harold Fannin,CLV,TE,47,Yes,No,No,18,No,Yes,0.2222,0.2222,16,9,8,0.8889,0.5,8,0.8889,30,57,17,-29,9,9,1,-3.2222,80.6,1.6667,3.3333,-2.068,3.75,7.125,2.125,14.8864,14.8864,0.1915,3,11,7,11,15,11,7,11,11,11,7,15,11,0.0556,3,0.375,1,1,,,0.5,,,,,,,
Cam Skattebo,NYG,RB,16,No,No,No,11,No,Yes,0.1818,0.1818,8,9,9,1,0.8182,9,1,57,88,32,-31,9,9,1,-3.4444,130.1,5.1818,6.3333,0.5716,6.3333,9.7778,3.5556,14.1072,14.1072,0.5625,11.7,20.7,16.2,25.2,20.7,20.7,16.2,20.7,20.7,20.7,16.2,20.7,20.7,0.6364,4,0.4444,1,3,,,,1,,,,,,
Dont'e Thornton,LV,WR,31,No,No,No,9,No,Yes,0.1111,0.8889,15,1,1,1,0.1111,1,1,11,12,11,-1,1,1,1,-1,112.5,1.2222,11,4.8301,11,12,11,1.2461,1.2461,0.0323,1.1,2.1,1.6,2.1,2.1,2.1,1.6,2.1,2.1,2.1,1.6,2.1,2.1,,,,,1,,,,,,,,,,
John Bates,WAS,TE,13,No,No,Yes,3,No,Yes,,,15,2,1,0.5,0.6667,1,0.5,11,15,5,-7,2,2,1,-3.5,66.7,3.6667,5.5,-0.6008,11,15,5,2.7862,2.7862,0.1538,1.1,2.1,1.6,2.1,2.6,2.1,1.6,2.1,2.1,2.1,1.6,2.6,2.1,,,,,1,,,1,,,,,,,
Trey McBride,ARZ,TE,51,Yes,No,No,31,No,Yes,0.7419,0.0968,17,26,24,0.9231,0.8387,24,0.9231,182,231,78,-31,26,26,1,-1.1923,95.8,5.871,7,1.1851,7.5833,9.625,3.25,42.518,42.518,0.5098,18.2,42.2,30.2,42.2,54.2,45.2,33.2,42.2,42.2,42.2,30.2,54.2,42.2,,4,0.1667,2,6,,,0.1613,,,,,,,
Dontayvion Wicks,GB,WR,17,No,No,No,5,No,Yes,0.2,0.8,14,1,1,1,0.2,1,1,4,5,1,-1,1,1,1,-1,83.3,0.8,4,-2.1699,4,5,1,3.1136,3.1136,0.0588,0.4,1.4,0.9,1.4,1.4,1.4,0.9,1.4,1.4,1.4,0.9,1.4,1.4,,,,,,,,,,,,,,,
Dawson Knox,BUF,TE,23,No,No,Yes,4,No,Yes,,0.25,17,4,3,0.75,1,3,0.75,17,24,6,-11,4,4,1,-2.75,82.3,4.25,4.25,-1.226,5.6667,8,2,5.9113,5.9113,0.1739,1.7,4.7,3.2,4.7,6.2,4.7,3.2,4.7,4.7,4.7,3.2,6.2,4.7,,,,1,2,,,0.75,,,,,,,
Noah Brown,WAS,WR,8,Yes,No,Yes,3,No,Yes,,1,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Emeka Egbuka,TB,WR,54,No,No,Yes,22,No,Yes,0.2273,0.7727,17,12,11,0.9167,0.5455,11,0.9167,55,91,21,-39,12,12,1,-3.25,113.5,2.5,4.5833,-0.3088,5,8.2727,1.9091,19.9489,19.9489,0.2222,11.5,22.5,17,22.5,22.5,22.5,17,22.5,22.5,22.5,17,22.5,22.5,,,,2,2,,,,1,1,1,,,,
Kyren Williams,LA,RB,33,Yes,No,No,8,No,Yes,0.25,,17,1,1,1,0.125,1,1,3,7,2,-4,1,1,1,-4,79.2,0.375,3,-2.5699,3,7,2,1.4554,1.4554,0.0303,0.3,1.3,0.8,1.8,1.3,1.3,0.8,1.3,1.3,1.3,0.8,1.3,1.3,0.75,,,,,,,,,,,,,,
Payne Durham,TB,TE,7,No,No,Yes,1,No,Yes,,1,17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Will Shipley,PHI,RB,6,No,No,Yes,3,No,Yes,0.3333,0.3333,15,2,2,1,0.6667,2,1,11,21,1,-10,2,2,1,-5,89.6,3.6667,5.5,0.1704,5.5,10.5,0.5,3.0039,3.0039,0.3333,1.1,3.1,2.1,4.1,3.1,3.1,2.1,3.1,3.1,3.1,2.1,3.1,3.1,0.3333,,,,1,,,,,,,,,,
Tucker Kraft,GB,TE,22,Yes,No,No,8,No,Yes,0.625,,8,7,7,1,0.875,7,1,81,98,24,-17,7,7,1,-2.4286,154.5,10.125,11.5714,6.1367,11.5714,14,3.4286,10.8184,10.8184,0.3182,14.1,21.1,17.6,21.1,24.6,21.1,17.6,21.1,21.1,21.1,17.6,24.6,21.1,,2,0.2857,3,4,,,0.375,1,,,,,,
Mitchell Tinsley,CIN,WR,16,No,Yes,No,4,No,No,,1,17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Brycen Tremayne,CAR,WR,5,No,No,Yes,1,No,Yes,,1,16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sterling Shepard,TB,WR,35,Yes,No,No,11,No,Yes,0.6364,0.3636,13,8,8,1,0.7273,8,1,70,83,36,-13,8,8,1,-1.625,103.1,6.3636,8.75,3.3703,8.75,10.375,4.5,12.4752,12.4752,0.2286,7,15,11,15,15,15,11,15,15,15,11,15,15,,1,0.125,,2,,,,,,,,,,
Khalil Shakir,BUF,WR,55,No,No,Yes,37,No,Yes,0.6757,0.2703,16,26,24,0.9231,0.7027,22,0.8462,142,206,88,-78,26,26,1,-3,115.1,3.8378,5.4615,0.4744,6.4545,9.3636,4,45.8548,45.8548,0.4815,26.2,48.2,37.2,48.2,48.2,51.2,40.2,48.2,48.2,48.2,37.2,48.2,48.2,,7,0.3182,4,8,2,0.0769,0.0541,2,,,,,,
Tez Johnson,TB,WR,26,No,No,Yes,10,No,Yes,0.5,0.5,16,4,4,1,0.4,4,1,27,40,4,-13,4,4,1,-3.25,134.4,2.7,6.75,1.8975,6.75,10,1,7.2729,7.2729,0.1538,8.7,12.7,10.7,12.7,12.7,12.7,10.7,12.7,12.7,12.7,10.7,12.7,12.7,,2,0.5,1,1,,,,1,,,,,,
Christian McCaffrey,SF,RB,41,Yes,No,Yes,33,No,Yes,0.1515,0.0303,17,23,22,0.9565,0.697,20,0.8696,191,253,62,-74,23,23,1,-3.2174,115.8,5.7879,8.3043,2.4909,9.55,12.65,3.1,38.2789,38.2789,0.561,25.1,45.1,35.1,55.1,45.1,48.1,38.1,45.1,45.1,45.1,35.1,45.1,45.1,0.7879,4,0.2,5,11,2,0.087,0.0303,1,1,,,,,
Dee Eskridge,MIA,WR,6,No,No,No,3,No,Yes,,1,13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sam LaPorta,DET,TE,23,No,No,No,3,No,Yes,0.3333,,9,2,2,1,0.6667,2,1,15,24,5,-9,2,2,1,-4.5,97.9,5,7.5,2.1451,7.5,12,2.5,3.1205,3.1205,0.087,1.5,3.5,2.5,3.5,4.5,3.5,2.5,3.5,3.5,3.5,2.5,4.5,3.5,,,,,1,,,0.6667,,,,,,,
Phil Mafah,DAL,RB,3,No,No,No,2,No,Yes,,,1,2,2,1,1,2,1,11,22,7,-11,2,2,1,-5.5,89.6,5.5,5.5,0.0198,5.5,11,3.5,2.2996,2.2996,0.6667,1.1,3.1,2.1,4.1,3.1,3.1,2.1,3.1,3.1,3.1,2.1,3.1,3.1,1,1,0.5,,1,,,,,,,,,,
Jackson Hawes,BUF,TE,10,No,No,Yes,1,No,Yes,,,17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,
Jaxon Smith-Njigba,SEA,WR,31,Yes,No,Yes,29,No,Yes,0.3103,0.6897,17,15,15,1,0.5172,15,1,58,87,27,-29,15,15,1,-1.9333,82.8,2,3.8667,-1.2039,3.8667,5.8,1.8,22.1809,22.1809,0.4839,4.8,19.8,12.3,19.8,19.8,19.8,11.3,18.8,18.8,18.8,11.3,19.8,18.8,,2,0.1333,,2,,,,,,,,,,
Albert Okwuegbunam,LV,TE,3,No,No,No,2,No,Yes,0.5,,1,2,2,1,1,2,1,8,15,11,-7,2,2,1,-3.5,83.3,4,4,-0.6122,4,7.5,5.5,2.9179,2.9179,0.6667,0.8,2.8,1.8,2.8,3.8,2.8,1.8,2.8,2.8,2.8,1.8,3.8,2.8,,2,1,,,,,0.5,,,,,,,
Tyler Warren,IND,TE,34,No,No,No,16,No,Yes,0.25,0.1875,17,13,12,0.9231,0.8125,12,0.9231,116,158,30,-45,13,13,1,-3.4615,103.8,7.25,8.9231,3.0694,9.6667,13.1667,2.5,24.7725,24.7725,0.3824,11.6,23.6,17.6,23.6,29.6,26.6,20.6,23.6,23.6,23.6,17.6,29.6,23.6,0.0625,,,2,8,,,0.5,,,,,,,
Jaylin Lane,WAS,WR,21,No,No,Yes,6,No,Yes,0.5,0.5,15,3,3,1,0.5,3,1,,3,,-3,3,3,1,-1,79.2,,,-5.3298,,1,,3.9706,3.9706,0.1429,,3,1.5,3,3,3,1.5,3,3,3,1.5,3,3,,,,,,,,,,1,1,,,,
Jalen Tolbert,DAL,WR,15,No,No,No,9,No,Yes,0.6667,0.3333,13,1,1,1,0.1111,1,1,6,9,3,-3,1,1,1,-3,91.7,0.6667,6,1.0592,6,9,3,1.195,1.195,0.0667,0.6,1.6,1.1,1.6,1.6,1.6,1.1,1.6,1.6,1.6,1.1,1.6,1.6,,1,1,,,,,,,,,,,,
Drake London,ATL,WR,34,Yes,No,No,1,No,Yes,,1,12,1,1,1,1,1,1,-2,2,2,-4,1,1,1,-4,79.2,-2,-2,-6.4851,-2,2,2,1.393,1.393,0.0294,-0.2,0.8,0.3,0.8,0.8,0.8,0.3,0.8,0.8,0.8,0.3,0.8,0.8,,,,,,,,,,,,,,,
Alec Pierce,IND,WR,30,No,No,No,8,No,Yes,,1,15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Olamide Zaccheaus,CHI,WR,42,No,No,No,16,No,No,0.5,0.5,16,6,5,0.8333,0.375,5,0.8333,32,45,21,-16,6,6,1,-2.6667,128.5,2,5.3333,0.1706,6.4,9,4.2,9.9848,9.9848,0.1429,9.2,14.2,11.7,14.2,14.2,14.2,11.7,14.2,14.2,14.2,11.7,14.2,14.2,,1,0.2,4,2,,,,1,,,,,,
Theo Wease,MIA,WR,4,Yes,No,Yes,1,No,Yes,1,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Chris Rodriguez,WAS,RB,7,No,No,Yes,3,No,Yes,0.3333,,13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.6667,,,,,,,,,,,,,,
Wan'Dale Robinson,NYG,WR,49,No,No,Yes,33,No,Yes,0.7273,0.2424,16,22,22,1,0.6667,22,1,138,149,55,-5,22,22,1,-0.2273,108,4.1818,6.2727,0.6469,6.2727,6.7727,2.5,35.5717,35.5717,0.449,19.8,41.8,30.8,41.8,41.8,44.8,33.8,41.8,41.8,41.8,30.8,41.8,41.8,0.0303,4,0.1818,2,3,,,,1,,,1,1,1,
Roman Wilson,PIT,WR,16,Yes,No,No,9,No,Yes,0.3333,0.6667,13,4,3,0.75,0.4444,3,0.75,15,18,2,-7,4,4,1,-1.75,80.2,1.6667,3.75,-1.7982,5,6,0.6667,5.6912,5.6912,0.25,1.5,4.5,3,4.5,4.5,4.5,3,4.5,4.5,4.5,3,4.5,4.5,,,,,1,,,,,,,,,,
Trey Benson,ARZ,RB,7,No,No,Yes,5,No,Yes,0.2,,4,1,1,1,0.2,1,1,-1,4,3,-5,1,1,1,-5,79.2,-0.2,-1,-6.8711,-1,4,3,1.3406,1.3406,0.1429,-0.1,0.9,0.4,1.4,0.9,0.9,0.4,0.9,0.9,0.9,0.4,0.9,0.9,0.8,,,,,,,,,,,,,,
Jake Tonges,SF,TE,15,Yes,No,No,9,No,Yes,0.2222,,16,6,6,1,0.6667,6,1,49,72,14,-23,6,6,1,-3.8333,140.3,5.4444,8.1667,2.4495,8.1667,12,2.3333,10.6236,10.6236,0.4,10.9,16.9,13.9,16.9,19.9,16.9,13.9,16.9,16.9,16.9,13.9,19.9,16.9,,1,0.1667,,2,,,0.7778,1,,,,,,
Ben Skowronek,PIT,WR,11,No,No,No,2,No,Yes,,1,16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Beaux Collins,NYG,WR,6,No,No,No,1,No,Yes,,1,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mike Gesicki,CIN,TE,10,No,Yes,No,2,No,No,1,,13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Nikko Remigio,KC,WR,2,Yes,No,No,1,No,Yes,,1,14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Deebo Samuel,WAS,WR,45,No,No,Yes,37,No,Yes,0.7568,0.2162,16,30,30,1,0.8108,28,0.9333,212,317,85,-115,30,30,1,-3.8333,93.3,5.7297,7.0667,2.4677,7.5714,11.3214,3.0357,55.2792,55.2792,0.6667,27.2,55.2,41.2,55.2,55.2,58.2,44.2,55.2,55.2,55.2,41.2,55.2,55.2,0.027,7,0.25,6,6,2,0.0667,,1,,,,,,
Ryan Flournoy,DAL,WR,17,No,No,No,8,No,Yes,0.5,0.5,15,4,4,1,0.5,4,1,22,27,5,-5,4,4,1,-1.25,89.6,2.75,5.5,-0.5022,5.5,6.75,1.25,5.8239,5.8239,0.2353,2.2,6.2,4.2,6.2,6.2,6.2,4.2,6.2,6.2,6.2,4.2,6.2,6.2,,2,0.5,,1,,,,,,,,,,
Jaylen Waddle,MIA,WR,38,Yes,No,No,17,No,Yes,0.2353,0.7647,16,2,2,1,0.1176,2,1,1,8,1,-7,2,2,1,-3.5,79.2,0.0588,0.5,-4.2129,0.5,4,0.5,2.7649,2.7649,0.0526,0.42,2.42,1.42,2.42,2.42,2.42,1.42,2.42,2.42,2.42,1.42,2.5,2.5,,,,,,,,,,,,,,,
Tee Higgins,CIN,WR,32,No,Yes,No,7,No,No,0.2857,0.7143,15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Josh Jacobs,GB,RB,22,No,No,No,10,No,Yes,0.1,0.1,15,7,6,0.8571,0.7,6,0.8571,49,75,34,-30,7,7,1,-4.2857,95.8,4.9,7,1.3773,8.1667,12.5,5.6667,12.5889,12.5889,0.3182,4.9,10.9,7.9,13.9,10.9,10.9,7.9,10.9,10.9,10.9,7.9,10.9,10.9,0.5,3,0.5,3,1,,,0.3,,,,,,,
Cade Stover,HST,TE,2,No,No,No,1,No,Yes,,,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,
Scott Miller,PIT,WR,11,No,No,No,3,No,Yes,0.3333,0.6667,13,3,3,1,1,3,1,10,15,2,-5,3,3,1,-1.6667,80.6,3.3333,3.3333,-2.3893,3.3333,5,0.6667,4.7099,4.7099,0.2727,1,4,2.5,4,4,4,2.5,4,4,4,2.5,4,4,,,,1,,,,,,,,,,,
Grant Calcaterra,PHI,TE,13,No,No,Yes,2,No,Yes,0.5,0.5,15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Rashod Bateman,BLT,WR,27,No,No,No,9,No,Yes,,1,13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Rico Dowdle,CAR,RB,23,No,No,Yes,13,No,Yes,,,17,11,9,0.8182,0.8462,8,0.7273,71,117,45,-57,11,11,1,-5.1818,89.6,5.4615,6.4545,1.1143,8.875,14.625,5.625,15.8701,15.8701,0.4783,7.1,15.1,11.1,19.1,15.1,15.1,11.1,15.1,15.1,15.1,11.1,15.1,15.1,1,1,0.125,,4,1,0.0909,,,,,,,,
