teamTeamId,teamLocation,teamNickname,teamIsHomeTeam,opponentAbbreviation,opponentConference,opponentDivisionName,playDefenseMiddleOfTheFieldLookPreName,playDefenseMiddleOfTheFieldLookPostName,playDefenseCoverageSchemeParent,teamStatsGamesPlayed,opponentStatsPassingDropbacksTotal,opponentStatsPassingAttemptsTotal,opponentStatsPassingAttemptsCatchablePercentage,opponentStatsPassingCompletionsTotal,opponentStatsPassingCompletionsPercentage,opponentStatsPassingCompletionsAdjustedPercentage,opponentStatsPassingCompletionsOverExpected,opponentStatsPassingDropsYardsLost,opponentStatsPassingDropsPercentage,opponentStatsPassingYardsTotal,opponentStatsPassingYardsPerAttempt,opponentStatsPassingYardsAfterCatchPercentage,opponentStatsPassingYardsAdjustedNetPercentage,opponentStatsPassingYardsAirTotal,opponentStatsPassingTouchdownsTotal,opponentStatsPassingInterceptionsTotal,opponentStatsPassingSackedAvoidedTotal,opponentStatsPassingPlayActionLabel,opponentStatsPassingPressuredLabel,opponentStatsPassingPressuredTotal,opponentStatsPassingPressuredPercentage,opponentStatsPassingPressuredOverExpected,opponentStatsPassingBlitzedLabel,opponentStatsPassingRunPassOptionPercentage,opponentStatsPassingDeepThrowAttemptsTotal,opponentStatsPassingDeepThrowAttemptsPercentage,opponentStatsPassingTowThrowPercentage,opponentStatsPassingTargetedReadFirstPercentage,opponentStatsPassingTargetedReadCheckdownPercentage,opponentStatsPassingThrowAccuracyHighlyAccuratePercentage,opponentStatsPassingAverageTimeToThrow,opponentStatsPassingAverageTimeToPressure,opponentStatsPassingAverageDepthOfTarget,opponentStatsPassingPasserRating,opponentStatsReceivingTargetsContestedLabel,opponentStatsReceivingTargetsCatchableLabel,opponentStatsFirstDownsPassing,opponentStatsPassingAttemptsInEndzoneTotal,opponentStatsPassingHeroThrowPercentage
24,New York,Giants,True,DAL,NFC,NFC East,Closed,Closed,Cover 1,17,154,154,1,143,0.9285714285714286,0.9675324675324676,0.16264217275974036,28,0.03896103896103896,1245,8.084415584415584,0.6024096385542169,8.733766233766234,555,5,,2,No,No,32,0.2077922077922078,-0.10286331168831168,No,0.05844155844155844,3,0.01948051948051948,,0.7272727272727273,0.07142857142857142,1,2.375974025974026,2.55,3.603896103896104,111.2,No,Yes,64,3,
16,Kansas City,Chiefs,,LV,AFC,AFC West,Open,Open,Cover 0,17,156,156,1,150,0.9615384615384616,0.9935897435897436,0.14617047803846162,10,0.03205128205128205,1255,8.044871794871796,0.797609561752988,8.397435897435898,291,5,1,1,No,No,23,0.14743589743589744,-0.1498929487179487,No,0.10897435897435898,1,0.00641025641025641,,0.7435897435897436,0.08333333333333333,1,2.298717948717949,2.643478260869565,1.8653846153846154,108.2,No,Yes,60,2,0.00641025641025641
29,San Francisco,49ers,True,SEA,NFC,NFC West,Closed,Closed,Cover 3,17,173,173,1,165,0.953757225433526,0.9710982658959537,0.14087398861271683,7,0.017341040462427744,1278,7.38728323699422,0.6705790297339593,7.734104046242774,513,3,,4,Yes,No,30,0.17341040462427745,-0.13251531791907517,No,0.06358381502890173,3,0.017341040462427744,,0.6994219653179191,0.13872832369942195,1,2.3485549132947976,2.3333333333333335,2.9653179190751446,103.2,No,Yes,64,2,0.011560693641618497
7,Cincinnati,Bengals,True,CLV,AFC,AFC North,Open,Open,Cover 6,17,160,160,1,152,0.95,0.975,0.14707098673749996,22,0.025,1565,9.78125,0.7169329073482428,10.75,493,10,1,8,No,Yes,26,0.1625,-0.1640515625,No,0.09375,5,0.03125,,0.65625,0.1,1,2.4681249999999997,2.8307692307692305,3.08125,125.7,Yes,Yes,74,2,0.00625
8,Cleveland,Browns,,CIN,AFC,AFC North,Open,Open,Cover 6,17,141,141,1,132,0.9361702127659575,0.9645390070921985,0.1292802396241134,40,0.028368794326241134,1099,7.794326241134752,0.8307552320291174,8.50354609929078,319,5,,1,No,Yes,32,0.22695035460992907,-0.05249326241134752,No,0.05673758865248227,4,0.028368794326241134,,0.7021276595744681,0.14893617021276595,1,2.1950354609929077,2.3000000000000003,2.2624113475177303,111,Yes,Yes,53,4,0.014184397163120567
2,Atlanta,Falcons,True,NO,NFC,NFC South,Open,Open,Cover 4,17,120,120,1,109,0.9083333333333333,0.95,0.15326570191666666,88,0.041666666666666664,999,8.325,0.5995995995995996,9.825,561,9,,3,No,No,26,0.21666666666666667,-0.1146645833333333,No,0.03333333333333333,6,0.05,0.008333333333333333,0.7333333333333333,0.08333333333333333,1,2.495833333333333,2.6653846153846152,4.675,126.4,Yes,Yes,48,3,0.016666666666666666
26,Philadelphia,Eagles,True,WAS,NFC,NFC East,Open,Open,Cover 6,17,150,150,1,137,0.9133333333333333,0.9466666666666667,0.12332279534000001,36,0.03333333333333333,1274,8.493333333333334,0.7127158555729984,9.16,459,5,,,No,No,37,0.24666666666666667,-0.04087833333333331,No,0.08,1,0.006666666666666667,,0.7333333333333333,0.11333333333333333,1,2.242,2.2783783783783784,3.06,113.2,No,Yes,60,2,0.006666666666666667
32,Washington,Commanders,,PHI,NFC,NFC East,Open,Open,Cover 6,17,173,173,1,159,0.9190751445086706,0.9653179190751445,0.16394608433526003,37,0.046242774566473986,1700,9.826589595375722,0.6429411764705882,10.722543352601155,738,10,1,6,No,No,32,0.18497109826589594,-0.12013208092485551,No,0.06358381502890173,7,0.04046242774566474,,0.6994219653179191,0.09248554913294797,1,2.3433526011560692,2.59375,4.265895953757226,124.5,No,Yes,87,6,0.017341040462427744
22,New England,Patriots,True,MIA,AFC,AFC East,Open,Closed,Cover 3,17,151,151,1,139,0.9205298013245033,0.9668874172185431,0.14512485688741728,61,0.046357615894039736,1230,8.14569536423841,0.6382113821138211,8.410596026490067,526,2,,3,Yes,No,38,0.25165562913907286,-0.07399701986754965,Yes,0.033112582781456956,4,0.026490066225165563,,0.609271523178808,0.1456953642384106,1,2.462913907284768,2.4394736842105265,3.4834437086092715,105,No,Yes,56,,0.006622516556291391
30,Tampa Bay,Buccaneers,True,CAR,NFC,NFC South,Open,Open,Cover 2,17,166,166,1,155,0.9337349397590361,0.9578313253012049,0.13121691942771085,26,0.024096385542168676,1296,7.807228915662651,0.6705246913580247,8.620481927710843,507,9,1,5,No,No,38,0.2289156626506024,-0.08307861445783131,No,0.030120481927710843,,,0.006024096385542169,0.6746987951807228,0.10843373493975904,1,2.383734939759036,2.431578947368421,3.0542168674698793,114.8,No,Yes,67,4,0.006024096385542169
17,Los Angeles,Rams,True,ARZ,NFC,NFC West,Open,Open,Cover 2,17,208,208,1,192,0.9230769230769231,0.9423076923076923,0.13823760917788463,-13,0.019230769230769232,1632,7.846153846153846,0.5655637254901961,8.182692307692308,837,8,2,3,No,No,36,0.17307692307692307,-0.13092115384615385,No,0.028846153846153848,4,0.019230769230769232,,0.6586538461538461,0.14423076923076922,1,2.3365384615384617,2.5194444444444444,4.024038461538462,108.2,No,Yes,83,5,0.004807692307692308
31,Tennessee,Titans,,JAX,AFC,AFC South,Closed,Closed,Cover 3,17,148,148,1,137,0.9256756756756757,0.9324324324324325,0.11981576004054062,-6,0.006756756756756757,1292,8.72972972972973,0.5797213622291022,9.135135135135135,606,3,,2,No,No,28,0.1891891891891892,-0.11905472972972973,No,0.05405405405405406,5,0.033783783783783786,,0.722972972972973,0.07432432432432433,1,2.3614864864864864,2.3785714285714286,4.094594594594595,109.8,No,Yes,56,2,0.006756756756756757
28,Seattle,Seahawks,,SF,NFC,NFC West,Closed,Closed,Cover 3,17,188,188,1,171,0.9095744680851063,0.9521276595744681,0.11428848863829788,49,0.0425531914893617,1384,7.361702127659575,0.773121387283237,7.202127659574468,448,3,2,3,Yes,No,51,0.2712765957446808,-0.030861170212765975,No,0.05319148936170213,5,0.026595744680851064,,0.601063829787234,0.14893617021276595,1,2.326595744680851,2.5058823529411764,2.382978723404255,98.2,No,Yes,60,5,0.015957446808510637
14,Indianapolis,Colts,,HST,AFC,AFC South,Closed,Closed,Cover 1,17,157,157,1,148,0.9426751592356688,0.9681528662420382,0.16120521466242033,26,0.025477707006369428,1264,8.050955414012739,0.5712025316455697,9.070063694267516,642,8,,2,Yes,No,30,0.1910828025477707,-0.1298700636942675,Yes,0.05732484076433121,5,0.03184713375796178,,0.6305732484076433,0.12101910828025478,1,2.435668789808917,2.5966666666666667,4.089171974522293,117.2,No,Yes,62,9,0.01910828025477707
