teamTeamId,teamLocation,teamNickname,teamIsHomeTeam,opponentAbbreviation,opponentConference,opponentDivisionName,playDefenseMiddleOfTheFieldLookPreName,playDefenseMiddleOfTheFieldLookPostName,playDefenseCoverageSchemeParent,teamStatsGamesPlayed,opponentStatsPassingDropbacksTotal,opponentStatsPassingAttemptsTotal,opponentStatsPassingAttemptsCatchablePercentage,opponentStatsPassingAttemptsInEndzoneTotal,opponentStatsPassingCompletionsTotal,opponentStatsPassingCompletionsPercentage,opponentStatsPassingCompletionsAdjustedPercentage,opponentStatsPassingCompletionsOverExpected,opponentStatsPassingDropsYardsLost,opponentStatsPassingDropsPercentage,opponentStatsPassingYardsTotal,opponentStatsPassingYardsPerAttempt,opponentStatsPassingYardsAfterCatchPercentage,opponentStatsPassingYardsAdjustedNetPercentage,opponentStatsPassingYardsAirTotal,opponentStatsPassingTouchdownsTotal,opponentStatsPassingSackedAvoidedTotal,opponentStatsPassingPlayActionLabel,opponentStatsPassingPressuredLabel,opponentStatsPassingPressuredTotal,opponentStatsPassingPressuredPercentage,opponentStatsPassingPressuredOverExpected,opponentStatsPassingBlitzedLabel,opponentStatsPassingRunPassOptionPercentage,opponentStatsPassingDeepThrowAttemptsTotal,opponentStatsPassingDeepThrowAttemptsPercentage,opponentStatsPassingHeroThrowPercentage,opponentStatsPassingTargetedReadFirstPercentage,opponentStatsPassingTargetedReadCheckdownPercentage,opponentStatsPassingThrowAccuracyHighlyAccuratePercentage,opponentStatsPassingAverageTimeToThrow,opponentStatsPassingAverageTimeToPressure,opponentStatsPassingAverageDepthOfTarget,opponentStatsPassingPasserRating,opponentStatsReceivingTargetsContestedLabel,opponentStatsReceivingTargetsCatchableLabel,opponentStatsFirstDownsPassing,opponentStatsPassingInterceptionsTotal,opponentStatsPassingTowThrowPercentage
1,Arizona,Cardinals,,LA,NFC,NFC West,Open,Open,Cover 4,17,122,122,1,9,111,0.9098360655737705,0.9590163934426229,0.24910138975409835,75,0.04918032786885246,1500,12.295081967213115,0.366,15.245901639344263,1130,18,,No,No,27,0.22131147540983606,-0.11384918032786887,No,,16,0.13114754098360656,0.12295081967213115,0.7868852459016393,0.05737704918032787,1,2.5180327868852457,2.4333333333333336,9.262295081967213,157.5,No,Yes,73,,
5,Carolina,Panthers,,TB,NFC,NFC South,Closed,Closed,Prevent,17,123,123,1,5,116,0.943089430894309,0.975609756097561,0.2329447719430895,21,0.032520325203252036,1557,12.658536585365853,0.42838792549775206,14.447154471544716,992,11,2,No,No,23,0.18699186991869918,-0.14828373983739837,No,0.04878048780487805,12,0.0975609756097561,0.12195121951219512,0.6991869918699187,0.13008130081300814,1,2.5186991869918702,2.626086956521739,8.065040650406504,148.6,Yes,Yes,73,,
6,Chicago,Bears,True,DET,NFC,NFC North,Open,Open,Cover 0,17,169,169,1,11,153,0.9053254437869822,0.9644970414201184,0.23441204023668638,88,0.05917159763313609,2111,12.49112426035503,0.41496920890573186,14.118343195266272,1420,16,,Yes,Yes,40,0.23668639053254437,-0.11945236686390531,Yes,0.029585798816568046,18,0.10650887573964497,0.10059171597633136,0.7337278106508875,0.09467455621301775,1,2.639644970414201,2.56,8.402366863905325,147.8,No,Yes,101,1,
10,Denver,Broncos,True,LAC,AFC,AFC West,Open,Open,Red Zone,17,149,149,1,7,134,0.8993288590604027,0.9395973154362416,0.20696251405369126,54,0.040268456375838924,1762,11.825503355704697,0.3967082860385925,12.563758389261745,1284,10,7,No,No,40,0.2684563758389262,-0.05178489932885905,No,0.087248322147651,17,0.11409395973154363,0.09395973154362416,0.785234899328859,0.06040268456375839,1,2.431543624161074,2.2725,8.61744966442953,132.7,No,Yes,78,2,
24,New York,Giants,True,DAL,NFC,NFC East,Open,Closed,Cover 3,17,163,163,1,9,138,0.8466257668711656,0.9386503067484663,0.20834274014110432,165,0.09202453987730061,1791,10.987730061349692,0.42155220547180344,12.828220858895705,1378,15,2,No,No,38,0.2331288343558282,-0.11267883435582822,Yes,0.04294478527607362,24,0.147239263803681,0.13496932515337423,0.754601226993865,0.09202453987730061,1,2.579754601226994,2.610526315789474,8.45398773006135,143.1,No,Yes,85,,
14,Indianapolis,Colts,,HST,AFC,AFC South,Open,Open,Prevent,17,177,177,1,7,161,0.9096045197740112,0.9491525423728814,0.22812068524858764,65,0.03954802259887006,2314,13.073446327683616,0.4317199654278306,14.31638418079096,1545,11,3,No,No,34,0.192090395480226,-0.14268841807909605,No,0.005649717514124294,22,0.12429378531073447,0.1016949152542373,0.7457627118644068,0.0903954802259887,1,2.515819209039548,2.6470588235294117,8.728813559322035,139.5,No,Yes,104,,
28,Seattle,Seahawks,,SF,NFC,NFC West,Open,Open,Cover 2,17,146,146,1,10,127,0.8698630136986302,0.9041095890410958,0.15731738902054793,36,0.03424657534246575,1486,10.178082191780822,0.436742934051144,11.23972602739726,1055,10,3,No,Yes,28,0.1917808219178082,-0.12892671232876715,No,0.0273972602739726,14,0.0958904109589041,0.0958904109589041,0.7397260273972602,0.1232876712328767,1,2.4342465753424656,2.232142857142857,7.226027397260274,129.1,No,Yes,74,1,
17,Los Angeles,Rams,True,ARZ,NFC,NFC West,Open,Open,Cover 4,17,122,122,1,7,111,0.9098360655737705,0.9426229508196722,0.23677212294262295,34,0.03278688524590164,1603,13.139344262295081,0.38427947598253276,15.434426229508198,1139,14,1,No,No,37,0.30327868852459017,-0.026084836065573765,No,0.00819672131147541,17,0.13934426229508196,0.12295081967213115,0.7131147540983607,0.03278688524590164,1,2.484426229508197,2.427027027027027,9.336065573770492,157,No,Yes,72,,
22,New England,Patriots,True,MIA,AFC,AFC East,Closed,Closed,Cover 3,17,132,132,1,12,120,0.9090909090909091,0.9545454545454546,0.2099500351515151,82,0.045454545454545456,1361,10.31060606060606,0.44893460690668624,12.583333333333334,927,15,,No,No,28,0.21212121212121213,-0.14136060606060605,Yes,0.015151515151515152,12,0.09090909090909091,0.07575757575757576,0.6893939393939394,0.12878787878787878,1,2.624242424242424,2.542857142857143,7.0227272727272725,147.5,No,Yes,69,,
30,Tampa Bay,Buccaneers,True,CAR,NFC,NFC South,Closed,Closed,Prevent,17,158,158,1,10,145,0.9177215189873418,0.9620253164556962,0.23548764703797476,84,0.04430379746835443,2152,13.620253164556962,0.4465613382899628,15.89873417721519,1374,18,3,No,No,37,0.23417721518987342,-0.10879050632911395,No,0.03164556962025317,15,0.0949367088607595,0.0759493670886076,0.7025316455696202,0.08860759493670886,1,2.5632911392405062,2.5054054054054054,8.69620253164557,156.7,Yes,Yes,95,,
