teamTeamId,teamLocation,teamNickname,opponentAbbreviation,opponentConference,opponentDivisionName,playDefenseMiddleOfTheFieldLookPreName,playDefenseMiddleOfTheFieldLookPostName,playDefenseCoverageSchemeParent,teamStatsGamesPlayed,opponentStatsPassingDropbacksTotal,opponentStatsPassingAttemptsTotal,opponentStatsPassingAttemptsInEndzoneTotal,opponentStatsPassingCompletionsOverExpected,opponentStatsPassingYardsAirTotal,opponentStatsPassingSackedAvoidedTotal,opponentStatsPassingPlayActionLabel,opponentStatsPassingPressuredLabel,opponentStatsPassingPressuredTotal,opponentStatsPassingPressuredPercentage,opponentStatsPassingPressuredOverExpected,opponentStatsPassingBlitzedLabel,opponentStatsPassingOffTargetThrowAttemptsPercentage,opponentStatsPassingDeepThrowAttemptsTotal,opponentStatsPassingDeepThrowAttemptsPercentage,opponentStatsPassingTowThrowPercentage,opponentStatsPassingTargetedReadFirstPercentage,opponentStatsPassingTargetedReadCheckdownPercentage,opponentStatsPassingAverageTimeToThrow,opponentStatsPassingAverageTimeToPressure,opponentStatsPassingAverageDepthOfTarget,opponentStatsPassingPasserRating,opponentStatsReceivingTargetsContestedLabel,opponentStatsReceivingTargetsCatchableLabel,teamIsHomeTeam,opponentStatsPassingRunPassOptionPercentage,opponentStatsPassingYardsAdjustedNetPercentage,opponentStatsPassingInterceptionsTotal
20,Miami,Dolphins,NE,AFC,AFC East,Open,Closed,Cover 3,17,17,17,1,-0.6123575640588235,253,3,Yes,Yes,9,0.5294117647058824,0.06646470588235295,Yes,1,5,0.29411764705882354,0.058823529411764705,0.5882352941176471,,3.2588235294117647,2.711111111111111,14.882352941176471,15.1,No,No,,,-2.6470588235294117,1
12,Green Bay,Packers,MIN,NFC,NFC North,Open,Open,Red Zone,15,20,20,5,-0.6936515686,189,1,No,No,6,0.3,-0.11139999999999999,No,1,3,0.15,0.15,0.8,,2.96,3.0666666666666664,9.45,,No,No,,,-4.5,2
3,Baltimore,Ravens,PIT,AFC,AFC North,Closed,Closed,Cover 3,16,26,26,3,-0.6369569723076923,352,3,Yes,No,9,0.34615384615384615,-0.09005961538461538,Yes,1,5,0.19230769230769232,0.038461538461538464,0.6923076923076923,0.038461538461538464,3.103846153846154,2.6222222222222222,13.538461538461538,39.6,No,No,,,,
25,New York,Jets,BUF,AFC,AFC East,Closed,Closed,Cover 1,15,20,20,2,-0.6953321711,195,1,No,Yes,9,0.45,0.1145,Yes,1,1,0.05,,0.8,,2.52,2.5444444444444443,9.75,39.6,No,No,,,,
18,Los Angeles,Chargers,DEN,AFC,AFC West,Closed,Closed,Red Zone,15,24,24,1,-0.727389765375,191,,No,No,12,0.5,0.1550125,No,1,1,0.041666666666666664,0.041666666666666664,0.625,0.125,2.5749999999999997,1.9583333333333333,7.958333333333333,39.6,No,No,,0.041666666666666664,,
15,Jacksonville,Jaguars,TEN,AFC,AFC South,Open,Open,Cover 0,14,18,18,3,-0.6542132197222222,159,2,No,Yes,11,0.6111111111111112,0.21676944444444443,No,1,3,0.16666666666666666,0.1111111111111111,0.7777777777777778,0.1111111111111111,2.861111111111111,2.5,8.833333333333334,,No,No,True,,-5,2
13,Houston,Texans,IND,AFC,AFC South,Open,Open,Cover 2,17,26,26,1,-0.6541794984230769,338,,Yes,Yes,11,0.4230769230769231,0.04790192307692308,No,1,4,0.15384615384615385,0.07692307692307693,0.6153846153846154,0.07692307692307693,2.75,2.5272727272727273,13,23.6,No,No,True,,-1.7307692307692308,1
23,New Orleans,Saints,ATL,NFC,NFC South,Open,Open,Cover 4,16,19,19,1,-0.6509354110526315,265,2,No,Yes,6,0.3157894736842105,-0.13247105263157893,No,1,2,0.10526315789473684,0.05263157894736842,0.6842105263157895,0.05263157894736842,3.1736842105263157,2.6999999999999997,13.947368421052632,39.6,No,No,,,,
11,Detroit,Lions,CHI,NFC,NFC North,Closed,Open,Cover 2,15,21,21,6,-0.6500212244761905,271,1,No,No,9,0.42857142857142855,-0.045585714285714285,No,1,4,0.19047619047619047,0.09523809523809523,0.6190476190476191,0.047619047619047616,3.3238095238095235,3.1444444444444444,12.904761904761905,39.6,No,No,,,,
21,Minnesota,Vikings,GB,NFC,NFC North,Open,Open,Red Zone,16,22,22,3,-0.7103571792727273,201,,No,No,7,0.3181818181818182,-0.025629545454545474,No,1,1,0.045454545454545456,,0.7272727272727273,0.09090909090909091,2.5681818181818183,2.3285714285714287,9.136363636363637,39.6,No,No,True,,,
19,Las Vegas,Raiders,KC,AFC,AFC West,Closed,Closed,Cover 3,14,16,16,2,-0.6980901933125,160,,No,No,7,0.4375,0.08173124999999998,No,1,2,0.125,0.0625,0.6875,,2.6375,2.357142857142857,10,39.6,No,No,True,,,
