name,team,pos,w15_up,w16_up,w17_up,playoff_up
Josh Allen,BUF,QB,1.4516,1.5348,1.55,1.0
James Cook,BUF,RB,1.3662,1.4445,1.4588,0.941
Puka Nacua,LAR,WR,1.3153,1.4145,1.5012,0.9393
Derrick Henry,BAL,RB,1.4436,1.4436,1.3042,0.9077
Zay Flowers,BAL,WR,1.4091,1.4091,1.273,0.8859
Jahmyr Gibbs,DET,RB,1.4125,1.3826,1.2863,0.8851
Lamar Jackson,BAL,QB,1.4047,1.4047,1.269,0.8831
Matthew Stafford,LAR,QB,1.2331,1.3261,1.4074,0.8803
Amon-Ra St. Brown,DET,WR,1.4006,1.3709,1.2754,0.8776
Davante Adams,LAR,WR,1.1798,1.2688,1.3466,0.8421
Sam LaPorta,DET,TE,1.3373,1.309,1.2179,0.8378
DJ Moore,BUF,WR,1.2052,1.2743,1.287,0.8297
Mark Andrews,BAL,TE,1.3175,1.3175,1.1902,0.8281
Dalton Kincaid,BUF,TE,1.1975,1.2662,1.2788,0.8244
Kyren Williams,LAR,RB,1.109,1.1927,1.2657,0.7914
Drake Maye,NE,QB,1.0651,1.3272,1.1856,0.787
Jameson Williams,DET,WR,1.2363,1.2101,1.1258,0.7743
A.J. Brown,NE,WR,1.0395,1.2953,1.1571,0.7679
Jonathan Taylor,IND,RB,1.2054,0.9128,1.2798,0.756
Tyler Warren,IND,TE,1.1953,0.9052,1.2691,0.7497
CeeDee Lamb,DAL,WR,0.8966,1.2454,1.1965,0.7462
Khalil Shakir,BUF,WR,1.0645,1.1255,1.1367,0.7324
DeVonta Smith,PHI,WR,1.0538,1.252,1.0238,0.7222
Dallas Goedert,PHI,TE,1.0502,1.2478,1.0204,0.7197
Rashee Rice,KC,WR,1.0094,1.08,1.1485,0.7178
George Pickens,DAL,WR,0.8409,1.1681,1.1222,0.6996
Josh Jacobs,GB,RB,1.1321,0.8733,1.1116,0.6862
Jaxon Smith-Njigba,SEA,WR,0.9238,0.7607,1.299,0.6852
Saquon Barkley,PHI,RB,0.9953,1.1825,0.967,0.6819
Terrance Ferguson,LAR,TE,0.9536,1.0255,1.0884,0.68
Tucker Kraft,GB,TE,1.1103,0.8565,1.0902,0.6729
Ja'Marr Chase,CIN,WR,1.3299,1.0923,0.7876,0.6659
Travis Kelce,KC,TE,0.9355,1.001,1.0644,0.665
Ken Walker III,KC,RB,0.9301,0.9952,1.0583,0.6611
Hunter Henry,NE,TE,0.8933,1.1131,0.9944,0.6595
Javonte Williams,DAL,RB,0.7927,1.1012,1.0579,0.6594
