teamTeamId,teamLocation,teamNickname,teamIsHomeTeam,opponentAbbreviation,opponentConference,opponentDivisionName,playDefenseMiddleOfTheFieldLookPreName,playDefenseMiddleOfTheFieldLookPostName,playDefenseCoverageSchemeParent,teamStatsGamesPlayed,opponentStatsSnapsOffenseTotal,opponentStatsPassingPlayActionLabel,opponentStatsPassingPressuredLabel,opponentStatsPassingBlitzedLabel,opponentStatsReceivingRoutesTotal,opponentStatsReceivingTargetsTotal,opponentStatsReceivingTargetsContestedLabel,opponentStatsReceivingTargetsContestedTotal,opponentStatsReceivingTargetsCatchableLabel,opponentStatsReceivingTargetsCatchableTotal,opponentStatsReceivingTargetsCatchablePercentage,opponentStatsReceivingTargetsPerRoute,opponentStatsReceivingReceptionsTotal,opponentStatsReceivingReceptionsContested,opponentStatsReceivingReceptionsPercentage,opponentStatsReceivingYardsTotal,opponentStatsReceivingYardsAfterCatchTotal,opponentStatsReceivingYardsAfterContactTotal,opponentStatsReceivingYardsAirTotal,opponentStatsReceivingTouchdownsTotal,opponentStatsReceivingDropsTotal,opponentStatsReceivingMissedTacklesForcedTotal,opponentStatsReceivingMissedTacklesForcedPerReception,opponentStatsReceivingAlignmentBackfieldTargetsPercentage,opponentStatsReceivingAlignmentInlineTargetsPercentage,opponentStatsReceivingAlignmentSlotTargetsPercentage,opponentStatsReceivingAlignmentWideTargetsPercentage,opponentStatsReceivingTargetedReadFirstTotal,opponentStatsReceivingTargetedReadFirstPercentage,opponentStatsReceivingTargetedReadDesignTotal,opponentStatsReceivingTargetedReadDesignPercentage,opponentStatsReceivingAverageDepthOfTarget,opponentStatsReceivingPasserRatingWhenTargeted,opponentStatsReceivingAveragesPerRouteYardsTotal,opponentStatsReceivingAveragesPerTargetYardsTotal,opponentStatsReceivingAveragesPerTargetYardsOverExpected,opponentStatsReceivingAveragesPerTargetDropsTotal,opponentStatsReceivingAveragesPerReceptionYardsTotal,opponentStatsReceivingAveragesPerReceptionYardsAfterCatch,opponentStatsReceivingAveragesPerReceptionYardsAfterContact,opponentStatsFirstDownsPassing,opponentStatsInside20ReceivingTargetsTotal,opponentStatsReceivingReceptionsHero,opponentStatsReceivingTargetsInEndzone,opponentStatsReceivingTouchdownsInEndzone
19,Las Vegas,Raiders,1,KC,AFC,AFC West,Open,Open,Cover 6,16,43,Yes,No,Yes,187,35,No,2,No,33,0.9429,0.1872,32,2,0.9143,352,226,49,147,1,1,8,0.25,0.3143,0.0571,0.3429,0.2857,22,0.6286,6,0.1714,4.2,118.1,1.8824,10.0571,3.4672,0.0286,11,7.0625,1.5312,12,3,,,
2,Atlanta,Falcons,1,NO,NFC,NFC South,Open,Open,Cover 6,17,46,No,Yes,Yes,204,34,No,5,Yes,30,0.8824,0.1667,26,2,0.7647,262,98,62,214,1,2,1,0.0385,0.1471,0.1176,0.3529,0.3529,22,0.6471,4,0.1176,6.2941,107.7,1.2843,7.7059,0.5386,0.0588,10.0769,3.7692,2.3846,9,2,1,,
32,Washington,Commanders,,PHI,NFC,NFC East,Open,Open,Cover 6,16,60,No,Yes,No,270,43,No,5,No,34,0.7907,0.1593,27,3,0.6279,287,156,41,363,,6,4,0.1481,0.186,0.1163,0.2791,0.4186,30,0.6977,4,0.093,8.4419,72.5,1.063,6.6744,-0.972,0.1395,10.6296,5.7778,1.5185,13,1,1,1,
7,Cincinnati,Bengals,1,CLV,AFC,AFC North,Open,Open,Cover 6,17,104,No,No,No,471,87,No,9,Yes,73,0.8391,0.1847,65,5,0.7471,729,438,170,586,4,4,17,0.2615,0.2414,0.1149,0.2529,0.3793,49,0.5632,13,0.1494,6.7356,105,1.5478,8.3793,1.0503,0.046,11.2154,6.7385,2.6154,29,4,,2,1
26,Philadelphia,Eagles,1,WAS,NFC,NFC East,Open,Open,Cover 6,17,134,No,Yes,No,608,114,No,23,No,91,0.7982,0.1875,71,15,0.6228,878,377,133,1169,2,11,12,0.169,0.2193,0.0614,0.2281,0.4912,77,0.6754,7,0.0614,10.2544,84.6,1.4441,7.7018,-0.4238,0.0965,12.3662,5.3099,1.8732,37,4,2,2,1
8,Cleveland,Browns,,CIN,AFC,AFC North,Open,Open,Cover 6,15,27,No,No,No,117,24,No,,Yes,22,0.9167,0.2051,22,,0.9167,232,128,35,136,2,,2,0.0909,0.2917,0.0833,0.25,0.375,13,0.5417,4,0.1667,5.6667,134.7,1.9829,9.6667,2.3675,,10.5455,5.8182,1.5909,6,1,,1,1
16,Kansas City,Chiefs,,LV,AFC,AFC West,Open,Open,Cover 6,17,41,Yes,No,Yes,146,31,No,2,No,27,0.871,0.2123,24,,0.7742,236,149,49,189,,1,4,0.1667,0.1935,0.1935,0.3548,0.2581,24,0.7742,9,0.2903,6.0968,98.3,1.6164,7.6129,0.5177,0.0323,9.8333,6.2083,2.0417,7,1,,,
29,San Francisco,49ers,1,SEA,NFC,NFC West,Open,Open,Cover 6,16,74,No,No,No,338,62,No,7,Yes,54,0.871,0.1834,48,6,0.7742,561,229,68,578,1,4,7,0.1458,0.129,0.0968,0.3548,0.4194,38,0.6129,6,0.0968,9.3226,103,1.6598,9.0484,1.0203,0.0645,11.6875,4.7708,1.4167,26,5,1,1,1
27,Pittsburgh,Steelers,1,BLT,AFC,AFC North,Closed,Open,Cover 6,16,40,No,No,No,194,37,No,2,Yes,31,0.8378,0.1907,29,1,0.7838,373,189,65,265,3,1,7,0.2414,0.1081,0.1351,0.2973,0.4595,28,0.7568,,,7.1622,135.7,1.9227,10.0811,2.7964,0.027,12.8621,6.5172,2.2414,13,4,1,1,1
4,Buffalo,Bills,1,NYJ,AFC,AFC East,Open,Open,Cover 6,17,65,No,No,No,289,50,No,7,Yes,41,0.82,0.173,37,5,0.74,467,187,47,399,1,2,5,0.1351,0.18,0.08,0.38,0.36,34,0.68,2,0.04,7.98,101,1.6159,9.34,1.9013,0.04,12.6216,5.0541,1.2703,19,2,1,1,
