teamTeamId,teamLocation,teamNickname,teamIsHomeTeam,opponentAbbreviation,opponentConference,opponentDivisionName,playDefenseMiddleOfTheFieldLookPreName,playDefenseMiddleOfTheFieldLookPostName,playDefenseCoverageSchemeParent,teamStatsGamesPlayed,opponentStatsSnapsOffenseTotal,opponentStatsPassingPlayActionLabel,opponentStatsPassingPressuredLabel,opponentStatsPassingBlitzedLabel,opponentStatsReceivingRoutesTotal,opponentStatsReceivingTargetsTotal,opponentStatsReceivingTargetsContestedLabel,opponentStatsReceivingTargetsContestedTotal,opponentStatsReceivingTargetsCatchableLabel,opponentStatsReceivingTargetsCatchableTotal,opponentStatsReceivingTargetsCatchablePercentage,opponentStatsReceivingTargetsInEndzone,opponentStatsReceivingTargetsPerRoute,opponentStatsReceivingReceptionsTotal,opponentStatsReceivingReceptionsContested,opponentStatsReceivingReceptionsPercentage,opponentStatsReceivingYardsTotal,opponentStatsReceivingYardsAfterCatchTotal,opponentStatsReceivingYardsAfterContactTotal,opponentStatsReceivingYardsAirTotal,opponentStatsReceivingTouchdownsTotal,opponentStatsReceivingDropsTotal,opponentStatsReceivingMissedTacklesForcedTotal,opponentStatsReceivingMissedTacklesForcedPerReception,opponentStatsReceivingAlignmentBackfieldTargetsPercentage,opponentStatsReceivingAlignmentInlineTargetsPercentage,opponentStatsReceivingAlignmentSlotTargetsPercentage,opponentStatsReceivingAlignmentWideTargetsPercentage,opponentStatsReceivingTargetedReadFirstTotal,opponentStatsReceivingTargetedReadFirstPercentage,opponentStatsReceivingAverageDepthOfTarget,opponentStatsReceivingPasserRatingWhenTargeted,opponentStatsReceivingAveragesPerRouteYardsTotal,opponentStatsReceivingAveragesPerTargetYardsTotal,opponentStatsReceivingAveragesPerTargetYardsOverExpected,opponentStatsReceivingAveragesPerTargetDropsTotal,opponentStatsReceivingAveragesPerReceptionYardsTotal,opponentStatsReceivingAveragesPerReceptionYardsAfterCatch,opponentStatsReceivingAveragesPerReceptionYardsAfterContact,opponentStatsFirstDownsPassing,opponentStatsInside20ReceivingTargetsTotal,opponentStatsReceivingReceptionsHero,opponentStatsReceivingTouchdownsInEndzone,opponentStatsReceivingTargetedReadDesignTotal,opponentStatsReceivingTargetedReadDesignPercentage
30,Tampa Bay,Buccaneers,1,CAR,NFC,NFC South,Closed,Open,Cover 0,15,28,Yes,No,Yes,97,27,No,7,Yes,20,0.7407,6,0.2784,18,6,0.6667,119,39,16,217,6,1,,,,0.1111,0.3333,0.5556,24,0.8889,8.037,115.6,1.2268,4.4074,-3.0034,0.037,6.6111,2.1667,0.8889,15,7,1,4,4,0.1481
17,Los Angeles,Rams,1,ARZ,NFC,NFC West,Open,Open,Cover 0,13,13,No,No,Yes,47,12,No,,No,6,0.5,7,0.2553,6,,0.5,30,12,6,76,6,,2,0.3333,,,0.5833,0.4167,11,0.9167,6.3333,61.1,0.6383,2.5,-4.4639,,5,2,1,6,12,,5,1,0.0833
28,Seattle,Seahawks,,SF,NFC,NFC West,Open,Open,Cover 0,15,19,No,No,Yes,64,19,No,3,No,14,0.7368,3,0.2969,11,2,0.5789,64,16,2,149,3,2,,,0.0526,0.0526,0.3158,0.5789,19,1,7.8421,103.9,1,3.3684,-4.1205,0.1053,5.8182,1.4545,0.1818,7,9,,2,1,0.0526
14,Indianapolis,Colts,,HST,AFC,AFC South,Closed,Open,Cover 0,17,42,Yes,Yes,Yes,151,35,No,2,Yes,27,0.7714,9,0.2318,22,2,0.6286,191,126,42,242,4,3,3,0.1364,0.1143,0.0571,0.4,0.4286,31,0.8857,6.9143,103.4,1.2649,5.4571,-1.9009,0.0857,8.6818,5.7273,1.9091,10,13,1,3,8,0.2286
10,Denver,Broncos,1,LAC,AFC,AFC West,Closed,Open,Cover 0,16,46,No,No,Yes,179,33,No,8,Yes,23,0.697,5,0.1844,18,4,0.5455,146,62,20,199,2,2,2,0.1111,0.0303,0.1515,0.3939,0.4242,31,0.9394,6.0303,73.5,0.8156,4.4242,-2.3124,0.0606,8.1111,3.4444,1.1111,10,10,1,2,3,0.0909
15,Jacksonville,Jaguars,1,TEN,AFC,AFC South,Open,Open,Cover 0,14,25,No,Yes,No,87,18,No,6,No,14,0.7778,10,0.2069,11,4,0.6111,111,29,21,157,9,1,1,0.0909,0.0556,0.1111,0.3889,0.4444,18,1,8.7222,78.7,1.2759,6.1667,-0.6082,0.0556,10.0909,2.6364,1.9091,10,13,1,6,1,0.0556
18,Los Angeles,Chargers,,DEN,AFC,AFC West,Closed,Open,Cover 0,14,25,No,No,Yes,103,21,No,1,Yes,12,0.5714,3,0.2039,10,,0.4762,45,26,8,126,4,1,,,0.1429,0.0952,0.381,0.381,19,0.9048,6,74,0.4369,2.1429,-5.2334,0.0476,4.5,2.6,0.8,7,9,,2,5,0.2381
25,New York,Jets,,BUF,AFC,AFC East,Open,Open,Cover 0,17,28,Yes,No,No,102,24,Yes,5,Yes,21,0.875,9,0.2353,18,2,0.75,145,66,13,166,8,,2,0.1111,0.125,0.0833,0.3333,0.4583,20,0.8333,6.9167,129.3,1.4216,6.0417,-1.2375,,8.0556,3.6667,0.7222,13,13,1,5,3,0.125
3,Baltimore,Ravens,,PIT,AFC,AFC North,Open,Open,Cover 0,17,44,Yes,No,No,173,36,No,8,Yes,21,0.5833,12,0.2081,16,3,0.4444,202,103,30,429,5,1,,,0.0833,0.0833,0.3611,0.4722,30,0.8333,11.9167,78.9,1.1676,5.6111,-2.8495,0.0278,12.625,6.4375,1.875,12,17,,1,1,0.0278
12,Green Bay,Packers,,MIN,NFC,NFC North,Closed,Open,Cover 0,13,13,Yes,Yes,No,48,9,Yes,3,No,6,0.6667,4,0.1875,6,2,0.6667,55,34,30,57,5,,2,0.3333,,0.2222,0.3333,0.4444,8,0.8889,6.3333,83.1,1.1458,6.1111,-1.257,,9.1667,5.6667,5,6,8,1,2,1,0.1111
20,Miami,Dolphins,,NE,AFC,AFC East,Open,Open,Cover 0,14,22,No,No,Yes,81,18,No,6,No,12,0.6667,5,0.2222,9,3,0.5,75,28,6,243,4,2,1,0.1111,0.1111,0.1667,0.3889,0.3333,15,0.8333,13.5,77.5,0.9259,4.1667,-4.6101,0.1111,8.3333,3.1111,0.6667,7,7,2,3,2,0.1111
19,Las Vegas,Raiders,1,KC,AFC,AFC West,Open,Open,Cover 0,16,24,No,No,No,80,21,No,4,Yes,17,0.8095,5,0.2625,13,2,0.619,97,43,7,122,4,3,1,0.0769,,0.1905,0.4762,0.2381,16,0.7619,5.8095,92.7,1.2125,4.619,-1.8674,0.1429,7.4615,3.3077,0.5385,10,11,,2,3,0.1429
9,Dallas,Cowboys,,NYG,NFC,NFC East,Open,Open,Cover 0,15,20,Yes,No,No,71,16,No,3,No,14,0.875,10,0.2254,12,2,0.75,65,17,5,109,8,2,1,0.0833,0.125,,0.375,0.5,11,0.6875,6.8125,121.1,0.9155,4.0625,-2.5937,0.125,5.4167,1.4167,0.4167,10,12,,7,,
21,Minnesota,Vikings,1,GB,NFC,NFC North,Closed,Open,Cover 0,13,42,Yes,Yes,No,154,31,Yes,2,No,21,0.6774,4,0.2013,17,1,0.5484,168,88,59,219,2,3,4,0.2353,0.0645,0.0968,0.3871,0.4516,28,0.9032,7.0645,91.9,1.0909,5.4194,-1.4338,0.0968,9.8824,5.1765,3.4706,10,9,,1,3,0.0968
23,New Orleans,Saints,,ATL,NFC,NFC South,Open,Open,Cover 0,13,14,No,No,No,53,13,No,2,No,8,0.6154,5,0.2453,7,1,0.5385,54,47,14,38,3,,5,0.7143,0.1538,0.3077,0.1538,0.3846,12,0.9231,2.9231,71.8,1.0189,4.1538,-2.0629,,7.7143,6.7143,2,6,10,,3,2,0.1538
11,Detroit,Lions,,CHI,NFC,NFC North,Open,Open,Cover 0,13,18,Yes,Yes,Yes,72,15,No,3,Yes,13,0.8667,5,0.2083,11,1,0.7333,55,24,2,94,4,,1,0.0909,0.0667,0.1333,0.1333,0.6667,12,0.8,6.2667,118.1,0.7639,3.6667,-3.4355,,5,2.1818,0.1818,8,8,,3,3,0.2
13,Houston,Texans,1,IND,AFC,AFC South,Closed,Open,Cover 0,13,7,Yes,Yes,Yes,29,6,No,1,Yes,6,1,1,0.2069,3,,0.5,51,37,5,27,1,2,,,,,0.5,0.5,4,0.6667,4.5,118.8,1.7586,8.5,2.5328,0.3333,17,12.3333,1.6667,2,2,,1,,
