teamTeamId,teamLocation,teamNickname,teamIsHomeTeam,opponentAbbreviation,opponentConference,opponentDivisionName,playDefenseMiddleOfTheFieldLookPreName,playDefenseMiddleOfTheFieldLookPostName,playDefenseCoverageSchemeParent,teamStatsGamesPlayed,opponentStatsSnapsOffenseTotal,opponentStatsPassingPlayActionLabel,opponentStatsPassingPressuredLabel,opponentStatsPassingBlitzedLabel,opponentStatsReceivingRoutesTotal,opponentStatsReceivingTargetsTotal,opponentStatsReceivingTargetsContestedLabel,opponentStatsReceivingTargetsContestedTotal,opponentStatsReceivingTargetsCatchableLabel,opponentStatsReceivingTargetsCatchableTotal,opponentStatsReceivingTargetsCatchablePercentage,opponentStatsReceivingTargetsInEndzone,opponentStatsReceivingTargetsPerRoute,opponentStatsReceivingReceptionsTotal,opponentStatsReceivingReceptionsContested,opponentStatsReceivingReceptionsHero,opponentStatsReceivingReceptionsPercentage,opponentStatsReceivingYardsTotal,opponentStatsReceivingYardsAfterCatchTotal,opponentStatsReceivingYardsAfterContactTotal,opponentStatsReceivingYardsAirTotal,opponentStatsReceivingTouchdownsTotal,opponentStatsReceivingTouchdownsInEndzone,opponentStatsReceivingDropsTotal,opponentStatsReceivingMissedTacklesForcedTotal,opponentStatsReceivingMissedTacklesForcedPerReception,opponentStatsReceivingAlignmentBackfieldTargetsPercentage,opponentStatsReceivingAlignmentInlineTargetsPercentage,opponentStatsReceivingAlignmentSlotTargetsPercentage,opponentStatsReceivingAlignmentWideTargetsPercentage,opponentStatsReceivingTargetedReadFirstTotal,opponentStatsReceivingTargetedReadFirstPercentage,opponentStatsReceivingTargetedReadDesignTotal,opponentStatsReceivingTargetedReadDesignPercentage,opponentStatsReceivingAverageDepthOfTarget,opponentStatsReceivingPasserRatingWhenTargeted,opponentStatsReceivingAveragesPerRouteYardsTotal,opponentStatsReceivingAveragesPerTargetYardsTotal,opponentStatsReceivingAveragesPerTargetYardsOverExpected,opponentStatsReceivingAveragesPerTargetDropsTotal,opponentStatsReceivingAveragesPerReceptionYardsTotal,opponentStatsReceivingAveragesPerReceptionYardsAfterCatch,opponentStatsReceivingAveragesPerReceptionYardsAfterContact,opponentStatsFirstDownsPassing,opponentStatsInside20ReceivingTargetsTotal
24,New York,Giants,1,DAL,NFC,NFC East,Closed,Closed,Cover 3,17,166,No,No,Yes,662,142,No,16,No,121,0.8521,3,0.2145,103,6,2,0.7254,1206,561,161,1102,1,1,8,4,0.0388,0.1901,0.1549,0.2324,0.4225,97,0.6831,19,0.1338,7.7606,94.4,1.8218,8.493,1.0905,0.0563,11.7087,5.4466,1.5631,53,4
5,Carolina,Panthers,,TB,NFC,NFC South,Closed,Closed,Cover 3,17,230,Yes,No,Yes,986,194,No,22,Yes,152,0.7835,14,0.1968,135,15,4,0.6959,1544,770,253,1573,8,3,11,15,0.1111,0.1392,0.1495,0.299,0.4124,133,0.6856,23,0.1186,8.1082,94.1,1.5659,7.9588,0.2583,0.0567,11.437,5.7037,1.8741,81,27
1,Arizona,Cardinals,,LA,NFC,NFC West,Closed,Closed,Cover 3,17,173,Yes,No,Yes,763,142,No,15,Yes,126,0.8873,2,0.1861,112,8,,0.7887,1301,617,272,1117,5,1,9,18,0.1607,0.1056,0.1338,0.3099,0.4507,98,0.6901,10,0.0704,7.8662,113.6,1.7051,9.162,1.6789,0.0634,11.6161,5.5089,2.4286,66,12
4,Buffalo,Bills,1,NYJ,AFC,AFC East,Closed,Closed,Cover 3,17,141,Yes,No,No,546,117,No,16,Yes,90,0.7692,5,0.2143,79,8,,0.6752,874,469,156,903,6,5,3,15,0.1899,0.1111,0.0684,0.3761,0.4359,86,0.735,26,0.2222,7.7179,88.8,1.6007,7.4701,-0.0661,0.0256,11.0633,5.9367,1.9747,45,13
6,Chicago,Bears,1,DET,NFC,NFC North,Open,Closed,Cover 3,17,171,No,No,No,698,144,No,16,Yes,111,0.7708,5,0.2063,96,10,2,0.6667,1142,527,135,1329,5,1,11,9,0.0938,0.1319,0.1181,0.3194,0.4306,103,0.7153,18,0.125,9.2292,73.3,1.6361,7.9306,0.0746,0.0764,11.8958,5.4896,1.4062,47,12
27,Pittsburgh,Steelers,1,BLT,AFC,AFC North,Closed,Closed,Cover 3,17,212,No,Yes,Yes,885,169,Yes,20,Yes,151,0.8935,3,0.191,133,13,2,0.787,1399,675,171,1107,3,2,13,20,0.1504,0.1716,0.1479,0.2426,0.4379,118,0.6982,22,0.1302,6.5503,99.7,1.5808,8.2781,0.8603,0.0769,10.5188,5.0752,1.2857,62,3
16,Kansas City,Chiefs,,LV,AFC,AFC West,Closed,Closed,Cover 3,17,150,No,No,No,596,124,No,14,No,104,0.8387,4,0.2081,94,11,3,0.7581,1001,496,112,896,5,3,6,4,0.0426,0.129,0.1532,0.3065,0.4113,87,0.7016,14,0.1129,7.2258,112.3,1.6795,8.0726,0.6869,0.0484,10.6489,5.2766,1.1915,51,14
29,San Francisco,49ers,1,SEA,NFC,NFC West,Open,Closed,Cover 3,17,243,Yes,No,Yes,1045,214,No,23,No,179,0.8364,4,0.2048,161,15,4,0.7523,1618,803,271,1563,8,2,9,24,0.1491,0.1963,0.1729,0.2664,0.3645,139,0.6495,23,0.1075,7.3037,104.8,1.5483,7.5607,0.0041,0.0421,10.0497,4.9876,1.6832,70,10
26,Philadelphia,Eagles,1,WAS,NFC,NFC East,Closed,Closed,Cover 3,17,183,No,No,No,794,141,No,19,No,116,0.8227,1,0.1776,98,10,,0.695,1077,514,200,1071,2,1,9,15,0.1531,0.1702,0.0993,0.3191,0.4113,95,0.6738,12,0.0851,7.5957,90.6,1.3564,7.6383,0.1855,0.0638,10.9898,5.2449,2.0408,47,2
7,Cincinnati,Bengals,1,CLV,AFC,AFC North,Open,Closed,Cover 3,17,206,No,No,No,835,176,No,23,No,145,0.8239,6,0.2108,119,6,,0.6761,1437,937,356,1293,4,,11,25,0.2101,0.1875,0.1932,0.267,0.3523,119,0.6761,22,0.125,7.3466,88.2,1.721,8.1648,0.4686,0.0625,12.0756,7.8739,2.9916,65,17
8,Cleveland,Browns,,CIN,AFC,AFC North,Open,Closed,Cover 3,17,162,No,No,No,687,127,No,12,No,100,0.7874,5,0.1849,89,4,,0.7008,883,413,152,988,4,2,7,15,0.1685,0.1575,0.1811,0.1575,0.5039,92,0.7244,10,0.0787,7.7795,83.5,1.2853,6.9528,-0.5954,0.0551,9.9213,4.6404,1.7079,46,10
2,Atlanta,Falcons,1,NO,NFC,NFC South,Open,Closed,Cover 3,17,241,No,Yes,No,1036,193,No,32,No,150,0.7772,9,0.1863,125,19,3,0.6477,1438,712,229,1701,8,3,19,21,0.168,0.1606,0.1036,0.2694,0.4611,135,0.6995,18,0.0933,8.8135,90.1,1.388,7.4508,-0.333,0.0984,11.504,5.696,1.832,72,22
32,Washington,Commanders,,PHI,NFC,NFC East,Closed,Closed,Cover 3,17,152,No,No,No,645,137,No,22,No,114,0.8321,6,0.2124,103,16,3,0.7518,1459,735,193,1250,10,6,6,9,0.0874,0.1387,0.1533,0.292,0.4161,102,0.7445,12,0.0876,9.1241,124.3,2.262,10.6496,2.6676,0.0438,14.165,7.1359,1.8738,64,15
31,Tennessee,Titans,,JAX,AFC,AFC South,Closed,Closed,Cover 3,17,178,No,No,No,744,142,No,15,Yes,116,0.8169,3,0.1909,109,8,2,0.7676,1456,681,159,1320,4,3,1,13,0.1193,0.1197,0.1127,0.2676,0.5,106,0.7465,14,0.0986,9.2958,106.4,1.957,10.2535,2.3247,0.007,13.3578,6.2477,1.4587,65,8
22,New England,Patriots,1,MIA,AFC,AFC East,Open,Closed,Cover 3,17,165,Yes,No,Yes,668,139,No,15,Yes,115,0.8273,2,0.2081,106,12,2,0.7626,1148,525,163,1044,2,1,5,15,0.1415,0.1655,0.1079,0.2878,0.4388,97,0.6978,15,0.1079,7.5108,98.8,1.7186,8.259,0.6915,0.036,10.8302,4.9528,1.5377,53,5
30,Tampa Bay,Buccaneers,1,CAR,NFC,NFC South,Closed,Closed,Cover 3,17,223,Yes,No,Yes,935,182,No,27,Yes,154,0.8462,10,0.1947,134,16,2,0.7363,1552,800,206,1463,11,4,9,23,0.1716,0.1703,0.1758,0.2692,0.3846,122,0.6703,20,0.1099,8.0385,112.2,1.6599,8.5275,0.7388,0.0495,11.5821,5.9701,1.5373,70,14
