Name,Team,POS,playerStatsSnapsOffenseTotal,PlayActionLabel,PressuredLabel,BlitzedLabel,RoutesTotal,TargetsTotal,TargetsContestedLabel,TargetsCatchableLabel,TargetsCatchableTotal,TargetsCatchablePercentage,TargetsPerRoute,ReceptionsTotal,ReceptionsPercentage,YardsTotal,YardsAfterCatchTotal,YardsAfterContactTotal,YardsAirTotal,AlignmentBackfieldRoutesPercentage,AlignmentSlotRoutesPercentage,TargetedReadFirstTotal,TargetedReadDesignTotal,TargetedReadDesignPercentage,AverageDepthOfTarget,PasserRatingWhenTargeted,AveragesPerRouteYardsTotal,AveragesPerTargetYardsTotal,AveragesPerTargetYardsOverExpected,AveragesPerReceptionYardsTotal,AveragesPerReceptionYardsAfterCatch,AveragesPerReceptionYardsAfterContact,playerStatsXfpPprTotal,playerStatsXfpPprReceiving,playerStatsOffenseThreatsPercentage,playerStatsFantasyPointsNonPpr,playerStatsFantasyPointsPpr,playerStatsFantasyPointsHalfPpr,playerStatsFantasyPointsHalfPprRb,playerStatsFantasyPointsPprTe,playerStatsFantasyPointsDraftKings,playerStatsFantasyPointsFanDuel,playerStatsFantasyPointsCbs,playerStatsFantasyPointsNfl,playerStatsFantasyPointsEspn,playerStatsFantasyPointsYahoo,playerStatsFantasyPointsFfpc,playerStatsFantasyPointsNffc,playerStatsGamesPlayed,AlignmentWideRoutesPercentage,playerStatsFirstDownsReceiving,MissedTacklesForcedTotal,MissedTacklesForcedPerReception,playerStatsInside20ReceivingTargetsTotal,AlignmentInlineRoutesPercentage,TargetsContestedTotal,DropsTotal,AveragesPerTargetDropsTotal,ReceptionsContested,TouchdownsTotal
Elijah Higgins,ARZ,TE,10,No,No,No,2,,No,Yes,,,,,,,,,,,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,17,,,,,,0.5,,,,,
Adam Thielen,CAR,WR,8,No,No,No,5,1,No,Yes,1,1,0.2,1,1,16,15,2,1,,0.8,1,1,1,1,118.8,3.2,16,10.8789,16,15,2,1.4292,1.4292,0.125,1.6,2.6,2.1,2.6,2.6,2.6,2.1,2.6,2.6,2.6,2.1,2.6,2.6,10,0.2,,,,,,,,,,
Josiah Deguara,JAX,TE,1,Yes,No,No,1,,No,No,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13,,,,,,,,,,,
Braelon Allen,NYJ,RB,9,Yes,No,No,7,4,No,Yes,4,1,0.5714,2,0.5,21,29,5,-15,0.8571,0.1429,4,4,1,-3.75,105.2,3,5.25,-0.4572,10.5,14.5,2.5,6.1109,6.1109,0.4444,8.1,10.1,9.1,11.1,10.1,10.1,9.1,10.1,10.1,10.1,9.1,10.1,10.1,17,,1,,,1,,,2,0.5,,1
Blake Whiteheart,CLV,TE,6,No,No,No,1,,No,No,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,11,,,,,,,,,,,
MarShawn Lloyd,GB,RB,2,Yes,No,No,2,1,No,Yes,1,1,0.5,1,1,3,7,4,-4,,1,1,1,1,-4,79.2,1.5,3,-2.5699,3,7,4,1.7023,1.7023,0.5,0.3,1.3,0.8,1.8,1.3,1.3,0.8,1.3,1.3,1.3,0.8,1.3,1.3,1,,,,,,,,,,,
Johnny Wilson,PHI,WR,6,Yes,No,No,1,,No,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16,1,,,,,,,,,,
Emanuel Wilson,GB,RB,14,No,No,No,13,8,No,Yes,8,1,0.6154,7,0.875,41,80,36,-42,0.9231,0.0769,8,8,1,-5.25,127.6,3.1538,5.125,-0.3062,5.8571,11.4286,5.1429,13.9786,13.9786,0.5714,10.1,17.1,13.6,20.6,17.1,17.1,13.6,17.1,17.1,17.1,13.6,17.1,17.1,17,,2,2,0.2857,1,,1,,,,1
Quentin Johnston,LAC,WR,23,Yes,No,Yes,7,5,No,Yes,5,1,0.7143,5,1,31,44,19,-13,,,5,5,1,-2.6,92.5,4.4286,6.2,0.9929,6.2,8.8,3.8,7.4043,7.4043,0.2174,3.1,8.1,5.6,8.1,8.1,8.1,5.6,8.1,8.1,8.1,5.6,8.1,8.1,15,1,1,1,0.2,1,,,,,,
Jeff Wilson,MIA,RB,6,Yes,No,No,5,1,No,Yes,1,1,0.2,1,1,6,9,1,-3,0.8,0.2,1,1,1,-3,91.7,1.2,6,-0.1191,6,9,1,1.6179,1.6179,0.1667,0.6,1.6,1.1,2.1,1.6,1.6,1.1,1.6,1.6,1.6,1.1,1.6,1.6,9,,,,,,,,,,,
