Name,Team,POS,playerStatsSnapsOffenseTotal,PlayActionLabel,PressuredLabel,BlitzedLabel,RoutesTotal,TargetsContestedLabel,TargetsCatchableLabel,AlignmentBackfieldRoutesPercentage,playerStatsGamesPlayed,AlignmentSlotRoutesPercentage,TargetsTotal,TargetsCatchableTotal,TargetsCatchablePercentage,TargetsPerRoute,YardsAirTotal,DropsTotal,AlignmentWideRoutesPercentage,TargetedReadFirstTotal,AverageDepthOfTarget,DeepTargetTargetsTotal,PasserRatingWhenTargeted,AveragesPerTargetYardsOverExpected,AveragesPerTargetDropsTotal,playerStatsXfpPprTotal,playerStatsXfpPprReceiving,playerStatsOffenseThreatsPercentage,AlignmentInlineRoutesPercentage,ReceptionsTotal,ReceptionsPercentage,YardsTotal,YardsAfterCatchTotal,AveragesPerRouteYardsTotal,AveragesPerTargetYardsTotal,AveragesPerReceptionYardsTotal,AveragesPerReceptionYardsAfterCatch,playerStatsFirstDownsReceiving,playerStatsFantasyPointsNonPpr,playerStatsFantasyPointsPpr,playerStatsFantasyPointsHalfPpr,playerStatsFantasyPointsHalfPprRb,playerStatsFantasyPointsPprTe,playerStatsFantasyPointsDraftKings,playerStatsFantasyPointsFanDuel,playerStatsFantasyPointsCbs,playerStatsFantasyPointsNfl,playerStatsFantasyPointsEspn,playerStatsFantasyPointsYahoo,playerStatsFantasyPointsFfpc,playerStatsFantasyPointsNffc,YardsAfterContactTotal,AveragesPerReceptionYardsAfterContact,TargetsInEndzone,TouchdownsTotal,TouchdownsInEndzone,TargetsContestedTotal,ReceptionsContested,MissedTacklesForcedTotal,MissedTacklesForcedPerReception,playerStatsInside20ReceivingTargetsTotal,ReceptionsHero
Jonathon Brooks,CAR,RB,1,No,No,Yes,1,No,No,1,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Chris Brooks,GB,RB,4,No,No,No,2,No,No,0.5,13,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Christian Watson,GB,WR,6,No,No,No,6,No,No,,15,0.5,2,1,0.5,0.3333,81,1,0.5,2,40.5,2,39.6,-14.9459,0.5,3.9101,3.9101,0.3333,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Dallin Holker,NO,TE,2,No,No,Yes,1,Yes,Yes,,12,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
James Conner,ARZ,RB,11,No,Yes,Yes,7,No,No,0.7143,16,,,,,,,,0.2857,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sincere McCormick,LV,RB,1,No,No,No,1,No,No,1,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
K.J. Osborn,WAS,WR,3,No,No,No,3,No,No,,9,0.6667,,,,,,,0.3333,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Tyler Conklin,NYJ,TE,22,No,No,No,19,No,No,,16,0.5263,,,,,,,0.1053,,,,,,,,,,0.3684,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Justice Hill,BLT,RB,11,Yes,No,No,10,No,Yes,0.9,16,,1,1,1,0.1,23,,0.1,1,23,1,118.8,11.8148,,0.9417,0.9417,0.0909,,1,1,24,1,2.4,24,24,1,1,2.4,3.4,2.9,3.9,3.4,3.4,2.9,3.4,3.4,3.4,2.9,3.4,3.4,,,,,,,,,,,
Anthony Firkser,KC,TE,2,Yes,No,Yes,1,No,Yes,,6,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
