Name,Team,POS,playerStatsSnapsOffenseTotal,PlayActionLabel,PressuredLabel,BlitzedLabel,RoutesTotal,TargetsTotal,TargetsContestedLabel,TargetsCatchableLabel,TargetsCatchableTotal,TargetsCatchablePercentage,TargetsPerRoute,ReceptionsTotal,ReceptionsPercentage,YardsTotal,YardsAfterCatchTotal,YardsAfterContactTotal,YardsAirTotal,AlignmentSlotRoutesPercentage,AlignmentWideRoutesPercentage,TargetedReadFirstTotal,AverageDepthOfTarget,PasserRatingWhenTargeted,AveragesPerRouteYardsTotal,AveragesPerTargetYardsTotal,AveragesPerTargetYardsOverExpected,AveragesPerReceptionYardsTotal,AveragesPerReceptionYardsAfterCatch,AveragesPerReceptionYardsAfterContact,playerStatsFirstDownsReceiving,playerStatsXfpPprTotal,playerStatsXfpPprReceiving,playerStatsOffenseThreatsPercentage,playerStatsFantasyPointsNonPpr,playerStatsFantasyPointsPpr,playerStatsFantasyPointsHalfPpr,playerStatsFantasyPointsHalfPprRb,playerStatsFantasyPointsPprTe,playerStatsFantasyPointsDraftKings,playerStatsFantasyPointsFanDuel,playerStatsFantasyPointsCbs,playerStatsFantasyPointsNfl,playerStatsFantasyPointsEspn,playerStatsFantasyPointsYahoo,playerStatsFantasyPointsFfpc,playerStatsFantasyPointsNffc,playerStatsGamesPlayed,AlignmentBackfieldRoutesPercentage,TargetsContestedTotal,ReceptionsContested,DeepTargetTargetsTotal,playerStatsInside20ReceivingTargetsTotal,AlignmentInlineRoutesPercentage,TargetsInEndzone,ReceptionsHero,TouchdownsTotal,TouchdownsInEndzone,DropsTotal,AveragesPerTargetDropsTotal,MissedTacklesForcedTotal,MissedTacklesForcedPerReception
Rome Odunze,CHI,WR,8,No,No,Yes,8,1,No,Yes,1,1,0.125,1,1,21,2,1,19,0.375,0.625,1,19,118.8,2.625,21,9.0679,21,2,1,1,1.65,1.65,0.125,2.1,3.1,2.6,3.1,3.1,3.1,2.6,3.1,3.1,3.1,2.6,3.1,3.1,17,,,,,,,,,,,,,,
Tyjae Spears,TEN,RB,4,No,No,Yes,2,,No,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12,1,,,,,,,,,,,,,
Josh Oliver,MIN,TE,1,No,No,No,1,,No,No,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,15,,,,,,,,,,,,,,
Michael Carter,ARZ,RB,1,No,No,No,1,,Yes,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,1,,,,,,,,,,,,,
Bucky Irving,TB,RB,3,No,No,No,2,,No,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,17,1,,,,,,,,,,,,,
D.J. Moore,CHI,WR,10,No,No,Yes,10,4,No,Yes,1,0.25,0.4,1,0.25,27,1,1,71,0.1,0.9,3,17.75,55.2,2.7,6.75,-3.5875,27,1,1,1,8.7837,8.7837,0.4,2.7,3.7,3.2,3.7,3.7,3.7,3.2,3.7,3.7,3.7,3.2,3.7,3.7,17,,1,1,2,1,,,,,,,,,
Keaton Mitchell,BLT,RB,1,No,No,No,1,,No,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,1,,,,,,,,,,,,,
Ameer Abdullah,LV,RB,1,No,No,No,1,,No,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16,1,,,,,,,,,,,,,
Stephen Sullivan,CAR,TE,1,No,No,Yes,1,1,No,No,,,1,,,,,,16,,1,1,16,39.6,,,-10.191,,,,,1.9169,1.9169,1,,,,,,,,,,,,,,1,,,,,,,,,,,,,,
Foster Moreau,NO,TE,2,No,No,No,1,,No,No,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,17,,,,,,,,,,,,,,
Tyler Allgeier,ATL,RB,3,No,No,No,3,,Yes,Yes,,,,,,,,,,0.3333,,,,,,,,,,,,,,,,,,,,,,,,,,,,17,0.6667,,,,,,,,,,,,,
Devaughn Vele,DEN,WR,4,No,No,Yes,4,1,No,No,,,0.25,,,,,,10,0.75,0.25,1,10,39.6,,,-7.5,,,,,1.9113,1.9113,0.25,,,,,,,,,,,,,,13,,,,,,,,,,,,,,
Khalil Herbert,CIN,RB,2,No,Yes,Yes,1,,No,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13,1,,,,,,,,,,,,,
Trey Sermon,IND,RB,1,No,No,No,1,,No,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,17,1,,,,,,,,,,,,,
Josh Downs,IND,WR,4,No,No,No,4,,No,Yes,,,,,,,,,,0.75,0.25,,,,,,,,,,,,,,,,,,,,,,,,,,,14,,,,,,,,,,,,,,
Andrew Ogletree,IND,TE,2,No,No,No,2,1,No,Yes,,,0.5,,,,,,15,0.5,,1,15,39.6,,,-10.6391,,,,,1.8304,1.8304,0.5,,,,,,,,,,,,,,17,,,,,,0.5,,,,,,,,
Jaylen Warren,PIT,RB,5,No,Yes,Yes,2,,No,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15,1,,,,,,,,,,,,,
Kendrick Bourne,NE,WR,2,No,No,No,2,1,Yes,No,1,1,0.5,1,1,18,2,,16,,1,1,16,118.8,9,18,7.9048,18,2,,1,1.8521,1.8521,0.5,1.8,2.8,2.3,2.8,2.8,2.8,2.3,2.8,2.8,2.8,2.3,2.8,2.8,12,,,,,,,,,,,,,,
Juwan Johnson,NO,TE,1,No,No,No,1,,No,No,,,,,,,,,,,1,,,,,,,,,,,1.7942,1.7942,,,,,,,,,,,,,,,17,,,,,,,,,,,,,,
