Name,Team,POS,playerStatsSnapsOffenseTotal,PlayActionLabel,PressuredLabel,BlitzedLabel,RoutesTotal,TargetsTotal,TargetsContestedLabel,TargetsCatchableLabel,TargetsCatchableTotal,TargetsCatchablePercentage,TargetsPerRoute,ReceptionsTotal,ReceptionsPercentage,YardsTotal,YardsAfterCatchTotal,YardsAfterContactTotal,YardsAirTotal,AlignmentSlotRoutesPercentage,AlignmentWideRoutesPercentage,TargetedReadFirstTotal,AverageDepthOfTarget,PasserRatingWhenTargeted,AveragesPerRouteYardsTotal,AveragesPerTargetYardsTotal,AveragesPerTargetYardsOverExpected,AveragesPerReceptionYardsTotal,AveragesPerReceptionYardsAfterCatch,AveragesPerReceptionYardsAfterContact,playerStatsFirstDownsReceiving,playerStatsXfpPprTotal,playerStatsXfpPprReceiving,playerStatsOffenseThreatsPercentage,playerStatsFantasyPointsNonPpr,playerStatsFantasyPointsPpr,playerStatsFantasyPointsHalfPpr,playerStatsFantasyPointsHalfPprRb,playerStatsFantasyPointsPprTe,playerStatsFantasyPointsDraftKings,playerStatsFantasyPointsFanDuel,playerStatsFantasyPointsCbs,playerStatsFantasyPointsNfl,playerStatsFantasyPointsEspn,playerStatsFantasyPointsYahoo,playerStatsFantasyPointsFfpc,playerStatsFantasyPointsNffc,playerStatsGamesPlayed,AlignmentBackfieldRoutesPercentage,TargetsContestedTotal,ReceptionsContested,DeepTargetTargetsTotal,playerStatsInside20ReceivingTargetsTotal,AlignmentInlineRoutesPercentage,TargetsInEndzone,ReceptionsHero,TouchdownsTotal,TouchdownsInEndzone,DropsTotal,AveragesPerTargetDropsTotal,MissedTacklesForcedTotal,MissedTacklesForcedPerReception
Mack Hollins,BUF,WR,13,No,No,No,11,1,Yes,No,,,0.0909,,,,,,31,0.5455,0.4545,1,31,39.6,,,-12.5972,,,,,1.7233,1.7233,0.0769,,,,,,,,,,,,,,17,,,,1,,,,,,,,,,
Tyler Boyd,TEN,WR,6,No,No,Yes,6,,No,Yes,,,,,,,,,,0.6667,0.3333,,,,,,,,,,,,,,,,,,,,,,,,,,,16,,,,,,,,,,,,,,
Ja'Tavion Sanders,CAR,TE,4,No,No,No,3,,Yes,Yes,,,,,,,,,,0.6667,,,,,,,,,,,,,,,,,,,,,,,,,,,,16,,,,,,0.3333,,,,,,,,
Quintin Morris,BUF,TE,2,No,No,No,2,,Yes,No,,,,,,,,,,,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,16,,,,,,0.5,,,,,,,,
Ashton Dulin,IND,WR,2,No,No,No,2,,No,Yes,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,15,,,,,,,,,,,,,,
Jauan Jennings,SF,WR,2,No,No,No,2,1,Yes,Yes,,,0.5,,,,,,21,0.5,0.5,1,21,39.6,,,-11.2393,,,,,2.1,2.1,0.5,,,,,,,,,,,,,,15,,,,1,,,1,,,,,,,
KaVontae Turpin,DAL,WR,2,No,No,No,2,,No,No,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,17,,,,,,,,,,,,,,
Jalen Nailor,MIN,WR,1,No,No,No,1,1,No,No,1,1,1,1,1,26,1,,25,1,,1,25,118.8,26,26,14.5113,26,1,,1,2.4289,2.4289,1,2.6,3.6,3.1,3.6,3.6,3.6,3.1,3.6,3.6,3.6,3.1,3.6,3.6,17,,,,1,,,,,,,,,,
John Metchie,HST,WR,1,No,No,Yes,1,,Yes,Yes,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,13,,,,,,,,,,,,,,
Kenneth Gainwell,PHI,RB,2,No,No,No,2,,No,No,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,17,,,,,,,,,,,,,,
Jalen Brooks,DAL,WR,1,No,No,No,1,,No,No,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,14,,,,,,,,,,,,,,
Kevin Austin,NO,WR,1,No,No,No,1,1,No,No,,,1,,,,,,30,1,,,30,39.6,,,-9.194,,,,,2.112,2.112,1,,,,,,,,,,,,,,8,,,,1,,,,,,,,,,
J.K. Dobbins,LAC,RB,6,No,No,No,5,,No,No,,,,,,,,,,0.2,0.2,,,,,,,,,,,,,,,,,,,,,,,,,,,13,0.6,,,,,,,,,,,,,
Emari Demercado,ARZ,RB,3,No,No,No,1,,No,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13,1,,,,,,,,,,,,,
Samaje Perine,KC,RB,1,No,No,Yes,1,,No,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,17,1,,,,,,,,,,,,,
Josh Whyle,TEN,TE,2,No,No,Yes,2,,Yes,Yes,,,,,,,,,,0.5,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,17,,,,,,,,,,,,,,
Travis Etienne,JAX,RB,4,No,No,No,4,,No,Yes,,,,,,,,,,,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,15,0.5,,,,,,,,,,,,,
Amari Cooper,BUF,WR,2,No,No,Yes,2,,Yes,Yes,,,,,,,,,,0.5,0.5,,,,,,,,,,,1.9741,1.9741,,,,,,,,,,,,,,,14,,,,,,,,,,,,,,
Darius Slayton,NYG,WR,7,No,No,No,6,2,No,No,2,1,0.3333,1,0.5,20,,,45,,1,2,22.5,85.4,3.3333,10,-1.177,20,,,1,3.202,3.202,0.2857,2,3,2.5,3,3,3,2.5,3,3,3,2.5,3,3,16,,,,2,,,,,,,,,,
Jake Ferguson,DAL,TE,3,No,No,No,3,,No,No,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,14,,,,,,,,,,,,,,
Davante Adams,NYJ,WR,10,No,Yes,Yes,10,6,No,Yes,4,0.6667,0.6,4,0.6667,90,9,2,104,0.6,0.4,4,17.3333,109.7,9,15,5.4287,22.5,2.25,0.5,3,13.0307,13.0307,0.6,9,13,11,13,13,13,11,13,13,13,11,13,13,14,,,,2,,,,1,,,,,,
Nico Collins,HST,WR,2,No,No,Yes,2,1,Yes,Yes,1,1,0.5,1,1,14,,,14,,1,1,14,118.8,7,14,4.1866,14,,,1,6.8361,6.8361,0.5,1.4,2.4,1.9,2.4,2.4,2.4,1.9,2.4,2.4,2.4,1.9,2.4,2.4,12,,,,,,,,,,,,,,
Jerry Jeudy,CLV,WR,4,No,No,No,3,,No,Yes,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,17,,,,,,,,,,,,,,
Marquez Valdes-Scantling,NO,WR,2,No,No,No,2,1,No,No,,,0.5,,,,,,27,,1,,27,39.6,,,-11.9133,,,,,1.3932,1.3932,0.5,,,,,,,,,,,,,,14,,,,1,,,,,,,,,,
Jake Bobo,SEA,WR,1,No,No,No,1,,No,No,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,17,,,,,,,,,,,,,,
Connor Heyward,PIT,TE,1,No,No,Yes,1,,Yes,Yes,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,16,,,,,,,,,,,,,,
Parris Campbell,PHI,WR,3,No,No,No,3,,No,No,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,,,,,,,,,,,,,,
Adonai Mitchell,IND,WR,3,No,No,No,3,2,No,Yes,,,0.6667,,,,,,55,,1,2,27.5,39.6,,,-12.1958,,,,,4.5577,4.5577,0.6667,,,,,,,,,,,,,,17,,,,2,,,,,,,,,,
Nick Westbrook-Ikhine,TEN,WR,4,No,No,Yes,4,3,Yes,Yes,2,0.6667,0.75,1,0.3333,18,,,47,,1,3,15.6667,54.9,4.5,6,-4.5368,18,,,1,4.8846,4.8846,0.75,1.8,2.8,2.3,2.8,2.8,2.8,2.3,2.8,2.8,2.8,2.3,2.8,2.8,17,,1,,,,,,,,,,,,
Saquon Barkley,PHI,RB,7,No,No,No,5,1,No,Yes,,,0.2,,,,,,19,,0.2,,19,39.6,,,-8.3333,,,,,1.319,1.319,0.1429,,,,,,,,,,,,,,16,0.8,,,,,,,,,,,,,
Evan Engram,JAX,TE,6,No,No,No,6,1,No,Yes,,,0.1667,,,,,,15,0.3333,0.3333,1,15,39.6,,,-10.6391,,,,,1.7403,1.7403,0.1667,,,,,,,,,,,,,,9,,,,,,0.3333,,,,,,,,
Miles Sanders,CAR,RB,1,No,No,No,1,,Yes,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11,1,,,,,,,,,,,,,
Will Dissly,LAC,TE,5,No,No,No,4,,No,No,,,,,,,,,,0.75,,,,,,,,,,,,,,,,,,,,,,,,,,,,15,,,,,,0.25,,,,,,,,
KhaDarel Hodge,ATL,WR,3,No,No,No,3,1,Yes,Yes,1,1,0.3333,1,1,24,3,,21,0.6667,0.3333,1,21,118.8,8,24,12.7607,24,3,,1,1.468,1.468,0.3333,2.4,3.4,2.9,3.4,3.4,3.4,2.9,3.4,3.4,3.4,2.9,3.4,3.4,16,,,,1,,,,,,,,,,
Tommy Tremble,CAR,TE,3,No,No,No,2,,Yes,Yes,,,,,,,,,,0.5,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,12,,,,,,,,,,,,,,
Jonathan Mingo,DAL,WR,2,No,No,No,2,,No,No,,,,,,,,,,0.5,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,17,,,,,,,,,,,,,,
Adam Trautman,DEN,TE,4,No,No,Yes,2,,No,No,,,,,,,,,,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,17,,,,,,0.5,,,,,,,,
D'Andre Swift,CHI,RB,3,No,No,Yes,3,,No,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,17,1,,,,,,,,,,,,,
Ja'Marr Chase,CIN,WR,10,No,Yes,Yes,10,2,No,Yes,2,1,0.2,2,1,37,1,,36,0.3,0.7,2,18,158.3,3.7,18.5,6.7013,18.5,0.5,,2,8.4274,8.4274,0.2,9.7,11.7,10.7,11.7,11.7,11.7,10.7,11.7,11.7,11.7,10.7,11.7,11.7,17,,,,,1,,,1,1,,,,,
Robbie Chosen,MIA,WR,1,Yes,Yes,No,1,,Yes,Yes,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,
DeAndre Carter,CHI,WR,1,No,No,No,1,,No,No,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,13,,,,,,,,,,,,,,
Kayshon Boutte,NE,WR,3,No,No,No,3,1,Yes,No,,,0.3333,,,,,,7,0.3333,0.6667,1,7,39.6,,,-7.0645,,,,,6.0427,6.0427,0.3333,,,,,,,,,,,,,,15,,,,,1,,1,,,,,,,
Chris Brooks,GB,RB,1,No,No,Yes,1,,No,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13,1,,,,,,,,,,,,,
Christian Watson,GB,WR,3,No,No,Yes,3,2,No,Yes,1,0.5,0.6667,,,,,,42,0.3333,0.6667,2,21,39.6,,,-11.0747,,,,,7.0728,7.0728,0.6667,,,,,,,,,,,,,,15,,1,,1,2,,2,,,,,,,
K.J. Osborn,WAS,WR,1,No,No,No,1,,No,No,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,9,,,,,,,,,,,,,,
Tyler Conklin,NYJ,TE,14,No,Yes,Yes,12,,No,Yes,,,,,,,,,,0.75,0.0833,,,,,,,,,,,,,,,,,,,,,,,,,,,16,,,,,,0.1667,,,,,,,,
Anthony Firkser,KC,TE,1,Yes,No,No,1,,No,Yes,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,6,,,,,,,,,,,,,,
James Conner,ARZ,RB,11,Yes,No,No,7,,Yes,Yes,,,,,,,,,,0.2857,,,,,,,,,,,,,,,,,,,,,,,,,,,,16,0.7143,,,,,,,,,,,,,
Jonathan Taylor,IND,RB,4,No,No,No,4,,No,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14,1,,,,,,,,,,,,,
Troy Franklin,DEN,WR,3,No,No,Yes,3,,No,No,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,16,,,,,,,,,,,,,,
Michael Pittman,IND,WR,6,No,No,No,6,2,No,Yes,1,0.5,0.3333,1,0.5,19,6,5,38,0.1667,0.8333,2,19,83.3,3.1667,9.5,-0.7016,19,6,5,1,3.3043,3.3043,0.3333,1.9,2.9,2.4,2.9,2.9,2.9,2.4,2.9,2.9,2.9,2.4,2.9,2.9,16,,1,1,1,,,,,,,,,,
Malik Washington,MIA,WR,2,No,Yes,Yes,2,1,No,Yes,,,0.5,,,,,,18,0.5,0.5,1,18,39.6,,,-10.8991,,,,,1.7065,1.7065,0.5,,,,,,,,,,,,,,14,,,,,,,,,,,,,,
Tyler Goodson,IND,RB,2,No,No,No,1,,No,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16,1,,,,,,,,,,,,,
Jordan Mason,SF,RB,1,No,No,No,1,,No,No,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,12,,,,,,,,,,,,,,
Grant DuBose,MIA,WR,1,No,No,No,1,,No,No,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,3,,,,,,,,,,,,,,
Tre Tucker,LV,WR,8,No,No,No,7,3,No,No,1,0.3333,0.4286,1,0.3333,29,2,1,75,0.1429,0.8571,2,25,70.1,4.1429,9.6667,-1.6185,29,2,1,1,9.9153,9.9153,0.375,2.9,3.9,3.4,3.9,3.9,3.9,3.4,3.9,3.9,3.9,3.4,3.9,3.9,17,,,,3,,,,1,,,,,,
Tim Jones,JAX,WR,2,No,No,No,2,,No,Yes,,,,,,,,,,0.5,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,16,,,,,,,,,,,,,,
Javonte Williams,DEN,RB,5,No,No,Yes,5,,No,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,17,1,,,,,,,,,,,,,
Greg Dortch,ARZ,WR,5,No,No,No,5,1,Yes,Yes,1,1,0.2,,,,,,27,0.4,0.6,1,27,39.6,,,-11.9133,,,,,2.9678,2.9678,0.2,,,,,,,,,,,,,,17,,1,,1,,,,,,,,,,
Darnell Washington,PIT,TE,4,No,Yes,Yes,2,1,No,Yes,1,1,0.5,1,1,5,,,8,,0.5,1,8,127.1,2.5,5,-2.7205,5,,,1,3.6,3.6,0.25,6.5,7.5,7,7.5,8,7.5,7,7.5,7.5,7.5,7,8,7.5,17,,,,,1,0.5,1,,1,1,,,,
Zach Ertz,WAS,TE,2,No,No,No,2,,No,No,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,17,,,,,,,,,,,,,,
John Samuel Shenker,LV,TE,1,No,No,No,1,,No,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7,,,,,,1,,,,,,,,
Courtland Sutton,DEN,WR,7,No,No,Yes,7,5,No,No,4,0.8,0.7143,3,0.6,67,8,1,79,0.2857,0.7143,4,15.8,104.2,9.5714,13.4,3.1977,22.3333,2.6667,0.3333,3,11.5039,11.5039,0.7143,6.7,9.7,8.2,9.7,9.7,9.7,8.2,9.7,9.7,9.7,8.2,9.7,9.7,17,,,,2,1,,1,,,,1,0.2,,
Jahmyr Gibbs,DET,RB,3,No,No,No,2,,No,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,17,1,,,,,,,,,,,,,
Tyrell Shavers,BUF,WR,2,No,No,Yes,2,,Yes,Yes,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,,,,,,,,,,,,,,
D.J. Turner,LV,WR,5,No,No,No,4,,No,No,,,,,,,,,,0.75,0.25,,,,,,,,,,,,,,,,,,,,,,,,,,,12,,,,,,,,,,,,,,
Dalton Kincaid,BUF,TE,7,No,No,Yes,7,1,Yes,Yes,,,0.1429,,,,,,10,0.8571,0.1429,1,10,39.6,,,-7.7685,,,,,3.119,3.119,0.1429,,,,,,,,,,,,,,13,,1,,,1,,,,,,,,,
Jakobi Meyers,LV,WR,8,No,No,No,8,2,No,No,1,0.5,0.25,1,0.5,7,,,31,0.5,0.5,2,15.5,97.9,0.875,3.5,-6.9891,7,,,1,6.1959,6.1959,0.25,6.7,7.7,7.2,7.7,7.7,7.7,7.2,7.7,7.7,7.7,7.2,7.7,7.7,15,,1,1,,1,,1,,1,1,,,,
Hunter Henry,NE,TE,4,No,No,No,3,,No,Yes,,,,,,,,,,0.6667,0.3333,,,,,,,,,,,,,,,,,,,,,,,,,,,16,,,,,,,,,,,,,,
Nelson Agholor,BLT,WR,1,No,No,No,1,,Yes,Yes,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,14,,,,,,,,,,,,,,
Gabe Davis,JAX,WR,4,No,No,No,4,2,No,No,1,0.5,0.5,,,,,,41,0.25,0.75,2,20.5,39.6,,,-11.9281,,,,,5.0168,5.0168,0.5,,,,,,,,,,,,,,10,,,,1,,,,,,,,,,
Michael Wilson,ARZ,WR,11,Yes,No,No,11,,Yes,Yes,,,,,,,,,,0.4545,0.5455,,,,,,,,,,,1.5756,1.5756,,,,,,,,,,,,,,,16,,,,,,,,,,,,,,
Cody White,SEA,WR,2,No,No,No,2,1,Yes,Yes,1,1,0.5,1,1,28,4,,24,,1,1,24,118.8,14,28,16.2471,28,4,,1,1.9185,1.9185,0.5,2.8,3.8,3.3,3.8,3.8,3.8,3.3,3.8,3.8,3.8,3.3,3.8,3.8,4,,,,1,,,,,,,,,,
River Cracraft,MIA,WR,1,No,Yes,Yes,1,1,No,Yes,1,1,1,1,1,11,2,,9,1,,1,9,112.5,11,11,3.5461,11,2,,1,1.2692,1.2692,1,1.1,2.1,1.6,2.1,2.1,2.1,1.6,2.1,2.1,2.1,1.6,2.1,2.1,8,,,,,,,,,,,,,,
Zay Flowers,BLT,WR,3,No,No,No,3,2,No,Yes,1,0.5,0.6667,1,0.5,29,1,,46,0.3333,0.6667,2,23,95.8,9.6667,14.5,3.512,29,1,,1,5.1589,5.1589,0.6667,2.9,3.9,3.4,3.9,3.9,3.9,3.4,3.9,3.9,3.9,3.4,3.9,3.9,17,,,,1,,,,,,,,,,
Ezekiel Elliott,DAL,RB,2,No,No,No,1,,No,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15,1,,,,,,,,,,,,,
Stone Smartt,LAC,TE,1,No,No,No,1,,No,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14,,,,,,1,,,,,,,,
T.J. Hockenson,MIN,TE,1,No,No,No,1,,No,No,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,10,,,,,,,,,,,,,,
Simi Fehoko,LAC,WR,3,No,No,No,3,2,No,Yes,,,0.6667,,,,,,35,,1,1,17.5,39.6,,,-10.6375,,,,,3.8157,3.8157,0.6667,,,,,,,,,,,,,,8,,,,1,,,,,,,,,,
Josh Reynolds,JAX,WR,3,No,No,No,3,1,No,Yes,1,1,0.3333,1,1,25,3,2,22,0.3333,0.6667,1,22,118.8,8.3333,25,13.0759,25,3,2,1,1.0694,1.0694,0.3333,2.5,3.5,3,3.5,3.5,3.5,3,3.5,3.5,3.5,3,3.5,3.5,9,,,,1,,,,1,,,,,,
Noah Gray,KC,TE,2,No,No,Yes,1,1,No,No,,,1,,,,,,9,1,,,9,39.6,,,-7.2596,,,,,1.4621,1.4621,0.5,,,,,,,,,,,,,,17,,,,,,,,,,,,,,
Brian Thomas,JAX,WR,7,No,No,No,7,2,No,Yes,1,0.5,0.2857,,,,,,35,0.4286,0.5714,2,17.5,39.6,,,-9.6317,,,,,3.5363,3.5363,0.2857,,,,,,,,,,,,,,17,,,,1,1,,1,,,,1,0.5,,
DeAndre Hopkins,KC,WR,4,No,No,Yes,4,3,Yes,Yes,2,0.6667,0.75,2,0.6667,26,2,2,39,,1,3,13,133.3,6.5,8.6667,-0.7578,13,1,1,2,9.5246,9.5246,0.75,8.6,10.6,9.6,10.6,10.6,10.6,9.6,10.6,10.6,10.6,9.6,10.6,10.6,16,,2,1,,1,,,1,1,,,,1,0.5
Tim Patrick,DET,WR,4,No,No,No,4,2,No,No,,,0.5,,,,,,33,0.5,0.5,2,16.5,39.6,,,-10.0379,,,,,4.5958,4.5958,0.5,,,,,,,,,,,,,,16,,,,1,1,,1,,,,,,,
Tyrone Tracy,NYG,RB,6,No,No,No,2,,No,No,,,,,,,,,,,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,17,0.5,,,,,,,,,,,,,
Michael Mayer,LV,TE,3,No,No,No,3,,No,No,,,,,,,,,,0.3333,,,,,,,,,,,,,,,,,,,,,,,,,,,,11,,,,,,0.6667,,,,,,,,
Marvin Harrison,ARZ,WR,14,No,No,No,14,12,Yes,Yes,5,0.4167,0.8571,3,0.25,61,12,8,185,0.1429,0.8571,12,15.4167,48.3,4.3571,5.0833,-4.6668,20.3333,4,2.6667,3,28.1849,28.1849,0.8571,6.1,9.1,7.6,9.1,9.1,9.1,7.6,9.1,9.1,9.1,7.6,9.1,9.1,17,,3,2,2,3,,2,1,,,,,,
Bryce Oliver,TEN,WR,1,No,No,Yes,1,,Yes,Yes,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,10,,,,,,,,,,,,,,
Mo Alie-Cox,IND,TE,2,No,No,No,2,1,No,Yes,1,1,0.5,1,1,18,,,23,0.5,,1,23,158.3,9,18,6.3008,18,,,1,3.2327,3.2327,0.5,7.8,8.8,8.3,8.8,9.3,8.8,8.3,8.8,8.8,8.8,8.3,9.3,8.8,17,,1,1,1,1,0.5,1,,1,1,,,,
Justin Watson,KC,WR,1,No,No,Yes,1,,No,No,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,17,,,,,,,,,,,,,,
Austin Hooper,NE,TE,2,No,No,No,2,,Yes,No,,,,,,,,,,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,17,,,,,,0.5,,,,,,,,
