Name,Team,POS,playerStatsSnapsOffenseTotal,PlayActionLabel,PressuredLabel,BlitzedLabel,RoutesTotal,TargetsTotal,TargetsContestedLabel,TargetsCatchableLabel,TargetsCatchableTotal,TargetsCatchablePercentage,TargetsPerRoute,ReceptionsTotal,ReceptionsPercentage,YardsTotal,YardsAfterCatchTotal,YardsAfterContactTotal,YardsAirTotal,AlignmentInlineRoutesPercentage,AverageDepthOfTarget,PasserRatingWhenTargeted,AveragesPerRouteYardsTotal,AveragesPerTargetYardsTotal,AveragesPerTargetYardsOverExpected,AveragesPerReceptionYardsTotal,AveragesPerReceptionYardsAfterCatch,AveragesPerReceptionYardsAfterContact,playerStatsFirstDownsReceiving,playerStatsXfpPprTotal,playerStatsXfpPprReceiving,playerStatsOffenseThreatsPercentage,playerStatsFantasyPointsNonPpr,playerStatsFantasyPointsPpr,playerStatsFantasyPointsHalfPpr,playerStatsFantasyPointsHalfPprRb,playerStatsFantasyPointsPprTe,playerStatsFantasyPointsDraftKings,playerStatsFantasyPointsFanDuel,playerStatsFantasyPointsCbs,playerStatsFantasyPointsNfl,playerStatsFantasyPointsEspn,playerStatsFantasyPointsYahoo,playerStatsFantasyPointsFfpc,playerStatsFantasyPointsNffc,playerStatsGamesPlayed,AlignmentWideRoutesPercentage,AlignmentBackfieldRoutesPercentage,playerStatsInside20ReceivingTargetsTotal,AlignmentSlotRoutesPercentage,TouchdownsTotal,MissedTacklesForcedTotal,MissedTacklesForcedPerReception,TargetsInEndzone,TouchdownsInEndzone,TargetedReadFirstTotal,TargetedReadDesignTotal,TargetedReadDesignPercentage
Jake Ferguson,DAL,TE,1,No,No,No,1,1,No,No,1,1,1,1,1,6,10,2,-4,1,-4,91.7,6,6,-0.3364,6,10,2,1,1.4987,1.4987,1,0.6,1.6,1.1,1.6,2.1,1.6,1.1,1.6,1.6,1.6,1.1,2.1,1.6,14,,,,,,,,,,,,
Davante Adams,NYJ,WR,1,No,No,No,1,,No,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14,1,,,,,,,,,,,
J.K. Dobbins,LAC,RB,1,No,No,No,1,1,No,No,1,1,1,1,1,5,6,2,-1,,-1,87.5,5,5,-0.819,5,6,2,,3.1206,3.1206,1,0.5,1.5,1,2,1.5,1.5,1,1.5,1.5,1.5,1,1.5,1.5,13,,1,1,,,,,,,,,
Marquez Valdes-Scantling,NO,WR,1,Yes,No,No,1,,No,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14,,,,1,,,,,,,,
Adonai Mitchell,IND,WR,1,No,No,No,1,,No,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,17,,,,1,,,,,,,,
Kayshon Boutte,NE,WR,2,No,No,No,1,,No,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15,1,,,,,,,,,,,
Cooper Kupp,LA,WR,2,Yes,Yes,No,2,,No,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12,0.5,,,0.5,,,,,,,,
K.J. Osborn,WAS,WR,1,No,No,No,1,,No,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9,1,,,,,,,,,,,
James Conner,ARZ,RB,1,Yes,Yes,No,1,,No,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16,1,,,,,,,,,,,
Colby Parkinson,LA,TE,3,No,No,No,3,1,No,No,,,0.3333,,,,,,5,0.6667,5,39.6,,,-6.48,,,,,1.5535,1.5535,0.3333,,,,,,,,,,,,,,17,,,,0.3333,,,,,,,,
