Name,Team,POS,playerStatsSnapsOffenseTotal,PlayActionLabel,PressuredLabel,BlitzedLabel,RoutesTotal,TargetsTotal,TargetsContestedLabel,TargetsCatchableLabel,TargetsCatchableTotal,TargetsCatchablePercentage,TargetsPerRoute,ReceptionsTotal,ReceptionsPercentage,YardsTotal,YardsAfterCatchTotal,YardsAfterContactTotal,YardsAirTotal,DropsTotal,MissedTacklesForcedTotal,MissedTacklesForcedPerReception,AlignmentSlotRoutesPercentage,AlignmentWideRoutesPercentage,TargetedReadFirstTotal,TargetedReadDesignTotal,TargetedReadDesignPercentage,AverageDepthOfTarget,PasserRatingWhenTargeted,AveragesPerRouteYardsTotal,AveragesPerTargetYardsTotal,AveragesPerTargetYardsOverExpected,AveragesPerTargetDropsTotal,AveragesPerReceptionYardsTotal,AveragesPerReceptionYardsAfterCatch,AveragesPerReceptionYardsAfterContact,playerStatsXfpPprTotal,playerStatsXfpPprReceiving,playerStatsOffenseThreatsPercentage,playerStatsFantasyPointsNonPpr,playerStatsFantasyPointsPpr,playerStatsFantasyPointsHalfPpr,playerStatsFantasyPointsHalfPprRb,playerStatsFantasyPointsPprTe,playerStatsFantasyPointsDraftKings,playerStatsFantasyPointsFanDuel,playerStatsFantasyPointsCbs,playerStatsFantasyPointsNfl,playerStatsFantasyPointsEspn,playerStatsFantasyPointsYahoo,playerStatsFantasyPointsFfpc,playerStatsFantasyPointsNffc,playerStatsInside20ReceivingTargetsTotal,playerStatsGamesPlayed,playerStatsFirstDownsReceiving,AlignmentBackfieldRoutesPercentage,AlignmentInlineRoutesPercentage,ReceptionsHero,TouchdownsTotal
Sterling Shepard,TB,WR,4,Yes,No,No,2,1,No,Yes,1,1,0.5,1,1,1,4,2,-3,,,,0.5,0.5,1,1,1,-3,79.2,0.5,1,-3.9408,,1,4,2,1.622,1.622,0.25,0.1,1.1,0.6,1.1,1.1,1.1,0.6,1.1,1.1,1.1,0.6,1.1,1.1,,14,,,,,
Rico Dowdle,DAL,RB,7,Yes,No,No,1,,No,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16,,1,,,
Jeremy McNichols,WAS,RB,1,Yes,No,No,1,1,No,Yes,1,1,1,1,1,-1,3,,-4,,,,1,,1,1,1,-4,79.2,-1,-1,-6.5699,,-1,3,,1.659,1.659,1,-0.1,0.9,0.4,1.4,0.9,0.9,0.4,0.9,0.9,0.9,0.4,0.9,0.9,,17,,,,,
Jaylen Waddle,MIA,WR,4,No,No,No,2,1,No,No,1,1,0.5,1,1,,4,,-4,,,,0.5,0.5,1,1,1,-4,79.2,,,-4.4851,,,4,,1.5079,1.5079,0.25,,1,0.5,1,1,1,0.5,1,1,1,0.5,1,1,,15,,,,,
Tee Higgins,CIN,WR,3,No,No,No,3,,No,No,,,,,,,,,,,,,0.3333,0.6667,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12,,,,,
Josh Jacobs,GB,RB,6,No,No,No,1,1,No,No,1,1,1,1,1,9,16,3,-7,,,,,,1,1,1,-7,104.2,9,9,4.4713,,9,16,3,0.9524,0.9524,0.1667,0.9,1.9,1.4,2.4,1.9,1.9,1.4,1.9,1.9,1.9,1.4,1.9,1.9,,17,1,1,,,
Rashod Bateman,BLT,WR,3,No,No,No,2,,No,No,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,17,,,,,
D'Onta Foreman,CLV,RB,1,No,No,No,1,,No,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11,,1,,,
Deebo Samuel,SF,WR,1,No,No,No,1,1,No,No,1,1,1,1,1,1,5,,-4,,,,1,,1,1,1,-4,79.2,1,1,-3.4851,,1,5,,2.9951,2.9951,1,0.1,1.1,0.6,1.1,1.1,1.1,0.6,1.1,1.1,1.1,0.6,1.1,1.1,,15,,,,,
Devin Duvernay,JAX,WR,2,No,No,No,1,1,No,No,1,1,1,1,1,-1,3,2,-4,,,,1,,1,1,1,-4,79.2,-1,-1,-5.4851,,-1,3,2,2.1893,2.1893,0.5,-0.1,0.9,0.4,0.9,0.9,0.9,0.4,0.9,0.9,0.9,0.4,0.9,0.9,1,13,,,,,
Mike Gesicki,CIN,TE,2,No,No,No,1,,No,No,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,17,,,,,
Wan'Dale Robinson,NYG,WR,9,Yes,No,No,4,3,No,Yes,3,1,0.75,3,1,4,11,4,-7,,,,0.75,0.25,3,3,1,-2.3333,79.2,1,1.3333,-4.0172,,1.3333,3.6667,1.3333,4.3728,4.3728,0.3333,0.4,3.4,1.9,3.4,3.4,3.4,1.9,3.4,3.4,3.4,1.9,3.4,3.4,,17,,,,,
Brenton Strange,JAX,TE,1,No,No,No,1,1,No,No,1,1,1,1,1,7,9,4,-2,,,,1,,1,1,1,-2,95.8,7,7,2.1489,,7,9,4,1.4569,1.4569,1,0.7,1.7,1.2,1.7,2.2,1.7,1.2,1.7,1.7,1.7,1.2,2.2,1.7,,17,,,,,
Tyreek Hill,MIA,WR,1,No,No,No,1,1,No,No,1,1,1,1,1,4,8,4,-4,,,,1,,1,1,1,-4,83.3,4,4,-0.4851,,4,8,4,1.6139,1.6139,1,0.4,1.4,0.9,1.4,1.4,1.4,0.9,1.4,1.4,1.4,0.9,1.4,1.4,,17,,,,,
Travis Kelce,KC,TE,13,Yes,No,Yes,3,2,No,Yes,2,1,0.6667,2,1,5,12,1,-7,,,,0.6667,0.3333,2,2,1,-3.5,79.2,1.6667,2.5,-3.6008,,2.5,6,0.5,3.0495,3.0495,0.1538,0.5,2.5,1.5,2.5,3.5,2.5,1.5,2.5,2.5,2.5,1.5,3.5,2.5,,16,1,,,,
Xavier Legette,CAR,WR,5,No,No,No,3,1,No,No,1,1,0.3333,1,1,,1,,-1,,,,0.3333,0.6667,1,1,1,-1,79.2,,,-6.1699,,,1,,1.3822,1.3822,0.2,,1,0.5,1,1,1,0.5,1,1,1,0.5,1,1,,16,,,,,
Justin Jefferson,MIN,WR,12,No,No,No,7,7,No,Yes,7,1,1,7,1,44,61,12,-17,,,,0.4286,0.5714,7,7,1,-2.4286,92.9,6.2857,6.2857,1.0259,,6.2857,8.7143,1.7143,10.962,10.962,0.5833,4.4,11.4,7.9,11.4,11.4,11.4,7.9,11.4,11.4,11.4,7.9,11.4,11.4,1,17,2,,,,
Rashid Shaheed,NO,WR,1,No,No,No,1,1,No,No,1,1,1,1,1,,3,,-3,,,,1,,1,1,1,-3,79.2,,,-4.9408,,,3,,1.2255,1.2255,1,,1,0.5,1,1,1,0.5,1,1,1,0.5,1,1,1,6,,,,,
