Name,Team,POS,playerStatsSnapsOffenseTotal,PlayActionLabel,PressuredLabel,BlitzedLabel,RoutesTotal,TargetsTotal,TargetsContestedLabel,TargetsCatchableLabel,TargetsCatchableTotal,TargetsCatchablePercentage,TargetsPerRoute,ReceptionsTotal,ReceptionsPercentage,YardsTotal,YardsAfterCatchTotal,YardsAfterContactTotal,MissedTacklesForcedTotal,MissedTacklesForcedPerReception,AlignmentBackfieldRoutesPercentage,TargetedReadFirstTotal,PasserRatingWhenTargeted,AveragesPerRouteYardsTotal,AveragesPerTargetYardsTotal,AveragesPerTargetYardsOverExpected,AveragesPerReceptionYardsTotal,AveragesPerReceptionYardsAfterCatch,AveragesPerReceptionYardsAfterContact,playerStatsFirstDownsReceiving,playerStatsXfpPprTotal,playerStatsXfpPprReceiving,playerStatsOffenseThreatsPercentage,playerStatsFantasyPointsNonPpr,playerStatsFantasyPointsPpr,playerStatsFantasyPointsHalfPpr,playerStatsFantasyPointsHalfPprRb,playerStatsFantasyPointsPprTe,playerStatsFantasyPointsDraftKings,playerStatsFantasyPointsFanDuel,playerStatsFantasyPointsCbs,playerStatsFantasyPointsNfl,playerStatsFantasyPointsEspn,playerStatsFantasyPointsYahoo,playerStatsFantasyPointsFfpc,playerStatsFantasyPointsNffc,playerStatsInside20ReceivingTargetsTotal,playerStatsGamesPlayed,YardsAirTotal,AlignmentSlotRoutesPercentage,AlignmentWideRoutesPercentage,AverageDepthOfTarget,TargetsContestedTotal,ReceptionsContested,AlignmentInlineRoutesPercentage,DropsTotal,TargetedReadDesignTotal,TargetedReadDesignPercentage,AveragesPerTargetDropsTotal,TargetsInEndzone,ReceptionsHero,TouchdownsTotal,TouchdownsInEndzone,DeepTargetTargetsTotal
Johnny Wilson,PHI,WR,67,No,Yes,No,63,7,No,Yes,4,0.5714,0.1111,2,0.2857,14,3,1,,,0.0317,4,79.2,0.2222,2,-6.0937,7,1.5,0.5,2,14.8074,14.8074,0.1045,7.4,9.4,8.4,9.4,9.4,9.4,8.4,9.4,9.4,9.4,8.4,9.4,9.4,2,16,68,0.2857,0.6667,9.7143,2,,0.0159,,,,,2,,1,1,
Chris Manhertz,NYG,TE,43,No,Yes,No,18,3,No,Yes,2,0.6667,0.1667,2,0.6667,18,14,4,,,,2,122.2,1,6,-0.8729,9,7,2,2,8.005,8.005,0.0698,7.8,9.8,8.8,9.8,10.8,9.8,8.8,9.8,9.8,9.8,8.8,10.8,9.8,1,17,17,0.2778,,5.6667,1,1,0.7222,,,,,1,,1,1,
Blake Whiteheart,CLV,TE,43,No,No,No,35,5,No,Yes,3,0.6,0.1429,3,0.6,9,3,2,,,0.0286,4,64.6,0.2571,1.8,-5.4292,3,1,0.6667,1,12.0681,12.0681,0.1163,6.9,9.9,8.4,9.9,11.4,9.9,8.4,9.9,9.9,9.9,8.4,11.4,9.9,2,11,33,0.2,0.1143,6.6,,,0.6571,,,,,1,,1,1,
Josiah Deguara,JAX,TE,7,No,Yes,No,5,1,Yes,Yes,1,1,0.2,1,1,2,5,2,,,,1,79.2,0.4,2,-3.8652,2,5,2,,2.7,2.7,0.1429,0.2,1.2,0.7,1.2,1.7,1.2,0.7,1.2,1.2,1.2,0.7,1.7,1.2,1,13,-3,0.4,0.2,-3,,,0.4,,,,,,,,,
Braelon Allen,NYJ,RB,67,No,No,No,51,8,No,Yes,8,1,0.1569,7,0.875,50,41,15,1,0.1429,0.8235,6,92.7,0.9804,6.25,0.1936,7.1429,5.8571,2.1429,3,11.1169,11.1169,0.1194,5,12,8.5,15.5,12,12,8.5,12,12,12,8.5,12,12,,17,9,0.0588,0.1176,1.125,,,,1,,,0.125,,,,,
Elijah Higgins,ARZ,TE,55,No,Yes,No,53,13,No,No,12,0.9231,0.2453,11,0.8462,108,35,14,2,0.1818,,9,140.9,2.0377,8.3077,0.5264,9.8182,3.1818,1.2727,7,25.3252,25.3252,0.2364,22.8,33.8,28.3,33.8,39.3,36.8,31.3,33.8,33.8,33.8,28.3,39.3,33.8,3,17,110,0.2642,0.1509,8.4615,1,1,0.5849,,,,,2,,2,2,1
Dan Chisena,CAR,WR,6,No,No,No,6,2,No,Yes,1,0.5,0.3333,1,0.5,23,9,2,,,,2,91.7,3.8333,11.5,3.9261,23,9,2,1,3.0631,3.0631,0.3333,2.3,3.3,2.8,3.3,3.3,3.3,2.8,3.3,3.3,3.3,2.8,3.3,3.3,,5,16,0.5,0.5,8,,,,,,,,,,,,
Adam Thielen,CAR,WR,114,No,No,No,113,27,No,Yes,26,0.963,0.2389,25,0.9259,279,86,19,2,0.08,,24,106.6,2.469,10.3333,2.8951,11.16,3.44,0.76,15,43.4005,43.4005,0.2368,33.9,58.9,46.4,58.9,58.9,61.9,49.4,58.9,58.9,58.9,46.4,58.9,58.9,2,10,216,0.7699,0.2301,8,2,1,,1,,,0.037,1,1,1,1,1
Jonnu Smith,MIA,TE,175,No,No,No,160,49,No,Yes,43,0.8776,0.3063,40,0.8163,426,188,71,7,0.175,0.0187,40,136.9,2.6625,8.6939,1.4643,10.65,4.7,1.775,29,82.2183,82.2183,0.28,71.6,111.6,91.6,111.6,131.6,114.6,93.6,110.6,110.6,110.6,90.6,131.6,110.6,7,17,309,0.5188,0.2,6.3061,2,1,0.2625,2,,,0.0408,3,2,5,3,
Harrison Bryant,LV,TE,40,No,No,No,29,7,No,Yes,6,0.8571,0.2414,6,0.8571,49,48,15,,,,5,56.3,1.6897,7,0.2544,8.1667,8,2.5,3,10.0285,10.0285,0.175,4.9,10.9,7.9,10.9,13.9,10.9,7.9,10.9,10.9,10.9,7.9,13.9,10.9,,13,22,0.3448,0.069,3.1429,,,0.5862,,,,,,,,,1
