Name,Team,POS,playerStatsSnapsOffenseTotal,PlayActionLabel,PressuredLabel,BlitzedLabel,RoutesTotal,TargetsTotal,TargetsContestedLabel,TargetsCatchableLabel,TargetsCatchableTotal,TargetsCatchablePercentage,TargetsPerRoute,ReceptionsTotal,ReceptionsPercentage,YardsTotal,YardsAfterCatchTotal,YardsAfterContactTotal,MissedTacklesForcedTotal,MissedTacklesForcedPerReception,AlignmentBackfieldRoutesPercentage,TargetedReadFirstTotal,PasserRatingWhenTargeted,AveragesPerRouteYardsTotal,AveragesPerTargetYardsTotal,AveragesPerTargetYardsOverExpected,AveragesPerReceptionYardsTotal,AveragesPerReceptionYardsAfterCatch,AveragesPerReceptionYardsAfterContact,playerStatsFirstDownsReceiving,playerStatsXfpPprTotal,playerStatsXfpPprReceiving,playerStatsOffenseThreatsPercentage,playerStatsFantasyPointsNonPpr,playerStatsFantasyPointsPpr,playerStatsFantasyPointsHalfPpr,playerStatsFantasyPointsHalfPprRb,playerStatsFantasyPointsPprTe,playerStatsFantasyPointsDraftKings,playerStatsFantasyPointsFanDuel,playerStatsFantasyPointsCbs,playerStatsFantasyPointsNfl,playerStatsFantasyPointsEspn,playerStatsFantasyPointsYahoo,playerStatsFantasyPointsFfpc,playerStatsFantasyPointsNffc,playerStatsInside20ReceivingTargetsTotal,playerStatsGamesPlayed,YardsAirTotal,AlignmentSlotRoutesPercentage,AlignmentWideRoutesPercentage,AverageDepthOfTarget,TargetsContestedTotal,ReceptionsContested,AlignmentInlineRoutesPercentage,DropsTotal,TargetedReadDesignTotal,TargetedReadDesignPercentage,AveragesPerTargetDropsTotal,TargetsInEndzone,ReceptionsHero,TouchdownsTotal,TouchdownsInEndzone,DeepTargetTargetsTotal
Kendric Pryor,CIN,WR,2,No,No,No,2,,No,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,1,,,,,,,,,,,,,
Brandon Johnson,PIT,WR,7,No,No,No,7,1,No,Yes,1,1,0.1429,1,1,9,5,2,,,,,104.2,1.2857,9,2.9502,9,5,2,,1.3265,1.3265,0.1429,0.9,1.9,1.4,1.9,1.9,1.9,1.4,1.9,1.9,1.9,1.4,1.9,1.9,,3,4,0.1429,0.8571,4,,,,,,,,,,,,
Alex Bachman,LV,WR,24,No,No,No,23,3,Yes,Yes,3,1,0.1304,3,1,31,11,1,1,0.3333,,3,109.7,1.3478,10.3333,3.4286,10.3333,3.6667,0.3333,2,4.7312,4.7312,0.125,3.1,6.1,4.6,6.1,6.1,6.1,4.6,6.1,6.1,6.1,4.6,6.1,6.1,,5,20,0.5217,0.4783,6.6667,,,,,1,0.3333,,,,,,
Austin Trammell,JAX,WR,7,No,No,Yes,7,3,No,Yes,3,1,0.4286,2,0.6667,40,9,3,,,,2,109.7,5.7143,13.3333,3.2023,20,4.5,1.5,2,5.9274,5.9274,0.4286,4,6,5,6,6,6,5,6,6,6,5,6,6,,1,44,0.7143,0.2857,14.6667,1,,,1,,,0.3333,,,,,
Brenden Rice,LAC,WR,1,No,No,No,1,,Yes,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,1,,,,,,,,,,,,,
C.J. Uzomah,PHI,TE,15,No,No,No,7,,Yes,Yes,,,,,,,,,,,0.1429,,,,,,,,,,,,,,,,,,,,,,,,,,,7,,0.5714,,,,,0.2857,,,,,,,,,
Chig Okonkwo,TEN,TE,151,No,No,No,139,33,No,Yes,27,0.8182,0.2374,23,0.697,268,137,41,3,0.1304,0.0216,28,76.3,1.9281,8.1212,0.6803,11.6522,5.9565,1.7826,11,61.1444,61.1444,0.2185,38.8,61.8,50.3,61.8,73.3,64.8,53.3,61.8,61.8,61.8,50.3,73.3,61.8,3,17,221,0.4245,0.1727,6.697,2,1,0.3813,1,2,0.0606,0.0303,1,,2,1,4
Gerald Everett,CHI,TE,31,No,No,No,26,4,No,Yes,4,1,0.1538,2,0.5,5,4,2,,,0.0385,4,56.3,0.1923,1.25,-4.7166,2.5,2,1,,5.6344,5.6344,0.129,0.5,2.5,1.5,2.5,3.5,2.5,1.5,2.5,2.5,2.5,1.5,3.5,2.5,,17,9,0.2692,0.1538,2.25,,,0.5385,1,,,0.25,,,,,
Lucas Krull,DEN,TE,60,Yes,No,No,53,6,No,Yes,6,1,0.1132,5,0.8333,29,9,7,1,0.2,0.0189,3,86.8,0.5472,4.8333,-1.4453,5.8,1.8,1.4,2,8.5329,8.5329,0.1,2.9,7.9,5.4,7.9,10.4,7.9,5.4,7.9,7.9,7.9,5.4,10.4,7.9,,13,24,0.3208,0.1887,4,1,,0.4717,,,,,,,,,
Tyler Johnson,LA,WR,91,No,No,No,89,24,No,No,17,0.7083,0.2697,14,0.5833,194,121,49,8,0.5714,,15,63.5,2.1798,8.0833,0.9223,13.8571,8.6429,3.5,6,45.3535,45.3535,0.2637,25.4,39.4,32.4,39.4,39.4,42.4,35.4,39.4,39.4,39.4,32.4,39.4,39.4,4,15,163,0.2697,0.7191,6.7917,6,5,0.0112,1,,,0.0417,3,,1,1,
Deonte Harty,BLT,WR,1,No,No,Yes,1,,No,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,,1,,,,,,,,,,,,,,
Jamaal Williams,NO,RB,41,No,No,Yes,24,1,No,Yes,1,1,0.0417,1,1,5,2,2,,,0.875,,87.5,0.2083,5,-1.5094,5,2,2,,2.9598,2.9598,0.0244,0.5,1.5,1,2,1.5,1.5,1,1.5,1.5,1.5,1,1.5,1.5,,14,3,0.0833,,3,,,0.0417,,,,,,,,,
Ryan Miller,TB,WR,55,No,No,Yes,52,9,No,Yes,8,0.8889,0.1731,5,0.5556,53,39,8,,,,7,110,1.0192,5.8889,-1.2824,10.6,7.8,1.6,2,15.4068,15.4068,0.1636,11.3,16.3,13.8,16.3,16.3,16.3,13.8,16.3,16.3,16.3,13.8,16.3,16.3,1,11,60,0.5,0.5,6.6667,2,1,,1,,,0.1111,1,,1,1,
Kenny Yeboah,NYJ,TE,22,No,No,No,19,7,No,Yes,6,0.8571,0.3684,4,0.5714,40,28,1,,,,4,113.1,2.1053,5.7143,-1.5784,10,7,0.25,3,11.1066,11.1066,0.3182,10,14,12,14,16,14,12,14,14,14,12,16,14,1,9,39,0.1053,0.1579,5.5714,1,,0.7368,,,,,,,1,,
A.J. Brown,PHI,WR,114,No,No,No,113,54,Yes,Yes,45,0.8333,0.4779,42,0.7778,542,201,107,12,0.2857,,48,127,4.7965,10.037,2.3274,12.9048,4.7857,2.5476,28,93.9594,93.9594,0.4737,72.2,114.2,93.2,114.2,114.2,117.2,96.2,114.2,114.2,114.2,93.2,114.2,114.2,6,13,465,0.1504,0.8496,8.6111,6,3,,,,,,3,,3,2,
Luke McCaffrey,WAS,WR,82,No,No,Yes,77,12,No,Yes,8,0.6667,0.1558,7,0.5833,81,27,7,,,,8,39.2,1.0519,6.75,-1.5698,11.5714,3.8571,1,5,22.3913,22.3913,0.1463,8.1,15.1,11.6,15.1,15.1,15.1,11.6,15.1,15.1,15.1,11.6,15.1,15.1,2,17,133,0.8182,0.1818,11.0833,2,1,,,,,,,,,,1
Brock Wright,DET,TE,100,No,Yes,Yes,70,9,No,No,8,0.8889,0.1286,8,0.8889,51,40,10,,,0.0429,9,90.3,0.7286,5.6667,-0.5338,6.375,5,1.25,4,16.9978,16.9978,0.09,17.1,25.1,21.1,25.1,29.1,25.1,21.1,25.1,25.1,25.1,21.1,29.1,25.1,4,17,25,0.1286,0.0857,2.7778,,,0.7429,,,,,1,,2,1,
Brandin Cooks,DAL,WR,112,No,No,Yes,111,19,No,Yes,14,0.7368,0.1712,14,0.7368,153,39,4,1,0.0714,,17,114.7,1.3784,8.0526,0.0513,10.9286,2.7857,0.2857,11,39.7419,39.7419,0.1696,33.3,47.3,40.3,47.3,47.3,50.3,43.3,47.3,47.3,47.3,40.3,47.3,47.3,4,10,185,0.2703,0.7297,9.7368,,,,,,,,4,,3,2,1
Isaac Guerendo,SF,RB,51,No,Yes,No,44,6,No,No,6,1,0.1364,5,0.8333,32,19,3,,,0.8636,1,88.9,0.7273,5.3333,-1.173,6.4,3.8,0.6,2,8.7916,8.7916,0.1176,3.2,8.2,5.7,10.7,8.2,8.2,5.7,8.2,8.2,8.2,5.7,8.2,8.2,,16,18,0.0909,0.0455,3,,,,1,,,0.1667,,,,,
Jalin Hyatt,NYG,WR,63,No,Yes,No,62,6,No,Yes,3,0.5,0.0968,3,0.5,27,6,3,,,,5,62.5,0.4355,4.5,-4.859,9,2,1,2,9.0385,9.0385,0.0952,2.7,5.7,4.2,5.7,5.7,5.7,4.2,5.7,5.7,5.7,4.2,5.7,5.7,,16,92,0.129,0.871,15.3333,,,,,,,,,,,,2
David Njoku,CLV,TE,163,No,No,No,159,47,Yes,Yes,36,0.766,0.2956,29,0.617,228,113,41,2,0.069,,38,63.1,1.434,4.8511,-1.9104,7.8621,3.8966,1.4138,9,81.1513,81.1513,0.2883,28.8,57.8,43.3,57.8,72.3,60.8,46.3,57.8,57.8,57.8,43.3,72.3,57.8,7,11,226,0.3208,0.1447,4.8085,6,4,0.5346,5,1,0.0213,0.1064,5,1,1,1,
Brock Bowers,LV,TE,244,No,No,No,226,95,No,Yes,82,0.8632,0.4204,75,0.7895,856,428,130,4,0.0533,0.0044,73,101.6,3.7876,9.0105,1.9026,11.4133,5.7067,1.7333,44,154.8492,154.8492,0.3893,103.6,178.6,141.1,178.6,216.1,181.6,144.1,178.6,178.6,178.6,141.1,216.1,178.6,11,17,561,0.5619,0.177,5.9053,13,7,0.2566,3,1,0.0105,0.0316,2,2,3,,2
Xavier Legette,CAR,WR,155,No,No,No,151,36,No,Yes,30,0.8333,0.2384,25,0.6944,224,22,12,2,0.08,,31,113.7,1.4834,6.2222,-1.7792,8.96,0.88,0.48,15,63.4155,63.4155,0.2323,40.4,65.4,52.9,65.4,65.4,68.4,55.9,65.4,65.4,65.4,52.9,65.4,65.4,5,16,351,0.3444,0.6556,9.75,3,1,,3,,,0.0833,4,,3,3,2
J.J. Taylor,HST,RB,11,No,No,No,6,1,No,Yes,1,1,0.1667,1,1,-2,,,,,0.8333,1,79.2,-0.3333,-2,-8.198,-2,,,,1.7831,1.7831,0.0909,-0.2,0.8,0.3,1.3,0.8,0.8,0.3,0.8,0.8,0.8,0.3,0.8,0.8,,4,-2,,0.1667,-2,,,,,,,,,,,,
Craig Reynolds,DET,RB,19,No,Yes,Yes,9,2,No,No,1,0.5,0.2222,1,0.5,9,5,1,,,0.8889,,62.5,1,4.5,-2.0857,9,5,1,1,2.8013,2.8013,0.1053,0.9,1.9,1.4,2.4,1.9,1.9,1.4,1.9,1.9,1.9,1.4,1.9,1.9,,14,7,,0.1111,3.5,,,,,,,,,,,,
Johnny Mundt,MIN,TE,89,No,Yes,Yes,82,12,No,No,11,0.9167,0.1463,9,0.75,69,48,12,1,0.1111,0.0122,6,88.5,0.8415,5.75,-0.9886,7.6667,5.3333,1.3333,3,18.6214,18.6214,0.1348,6.9,15.9,11.4,15.9,20.4,15.9,11.4,15.9,15.9,15.9,11.4,20.4,15.9,1,17,44,0.2195,0.1585,3.6667,1,1,0.6098,1,,,0.0833,,,,,
Durham Smythe,MIA,TE,58,No,No,No,38,14,No,Yes,12,0.8571,0.3684,7,0.5,42,15,5,,,0.0526,9,56.3,1.1053,3,-3.9698,6,2.1429,0.7143,1,23.5127,23.5127,0.2414,4.2,11.2,7.7,11.2,14.7,11.2,7.7,11.2,11.2,11.2,7.7,14.7,11.2,3,17,80,0.3684,0.0789,5.7143,3,1,0.5,4,,,0.2857,2,,,,
Bryce Ford-Wheaton,NYG,WR,2,No,Yes,No,1,,No,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8,,,1,,,,,,,,,,,,,
Greg Dulcich,NYG,TE,45,No,Yes,No,40,9,No,Yes,4,0.4444,0.225,3,0.3333,21,12,3,,,,6,42.4,0.525,2.3333,-4.8112,7,4,1,,15.4089,15.4089,0.2,2.1,5.1,3.6,5.1,6.6,5.1,3.6,5.1,5.1,5.1,3.6,6.6,5.1,1,9,56,0.35,0.275,6.2222,,,0.375,1,,,0.1111,,,,,1
Justin Jefferson,MIN,WR,243,No,Yes,Yes,243,75,No,No,57,0.76,0.3086,48,0.64,690,170,59,3,0.0625,0.0123,58,80.4,2.8395,9.2,0.8827,14.375,3.5417,1.2292,34,147.2357,147.2357,0.3086,81,129,105,129,129,132,108,129,129,129,105,129,129,11,17,807,0.2716,0.716,10.76,12,6,,3,,,0.04,8,2,2,2,8
Rashid Shaheed,NO,WR,64,No,No,No,62,14,No,Yes,9,0.6429,0.2258,8,0.5714,102,33,7,,,,11,50.3,1.6452,7.2857,-1.076,12.75,4.125,0.875,5,24.7757,24.7757,0.2188,10.2,18.2,14.2,18.2,18.2,21.2,17.2,18.2,18.2,18.2,14.2,18.2,18.2,3,6,155,0.2903,0.7097,11.0714,1,,,,,,,2,,,,1
Brenton Strange,JAX,TE,106,No,Yes,No,88,29,Yes,Yes,28,0.9655,0.3295,24,0.8276,205,109,39,7,0.2917,,26,96.1,2.3295,7.069,0.4642,8.5417,4.5417,1.625,10,45.591,45.591,0.2736,20.5,44.5,32.5,44.5,56.5,47.5,35.5,44.5,44.5,44.5,32.5,56.5,44.5,,17,131,0.4091,0.1477,4.5172,4,1,0.4432,1,1,0.0345,0.0345,,,,,
Rhamondre Stevenson,NE,RB,116,Yes,No,No,79,6,No,Yes,3,0.5,0.0759,3,0.5,29,19,4,1,0.3333,0.7848,1,103.5,0.3671,4.8333,-3.1544,9.6667,6.3333,1.3333,3,11.6968,11.6968,0.0517,8.9,11.9,10.4,13.4,11.9,11.9,10.4,11.9,11.9,11.9,10.4,11.9,11.9,2,15,26,0.1013,0.0759,4.3333,,,0.038,,,,,1,,1,1,
Zack Moss,CIN,RB,71,Yes,No,No,53,2,No,Yes,2,1,0.0377,2,1,17,4,1,,,0.8679,,102.1,0.3208,8.5,1.4718,8.5,2,0.5,1,3.1149,3.1149,0.0286,1.7,3.7,2.7,4.7,3.7,3.7,2.7,3.7,3.7,3.7,2.7,3.7,3.7,1,8,13,0.0189,0.0377,6.5,,,0.0755,,,,,,,,,
Tyreek Hill,MIA,WR,190,No,No,No,182,53,No,Yes,42,0.7925,0.2912,39,0.7358,476,94,26,3,0.0769,0.0055,43,118.1,2.6154,8.9811,0.448,12.2051,2.4103,0.6667,31,102.0156,102.0156,0.2789,71.6,110.6,91.1,110.6,110.6,113.6,94.1,110.6,110.6,110.6,91.1,110.6,110.6,9,17,561,0.3297,0.6593,10.5849,4,1,0.0055,,,,,5,,4,3,1
Demarcus Robinson,LA,WR,230,No,No,No,229,28,No,No,22,0.7857,0.1223,19,0.6786,254,33,19,1,0.0526,,22,121.1,1.1092,9.0714,0.562,13.3684,1.7368,1,17,69.3675,69.3675,0.1217,49.4,68.4,58.9,68.4,68.4,71.4,61.9,68.4,68.4,68.4,58.9,68.4,68.4,7,17,329,0.4061,0.5939,11.75,1,1,,2,,,0.0714,5,,4,4,2
Travis Kelce,KC,TE,204,No,No,No,185,57,No,Yes,46,0.807,0.3081,42,0.7368,358,164,45,1,0.0238,0.0054,39,94,1.9351,6.2807,-1.0043,8.5238,3.9048,1.0714,21,95.4535,95.4535,0.2794,46.8,88.8,67.8,88.8,109.8,91.8,69.8,87.8,87.8,87.8,66.8,109.8,87.8,13,16,356,0.4054,0.2541,6.2456,5,4,0.3351,3,,,0.0526,4,,2,2,1
Cole Kmet,CHI,TE,168,No,No,No,143,30,No,Yes,26,0.8667,0.2098,25,0.8333,193,102,41,,,0.014,20,126.8,1.3497,6.4333,-0.1928,7.72,4.08,1.64,14,55.4968,55.4968,0.1786,37.3,62.3,49.8,62.3,74.8,65.3,52.8,62.3,62.3,62.3,49.8,74.8,62.3,7,17,137,0.6364,0.1259,4.5667,2,2,0.2238,1,4,0.1333,0.0333,2,,3,2,
Kimani Vidal,LAC,RB,45,No,No,No,29,2,No,Yes,2,1,0.069,1,0.5,2,2,,,,0.931,2,56.3,0.069,1,-4.823,2,2,,,2.8306,2.8306,0.0444,0.2,1.2,0.7,1.7,1.2,1.2,0.7,1.2,1.2,1.2,0.7,1.2,1.2,,10,-1,0.0345,0.0345,-0.5,,,,1,,,0.5,,,,,
Mason Tipton,NO,WR,79,No,Yes,No,78,14,No,Yes,9,0.6429,0.1795,9,0.6429,68,22,9,1,0.1111,,8,75.9,0.8718,4.8571,-2.3651,7.5556,2.4444,1,2,23.1098,23.1098,0.1772,6.8,15.8,11.3,15.8,15.8,15.8,11.3,15.8,15.8,15.8,11.3,15.8,15.8,1,11,112,0.2179,0.7821,8,,,,,,,,,,,,1
Kylen Granson,IND,TE,96,No,Yes,No,88,13,Yes,Yes,9,0.6923,0.1477,8,0.6154,114,65,10,,,,10,57.9,1.2955,8.7692,1.4051,14.25,8.125,1.25,4,22.578,22.578,0.1354,11.4,19.4,15.4,19.4,23.4,22.4,18.4,19.4,19.4,19.4,15.4,23.4,19.4,3,17,101,0.3977,0.1591,7.7692,,,0.4432,1,,,0.0769,,,,,1
John Ross,PHI,WR,2,No,No,Yes,2,,No,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,0.5,0.5,,,,,,,,,,,,,
Devin Thompkins,CAR,WR,8,Yes,No,No,8,,No,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7,,0.875,0.125,,,,,,,,,,,,,
Terrace Marshall,LV,WR,36,No,No,No,36,2,No,Yes,,,0.0556,,,,,,,,,1,39.6,,,-6.628,,,,,4.5937,4.5937,0.0556,,,,,,,,,,,,,,,7,8,0.1667,0.8333,4,,,,,,,,,,,,
Mike Williams,PIT,WR,109,No,No,No,103,8,No,Yes,7,0.875,0.0777,7,0.875,87,22,6,,,,6,112,0.8447,10.875,2.5345,12.4286,3.1429,0.8571,5,14.6688,14.6688,0.0734,8.7,15.7,12.2,15.7,15.7,15.7,12.2,15.7,15.7,15.7,12.2,15.7,15.7,,18,80,0.2913,0.7087,10,2,2,,,,,,,,,,
Derius Davis,LAC,WR,13,No,No,No,13,1,No,Yes,1,1,0.0769,1,1,5,1,,,,,1,87.5,0.3846,5,-1.0498,5,1,,,4.6204,4.6204,0.0769,0.5,1.5,1,1.5,1.5,1.5,1,1.5,1.5,1.5,1,1.5,1.5,,15,4,0.6923,0.3077,4,,,,,,,,,,,,
Zach Davidson,BUF,TE,7,No,No,No,7,,No,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,,0.5714,,,,,0.4286,,,,,,,,,
Julius Chestnut,TEN,RB,20,No,No,No,17,1,No,Yes,1,1,0.0588,1,1,2,3,2,,,0.8235,,79.2,0.1176,2,-3.819,2,3,2,,1.6739,1.6739,0.05,0.2,1.2,0.7,1.7,1.2,1.2,0.7,1.2,1.2,1.2,0.7,1.2,1.2,,14,-1,0.1176,0.0588,-1,,,,,,,,,,,,
Wan'Dale Robinson,NYG,WR,187,No,Yes,No,185,63,No,Yes,45,0.7143,0.3405,37,0.5873,279,137,64,3,0.0811,0.0216,51,85.4,1.5081,4.4286,-2.2812,7.5405,3.7027,1.7297,21,112.8702,112.8702,0.3369,45.9,82.9,64.4,82.9,82.9,85.9,67.4,82.9,82.9,82.9,64.4,82.9,82.9,10,17,356,0.7405,0.2378,5.6508,6,4,,5,,,0.0794,3,1,3,1,2
Trey Benson,ARZ,RB,15,Yes,No,No,8,,No,Yes,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,13,,,,,,,,,,,,,,,,
Ben Skowronek,PIT,WR,7,No,No,No,6,2,No,Yes,2,1,0.3333,2,1,34,21,6,,,,2,118.8,5.6667,17,10.5251,17,10.5,3,2,3.0402,3.0402,0.2857,3.4,5.4,4.4,5.4,5.4,5.4,4.4,5.4,5.4,5.4,4.4,5.4,5.4,,9,13,0.5,,6.5,,,0.5,,,,,,,,,
Jake Tonges,SF,TE,5,No,Yes,No,5,,No,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10,,0.2,0.4,,,,0.4,,,,,,,,,
Dalvin Cook,DAL,RB,6,No,Yes,No,3,,No,Yes,,,,,,,,,,,0.6667,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,0.3333,,,,,,,,,,,,,,
Hayden Hurst,LAC,TE,36,No,No,No,32,8,No,Yes,5,0.625,0.25,4,0.5,24,9,2,,,0.0312,6,56.3,0.75,3,-3.9164,6,2.25,0.5,,17.0137,17.0137,0.2222,2.4,6.4,4.4,6.4,8.4,6.4,4.4,6.4,6.4,6.4,4.4,8.4,6.4,3,9,41,0.5625,0.25,5.125,,,0.1562,1,1,0.125,0.125,2,,,,
Clyde Edwards-Helaire,NO,RB,12,No,No,Yes,11,3,No,Yes,3,1,0.2727,1,0.3333,14,13,1,,,0.9091,2,49.3,1.2727,4.6667,-1.6402,14,13,1,1,4.2902,4.2902,0.25,1.4,2.4,1.9,2.9,2.4,2.4,1.9,2.4,2.4,2.4,1.9,2.4,2.4,,2,8,0.0909,,2.6667,1,,,1,,,0.3333,,,,,
D'Onta Foreman,CLV,RB,43,No,No,No,22,,No,Yes,,,,,,,,,,,0.9545,,,,,,,,,,,,,,,,,,,,,,,,,,,11,,,0.0455,,,,,,,,,,,,,
Deebo Samuel,SF,WR,169,No,No,No,167,38,No,Yes,33,0.8684,0.2275,22,0.5789,308,149,63,3,0.1364,0.0479,32,81.9,1.8443,8.1053,0.681,14,6.7727,2.8636,17,62.0313,62.0313,0.2249,36.8,58.8,47.8,58.8,58.8,61.8,50.8,58.8,58.8,58.8,47.8,58.8,58.8,5,15,303,0.3234,0.6168,7.9737,6,,0.012,4,2,0.0526,0.1053,,1,1,,3
Devin Duvernay,JAX,WR,49,No,Yes,No,49,7,Yes,Yes,6,0.8571,0.1429,6,0.8571,30,5,1,,,,3,84.5,0.6122,4.2857,-2.333,5,0.8333,0.1667,4,10.4588,10.4588,0.1429,3,9,6,9,9,9,6,9,9,9,6,9,9,1,13,48,0.5918,0.4082,6.8571,,,,,1,0.1429,,,,,,1
Mike Gesicki,CIN,TE,171,No,No,No,167,49,No,Yes,44,0.898,0.2934,42,0.8571,412,149,42,1,0.0238,0.006,34,108.5,2.4671,8.4082,1.0266,9.8095,3.5476,1,26,83.2316,83.2316,0.2865,47.2,89.2,68.2,89.2,110.2,92.2,71.2,89.2,89.2,89.2,68.2,110.2,89.2,5,17,342,0.6946,0.2096,6.9796,7,7,0.0898,2,1,0.0204,0.0408,2,1,1,1,
Nikko Remigio,KC,WR,9,Yes,No,No,8,5,No,Yes,2,0.4,0.625,2,0.4,48,16,7,,,,4,75.4,6,9.6,1.4777,24,8,3.5,2,7.7181,7.7181,0.5556,4.8,6.8,5.8,6.8,6.8,6.8,5.8,6.8,6.8,6.8,5.8,6.8,6.8,,5,51,1,,10.2,1,,,,,,,,1,,,
Ryan Flournoy,DAL,WR,32,No,No,Yes,31,6,No,Yes,5,0.8333,0.1935,4,0.6667,40,9,1,,,,4,85.4,1.2903,6.6667,-0.5735,10,2.25,0.25,2,11.4804,11.4804,0.1875,4,8,6,8,8,8,6,8,8,8,6,8,8,,11,43,0.1613,0.8387,7.1667,1,1,,1,,,0.1667,,,,,
Scott Miller,PIT,WR,17,No,No,No,17,3,No,Yes,2,0.6667,0.1765,2,0.6667,28,19,18,1,0.5,,3,96.5,1.6471,9.3333,2.4286,14,9.5,9,1,4.4562,4.4562,0.1765,2.8,4.8,3.8,4.8,4.8,4.8,3.8,4.8,4.8,4.8,3.8,4.8,4.8,,13,20,0.2353,0.7647,6.6667,,,,,,,,,,,,
Jaylen Waddle,MIA,WR,173,No,No,No,173,47,No,Yes,38,0.8085,0.2717,33,0.7021,431,121,45,2,0.0606,,38,105.9,2.4913,9.1702,1.1962,13.0606,3.6667,1.3636,26,80.3549,80.3549,0.2717,49.1,82.1,65.6,82.1,82.1,85.1,68.6,82.1,82.1,82.1,65.6,82.1,82.1,5,15,451,0.2775,0.7168,9.5957,1,,0.0058,4,,,0.0851,1,1,1,1,
Tee Higgins,CIN,WR,202,No,No,No,196,58,No,Yes,48,0.8276,0.2959,41,0.7069,480,156,84,8,0.1951,,46,135.1,2.449,8.2759,0.5569,11.7073,3.8049,2.0488,29,113.0444,113.0444,0.2871,89,130,109.5,130,130,133,111.5,129,129,129,108.5,130,129,15,12,523,0.199,0.7959,9.0172,10,8,0.0051,4,,,0.069,9,,7,5,
Josh Jacobs,GB,RB,122,No,No,No,79,4,No,Yes,4,1,0.0506,4,1,41,35,23,3,0.75,0.9114,2,109.4,0.519,10.25,4.0723,10.25,8.75,5.75,3,5.6906,5.6906,0.0328,4.1,8.1,6.1,10.1,8.1,8.1,6.1,8.1,8.1,8.1,6.1,8.1,8.1,,17,6,0.0127,0.0633,1.5,,,0.0127,,,,,,,,,
Cade Stover,HST,TE,62,No,No,No,46,12,No,Yes,9,0.75,0.2609,7,0.5833,89,69,29,2,0.2857,0.087,7,81.6,1.9348,7.4167,0.1636,12.7143,9.8571,4.1429,4,18.0768,18.0768,0.1935,8.9,15.9,12.4,15.9,19.4,15.9,12.4,15.9,15.9,15.9,12.4,19.4,15.9,1,15,69,0.1304,0.1304,5.75,2,,0.6522,,,,,,,,,
Grant Calcaterra,PHI,TE,107,No,Yes,No,93,16,No,Yes,13,0.8125,0.172,12,0.75,139,88,14,1,0.0833,,11,121.6,1.4946,8.6875,1.9583,11.5833,7.3333,1.1667,8,27.2271,27.2271,0.1495,19.9,31.9,25.9,31.9,37.9,34.9,28.9,31.9,31.9,31.9,25.9,37.9,31.9,2,17,70,0.4516,0.0968,4.375,1,,0.4516,,,,,1,,1,1,
Rashod Bateman,BLT,WR,152,No,No,No,149,35,No,Yes,29,0.8286,0.2349,26,0.7429,371,128,29,3,0.1154,,23,134.3,2.4899,10.6,2.4252,14.2692,4.9231,1.1154,20,67.3446,67.3446,0.2303,61.1,87.1,74.1,87.1,87.1,90.1,77.1,87.1,87.1,87.1,74.1,87.1,87.1,7,17,364,0.0872,0.9128,10.4,1,,,2,,,0.0571,5,,4,3,3
Jordan Matthews,CAR,TE,5,No,No,No,5,1,No,Yes,1,1,0.2,,,,,,,,,,39.6,,,-10.191,,,,,1.8642,1.8642,0.2,,,,,,,,,,,,,,,3,16,0.4,0.2,16,1,,0.4,,,,,,,,,
Rico Dowdle,DAL,RB,123,No,No,Yes,83,10,No,Yes,9,0.9,0.1205,8,0.8,52,25,15,2,0.25,0.8795,7,127.9,0.6265,5.2,-1.6901,6.5,3.125,1.875,4,19.4199,19.4199,0.0813,17.2,25.2,21.2,29.2,25.2,25.2,21.2,25.2,25.2,25.2,21.2,25.2,25.2,2,16,41,0.0482,0.0602,4.1,,,0.012,1,,,0.1,3,1,2,2,1
Ricky Pearsall,SF,WR,126,No,Yes,No,120,30,No,No,23,0.7667,0.25,22,0.7333,274,80,15,,,,25,95,2.2833,9.1333,1.1006,12.4545,3.6364,0.6818,14,53.8463,53.8463,0.2381,45.4,67.4,56.4,67.4,67.4,70.4,59.4,67.4,67.4,67.4,56.4,67.4,67.4,6,11,300,0.3417,0.6583,10,3,2,,,,,,2,,3,1,2
Pharaoh Brown,SEA,TE,33,No,No,No,21,4,No,No,3,0.75,0.1905,3,0.75,16,13,4,,,,2,81.3,0.7619,4,-1.6843,5.3333,4.3333,1.3333,,8.0174,8.0174,0.1212,0.6,3.6,2.1,3.6,5.1,3.6,1.1,2.6,2.6,2.6,1.1,5.1,2.6,1,15,8,0.1905,,2,,,0.8095,,2,0.5,,1,,,,
