Player,Att,Rush EPA,RYOE,20+ MPH,15+ MPH,Yds,TD,YPC,Success,EPA/Att,RYOE/Att,YACO,YACO/Att,YBCO/Att,xYPC,StackedBox%,Fum,Eff,Pos,GP
D'Andre Swift,223,10.66181,128.21576,0,40,1087,9,4.87444,0.47085,0.04781,0.5828,762.45,3.41906,1.45538,4.3172,0.20628,2,17.77578,RB,16
Tony Pollard,242,-35.40512,112.72139,1,28,1082,5,4.47107,0.40083,-0.1463,0.46772,838.17,3.46351,1.00756,4.01775,0.2314,3,16.73554,RB,17
Rico Dowdle,236,-7.98061,146.36559,1,33,1076,6,4.55932,0.4322,-0.03382,0.63089,751.04,3.18237,1.37695,3.92515,0.21186,1,14.9086,RB,17
Breece Hall,243,-34.17253,142.42349,5,48,1065,4,4.38272,0.40329,-0.14063,0.58853,748.48,3.08016,1.30255,3.80817,0.2716,2,17.03115,RB,16
Kenneth Walker III,221,-25.18647,38.92552,2,67,1027,5,4.64706,0.38462,-0.11397,0.18189,739.17,3.34466,1.3024,4.45829,0.27602,0,20.92005,RB,17
Chase Brown,232,-7.62362,78.28505,1,24,1019,6,4.39224,0.39655,-0.03286,0.33744,795.77,3.43004,0.9622,4.05481,0.15948,1,15.60194,RB,17
Ashton Jeanty,266,-69.02797,-50.80543,1,16,975,5,3.66541,0.31955,-0.2595,-0.19466,863.19,3.24508,0.42034,3.8345,0.16165,1,15.08301,RB,17
Jaylen Warren,211,-4.6151,180.59451,0,29,958,6,4.54028,0.45024,-0.02187,0.86409,816.4,3.86919,0.67109,3.68137,0.32227,1,16.88251,RB,16
Josh Jacobs,234,-23.16098,-7.27142,0,21,929,13,3.97009,0.41026,-0.09898,-0.03148,723.83,3.09329,0.87679,3.98819,0.17521,3,14.88761,RB,15
TreVeyon Henderson,180,5.97988,148.95607,4,34,911,9,5.06111,0.43889,0.03322,0.84634,607.06,3.37256,1.68856,4.21048,0.30556,1,17.66,RB,17
Quinshon Judkins,230,-38.30767,68.68219,0,28,827,7,3.59565,0.33043,-0.16656,0.3039,784.26,3.40983,0.18583,3.31114,0.45217,0,15.03374,RB,14
Jacory Croskey-Merritt,175,-10.67044,138.06645,2,17,805,8,4.6,0.41714,-0.06097,0.78895,660.58,3.77474,0.82526,3.81105,0.28,3,15.9868,RB,17
Kyle Monangai,169,-5.89041,47.48595,0,16,783,5,4.63314,0.47929,-0.03485,0.28955,564.68,3.3413,1.29183,4.37509,0.18935,0,16.31556,RB,16
J.K. Dobbins,153,-1.49439,161.04901,2,23,772,4,5.04575,0.44444,-0.00977,1.08087,538.4,3.51895,1.5268,3.91242,0.36601,0,17.45863,RB,10
Jordan Mason,159,-8.74512,158.26998,0,29,758,6,4.7673,0.44025,-0.055,1.0211,570.17,3.58597,1.18132,3.70148,0.24528,2,17.64409,RB,16
Blake Corum,145,13.32079,123.00613,2,26,746,6,5.14483,0.49655,0.09187,0.85421,502.87,3.46807,1.67676,4.31246,0.21379,0,17.77855,RB,17
Tyrone Tracy Jr.,176,-17.05881,15.02573,1,18,740,2,4.20455,0.36932,-0.09693,0.08839,514.28,2.92205,1.2825,4.08808,0.17045,0,16.64619,RB,15
Zach Charbonnet,184,-10.32501,58.98383,0,30,730,12,3.96739,0.41304,-0.05611,0.32952,667.09,3.62549,0.3419,3.64255,0.35326,0,17.09723,RB,16
David Montgomery,158,-4.38884,125.45359,0,13,716,8,4.53165,0.42405,-0.02778,0.79907,539.54,3.41481,1.11684,3.74233,0.34177,2,16.01247,RB,17
Woody Marks,196,-32.16201,31.16202,0,23,703,2,3.58673,0.35204,-0.16409,0.1623,558.9,2.85153,0.7352,3.44707,0.27551,1,14.77689,RB,16
Kimani Vidal,155,-13.19947,74.65904,1,23,643,3,4.14839,0.37419,-0.08516,0.49773,471.87,3.04432,1.10406,3.70227,0.31613,1,16.19394,RB,12
Kareem Hunt,163,6.90085,17.64951,0,2,611,8,3.74847,0.4908,0.04234,0.10962,534.52,3.27926,0.4692,3.66677,0.30061,2,13.30951,RB,17
Rhamondre Stevenson,130,-24.07779,175.63169,0,16,603,7,4.63846,0.36923,-0.18521,1.36149,446.32,3.43323,1.20523,3.31293,0.31538,2,16.32823,RB,14
Bucky Irving,173,-38.05517,-126.04626,0,13,588,1,3.39884,0.34682,-0.21997,-0.74145,421.62,2.43711,0.96173,4.14733,0.17341,1,15.06694,RB,10
Josh Allen,112,39.98733,144.69735,0,37,579,14,5.16964,0.57143,0.35703,1.66319,336.26,3.00232,2.34589,4.48624,0.30357,6,19.32152,QB,16
Rachaad White,132,10.76843,-28.32729,0,16,572,4,4.33333,0.5,0.08158,-0.22305,427.89,3.24159,1.09174,4.30179,0.20455,0,15.36455,RB,17
Aaron Jones,132,-2.3384,-15.26547,0,16,548,2,4.15152,0.43939,-0.01772,-0.11834,369.54,2.79955,1.35197,4.08733,0.25,0,16.25826,RB,12
Omarion Hampton,124,-3.70902,81.60164,1,23,545,4,4.39516,0.41935,-0.02991,0.65808,429.78,3.46597,0.92919,3.73708,0.25806,0,17.32081,RB,9
RJ Harvey,146,-27.45748,-90.76211,1,31,540,7,3.69863,0.39726,-0.18806,-0.6437,450.01,3.08226,0.61637,4.33874,0.32877,1,17.92993,RB,17
Kenneth Gainwell,114,-7.41967,62.78499,1,29,537,5,4.71053,0.47368,-0.06508,0.58134,399.03,3.50026,1.21026,3.72421,0.31579,1,18.97684,RB,16
Tyler Allgeier,143,-15.73825,-25.19571,0,21,514,8,3.59441,0.39161,-0.11006,-0.17743,482.35,3.37308,0.22133,3.78307,0.24476,0,16.94154,RB,17
Chuba Hubbard,134,-17.8431,-39.19197,0,12,511,1,3.81343,0.43284,-0.13316,-0.29691,396.48,2.95881,0.85463,4.13024,0.20149,1,14.26306,RB,15
Nick Chubb,122,-16.90074,64.35091,0,5,506,3,4.14754,0.34426,-0.13853,0.53626,399.17,3.27189,0.87566,3.60541,0.22951,0,14.58574,RB,15
Chris Rodriguez Jr.,112,3.53693,77.85629,1,6,500,6,4.46429,0.45536,0.03158,0.69515,445.28,3.97571,0.48857,3.76914,0.3125,0,14.89339,RB,12
Emanuel Wilson,125,-11.73251,-26.72787,0,11,496,3,3.968,0.424,-0.09386,-0.21382,404.5,3.236,0.732,4.18182,0.28,0,15.27736,RB,16
Alvin Kamara,131,-31.58899,-95.38365,0,16,471,1,3.59542,0.35115,-0.24114,-0.73372,391.38,2.98763,0.60779,4.34141,0.10687,1,14.95382,RB,11
Isiah Pacheco,118,-15.90603,-47.80944,0,12,462,1,3.91525,0.37288,-0.1348,-0.41215,356.35,3.01992,0.89534,4.34318,0.14407,0,15.18136,RB,13
Devin Singletary,119,-5.61774,-21.49637,0,7,437,5,3.67227,0.36975,-0.04721,-0.18217,334.49,2.81084,0.86143,3.86861,0.31092,0,14.74336,RB,17
