Name,Team,POS,playerStatsSnapsOffenseTotal,DropbacksTotal,AttemptsTotal,AttemptsCatchablePercentage,CompletionsTotal,CompletionsPercentage,CompletionsAdjustedPercentage,CompletionsOverExpected,OpportunitiesTotal,YardsTotal,YardsPerAttempt,YardsAfterCatchPercentage,YardsAdjustedNetPercentage,YardsAirTotal,PlayActionLabel,PressuredLabel,PressuredTotal,PressuredPercentage,PressuredExpected,PressuredOverExpected,BlitzedLabel,DeepThrowAttemptsTotal,DeepThrowAttemptsPercentage,AverageTimeToThrow,AverageTimeToPressure,AverageDepthOfTarget,PasserRating,TargetsContestedLabel,TargetsCatchableLabel,playerStatsFirstDownsPassing,playerStatsFantasyPointsNonPpr,playerStatsFantasyPointsPpr,playerStatsFantasyPointsHalfPpr,playerStatsFantasyPointsHalfPprRb,playerStatsFantasyPointsPprTe,playerStatsFantasyPointsDraftKings,playerStatsFantasyPointsFanDuel,playerStatsFantasyPointsCbs,playerStatsFantasyPointsNfl,playerStatsFantasyPointsEspn,playerStatsFantasyPointsYahoo,playerStatsFantasyPointsFfpc,playerStatsFantasyPointsNffc,playerStatsGamesPlayed,AttemptsInEndzoneTotal,IncompletionsThrownAway,TouchdownsTotal,InterceptionsTotal,OffTargetThrowAttemptsPercentage,TowThrowPercentage,HeroThrowPercentage,TargetedReadFirstPercentage,ThrowAccuracyHighlyAccuratePercentage,DropsYardsLost,DropsPercentage,RunPassOptionPercentage
Tanner McKee,PHI,QB,5,5,5,0.4,2,0.4,0.6667,0.2158,5,43,8.6,0.1163,8.6,77,No,Yes,3,0.6,2.6608,0.0678,No,2,0.4,3.66,2.7333,25.6667,71.3,No,No,2,1.72,1.72,1.72,1.72,1.72,1.72,1.72,1.72,1.72,1.72,1.72,2.15,2.15,4,,2,,,0.2,,,0.4,0.4,,,0.2
Jared Goff,DET,QB,26,26,26,0.6923,16,0.6154,0.6154,0.1308,26,412,15.8462,0.2306,14.8846,586,No,Yes,12,0.4615,11.1,0.0346,No,14,0.5385,3.05,2.3167,22.5385,102.2,No,Yes,16,19.48,19.48,19.48,19.48,19.48,22.48,22.48,18.48,18.48,18.48,18.48,23.6,22.6,17,2,,1,1,0.3077,0.0385,0.2308,0.6923,0.5769,,,
Cam Ward,TEN,QB,42,42,42,0.4048,14,0.3333,0.35,-0.137,42,390,9.2857,0.1821,8.6905,894,No,No,12,0.2857,17.6031,-0.1334,No,19,0.4524,3.0048,2.75,22.35,66.6,No,Yes,14,18.6,18.6,18.6,18.6,18.6,21.6,21.6,17.6,17.6,17.6,17.6,22.5,21.5,17,3,2,1,1,0.5238,0.0714,0.1905,0.7619,0.3095,,,
Caleb Williams,CHI,QB,61,61,61,0.5574,17,0.2787,0.5,0.0203,61,457,7.4918,0.2101,7.7377,1148,No,Yes,33,0.541,41.9211,-0.1462,Yes,30,0.4918,4.559,3.1,22.0769,67.9,No,No,17,29.28,29.28,29.28,29.28,29.28,32.28,32.28,28.28,28.28,28.28,28.28,33.85,32.85,17,5,9,3,1,0.2951,0.0492,0.1639,0.4098,0.3279,188,0.1475,
Gardner Minshew,KC,QB,1,1,1,,,,,,1,,,,,,Yes,Yes,1,1,0.5908,0.4092,Yes,,,4,2.8,,39.6,No,No,,,,,,,,,,,,,,,4,,1,,,,,,,,,,
Tua Tagovailoa,MIA,QB,20,20,20,0.5,8,0.4,0.45,-0.0395,20,209,10.45,0.2249,6.95,468,No,No,4,0.2,8.09,-0.2045,Yes,9,0.45,2.92,2.35,23.4,56,No,Yes,8,10.36,10.36,10.36,10.36,10.36,10.36,10.36,8.36,8.36,8.36,8.36,12.45,10.45,14,1,,1,2,0.45,0.15,0.1,0.85,0.45,44,0.05,
Brock Purdy,SF,QB,9,9,9,0.5556,5,0.5556,0.5556,0.0695,9,128,14.2222,0.1172,16.4444,190,No,Yes,3,0.3333,4.5065,-0.1674,No,4,0.4444,3.4778,3,21.1111,137.5,No,No,5,9.12,9.12,9.12,9.12,9.12,9.12,9.12,9.12,9.12,9.12,9.12,10.4,10.4,9,1,,1,,0.4444,,0.2222,0.6667,0.5556,,,
Justin Fields,NYJ,QB,8,8,8,0.5,3,0.375,0.5714,0.1285,8,81,10.125,0.0988,15.125,163,No,Yes,5,0.625,3.6569,0.1679,Yes,4,0.5,3.225,2.44,23.2857,115.1,No,Yes,3,11.24,11.24,11.24,11.24,11.24,11.24,11.24,11.24,11.24,11.24,11.24,12.05,12.05,9,1,1,2,,0.25,0.125,0.375,0.5,0.375,16,0.125,
Zach Wilson,MIA,QB,1,1,1,,,,,-0.5704,1,,,,,16,No,No,1,1,0.2458,0.7542,No,,,2,1.7,16,39.6,No,No,,,,,,,,,,,,,,,4,,,,,1,,,1,,,,
Dillon Gabriel,CLV,QB,6,6,6,0.5,2,0.3333,0.5,-0.0689,6,41,6.8333,0.2683,6.8333,100,No,No,2,0.3333,1.975,0.0042,No,1,0.1667,2.4833,1.9,16.6667,58.3,No,No,2,1.64,1.64,1.64,1.64,1.64,1.64,1.64,1.64,1.64,1.64,1.64,2.05,2.05,10,1,,,,0.5,,,1,,17,0.1667,
