Name,Team,POS,playerStatsSnapsOffenseTotal,DropbacksTotal,AttemptsTotal,AttemptsCatchablePercentage,CompletionsTotal,CompletionsPercentage,CompletionsAdjustedPercentage,CompletionsOverExpected,OpportunitiesTotal,YardsTotal,YardsPerAttempt,YardsAfterCatchPercentage,YardsAdjustedNetPercentage,YardsAirTotal,PlayActionLabel,PressuredLabel,PressuredTotal,PressuredPercentage,PressuredExpected,PressuredOverExpected,BlitzedLabel,DeepThrowAttemptsTotal,DeepThrowAttemptsPercentage,AverageTimeToThrow,AverageTimeToPressure,AverageDepthOfTarget,PasserRating,TargetsContestedLabel,TargetsCatchableLabel,playerStatsFirstDownsPassing,playerStatsFantasyPointsNonPpr,playerStatsFantasyPointsPpr,playerStatsFantasyPointsHalfPpr,playerStatsFantasyPointsHalfPprRb,playerStatsFantasyPointsPprTe,playerStatsFantasyPointsDraftKings,playerStatsFantasyPointsFanDuel,playerStatsFantasyPointsCbs,playerStatsFantasyPointsNfl,playerStatsFantasyPointsEspn,playerStatsFantasyPointsYahoo,playerStatsFantasyPointsFfpc,playerStatsFantasyPointsNffc,playerStatsGamesPlayed,AttemptsInEndzoneTotal,IncompletionsThrownAway,TouchdownsTotal,InterceptionsTotal,OffTargetThrowAttemptsPercentage,TowThrowPercentage,HeroThrowPercentage,TargetedReadFirstPercentage,ThrowAccuracyHighlyAccuratePercentage,DropsYardsLost,DropsPercentage,RunPassOptionPercentage
Tyler Huntley,BLT,QB,4,4,4,0.75,3,0.75,0.75,0.2501,4,76,19,0.1842,19,82,No,Yes,2,0.5,1.4144,0.1464,No,2,0.5,2.625,2.9,20.5,116.7,Yes,No,3,3.04,3.04,3.04,3.04,3.04,3.04,3.04,3.04,3.04,3.04,3.04,3.8,3.8,5,1,,,,0.25,,0.5,1,0.75,,,
Marcus Mariota,WAS,QB,25,25,25,0.56,7,0.28,0.3333,-0.1429,25,167,6.68,0.0958,4.88,553,No,Yes,8,0.32,12.7863,-0.1915,Yes,13,0.52,3.54,2.6,23.0417,38.3,Yes,Yes,6,5.68,5.68,5.68,5.68,5.68,5.68,5.68,4.68,4.68,4.68,4.68,7.35,6.35,11,4,1,,1,0.36,0.04,0.12,0.64,0.4,19,0.04,
Carson Wentz,MIN,QB,19,19,19,0.3684,7,0.3684,0.3889,-0.0729,19,216,11.3684,0.3148,7.6842,436,No,No,7,0.3684,8.7412,-0.0916,No,11,0.5789,3.2421,2.8143,24.2222,58.1,No,No,7,10.64,10.64,10.64,10.64,10.64,10.64,10.64,8.64,8.64,8.64,8.64,12.8,10.8,5,1,1,1,2,0.5789,0.1053,,0.6316,0.2105,,,
Joe Milton,DAL,QB,3,3,3,0.3333,1,0.3333,0.5,0.0779,3,35,11.6667,,18.3333,63,No,Yes,1,0.3333,1.5482,-0.1827,No,2,0.6667,3.5667,2.3,31.5,118.1,No,No,1,5.4,5.4,5.4,5.4,5.4,5.4,5.4,5.4,5.4,5.4,5.4,5.75,5.75,4,2,1,1,,0.3333,,0.3333,0.6667,0.3333,,,
Dak Prescott,DAL,QB,40,40,40,0.575,19,0.475,0.5526,0.1216,40,594,14.85,0.197,14.725,1035,No,No,20,0.5,19.5265,0.0118,No,29,0.725,3.405,2.7,26.5385,100,No,No,19,30.76,30.76,30.76,30.76,30.76,33.76,33.76,29.76,29.76,29.76,29.76,36.7,35.7,17,6,1,2,1,0.275,0.075,0.3,0.625,0.35,62,0.05,
Spencer Rattler,NO,QB,18,17,17,0.4706,5,0.2941,0.4667,0.0278,17,202,11.8824,0.2772,13.0588,408,No,No,10,0.5882,8.1116,0.1111,No,10,0.5882,3.3412,2.25,27.2,96.2,No,No,5,12.08,12.08,12.08,12.08,12.08,12.08,12.08,12.08,12.08,12.08,12.08,14.1,14.1,9,2,2,1,,0.4118,,0.1765,0.7059,0.2941,37,0.1176,
Aaron Rodgers,PIT,QB,32,32,32,0.5,11,0.3438,0.4194,-0.0335,32,346,10.8125,0.1272,12.6875,788,No,No,12,0.375,13.0751,-0.0336,No,20,0.625,2.9438,2.6667,25.4194,107,No,Yes,11,25.84,25.84,25.84,25.84,25.84,28.84,28.84,25.84,25.84,25.84,25.84,29.3,29.3,16,2,1,3,,0.4375,,0.2812,0.8125,0.375,64,0.0625,
Baker Mayfield,TB,QB,49,49,49,0.4286,17,0.3469,0.375,-0.0951,49,422,8.6122,0.1896,8.4082,1114,Yes,No,10,0.2041,21.3764,-0.2322,Yes,30,0.6122,3.1041,2.49,23.2083,77.1,No,Yes,17,30.88,30.88,30.88,30.88,30.88,33.88,33.88,28.88,28.88,28.88,28.88,35.1,33.1,17,6,1,4,2,0.4898,0.0204,0.1633,0.7347,0.3265,21,0.0204,
Mason Rudolph,PIT,QB,2,2,2,0.5,1,0.5,0.5,0.0793,2,21,10.5,0.1429,10.5,50,No,No,1,0.5,0.8366,0.0817,No,1,0.5,3,3.3,25,87.5,No,No,1,0.84,0.84,0.84,0.84,0.84,0.84,0.84,0.84,0.84,0.84,0.84,1.05,1.05,5,,,,,0.5,,,0.5,,,,
Quinn Ewers,MIA,QB,8,8,8,0.375,2,0.25,0.2857,-0.1928,8,41,5.125,0.0488,-0.5,162,Yes,Yes,3,0.375,3.7431,-0.0929,Yes,4,0.5,3.2875,2.8,23.1429,8.9,No,No,2,0.64,0.64,0.64,0.64,0.64,0.64,0.64,-0.36,-0.36,-0.36,-0.36,1.05,0.05,4,,1,,1,0.5,0.125,0.125,0.75,0.375,,,
