Name,Team,POS,playerStatsSnapsOffenseTotal,DropbacksTotal,AttemptsTotal,AttemptsCatchablePercentage,CompletionsTotal,CompletionsPercentage,CompletionsAdjustedPercentage,CompletionsOverExpected,OpportunitiesTotal,DropsYardsLost,DropsPercentage,YardsTotal,YardsPerAttempt,YardsAfterCatchPercentage,YardsAdjustedNetPercentage,YardsAirTotal,TouchdownsTotal,PlayActionLabel,PressuredLabel,PressuredTotal,PressuredPercentage,PressuredExpected,PressuredOverExpected,BlitzedLabel,OffTargetThrowAttemptsPercentage,DeepThrowAttemptsTotal,DeepThrowAttemptsPercentage,TowThrowPercentage,HeroThrowPercentage,TargetedReadFirstPercentage,ThrowAccuracyHighlyAccuratePercentage,AverageTimeToThrow,AverageTimeToPressure,AverageDepthOfTarget,PasserRating,TargetsContestedLabel,TargetsCatchableLabel,playerStatsFirstDownsPassing,playerStatsFantasyPointsNonPpr,playerStatsFantasyPointsPpr,playerStatsFantasyPointsHalfPpr,playerStatsFantasyPointsHalfPprRb,playerStatsFantasyPointsPprTe,playerStatsFantasyPointsDraftKings,playerStatsFantasyPointsFanDuel,playerStatsFantasyPointsCbs,playerStatsFantasyPointsNfl,playerStatsFantasyPointsEspn,playerStatsFantasyPointsYahoo,playerStatsFantasyPointsFfpc,playerStatsFantasyPointsNffc,playerStatsGamesPlayed,AttemptsInEndzoneTotal,InterceptionsTotal,IncompletionsThrownAway,RunPassOptionPercentage
Carson Wentz,MIN,QB,3,3,3,0.6667,2,0.6667,0.6667,0.2212,3,,,60,20,0.2333,20,67,,No,No,1,0.3333,1.1169,-0.039,No,0.3333,2,0.6667,,0.3333,0.6667,0.3333,2.7333,2.7,22.3333,109.7,No,No,2,2.4,2.4,2.4,2.4,2.4,2.4,2.4,2.4,2.4,2.4,2.4,3,3,5,,,,
Joe Milton,DAL,QB,1,1,1,,,,,-0.5704,1,,,,,,-45,16,,No,No,,,0.3148,-0.3148,No,1,,,1,,1,,2.4,,16,,No,No,,-1,-1,-1,-1,-1,-1,-1,-2,-2,-2,-2,-1,-2,4,1,1,,
Dak Prescott,DAL,QB,26,26,26,0.6923,14,0.5385,0.6,0.1066,26,18,0.0385,427,16.4231,0.3279,14.5,596,2,Yes,No,4,0.1538,11.0483,-0.2711,No,0.2308,11,0.4231,0.1154,0.2308,0.8077,0.5,3.0385,2.825,23.84,92.6,No,Yes,14,23.08,23.08,23.08,23.08,23.08,26.08,26.08,21.08,21.08,21.08,21.08,27.35,25.35,17,2,2,1,
Spencer Rattler,NO,QB,7,7,7,0.7143,4,0.5714,0.7143,0.2515,7,16,0.1429,128,18.2857,0.1719,21.1429,167,1,No,No,2,0.2857,2.5659,-0.0808,No,0.2857,6,0.8571,0.1429,0.2857,0.8571,0.1429,2.7,3.3,23.8571,141.4,No,No,4,9.12,9.12,9.12,9.12,9.12,9.12,9.12,9.12,9.12,9.12,9.12,10.4,10.4,9,2,,,
Quinn Ewers,MIA,QB,6,6,6,0.6667,3,0.5,0.5,0.0291,6,,,61,10.1667,0.1311,2.6667,144,,Yes,No,2,0.3333,2.3201,-0.0533,No,0.1667,3,0.5,0.1667,,0.8333,0.3333,2.8167,2.9,24,46.5,No,No,3,1.44,1.44,1.44,1.44,1.44,1.44,1.44,0.44,0.44,0.44,0.44,2.05,1.05,4,,1,,
Marcus Mariota,WAS,QB,12,12,12,0.75,7,0.5833,0.6667,0.253,12,18,0.0833,218,18.1667,0.2615,19.8333,272,1,Yes,No,4,0.3333,5.5716,-0.131,No,0.25,6,0.5,,0.25,0.75,0.5,3.2667,2.425,22.6667,130.6,No,Yes,7,12.72,12.72,12.72,12.72,12.72,12.72,12.72,12.72,12.72,12.72,12.72,14.9,14.9,11,1,,,
Tyler Huntley,BLT,QB,1,1,1,,,,,-0.3363,1,,,,,,,36,,No,No,,,0.4528,-0.4528,No,1,1,1,,,1,,3.2,,36,39.6,No,No,,,,,,,,,,,,,,,5,,,,
Drake Maye,NE,QB,25,25,25,0.68,16,0.64,0.68,0.1763,25,23,0.04,387,15.48,0.1654,12.68,519,1,No,No,7,0.28,11.3718,-0.1749,No,0.2,9,0.36,0.04,0.12,0.8,0.32,3.212,2.7571,20.76,87.5,No,No,15,17.48,17.48,17.48,17.48,17.48,20.48,20.48,15.48,15.48,15.48,15.48,21.35,19.35,17,1,2,,
Geno Smith,LV,QB,9,9,9,0.4444,3,0.3333,0.4444,-0.0058,9,15,0.1111,111,12.3333,0.2162,9.5556,242,1,Yes,No,1,0.1111,3.8337,-0.3149,No,0.5556,6,0.6667,,0.2222,1,0.2222,3.0444,3.1,26.8889,78.7,No,No,3,7.44,7.44,7.44,7.44,7.44,7.44,7.44,6.44,6.44,6.44,6.44,8.55,7.55,15,3,1,,
Justin Herbert,LAC,QB,9,9,9,0.6667,2,0.2222,0.5556,0.1477,9,82,0.3333,51,5.6667,0.0784,0.6667,272,,No,No,3,0.3333,4.0062,-0.1118,No,0.3333,8,0.8889,0.1111,0.3333,0.7778,0.3333,3.1556,3,30.2222,11.1,No,No,2,1.04,1.04,1.04,1.04,1.04,1.04,1.04,0.04,0.04,0.04,0.04,1.55,0.55,16,1,1,,
