Name,Team,POS,playerStatsSnapsOffenseTotal,DropbacksTotal,AttemptsTotal,AttemptsCatchablePercentage,AttemptsInEndzoneTotal,CompletionsTotal,CompletionsPercentage,CompletionsAdjustedPercentage,CompletionsOverExpected,OpportunitiesTotal,IncompletionsThrownAway,IncompletionsBatted,DropsYardsLost,DropsPercentage,YardsTotal,YardsPerAttempt,YardsAfterCatchPercentage,YardsAdjustedNetPercentage,YardsAirTotal,TouchdownsTotal,InterceptionsTotal,PlayActionLabel,PressuredLabel,PressuredTotal,PressuredPercentage,PressuredExpected,PressuredOverExpected,BlitzedLabel,RunPassOptionPercentage,OffTargetThrowAttemptsPercentage,TowThrowPercentage,TargetedReadFirstPercentage,TargetedReadCheckdownPercentage,ThrowAccuracyHighlyAccuratePercentage,AverageTimeToThrow,AverageTimeToPressure,AverageDepthOfTarget,PasserRating,TargetsContestedLabel,TargetsCatchableLabel,playerStatsFirstDownsPassing,playerStatsFantasyPointsNonPpr,playerStatsFantasyPointsPpr,playerStatsFantasyPointsHalfPpr,playerStatsFantasyPointsHalfPprRb,playerStatsFantasyPointsPprTe,playerStatsFantasyPointsDraftKings,playerStatsFantasyPointsFanDuel,playerStatsFantasyPointsCbs,playerStatsFantasyPointsNfl,playerStatsFantasyPointsEspn,playerStatsFantasyPointsYahoo,playerStatsFantasyPointsFfpc,playerStatsFantasyPointsNffc,playerStatsGamesPlayed,HeroThrowPercentage,DeepThrowAttemptsTotal,DeepThrowAttemptsPercentage
Jalen Hurts,PHI,QB,151,151,151,0.8079,1,109,0.7219,0.8182,0.007,151,3,2,11,0.053,840,5.5629,0.5917,5.5298,552,2,1,No,No,40,0.2649,51.968,-0.0793,No,0.053,0.1192,0.0132,0.6358,0.1457,0.6556,2.5702,2.4225,3.8219,87.1,No,Yes,42,40.6,40.6,40.6,40.6,40.6,43.6,43.6,39.6,39.6,39.6,39.6,49,48,16,,1,0.0066
Cooper Rush,BLT,QB,16,16,16,0.875,,12,0.75,0.8667,0.04,16,,,-3,0.0625,68,4.25,0.6912,4.25,39,,,Yes,No,5,0.3125,4.6056,0.0247,No,0.0625,0.0625,,0.6875,0.0625,0.4375,2.2437,2.12,2.4375,82.3,No,Yes,4,2.72,2.72,2.72,2.72,2.72,2.72,2.72,2.72,2.72,2.72,2.72,3.4,3.4,4,,,
Davis Mills,HST,QB,53,53,53,0.8491,6,36,0.6792,0.82,0.0332,53,2,,16,0.0943,249,4.6981,0.3414,5.4528,265,2,,No,Yes,13,0.2453,15.2354,-0.0422,No,0.0566,0.0943,0.0377,0.7547,0.1321,0.6792,2.2415,2.2846,5.2353,90.8,No,Yes,12,17.96,17.96,17.96,17.96,17.96,17.96,17.96,17.96,17.96,17.96,17.96,20.45,20.45,6,0.0189,,
Malik Willis,GB,QB,6,6,6,1,,6,1,1,0.1721,6,,,,,30,5,0.3,5,21,,,No,No,1,0.1667,2.3546,-0.2258,Yes,0.1667,,,0.8333,0.1667,0.8333,2.85,3.4,3.5,87.5,No,Yes,3,1.2,1.2,1.2,1.2,1.2,1.2,1.2,1.2,1.2,1.2,1.2,1.5,1.5,4,,,
Riley Leonard,IND,QB,22,22,22,0.7273,2,12,0.5455,0.7778,-0.0236,22,2,,17,0.0909,107,4.8636,0.5981,0.7727,82,,2,No,No,8,0.3636,8.3056,-0.0139,Yes,0.0455,0.1364,0.0455,0.5455,0.0909,0.4545,2.7636,2.5,4,29.9,No,Yes,7,2.28,2.28,2.28,2.28,2.28,2.28,2.28,0.28,0.28,0.28,0.28,3.35,1.35,5,0.0455,,
Tyler Shough,NO,QB,90,90,90,0.8333,2,66,0.7333,0.8068,0.0115,90,2,,26,0.0556,516,5.7333,0.5174,4.6778,423,2,3,No,No,20,0.2222,28.1767,-0.0909,No,0.0444,0.1333,0.0444,0.7111,0.1444,0.5889,2.39,2.35,4.8068,80.6,No,No,20,25.64,25.64,25.64,25.64,25.64,28.64,28.64,22.64,22.64,22.64,22.64,30.8,27.8,11,0.0222,,
Trey Lance,LAC,QB,16,16,16,0.75,,12,0.75,0.75,-0.09,16,,,,,69,4.3125,0.7101,4.3125,46,,,Yes,No,5,0.3125,4.5538,0.0279,No,0.0625,0.25,0.125,0.75,0.1875,0.625,2.225,2.22,2.875,82.6,No,Yes,3,2.76,2.76,2.76,2.76,2.76,2.76,2.76,2.76,2.76,2.76,2.76,3.45,3.45,4,,,
Kenny Pickett,LV,QB,14,14,14,0.6429,,7,0.5,0.6154,-0.1933,14,,,-1,0.0714,38,2.7143,0.3421,-3.7143,60,,2,No,No,1,0.0714,4.5452,-0.2532,No,0.0714,0.2857,0.2143,0.7143,,0.5,2.4571,2.6,4.2857,16.7,Yes,No,2,-0.48,-0.48,-0.48,-0.48,-0.48,-0.48,-0.48,-2.48,-2.48,-2.48,-2.48,-0.1,-2.1,6,,,
Chris Oladokun,KC,QB,17,17,17,0.8235,,11,0.6471,0.7333,-0.1574,17,1,1,,,60,3.5294,1,3.5294,-3,,,No,Yes,6,0.3529,7.4216,-0.0836,Yes,,0.0588,,0.4118,0.2353,0.6471,3.1059,2.75,-0.2,70.7,No,Yes,2,2.4,2.4,2.4,2.4,2.4,2.4,2.4,2.4,2.4,2.4,2.4,3,3,3,,,
Lamar Jackson,BLT,QB,81,81,81,0.7778,3,57,0.7037,0.8289,0.027,81,1,3,36,0.0741,569,7.0247,0.5712,8.2593,332,5,,No,Yes,17,0.2099,26.1026,-0.1124,No,0.0617,0.1358,0.0123,0.7284,0.0988,0.5926,2.4432,2.4765,4.4156,110.6,No,No,25,42.76,42.76,42.76,42.76,42.76,45.76,45.76,42.76,42.76,42.76,42.76,48.45,48.45,13,,,
