Name,Team,POS,playerStatsSnapsOffenseTotal,DropbacksTotal,AttemptsTotal,AttemptsCatchablePercentage,AttemptsInEndzoneTotal,CompletionsTotal,CompletionsPercentage,CompletionsAdjustedPercentage,CompletionsOverExpected,OpportunitiesTotal,IncompletionsThrownAway,IncompletionsBatted,DropsYardsLost,DropsPercentage,YardsTotal,YardsPerAttempt,YardsAfterCatchPercentage,YardsAdjustedNetPercentage,YardsAirTotal,TouchdownsTotal,InterceptionsTotal,PlayActionLabel,PressuredLabel,PressuredTotal,PressuredPercentage,PressuredExpected,PressuredOverExpected,BlitzedLabel,RunPassOptionPercentage,OffTargetThrowAttemptsPercentage,TowThrowPercentage,TargetedReadFirstPercentage,TargetedReadCheckdownPercentage,ThrowAccuracyHighlyAccuratePercentage,AverageTimeToThrow,AverageTimeToPressure,AverageDepthOfTarget,PasserRating,TargetsContestedLabel,TargetsCatchableLabel,playerStatsFirstDownsPassing,playerStatsFantasyPointsNonPpr,playerStatsFantasyPointsPpr,playerStatsFantasyPointsHalfPpr,playerStatsFantasyPointsHalfPprRb,playerStatsFantasyPointsPprTe,playerStatsFantasyPointsDraftKings,playerStatsFantasyPointsFanDuel,playerStatsFantasyPointsCbs,playerStatsFantasyPointsNfl,playerStatsFantasyPointsEspn,playerStatsFantasyPointsYahoo,playerStatsFantasyPointsFfpc,playerStatsFantasyPointsNffc,playerStatsGamesPlayed,HeroThrowPercentage,DeepThrowAttemptsTotal,DeepThrowAttemptsPercentage
Drake Maye,NE,QB,153,153,153,0.8431,8,121,0.7908,0.8873,0.0802,153,5,4,25,0.0327,1029,6.7255,0.6297,7.6078,572,9,1,No,No,35,0.2288,49.5789,-0.0953,Yes,0.0131,0.0784,0.0065,0.6928,0.1503,0.6405,2.4536,2.5943,4.0347,111.6,No,Yes,53,76.16,76.16,76.16,76.16,76.16,79.16,79.16,75.16,75.16,75.16,75.16,86.45,85.45,17,0.0196,,
Geno Smith,LV,QB,147,147,147,0.8299,4,110,0.7483,0.8273,0.0048,147,7,1,16,0.034,939,6.3878,0.6805,6.3197,460,4,2,No,No,30,0.2041,50.6399,-0.1404,Yes,0.0204,0.1088,0.0136,0.7211,0.0952,0.6939,2.5721,2.5033,3.3094,94.5,No,Yes,47,51.56,51.56,51.56,51.56,51.56,54.56,54.56,49.56,49.56,49.56,49.56,60.95,58.95,15,,,
Justin Herbert,LAC,QB,135,135,135,0.7926,11,93,0.6889,0.8387,0.0277,135,5,3,38,0.0815,856,6.3407,0.7033,6.6,483,4,1,No,Yes,38,0.2815,40.083,-0.0154,Yes,0.0741,0.1111,0.0296,0.7407,0.0444,0.6593,2.2963,2.2474,3.8976,92.7,No,No,41,49.24,49.24,49.24,49.24,49.24,52.24,52.24,48.24,48.24,48.24,48.24,57.8,56.8,16,,1,0.0074
J.J. McCarthy,MIN,QB,57,57,57,0.6491,4,28,0.4912,0.7347,-0.0544,57,3,4,48,0.1404,212,3.7193,0.533,2.4912,236,1,2,No,No,14,0.2456,20.2551,-0.1097,No,0.0351,0.193,0.0351,0.6842,0.0351,0.4561,2.6351,2.7071,4.72,49.7,No,Yes,11,10.48,10.48,10.48,10.48,10.48,10.48,10.48,8.48,8.48,8.48,8.48,12.6,10.6,10,0.0175,,
Patrick Mahomes,KC,QB,169,169,169,0.7929,8,119,0.7041,0.8113,-0.0285,169,5,2,17,0.0592,1009,5.9704,0.8444,6.4142,364,6,1,Yes,No,36,0.213,46.7842,-0.0638,No,0.1479,0.1243,0.0178,0.7219,0.0828,0.6154,2.1799,2.5361,2.2469,95,No,Yes,54,63.36,63.36,63.36,63.36,63.36,66.36,66.36,62.36,62.36,62.36,62.36,73.45,72.45,14,,,
Aidan O'Connell,LV,QB,3,3,3,0.6667,,1,0.3333,0.3333,-0.4655,3,,,,,11,3.6667,,3.6667,13,,,No,Yes,1,0.3333,0.7029,0.099,Yes,,0.3333,,1,,0.3333,1.9333,2.3,4.3333,45.1,No,Yes,1,0.44,0.44,0.44,0.44,0.44,0.44,0.44,0.44,0.44,0.44,0.44,0.55,0.55,1,,,
Matthew Stafford,LA,QB,158,158,158,0.7785,18,103,0.6519,0.7532,-0.0517,158,2,2,21,0.0823,898,5.6835,0.5824,6.0949,677,10,3,No,No,30,0.1899,47.7029,-0.112,No,0.0443,0.1709,0.0253,0.7342,0.0823,0.557,2.3253,2.5167,4.3961,93.3,No,Yes,54,72.92,72.92,72.92,72.92,72.92,75.92,75.92,69.92,69.92,69.92,69.92,81.9,78.9,17,0.0127,,
Tyson Bagent,CHI,QB,1,1,1,1,,1,1,1,0.0628,1,,,,,20,20,1.25,20,-5,,,No,No,1,1,0.5391,0.4609,No,,,,1,,1,3.7,3.6,-5,118.8,No,No,1,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,1,1,3,,,
Kedon Slovis,ARZ,QB,2,2,2,1,,1,0.5,1,0.1226,2,,,5,0.5,-2,-1,,-1,3,,,No,Yes,1,0.5,0.4743,0.2628,No,,,,1,,,1.95,2.5,1.5,56.3,Yes,Yes,,-0.08,-0.08,-0.08,-0.08,-0.08,-0.08,-0.08,-0.08,-0.08,-0.08,-0.08,-0.1,-0.1,2,,,
Marcus Mariota,WAS,QB,66,66,66,0.7576,2,45,0.6818,0.7705,-0.0241,66,4,1,1,0.0303,357,5.4091,0.5602,2.303,265,1,5,Yes,No,16,0.2424,20.9838,-0.0755,No,0.0606,0.1515,0.0758,0.697,0.0758,0.5606,2.4182,2.7563,4.3443,54.9,Yes,Yes,20,13.28,13.28,13.28,13.28,13.28,16.28,16.28,8.28,8.28,8.28,8.28,16.85,11.85,11,,,
Tyler Huntley,BLT,QB,23,23,23,0.913,1,18,0.7826,0.8696,0.0853,23,,,-1,0.087,150,6.5217,0.3667,8.2609,119,2,,No,Yes,6,0.2609,6.8609,-0.0374,Yes,,0.087,0.0435,0.8261,0.0435,0.4783,2.3043,2.2833,5.1739,122.8,No,Yes,6,14,14,14,14,14,14,14,14,14,14,14,15.5,15.5,5,,,
Aaron Rodgers,PIT,QB,163,163,163,0.7975,6,110,0.6748,0.7829,-0.0511,163,8,3,23,0.0552,923,5.6626,0.8364,4.681,411,1,4,No,No,32,0.1963,43.4809,-0.0704,No,0.135,0.1166,0.0061,0.6994,0.1288,0.5951,2.1215,2.4156,2.7039,73.7,No,Yes,40,36.92,36.92,36.92,36.92,36.92,39.92,39.92,32.92,32.92,32.92,32.92,46.15,42.15,16,0.0061,,
Baker Mayfield,TB,QB,171,171,171,0.8421,14,126,0.7368,0.7939,-0.0226,171,3,2,32,0.0292,892,5.2164,0.7365,5.3918,573,6,2,No,No,39,0.2281,56.6598,-0.1033,Yes,0.0585,0.117,0.0234,0.7018,0.117,0.6433,2.4959,2.6103,3.4518,92,No,Yes,46,57.68,57.68,57.68,57.68,57.68,60.68,60.68,55.68,55.68,55.68,55.68,66.6,64.6,17,0.0175,,
Mason Rudolph,PIT,QB,18,18,18,0.7778,,14,0.7778,0.9333,0.0813,18,1,2,,,99,5.5,0.798,6.6111,25,1,,No,No,2,0.1111,5.0799,-0.1711,Yes,0.0556,0.0556,,0.6111,0.1667,0.6667,2.2111,2.6,1.6667,108.1,No,No,6,7.96,7.96,7.96,7.96,7.96,7.96,7.96,7.96,7.96,7.96,7.96,8.95,8.95,5,,,
Carson Wentz,MIN,QB,51,51,51,0.7255,4,32,0.6275,0.7292,-0.0649,51,2,1,18,0.0588,275,5.3922,0.5273,5.3922,221,,,No,Yes,9,0.1765,13.5363,-0.0889,Yes,0.098,0.2157,0.0196,0.8431,0.0392,0.4902,2.1137,2.3778,4.6042,76.8,No,No,15,11,11,11,11,11,11,11,11,11,11,11,13.75,13.75,5,,,
Quinn Ewers,MIA,QB,21,21,21,1,1,19,0.9048,0.9048,0.069,21,,,,,175,8.3333,0.8686,9.2857,43,1,,No,No,5,0.2381,6.7316,-0.0825,No,,,,0.7619,0.0476,0.619,2.4333,2.9,2.0476,117.3,No,Yes,8,11,11,11,11,11,11,11,11,11,11,11,12.75,12.75,4,,,
Joe Milton,DAL,QB,4,4,4,0.5,,2,0.5,0.6667,-0.1188,4,,1,,,22,5.5,1,5.5,10,,,No,No,,,1.0522,-0.2631,Yes,,0.25,,0.75,,0.25,2.1,,2.5,66.7,No,No,2,0.88,0.88,0.88,0.88,0.88,0.88,0.88,0.88,0.88,0.88,0.88,1.1,1.1,4,,,
Dak Prescott,DAL,QB,210,210,210,0.8333,16,154,0.7333,0.805,-0.0007,210,4,5,37,0.0333,1292,6.1524,0.6107,6.6762,809,10,2,No,No,53,0.2524,69.3683,-0.0779,No,0.0286,0.119,0.019,0.6714,0.1381,0.6905,2.49,2.4283,4.0249,100.7,No,No,73,89.68,89.68,89.68,89.68,89.68,92.68,92.68,87.68,87.68,87.68,87.68,102.6,100.6,17,,1,0.0048
Spencer Rattler,NO,QB,69,69,69,0.8986,2,58,0.8406,0.8676,0.0698,69,,,,0.0145,461,6.6812,0.4642,6.971,314,1,,No,No,15,0.2174,19.5132,-0.0654,No,0.1014,0.087,0.0435,0.8116,0.1014,0.6812,2.2145,2.4267,4.4928,99.3,No,No,22,22.44,22.44,22.44,22.44,22.44,25.44,25.44,22.44,22.44,22.44,22.44,27.05,27.05,9,,,
Jaxson Dart,NYG,QB,95,95,95,0.7789,7,67,0.7053,0.8182,-0.0012,95,5,1,15,0.0526,514,5.4105,0.8599,5.7789,231,4,1,Yes,No,24,0.2526,32.0795,-0.085,No,0.1263,0.1368,0.0105,0.6421,0.1368,0.6316,2.5326,2.5292,2.5955,93,No,Yes,24,35.56,35.56,35.56,35.56,35.56,38.56,38.56,34.56,34.56,34.56,34.56,40.7,39.7,14,,1,0.0105
Brady Cook,NYJ,QB,60,60,60,0.7167,4,38,0.6333,0.75,-0.0566,60,3,1,6,0.0667,307,5.1167,0.5309,3.95,231,1,2,No,No,9,0.15,18.0945,-0.1516,Yes,0.0167,0.2167,0.05,0.7833,0.0667,0.4667,2.3233,2.6222,4.125,67.8,No,Yes,15,14.28,14.28,14.28,14.28,14.28,17.28,17.28,12.28,12.28,12.28,12.28,17.35,15.35,5,,,
Shane Buechele,KC,QB,4,4,4,0.25,,1,0.25,0.3333,-0.5167,4,1,,,,10,2.5,1.3,2.5,7,,,No,No,1,0.25,1.1039,-0.026,No,0.25,0.5,,0.75,,0.25,2.175,2,2.3333,39.6,No,No,1,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.5,0.5,1,,,
Bryce Young,CAR,QB,159,159,159,0.7107,12,104,0.6541,0.8195,0.0088,159,20,4,13,0.0314,779,4.8994,0.6996,5.2453,479,5,1,No,No,66,0.4151,60.3169,0.0357,No,0.0314,0.0881,,0.5535,0.1132,0.5031,2.7742,2.5409,3.6074,84.9,Yes,Yes,50,50.16,50.16,50.16,50.16,50.16,53.16,53.16,49.16,49.16,49.16,49.16,57.95,56.95,16,0.0126,,
