Name,Team,POS,playerStatsSnapsOffenseTotal,DropbacksTotal,AttemptsTotal,AttemptsCatchablePercentage,CompletionsTotal,CompletionsPercentage,CompletionsAdjustedPercentage,CompletionsOverExpected,OpportunitiesTotal,YardsTotal,YardsPerAttempt,YardsAfterCatchPercentage,YardsAdjustedNetPercentage,YardsAirTotal,PlayActionLabel,PressuredLabel,PressuredExpected,PressuredOverExpected,BlitzedLabel,TargetedReadFirstPercentage,ThrowAccuracyHighlyAccuratePercentage,AverageTimeToThrow,AverageDepthOfTarget,PasserRating,TargetsContestedLabel,TargetsCatchableLabel,playerStatsFirstDownsPassing,playerStatsFantasyPointsNonPpr,playerStatsFantasyPointsPpr,playerStatsFantasyPointsHalfPpr,playerStatsFantasyPointsHalfPprRb,playerStatsFantasyPointsPprTe,playerStatsFantasyPointsDraftKings,playerStatsFantasyPointsFanDuel,playerStatsFantasyPointsCbs,playerStatsFantasyPointsNfl,playerStatsFantasyPointsEspn,playerStatsFantasyPointsYahoo,playerStatsFantasyPointsFfpc,playerStatsFantasyPointsNffc,playerStatsGamesPlayed,DropsYardsLost,DropsPercentage,PressuredTotal,PressuredPercentage,OffTargetThrowAttemptsPercentage,TargetedReadCheckdownPercentage,AverageTimeToPressure,AttemptsInEndzoneTotal,IncompletionsThrownAway,IncompletionsBatted,TouchdownsTotal,InterceptionsTotal,RunPassOptionPercentage,DeepThrowAttemptsTotal,DeepThrowAttemptsPercentage,HeroThrowPercentage,TowThrowPercentage
Brady Cook,NYJ,QB,16,16,16,0.75,5,0.3125,0.6429,-0.1451,16,53,3.3125,0.6038,0.5,80,Yes,Yes,6.2961,-0.081,No,0.4375,0.5625,2.8563,5.3333,15.9,Yes,No,1,1.12,1.12,1.12,1.12,1.12,1.12,1.12,0.12,0.12,0.12,0.12,1.65,0.65,5,18,0.25,5,0.3125,0.125,0.0625,2.86,,,1,,1,,,,,0.0625
C.J. Stroud,HST,QB,66,66,66,0.8182,48,0.7273,0.8333,0.1042,66,669,10.1364,0.4529,10.9697,479,No,No,20.5698,-0.0541,Yes,0.7121,0.6818,2.3818,8.0492,123.9,No,Yes,32,45.76,45.76,45.76,45.76,45.76,48.76,48.76,44.76,44.76,44.76,44.76,52.45,51.45,14,15,0.0303,17,0.2576,0.0909,0.0909,2.3765,4,4,1,5,1,,,,,0.0303
Jacoby Brissett,ARZ,QB,85,85,85,0.7176,51,0.6,0.7368,-0.044,85,446,5.2471,0.4798,5.8941,445,No,No,30.2598,-0.0148,Yes,0.5059,0.5412,2.6388,5.7051,88.7,No,No,21,36.84,36.84,36.84,36.84,36.84,39.84,39.84,35.84,35.84,35.84,35.84,41.3,40.3,14,13,0.0588,29,0.3412,0.1765,0.1647,2.5276,7,7,,5,1,,1,0.0118,,0.0353
Joe Flacco,CIN,QB,110,110,110,0.8545,75,0.6818,0.8333,0.0404,110,692,6.2909,0.5,6.7909,527,No,No,35.111,-0.0828,No,0.6182,0.7273,2.4255,5.0189,96.5,No,No,30,46.68,46.68,46.68,46.68,46.68,49.68,49.68,45.68,45.68,45.68,45.68,53.6,52.6,13,42,0.0909,26,0.2364,0.0636,0.1636,2.5462,5,2,2,5,1,,,,,0.0364
Daniel Jones,IND,QB,59,59,59,0.7797,43,0.7288,0.7719,0.0208,59,412,6.9831,0.3641,7.4915,391,Yes,No,17.176,0.0309,No,0.6949,0.678,2.2627,6.7414,111.7,No,No,28,38.48,38.48,38.48,38.48,38.48,41.48,41.48,36.48,36.48,36.48,36.48,42.6,40.6,13,2,0.0169,19,0.322,0.1864,0.0339,2.2842,4,,1,6,2,0.0508,,,0.0169,0.0678
Jake Browning,CIN,QB,27,27,27,0.8519,22,0.8148,0.8462,0.0681,27,203,7.5185,0.4975,4.1852,142,No,No,7.8786,0.0045,No,0.5556,0.6667,2.2667,5.4615,67.1,No,No,7,6.12,6.12,6.12,6.12,6.12,6.12,6.12,4.12,4.12,4.12,4.12,8.15,6.15,5,,,8,0.2963,0.1111,0.1481,2.1875,,,1,,2,,,,,0.0741
Josh Johnson,WAS,QB,5,5,5,0.4,2,0.4,0.6667,-0.0352,5,28,5.6,0.5,5.6,24,Yes,Yes,2.1433,0.1713,Yes,0.6,0.4,3.06,8,58.8,No,No,1,1.12,1.12,1.12,1.12,1.12,1.12,1.12,1.12,1.12,1.12,1.12,1.4,1.4,5,,,3,0.6,0.2,,2.6333,,1,1,,,,,,,
Kyler Murray,ARZ,QB,31,31,31,0.8387,25,0.8065,0.8621,0.081,31,260,8.3871,0.4923,9.0323,162,No,No,8.9825,-0.0317,Yes,0.5484,0.7097,2.2548,5.5862,112.4,No,Yes,12,14.4,14.4,14.4,14.4,14.4,14.4,14.4,14.4,14.4,14.4,14.4,17,17,5,,,8,0.2581,0.0968,0.0968,2.1125,,,2,1,,,,,,0.0323
Jared Goff,DET,QB,158,156,156,0.7949,104,0.6667,0.8169,0.0692,156,1257,8.0577,0.4606,8.1218,1071,Yes,Yes,54.6461,-0.017,Yes,0.5641,0.6923,2.6058,7.5417,96.6,No,Yes,61,68.28,68.28,68.28,68.28,68.28,71.28,71.28,66.28,66.28,66.28,66.28,80.85,78.85,17,93,0.0769,52,0.3333,0.1218,0.0705,2.3885,5,6,6,5,2,,1,0.0064,0.0064,0.0128
Cam Ward,TEN,QB,89,89,89,0.7528,58,0.6517,0.7875,0.0311,89,524,5.8876,0.4656,6.5618,482,No,No,33.0542,-0.0456,No,0.5056,0.618,2.7281,5.9506,92.2,No,No,31,32.96,32.96,32.96,32.96,32.96,35.96,35.96,32.96,32.96,32.96,32.96,38.2,38.2,17,37,0.0562,29,0.3258,0.1236,0.1348,2.4483,3,5,4,3,,,,,,0.0225
Caleb Williams,CHI,QB,94,94,94,0.766,64,0.6809,0.8214,0.0608,94,539,5.734,0.3748,6.7447,562,Yes,No,31.92,-0.1906,No,0.5319,0.617,2.5436,6.6905,103.1,No,Yes,33,48.56,48.56,48.56,48.56,48.56,51.56,51.56,47.56,47.56,47.56,47.56,53.95,52.95,17,34,0.0532,14,0.1489,0.1064,0.0851,2.5,10,3,7,7,1,,,,,0.0319
Tanner McKee,PHI,QB,7,7,7,0.8571,6,0.8571,0.8571,0.1433,7,61,8.7143,0.1967,11.5714,63,No,No,2.2553,-0.3222,Yes,0.7143,0.8571,2.4429,9,142.6,No,No,5,6.44,6.44,6.44,6.44,6.44,6.44,6.44,6.44,6.44,6.44,6.44,7.05,7.05,4,,,,,0.1429,,,,,,1,,,,,,
Tua Tagovailoa,MIA,QB,60,60,60,0.7833,41,0.6833,0.7544,0.0068,60,482,8.0333,0.5581,7.45,390,No,Yes,17.6633,0.0223,No,0.6333,0.7,2.2817,6.7241,99.4,No,Yes,27,36.28,36.28,36.28,36.28,36.28,39.28,39.28,33.28,33.28,33.28,33.28,41.1,38.1,14,11,0.0333,19,0.3167,0.1667,0.05,2.1526,4,1,2,5,3,0.0167,,,,0.05
Brock Purdy,SF,QB,54,54,54,0.8889,42,0.7778,0.8846,0.1087,54,365,6.7593,0.3507,7.4074,295,Yes,No,20.6562,-0.0307,No,0.5741,0.6296,2.7926,5.6731,111.8,No,Yes,24,29.6,29.6,29.6,29.6,29.6,32.6,32.6,28.6,28.6,28.6,28.6,33.25,32.25,9,20,0.0741,19,0.3519,0.0556,0.2222,2.6789,3,,2,4,1,0.0185,,,0.0185,
Justin Fields,NYJ,QB,44,44,44,0.7727,30,0.6818,0.8421,0.0626,44,270,6.1364,0.3704,6.1364,225,No,No,17.2322,-0.028,No,0.4318,0.5909,2.8455,5.7692,84.5,Yes,Yes,13,10.8,10.8,10.8,10.8,10.8,10.8,10.8,10.8,10.8,10.8,10.8,13.5,13.5,9,10,0.0455,16,0.3636,0.0909,0.0682,2.6562,2,2,3,,,,,,,
Dillon Gabriel,CLV,QB,46,46,46,0.7174,28,0.6087,0.775,0.0072,46,262,5.6957,0.3779,5.587,235,No,No,15.0501,-0.0446,No,0.6522,0.5,2.4717,5.5952,82,No,No,9,17.48,17.48,17.48,17.48,17.48,17.48,17.48,16.48,16.48,16.48,16.48,20.1,19.1,10,10,0.0652,13,0.2826,0.1522,0.087,2.3154,3,4,2,2,1,,,,,0.0435
Zach Wilson,MIA,QB,1,1,1,1,1,1,1,0.3163,1,9,9,,9,9,No,No,0.1595,-0.1595,No,1,1,1.5,9,104.2,No,No,1,0.36,0.36,0.36,0.36,0.36,0.36,0.36,0.36,0.36,0.36,0.36,0.45,0.45,4,,,,,,,,,,,,,,,,,
