Name,Team,POS,playerStatsSnapsOffenseTotal,DropbacksTotal,AttemptsTotal,AttemptsCatchablePercentage,CompletionsTotal,CompletionsPercentage,CompletionsAdjustedPercentage,CompletionsOverExpected,OpportunitiesTotal,YardsTotal,YardsPerAttempt,YardsAfterCatchPercentage,YardsAdjustedNetPercentage,YardsAirTotal,PlayActionLabel,PressuredLabel,PressuredExpected,PressuredOverExpected,BlitzedLabel,TargetedReadFirstPercentage,ThrowAccuracyHighlyAccuratePercentage,AverageTimeToThrow,AverageDepthOfTarget,PasserRating,TargetsContestedLabel,TargetsCatchableLabel,playerStatsFirstDownsPassing,playerStatsFantasyPointsNonPpr,playerStatsFantasyPointsPpr,playerStatsFantasyPointsHalfPpr,playerStatsFantasyPointsHalfPprRb,playerStatsFantasyPointsPprTe,playerStatsFantasyPointsDraftKings,playerStatsFantasyPointsFanDuel,playerStatsFantasyPointsCbs,playerStatsFantasyPointsNfl,playerStatsFantasyPointsEspn,playerStatsFantasyPointsYahoo,playerStatsFantasyPointsFfpc,playerStatsFantasyPointsNffc,playerStatsGamesPlayed,DropsYardsLost,DropsPercentage,PressuredTotal,PressuredPercentage,OffTargetThrowAttemptsPercentage,TargetedReadCheckdownPercentage,AverageTimeToPressure,AttemptsInEndzoneTotal,IncompletionsThrownAway,IncompletionsBatted,TouchdownsTotal,InterceptionsTotal,RunPassOptionPercentage,DeepThrowAttemptsTotal,DeepThrowAttemptsPercentage,HeroThrowPercentage,TowThrowPercentage
Tyrod Taylor,NYJ,QB,16,16,16,0.75,10,0.625,0.7692,-0.025,16,94,5.875,0.4787,7.125,73,No,No,4.571,0.2143,No,0.625,0.6875,2.2313,5.6154,99.5,No,No,6,7.76,7.76,7.76,7.76,7.76,7.76,7.76,7.76,7.76,7.76,7.76,8.7,8.7,6,,,8,0.5,0.0625,0.0625,2.05,2,,3,1,,,,,,
Josh Allen,BUF,QB,77,77,77,0.8182,57,0.7403,0.8219,0.0487,77,564,7.3247,0.4504,6.0909,427,No,No,29.5871,-0.0985,No,0.4286,0.6494,2.8026,5.7703,86.7,No,No,32,27.56,27.56,27.56,27.56,27.56,30.56,30.56,24.56,24.56,24.56,24.56,33.2,30.2,17,15,0.039,22,0.2857,0.1299,0.1169,2.4955,2,1,2,2,3,,,,,0.039
Max Brosmer,MIN,QB,12,12,12,0.9167,7,0.5833,0.75,-0.0196,12,40,3.3333,0.325,-0.4167,77,No,No,3.2773,-0.0231,No,0.3333,0.5833,2.1583,6.4167,29.9,Yes,Yes,,0.6,0.6,0.6,0.6,0.6,0.6,0.6,-0.4,-0.4,-0.4,-0.4,1,,7,26,0.1667,3,0.25,0.0833,,2,,,,,1,,,,,
Drew Lock,SEA,QB,1,1,1,1,1,1,1,0.181,1,11,11,0.5455,11,5,No,No,0.4701,0.5299,No,,1,3.3,5,112.5,No,No,1,0.44,0.44,0.44,0.44,0.44,0.44,0.44,0.44,0.44,0.44,0.44,0.55,0.55,5,,,1,1,,1,3.2,,,,,,,,,,
Shedeur Sanders,CLV,QB,45,45,45,0.8,30,0.6667,0.85,0.0364,45,317,7.0444,0.7319,6.0444,157,No,No,17.0467,-0.0233,No,0.5778,0.6667,2.7711,3.6829,77.7,No,No,10,11.68,11.68,11.68,11.68,11.68,14.68,14.68,10.68,10.68,10.68,10.68,14.85,13.85,8,14,0.0889,16,0.3556,0.0889,0.0667,2.475,,2,2,,1,,,,,0.0444
Davis Mills,HST,QB,23,23,23,0.913,15,0.6522,0.8261,0.0608,23,190,8.2609,0.4684,8.2609,145,No,No,6.0674,-0.0899,Yes,0.7826,0.6957,2.1043,6.3043,90.9,No,Yes,10,7.6,7.6,7.6,7.6,7.6,7.6,7.6,7.6,7.6,7.6,7.6,9.5,9.5,6,7,0.1739,4,0.1739,0.087,,1.9,1,,,,,0.087,1,0.0435,,
Malik Willis,GB,QB,5,5,5,0.8,4,0.8,0.8,0.0348,5,24,4.8,0.5417,8.8,30,No,No,1.5223,0.0955,Yes,0.6,0.8,2.34,6,126.3,No,Yes,2,4.96,4.96,4.96,4.96,4.96,4.96,4.96,4.96,4.96,4.96,4.96,5.2,5.2,4,,,2,0.4,0.2,,2.25,2,,,1,,,,,,
Riley Leonard,IND,QB,9,9,9,1,7,0.7778,0.8889,0.0994,9,53,5.8889,0.8113,5.8889,31,No,No,2.1604,-0.0178,No,0.8889,0.8889,1.9667,3.4444,91.2,No,Yes,3,0.82,0.82,0.82,0.82,0.82,0.82,-0.18,-0.18,-0.18,-0.18,-0.18,1.35,0.35,5,11,0.1111,2,0.2222,,,2.55,,,,,,,,,,
Jalen Hurts,PHI,QB,55,55,55,0.8545,41,0.7455,0.8269,0.0456,55,390,7.0909,0.5282,7.3636,274,No,No,17.6375,-0.048,No,0.6,0.6182,2.4327,5.0741,104.4,No,Yes,24,25.6,25.6,25.6,25.6,25.6,28.6,27.6,23.6,23.6,23.6,23.6,29.5,27.5,16,5,0.0364,15,0.2727,0.0909,0.0909,2.44,,1,1,3,1,,,,0.0182,0.0182
Cooper Rush,BLT,QB,15,15,15,0.8,9,0.6,0.7857,0.0229,15,100,6.6667,0.49,0.6667,92,No,No,4.6875,0.0875,No,0.5333,0.6,2.3867,6.1333,40.3,No,Yes,5,2,2,2,2,2,2,2,,,,,3,1,4,9,0.1333,6,0.4,0.1333,0.1333,2.1833,,,,,2,0.0667,,,,0.0667
Tyler Shough,NO,QB,61,61,61,0.9508,54,0.8852,0.9167,0.1487,61,575,9.4262,0.4296,9.7541,353,No,No,18.7198,-0.1266,No,0.6557,0.7705,2.3541,5.8833,111.4,No,Yes,33,27,27,27,27,27,30,30,27,27,27,27,32.75,32.75,11,-9,0.0164,11,0.1803,0.0164,0.082,2.4727,,1,,1,,,,,0.0164,0.0328
Trey Lance,LAC,QB,6,6,6,0.6667,2,0.3333,0.75,-0.0043,6,23,3.8333,0.3913,-3.6667,26,No,Yes,2.0095,0.3317,Yes,0.6667,0.6667,2.5167,4.3333,6.3,No,No,1,-0.08,-0.08,-0.08,-0.08,-0.08,-0.08,-0.08,-1.08,-1.08,-1.08,-1.08,0.15,-0.85,4,2,0.1667,4,0.6667,,,1.925,,,,,1,,,,,0.1667
J.J. McCarthy,MIN,QB,36,36,36,0.8056,26,0.7222,0.8182,0.0521,36,289,8.0278,0.5017,7.8889,213,No,No,13.0061,-0.0279,Yes,0.6389,0.5833,2.6694,6.2647,102.7,No,Yes,15,18.56,18.56,18.56,18.56,18.56,18.56,18.56,17.56,17.56,17.56,17.56,21.45,20.45,10,7,0.0278,12,0.3333,0.0833,0.0556,2.625,2,,2,2,1,,,,,0.0278
Patrick Mahomes,KC,QB,71,71,71,0.7887,45,0.6338,0.8594,0.0736,71,365,5.1408,0.5233,5.493,320,No,No,22.5405,0.0346,No,0.6479,0.662,2.4155,4.9231,96.3,No,Yes,24,42.6,43.6,43.1,43.6,43.6,46.6,46.1,40.6,40.6,40.6,40.1,47.25,44.25,14,68,0.1408,25,0.3521,0.0986,0.0141,2.392,7,4,2,8,3,,,,0.0141,0.0282
Aidan O'Connell,LV,QB,2,2,2,0.5,1,0.5,1,0.1202,2,3,1.5,0.6667,1.5,1,No,Yes,0.6986,0.1507,No,,0.5,2.6,0.5,56.3,No,No,,0.12,0.12,0.12,0.12,0.12,0.12,0.12,0.12,0.12,0.12,0.12,0.15,0.15,1,,,1,0.5,,,2.3,,,,,,,,,,
Matthew Stafford,LA,QB,101,101,101,0.8515,73,0.7228,0.8061,0.031,101,584,5.7822,0.3767,5.4356,569,No,No,35.1585,-0.0214,No,0.5149,0.6139,2.5931,5.8061,90.5,No,Yes,37,40.36,40.36,40.36,40.36,40.36,43.36,43.36,37.36,37.36,37.36,37.36,46.2,43.2,17,45,0.0594,33,0.3267,0.1089,0.1683,2.4545,7,,3,5,3,0.0198,,,,0.0495
Drake Maye,NE,QB,89,89,89,0.8427,67,0.7528,0.8452,0.0833,89,653,7.3371,0.4319,7.5056,521,Yes,No,33.6364,-0.0409,Yes,0.5618,0.7528,2.7652,6.1294,101.9,No,Yes,36,37.32,38.32,37.82,38.32,38.32,41.32,40.82,37.32,37.32,37.32,36.82,44.85,43.85,17,25,0.0449,30,0.3371,0.1011,0.1236,2.6833,3,1,3,3,1,,,,0.0112,0.0225
Geno Smith,LV,QB,80,80,80,0.7875,58,0.725,0.9,0.1271,80,627,7.8375,0.5183,7.0875,426,No,No,28.1337,-0.0142,No,0.4875,0.6,2.6138,5.9583,99.3,No,No,34,45.08,45.08,45.08,45.08,45.08,48.08,48.08,41.08,41.08,41.08,41.08,51.35,47.35,15,31,0.0625,27,0.3375,0.1,0.0875,2.3963,5,3,5,6,4,,,,0.0125,0.0375
Justin Herbert,LAC,QB,105,105,105,0.8095,73,0.6952,0.8041,0.0569,105,729,6.9429,0.3471,5.8,682,No,Yes,35.2103,0.0456,No,0.5619,0.6762,2.519,6.7921,82.6,No,Yes,34,37.16,37.16,37.16,37.16,37.16,40.16,40.16,33.16,33.16,33.16,33.16,44.45,40.45,16,35,0.0476,40,0.381,0.1238,0.0762,2.34,7,3,1,3,4,,1,0.0095,,0.0095
Tyson Bagent,CHI,QB,1,1,1,1,1,1,1,0.3547,1,22,22,0.4545,22,12,No,No,0.3838,-0.3838,No,1,1,2.8,12,118.8,No,No,1,0.88,0.88,0.88,0.88,0.88,0.88,0.88,0.88,0.88,0.88,0.88,1.1,1.1,3,,,,,,,,,,,,,,,,,
Tyler Huntley,BLT,QB,14,14,14,0.7857,10,0.7143,0.7692,-0.0433,14,71,5.0714,0.3521,5.0714,56,No,Yes,5.2697,-0.0193,No,0.5,0.3571,2.7571,4,82.7,No,Yes,3,2.84,2.84,2.84,2.84,2.84,2.84,2.84,2.84,2.84,2.84,2.84,3.55,3.55,5,,,5,0.3571,0.1429,0.2143,2.82,,,1,,,,,,,
Marcus Mariota,WAS,QB,29,29,29,0.8966,22,0.7586,0.8621,0.1454,29,248,8.5517,0.3185,9.931,233,Yes,No,7.9691,-0.1024,No,0.6897,0.6552,2.1655,8.0345,123.9,Yes,Yes,12,17.92,17.92,17.92,17.92,17.92,17.92,17.92,17.92,17.92,17.92,17.92,20.4,20.4,11,19,0.1034,5,0.1724,0.1034,0.0345,2.18,3,,,2,,,,,,0.0345
Carson Wentz,MIN,QB,29,29,29,0.7586,19,0.6552,0.875,0.1119,29,215,7.4138,0.4047,2.7586,160,No,Yes,8.9049,0.2102,Yes,0.4828,0.6207,2.3552,6.4,48,No,Yes,9,5.6,5.6,5.6,5.6,5.6,5.6,5.6,2.6,2.6,2.6,2.6,7.75,4.75,5,3,0.069,15,0.5172,0.069,0.0345,2.1267,,2,3,,3,0.0345,,,,0.069
Shane Buechele,KC,QB,4,4,4,0.5,2,0.5,1,0.1535,4,4,1,-0.75,1,7,No,No,1.2247,-0.3062,No,0.25,0.25,2.35,3.5,56.3,No,Yes,1,0.16,0.16,0.16,0.16,0.16,0.16,0.16,0.16,0.16,0.16,0.16,0.2,0.2,1,,,,,,,,,,2,,,,,,,
