Name,Team,POS,playerStatsSnapsOffenseTotal,DropbacksTotal,AttemptsTotal,AttemptsInEndzoneTotal,CompletionsOverExpected,OpportunitiesTotal,IncompletionsThrownAway,YardsAirTotal,PlayActionLabel,PressuredLabel,PressuredExpected,PressuredOverExpected,BlitzedLabel,OffTargetThrowAttemptsPercentage,DeepThrowAttemptsTotal,DeepThrowAttemptsPercentage,TargetedReadFirstPercentage,AverageTimeToThrow,AverageDepthOfTarget,PasserRating,TargetsContestedLabel,TargetsCatchableLabel,playerStatsGamesPlayed,AttemptsCatchablePercentage,PressuredTotal,PressuredPercentage,HeroThrowPercentage,ThrowAccuracyHighlyAccuratePercentage,AverageTimeToPressure,CompletionsTotal,CompletionsPercentage,CompletionsAdjustedPercentage,DropsYardsLost,DropsPercentage,YardsTotal,YardsPerAttempt,YardsAfterCatchPercentage,YardsAdjustedNetPercentage,TouchdownsTotal,playerStatsFirstDownsPassing,playerStatsFantasyPointsNonPpr,playerStatsFantasyPointsPpr,playerStatsFantasyPointsHalfPpr,playerStatsFantasyPointsHalfPprRb,playerStatsFantasyPointsPprTe,playerStatsFantasyPointsDraftKings,playerStatsFantasyPointsFanDuel,playerStatsFantasyPointsCbs,playerStatsFantasyPointsNfl,playerStatsFantasyPointsEspn,playerStatsFantasyPointsYahoo,playerStatsFantasyPointsFfpc,playerStatsFantasyPointsNffc,InterceptionsTotal,TowThrowPercentage,IncompletionsBatted
Teddy Bridgewater,TB,QB,2,2,2,1,-0.3893,2,1,25,No,No,0.6814,-0.3407,No,0.5,1,0.5,0.5,2.55,25,39.6,No,No,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kenny Pickett,LV,QB,2,2,2,,-0.427,2,,62,Yes,No,0.8021,0.0989,No,,1,0.5,1,2.9,31,39.6,Yes,Yes,6,1,1,0.5,0.5,0.5,2.3,,,,,,,,,,,,,,,,,,,,,,,,,,,
Lamar Jackson,BLT,QB,23,23,23,4,0.1895,23,,608,No,Yes,11.9669,-0.1725,Yes,0.3478,19,0.8261,0.8261,3.5913,26.4348,137.2,Yes,Yes,13,0.6522,8,0.3478,0.2174,0.3913,2.875,12,0.5217,0.6087,54,0.087,375,16.3043,0.1787,20.6522,5,12,35,35,35,35,35,38,38,35,35,35,35,38.75,38.75,,,
Chris Oladokun,KC,QB,3,3,3,,-0.4655,3,,65,No,Yes,1.2031,0.2656,No,0.6667,2,0.6667,1,2.9,21.6667,39.6,No,No,3,,2,0.6667,,,2.8,,,,,,,,,,,,,,,,,,,,,,,,,,,
Jayden Daniels,WAS,QB,11,11,11,2,0.0296,11,,277,Yes,No,3.9975,0.0002,No,0.5455,10,0.9091,0.8182,2.6818,25.1818,90.9,No,Yes,7,0.4545,4,0.3636,0.0909,0.2727,2.025,5,0.4545,0.4545,,,130,11.8182,0.1846,11.3636,2,5,12.2,12.2,12.2,12.2,12.2,12.2,12.2,11.2,11.2,11.2,11.2,13.5,12.5,1,0.0909,
Brandon Allen,TEN,QB,3,3,3,,-0.5421,3,,54,Yes,Yes,1.1169,-0.039,No,1,1,0.3333,1,2.7333,18,39.6,No,No,1,,1,0.3333,,,2.4,,,,,,,,,,,,,,,,,,,,,,,,,,0.3333,
Andy Dalton,CAR,QB,4,4,4,,0.1149,4,1,53,No,Yes,1.8975,0.2756,No,0.25,,,0.5,3.325,17.6667,85.4,No,Yes,4,0.5,3,0.75,,0.5,3.1333,2,0.5,0.6667,,,40,10,0.125,10,,2,1.6,1.6,1.6,1.6,1.6,1.6,1.6,1.6,1.6,1.6,1.6,2,2,,,
Sam Darnold,SEA,QB,37,37,37,3,0.0551,37,2,792,No,No,15.7013,-0.1541,Yes,0.2973,18,0.4865,0.7568,3.0351,23.2941,79.7,Yes,Yes,17,0.5676,10,0.2703,0.2432,0.4595,2.85,17,0.4595,0.5294,44,0.027,461,12.4595,0.1974,9.2162,3,17,26.44,26.44,26.44,26.44,26.44,29.44,29.44,22.44,22.44,22.44,22.44,31.05,27.05,4,0.0811,1
Trevor Lawrence,JAX,QB,64,64,64,2,0.0304,64,2,1435,No,No,31.0492,-0.0945,No,0.3125,36,0.5625,0.7344,3.3875,23.1452,74.8,No,Yes,17,0.5781,25,0.3906,0.125,0.3125,2.72,28,0.4375,0.4918,40,0.0312,657,10.2656,0.0807,9.5625,,28,25.28,25.28,25.28,25.28,25.28,28.28,28.28,24.28,24.28,24.28,24.28,31.85,30.85,1,0.0469,
Bo Nix,DEN,QB,54,54,54,4,0.0889,54,,1366,Yes,No,25.3827,-0.2478,No,0.3889,36,0.6667,0.8519,3.3,25.2963,98.9,No,Yes,17,0.5926,12,0.2222,0.2963,0.4074,2.7833,25,0.463,0.537,94,0.0741,723,13.3889,0.2102,12.2778,6,25,48.92,48.92,48.92,48.92,48.92,51.92,51.92,44.92,44.92,44.92,44.92,56.15,52.15,4,0.0741,
