Name,Team,POS,playerStatsSnapsOffenseTotal,DropbacksTotal,AttemptsTotal,AttemptsCatchablePercentage,AttemptsInEndzoneTotal,CompletionsTotal,CompletionsPercentage,CompletionsAdjustedPercentage,CompletionsOverExpected,OpportunitiesTotal,IncompletionsThrownAway,DropsYardsLost,DropsPercentage,YardsTotal,YardsPerAttempt,YardsAfterCatchPercentage,YardsAdjustedNetPercentage,YardsAirTotal,InterceptionsTotal,SackedTotal,SackedFaultTotal,SackedPressuredPercentage,SackedYardsLost,SackedPercentage,ScramblesTotal,ScramblesYards,PlayActionLabel,PressuredLabel,PressuredTotal,PressuredPercentage,PressuredExpected,PressuredOverExpected,BlitzedLabel,OffTargetThrowAttemptsPercentage,DeepThrowAttemptsTotal,DeepThrowAttemptsPercentage,TowThrowPercentage,HeroThrowPercentage,TargetedReadFirstPercentage,TargetedReadCheckdownPercentage,ThrowAccuracyHighlyAccuratePercentage,AverageTimeToThrow,AverageTimeToSack,AverageTimeToScramble,AverageTimeToPressure,AverageDepthOfTarget,PasserRating,TargetsContestedLabel,TargetsCatchableLabel,playerStatsFirstDownsPassing,playerStatsFantasyPointsNonPpr,playerStatsFantasyPointsPpr,playerStatsFantasyPointsHalfPpr,playerStatsFantasyPointsHalfPprRb,playerStatsFantasyPointsPprTe,playerStatsFantasyPointsDraftKings,playerStatsFantasyPointsFanDuel,playerStatsFantasyPointsCbs,playerStatsFantasyPointsNfl,playerStatsFantasyPointsEspn,playerStatsFantasyPointsYahoo,playerStatsFantasyPointsFfpc,playerStatsFantasyPointsNffc,playerStatsGamesPlayed,IncompletionsBatted,TouchdownsTotal,ScramblesTouchdowns,RunPassOptionPercentage
Justin Herbert,LAC,QB,162,162,17,0.619,13,55,0.5238,0.6897,0.0068,162,13,43,0.0476,731,6.9619,0.3666,3.7586,954,2,40,9,0.2469,-236,0.2469,17,125,Yes,Yes,162,1,50.5282,0.6881,No,0.1905,18,0.1714,0.0286,0.0952,0.4,0.1524,0.4095,3.3648,3.5225,4.9471,2.5352,10.4835,89,No,Yes,29,66.74,66.74,66.74,66.74,66.74,72.74,71.74,63.74,63.74,63.74,63.74,74.05,71.05,17,1,7,,0.0062
Patrick Mahomes,KC,QB,199,199,23,0.5214,15,63,0.45,0.6355,-0.0733,199,24,46,0.0357,744,5.3143,0.4153,3.0114,1015,3,36,14,0.1809,-239,0.1809,23,208,No,Yes,199,1,76.6227,0.615,No,0.2429,11,0.0786,0.0571,0.0214,0.2214,0.15,0.2857,3.7479,3.6111,4.9826,2.7201,9.1228,71.8,No,No,39,85.76,86.76,86.26,86.76,86.76,92.76,92.26,83.76,83.76,83.76,83.26,94.2,91.2,16,2,8,1,
Matthew Stafford,LA,QB,141,141,2,0.4865,12,48,0.4324,0.5604,-0.1477,141,14,55,0.027,546,4.9189,0.4707,1.0647,881,5,28,3,0.1986,-213,0.1986,2,27,No,Yes,141,1,49.3638,0.6499,No,0.3333,14,0.1261,0.0811,0.0541,0.4505,0.0991,0.3514,3.1532,3.2143,4.25,2.4745,9.375,45.9,No,No,20,25.54,25.54,25.54,25.54,25.54,28.54,26.54,18.54,18.54,18.54,18.54,31,24.0,16,1,2,,
Aidan O'Connell,LV,QB,70,70,3,0.5263,3,26,0.4561,0.6222,-0.0718,70,8,7,0.0351,322,5.6491,0.3323,3.806,481,1,10,4,0.1429,-82,0.1429,3,26,No,Yes,70,1,28.0694,0.599,No,0.2807,8,0.1404,0.0526,0.0877,0.3333,0.0702,0.3333,3.4298,3.28,4.8333,2.5514,10.6042,73.9,No,Yes,16,26.48,26.48,26.48,26.48,26.48,29.48,29.48,25.48,25.48,25.48,25.48,29.7,28.7,9,1,3,,
Hendon Hooker,DET,QB,4,4,1,,,,,,-0.7694,4,,,,,,,-3,11,,1,,0.25,-9,0.25,1,2,Yes,Yes,4,1,1.0609,0.7348,No,1,,,,,0.5,,,3.65,2.4,5.6,3.125,5.5,39.6,No,No,,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,3,,,,
Marcus Mariota,WAS,QB,11,11,3,0.4,,1,0.2,0.25,-0.207,11,1,,,25,5,0.2,-0.5,87,,3,2,0.2727,-29,0.2727,3,14,No,Yes,11,1,3.4025,0.6907,Yes,0.4,3,0.6,,0.2,0.2,,0.4,4.52,4.5667,6.3667,3.0818,21.75,47.9,No,No,1,2.4,2.4,2.4,2.4,2.4,2.4,2.4,2.4,2.4,2.4,2.4,2.65,2.65,3,,,,
Tyler Huntley,MIA,QB,65,65,13,0.5385,2,17,0.4359,0.6552,-0.0081,65,7,21,0.0513,185,4.7436,0.2432,0.3846,337,2,13,8,0.2,-75,0.2,13,91,No,Yes,65,1,21.0747,0.6758,No,0.2051,6,0.1538,0.0769,,0.2564,0.1026,0.3333,3.7077,3.2231,4.5923,2.4292,10.5312,36.8,No,No,9,14.5,14.5,14.5,14.5,14.5,14.5,14.5,12.5,12.5,12.5,12.5,16.35,14.35,5,,,,0.0308
Aaron Rodgers,NYJ,QB,185,184,13,0.542,13,59,0.4504,0.5893,-0.1091,184,16,43,0.0534,807,6.1603,0.5415,4.0058,1046,,40,10,0.2174,-302,0.2174,13,98,Yes,Yes,184,1,68.7698,0.6263,No,0.2977,16,0.1221,0.0153,0.0382,0.3282,0.1603,0.3664,3.6183,3.3225,5.2846,2.5543,9.2566,88.2,No,Yes,39,76.08,76.08,76.08,76.08,76.08,79.08,77.08,74.08,74.08,74.08,74.08,84.15,82.15,17,2,9,,
Mason Rudolph,TEN,QB,95,95,13,0.5775,4,34,0.4789,0.6491,-0.0871,95,7,6,0.0423,344,4.8451,0.4041,4.2439,442,1,11,5,0.1158,-71,0.1158,13,93,No,Yes,95,1,31.2863,0.6707,No,0.2394,5,0.0704,0.0141,0.0282,0.3662,0.1408,0.3521,3.1296,3.3364,4.2462,2.5137,7.5625,84.5,No,No,19,52.06,52.06,52.06,52.06,52.06,55.06,55.06,51.06,51.06,51.06,51.06,55.5,54.5,8,,6,1,
Baker Mayfield,TB,QB,158,158,36,0.6627,11,50,0.6024,0.6711,-0.0191,158,4,,0.012,683,8.2289,0.4012,3.2951,786,4,39,11,0.2468,-241,0.2468,36,318,No,Yes,158,1,46.2591,0.7072,No,0.241,14,0.1687,0.0482,0.0602,0.3253,0.2169,0.4578,3.806,3.841,5.0278,2.6354,10.0769,94.6,No,No,34,88.12,88.12,88.12,88.12,88.12,94.12,93.12,83.12,83.12,83.12,83.12,94.95,89.95,17,1,7,1,0.0063
Carson Wentz,KC,QB,7,7,1,0.5,,1,0.5,0.5,-0.187,7,,,,23,11.5,0.2174,0.1667,21,,4,2,0.5714,-22,0.5714,1,2,No,Yes,7,1,0.5606,0.9199,No,0.5,,,,0.5,0.5,,,2.2,3.25,4.9,2.1714,10.5,91.7,No,No,1,1.12,1.12,1.12,1.12,1.12,1.12,1.12,1.12,1.12,1.12,1.12,1.35,1.35,3,,,,
Dak Prescott,DAL,QB,95,95,4,0.6143,3,39,0.5571,0.678,-0.0108,95,7,3,0.0143,443,6.3286,0.4289,4.2418,567,1,21,3,0.2211,-112,0.2211,4,41,No,Yes,95,1,32.2308,0.6607,No,0.2286,12,0.1714,0.0429,0.0286,0.4286,0.1429,0.3286,3.2443,3.3857,5.275,2.4505,9.1452,92.7,No,No,21,39.82,39.82,39.82,39.82,39.82,42.82,41.82,37.82,37.82,37.82,37.82,44.25,42.25,8,1,5,,0.0105
Deshaun Watson,CLV,QB,125,125,18,0.6216,3,36,0.4865,0.6719,-0.0143,125,7,66,0.0946,346,4.6757,0.3092,1.6355,731,,33,7,0.264,-191,0.264,18,116,No,Yes,125,1,40.1312,0.679,Yes,0.2432,13,0.1757,0.0405,0.0405,0.4595,0.0946,0.3649,3.7189,3.5788,5.3444,2.452,11.0758,66.6,No,Yes,15,27.44,27.44,27.44,27.44,27.44,33.44,31.44,25.44,25.44,25.44,25.44,30.9,28.9,7,1,1,,0.008
Spencer Rattler,NO,QB,101,100,12,0.5455,1,26,0.3939,0.64,-0.0512,100,12,52,0.0909,307,4.6515,0.3453,0.9205,535,2,22,10,0.22,-136,0.22,12,105,No,Yes,100,1,31.6271,0.6837,Yes,0.2273,9,0.1364,0.0455,0.0455,0.303,0.1667,0.303,3.353,3.3136,4.8083,2.444,10.3519,41.7,No,Yes,13,17.78,17.78,17.78,17.78,17.78,23.78,20.78,12.78,12.78,12.78,12.78,20.85,15.85,7,,,,
Tommy DeVito,NYG,QB,23,23,4,0.6154,1,7,0.5385,0.8,0.0382,23,3,2,0.0769,47,3.6154,0.4255,0.8421,63,,6,1,0.2609,-31,0.2609,4,31,No,Yes,23,1,5.6277,0.7553,No,0.1538,1,0.0769,,,0.4615,0.2308,0.4615,3.0846,2.8833,4.85,2.5174,6.3,62,No,No,3,4.98,4.98,4.98,4.98,4.98,4.98,4.98,4.98,4.98,4.98,4.98,5.45,5.45,3,,,,
Joe Milton,NE,QB,11,11,2,0.4444,,4,0.4444,0.5714,0.0599,11,2,,,79,8.7778,0.2911,11,141,,,,,,,2,13,No,Yes,11,1,6.2832,0.4288,Yes,0.3333,4,0.4444,,0.2222,0.2222,0.1111,0.2222,4.6222,,3.65,2.5636,20.1429,112.7,No,No,3,8.46,8.46,8.46,8.46,8.46,8.46,8.46,8.46,8.46,8.46,8.46,9.25,9.25,1,,1,,
Tim Boyle,NYG,QB,10,10,1,0.2857,1,2,0.2857,0.4,-0.1231,10,1,,,30,4.2857,0.1667,2.1111,107,,2,1,0.2,-11,0.2,1,4,No,Yes,10,1,2.8246,0.7175,No,0.4286,2,0.2857,0.1429,,0.5714,,0.1429,2.9143,4.75,4.9,2.99,17.8333,44.9,No,No,1,1.6,1.6,1.6,1.6,1.6,1.6,1.6,1.6,1.6,1.6,1.6,1.9,1.9,3,,,,
Mitchell Trubisky,BUF,QB,6,6,1,0.8,,4,0.8,1,0.2143,6,1,,,36,7.2,0.3333,11.2,24,,,,,,,1,8,No,Yes,6,1,1.8328,0.6945,Yes,,,,,,0.4,,0.6,2.7,,5.7,2.5667,6,136.3,No,No,3,6.24,6.24,6.24,6.24,6.24,6.24,6.24,6.24,6.24,6.24,6.24,6.6,6.6,9,,1,,
Jordan Love,GB,QB,145,144,12,0.5847,7,57,0.4831,0.6989,0.0207,144,16,44,0.0678,860,7.2881,0.443,4.6591,1088,5,14,3,0.0972,-100,0.0972,12,85,No,Yes,144,1,59.0539,0.5899,No,0.1949,24,0.2034,0.0424,0.0085,0.3644,0.161,0.322,3.4763,3.3571,5.3583,2.6201,11.102,66.3,No,Yes,34,53.9,53.9,53.9,53.9,53.9,56.9,56.9,48.9,48.9,48.9,48.9,62.5,57.5,15,4,4,,0.0069
Bryce Young,CAR,QB,161,161,30,0.4951,4,41,0.3981,0.5897,-0.0731,161,24,68,0.0485,659,6.3981,0.4097,3.916,936,1,28,6,0.1739,-181,0.1739,30,205,No,Yes,161,1,53.0209,0.6707,No,0.2427,17,0.165,0.0194,0.0583,0.3883,0.0777,0.2913,3.5592,3.7,5.3067,2.4441,11.8481,70.8,No,Yes,32,90.86,90.86,90.86,90.86,90.86,96.86,95.86,88.86,88.86,88.86,88.86,97.45,95.45,14,,4,5,
