Name,Team,POS,playerStatsSnapsOffenseTotal,DropbacksTotal,AttemptsTotal,AttemptsCatchablePercentage,AttemptsInEndzoneTotal,CompletionsTotal,CompletionsPercentage,CompletionsAdjustedPercentage,CompletionsOverExpected,OpportunitiesTotal,IncompletionsThrownAway,DropsYardsLost,DropsPercentage,YardsTotal,YardsPerAttempt,YardsAfterCatchPercentage,YardsAdjustedNetPercentage,YardsAirTotal,InterceptionsTotal,SackedTotal,SackedFaultTotal,SackedPressuredPercentage,SackedYardsLost,SackedPercentage,ScramblesTotal,ScramblesYards,PlayActionLabel,PressuredLabel,PressuredTotal,PressuredPercentage,PressuredExpected,PressuredOverExpected,BlitzedLabel,OffTargetThrowAttemptsPercentage,DeepThrowAttemptsTotal,DeepThrowAttemptsPercentage,TowThrowPercentage,HeroThrowPercentage,TargetedReadFirstPercentage,TargetedReadCheckdownPercentage,ThrowAccuracyHighlyAccuratePercentage,AverageTimeToThrow,AverageTimeToSack,AverageTimeToScramble,AverageTimeToPressure,AverageDepthOfTarget,PasserRating,TargetsContestedLabel,TargetsCatchableLabel,playerStatsFirstDownsPassing,playerStatsFantasyPointsNonPpr,playerStatsFantasyPointsPpr,playerStatsFantasyPointsHalfPpr,playerStatsFantasyPointsHalfPprRb,playerStatsFantasyPointsPprTe,playerStatsFantasyPointsDraftKings,playerStatsFantasyPointsFanDuel,playerStatsFantasyPointsCbs,playerStatsFantasyPointsNfl,playerStatsFantasyPointsEspn,playerStatsFantasyPointsYahoo,playerStatsFantasyPointsFfpc,playerStatsFantasyPointsNffc,playerStatsGamesPlayed,IncompletionsBatted,TouchdownsTotal,ScramblesTouchdowns,RunPassOptionPercentage
Jalen Hurts,PHI,QB,154,154,30,0.5698,7,42,0.4884,0.7213,0.0421,154,24,6,0.0233,483,5.6163,0.3271,2.1532,666,1,38,9,0.2468,-271,0.2468,30,300,No,Yes,154,1,52.9133,0.6564,Yes,0.1395,13,0.1512,0.0233,0.0581,0.2791,0.1047,0.3721,4.1419,3.9026,4.9767,2.6688,10.7419,80.7,No,No,24,64.32,64.32,64.32,64.32,64.32,70.32,66.32,59.32,59.32,59.32,59.32,69.15,64.15,15,,5,,0.026
Cooper Rush,DAL,QB,73,73,2,0.6034,7,26,0.4483,0.58,-0.1217,73,4,29,0.0517,275,4.7414,0.4291,3.0282,493,1,13,1,0.1781,-95,0.1781,2,7,Yes,Yes,73,1,22.6054,0.6903,Yes,0.2586,6,0.1034,0.069,0.0345,0.4138,0.1034,0.3966,2.8345,2.7462,3.75,2.2671,10.0566,75,No,No,15,25.7,25.7,25.7,25.7,25.7,25.7,24.7,23.7,23.7,23.7,23.7,28.45,26.45,12,1,4,,
Davis Mills,HST,QB,8,8,1,0.6,1,3,0.6,0.75,0.1246,8,,,,51,10.2,0.1765,4.7143,52,,2,,0.25,-18,0.25,1,9,No,Yes,8,1,2.2985,0.7127,No,0.2,1,0.2,,,0.2,0.4,0.2,3.24,2.5,3.2,2.275,10.8,94.6,No,No,1,2.94,2.94,2.94,2.94,2.94,2.94,2.94,2.94,2.94,2.94,2.94,3.45,3.45,4,,,,
Malik Willis,GB,QB,21,21,7,0.7143,,5,0.7143,0.8333,0.3287,21,1,,,134,19.1429,0.1642,7.9286,125,,7,4,0.3333,-23,0.3333,7,76,No,Yes,21,1,3.1351,0.8507,No,0.1429,3,0.4286,,0.1429,0.8571,,0.2857,3.1714,5.7143,5.1429,2.8619,20.8333,113.7,No,Yes,4,12.96,12.96,12.96,12.96,12.96,12.96,12.96,12.96,12.96,12.96,12.96,14.3,14.3,7,,,,
Will Levis,TEN,QB,127,127,17,0.6,3,36,0.5143,0.6949,-0.0118,127,7,5,0.0714,376,5.3714,0.359,0.5545,620,3,40,16,0.315,-220,0.315,17,119,No,Yes,127,1,28.7635,0.7735,No,0.2571,13,0.1857,0.1143,0.0286,0.4714,0.1714,0.3857,2.9571,3.365,4.3471,2.5512,10.4194,59,No,Yes,18,28.94,28.94,28.94,28.94,28.94,34.94,31.94,22.94,22.94,22.94,22.94,32.7,26.7,12,1,2,,
Desmond Ridder,LV,QB,36,35,4,0.619,1,12,0.5714,0.8125,0.0463,35,4,1,0.0476,145,6.9048,0.5034,3.2581,106,,10,3,0.2857,-64,0.2857,4,19,No,Yes,35,1,8.6118,0.7539,Yes,0.1905,2,0.0952,,0.0476,0.381,0.0952,0.5238,2.9524,3.06,3.725,2.2714,6.5294,94.3,No,No,6,9.7,9.7,9.7,9.7,9.7,9.7,7.7,7.7,7.7,7.7,7.7,11.15,9.15,5,,1,,
Trey Lance,DAL,QB,16,16,2,0.5,1,5,0.5,0.5556,-0.1008,16,,,,52,5.2,0.4615,-1.1429,121,1,4,2,0.25,-23,0.25,2,9,No,Yes,16,1,4.3383,0.7289,No,0.4,2,0.2,0.1,,0.6,0.1,0.5,3.09,4.075,7.3,2.3375,12.1,25.8,No,No,3,1.98,1.98,1.98,1.98,1.98,1.98,1.98,0.98,0.98,0.98,0.98,2.5,1.5,4,,,,
Kenny Pickett,PHI,QB,18,17,2,0.6364,,6,0.5455,0.6667,-0.0531,17,1,,,62,5.6364,0.2419,1.9333,80,,4,1,0.2353,-33,0.2353,2,9,No,Yes,17,1,4.5668,0.7314,No,0.1818,2,0.1818,,,0.2727,0.0909,0.2727,2.9818,2.425,4.85,2.3941,8,71,Yes,Yes,2,3.38,3.38,3.38,3.38,3.38,3.38,3.38,3.38,3.38,3.38,3.38,4,4,5,,,,
Mike White,BUF,QB,2,2,2,,,,,,-0.6364,2,,,,,,,,11,,,,,,,,,No,Yes,2,1,1.0091,0.4954,No,0.5,,,,,,,,3.5,,,3,5.5,39.6,No,No,,,,,,,,,,,,,,,1,,,,
Chris Oladokun,KC,QB,2,2,1,,,,,,,2,,,,,,,-5,,,1,1,0.5,-5,0.5,1,5,No,Yes,2,1,,1,No,,,,,,,,,,2.2,8.4,1.7,,,No,No,,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,1,,,,
Dorian Thompson-Robinson,CLV,QB,35,35,4,0.3043,2,4,0.1739,0.2857,-0.4121,35,9,,,51,2.2174,0.3529,-2.7742,142,2,8,4,0.2286,-47,0.2286,4,20,No,Yes,35,1,11.9497,0.6586,Yes,0.3043,2,0.087,0.0435,0.0435,0.2609,0.087,0.0435,3.587,3.6125,4.625,2.5314,10.1429,3.4,No,No,4,1.04,1.04,1.04,1.04,1.04,1.04,0.04,-1.96,-1.96,-1.96,-1.96,1.55,-1.45,7,,,,
Lamar Jackson,BLT,QB,190,190,36,0.5344,11,59,0.4504,0.5982,-0.0702,190,10,95,0.0611,852,6.5038,0.4354,5.7338,1288,,23,7,0.1211,-149,0.1211,36,327,No,Yes,190,1,79.4303,0.5819,No,0.3053,25,0.1908,0.0153,0.0687,0.3588,0.1374,0.3435,4.0901,3.6739,5.3667,2.6637,10.975,89.6,No,No,38,101.78,101.78,101.78,101.78,101.78,107.78,106.78,100.78,100.78,100.78,100.78,110.3,109.3,17,1,9,,0.0158
Trevor Lawrence,JAX,QB,86,86,11,0.5614,8,22,0.386,0.4898,-0.1777,86,8,27,0.0351,225,3.9474,0.2667,0.8,612,1,18,2,0.2093,-140,0.2093,11,93,Yes,Yes,86,1,26.3443,0.6937,No,0.3158,8,0.1404,0.0526,0.0526,0.5614,0.1228,0.3333,3.2544,3.0778,4.6273,2.3849,12.4898,49.2,No,No,11,26.3,26.3,26.3,26.3,26.3,26.3,25.3,24.3,24.3,24.3,24.3,28.55,26.55,10,,1,1,
Bo Nix,DEN,QB,162,161,30,0.5047,9,44,0.4112,0.5349,-0.1536,161,16,26,0.0187,501,4.6822,0.4072,0.7481,933,5,24,9,0.1491,-198,0.1491,30,217,No,Yes,161,1,53.5901,0.6671,No,0.271,15,0.1402,0.0654,0.0093,0.3551,0.1402,0.2897,3.4785,4.1458,5.1633,2.6311,10.5955,39.5,No,No,20,52.94,53.94,53.44,53.94,53.94,59.94,59.44,48.94,48.94,48.94,48.44,58.95,53.95,17,2,1,1,0.0062
Bailey Zappe,CLV,QB,6,6,1,0.75,,2,0.5,0.75,0.0481,6,,18,0.25,26,6.5,0.1538,8.2,38,,1,1,0.1667,-5,0.1667,1,3,No,Yes,6,1,2.0872,0.6521,No,0.25,,,,,0.5,0.25,0.75,3.6,4.3,5.1,2.65,9.5,110.4,No,Yes,2,5.34,5.34,5.34,5.34,5.34,5.34,5.34,5.34,5.34,5.34,5.34,5.6,5.6,1,,1,,
Brandon Allen,SF,QB,7,7,5,0.2,,1,0.2,0.3333,-0.4342,7,2,,,5,1,0.2,0.4286,21,,2,,0.2857,-2,0.2857,,,No,No,7,1,2.0915,0.7012,No,0.4,,,,,0.2,0.2,0.2,3,2.7,,2.2429,7,39.6,No,No,,-0.8,-0.8,-0.8,-0.8,-0.8,-0.8,-1.8,-1.8,-1.8,-1.8,-1.8,-0.75,-1.75,3,,,,
Jayden Daniels,WAS,QB,177,177,56,0.5541,6,34,0.4595,0.6167,-0.063,177,13,32,0.0405,530,7.1622,0.2868,2.3306,717,2,47,19,0.2655,-238,0.2655,56,476,No,Yes,177,1,37.1469,0.7901,Yes,0.2568,13,0.1757,0.0405,0.0811,0.3784,0.1216,0.2838,3.4851,3.8511,4.7554,2.6006,11.7541,77,No,No,20,88.8,88.8,88.8,88.8,88.8,94.8,94.8,86.8,86.8,86.8,86.8,94.1,92.1,17,,4,1,0.0056
Sam Darnold,MIN,QB,218,216,25,0.5724,14,66,0.4552,0.6759,-0.0088,216,23,38,0.0483,932,6.4276,0.2715,2.9791,1196,5,46,12,0.213,-318,0.213,25,209,No,Yes,216,1,76.558,0.6456,Yes,0.1793,17,0.1172,0.0552,0.0414,0.4138,0.069,0.3379,3.6359,3.6978,5.448,2.7014,9.95,73.1,No,No,42,87.18,87.18,87.18,87.18,87.18,93.18,91.18,80.18,80.18,80.18,80.18,96.5,89.5,17,2,9,,
Andy Dalton,CAR,QB,43,43,5,0.6452,3,17,0.5484,0.6923,0.0026,43,4,4,0.0323,174,5.6129,0.2069,3.4737,299,1,7,5,0.1628,-37,0.1628,5,32,Yes,Yes,43,1,12.8638,0.7008,No,0.1935,5,0.1613,0.0323,0.0323,0.5806,0.129,0.3871,2.9806,2.9143,6.02,2.5349,11.5,79.2,No,Yes,10,17.16,17.16,17.16,17.16,17.16,17.16,17.16,16.16,16.16,16.16,16.16,18.9,17.9,6,1,2,,
Joshua Dobbs,SF,QB,7,7,2,0.6667,,2,0.6667,0.6667,-0.0589,7,,,,23,7.6667,0.3913,-1,22,,2,2,0.2857,-28,0.2857,2,10,No,Yes,7,1,1.6862,0.7591,No,0.3333,,,,,,,0.6667,3.8333,2.35,4.3,2.2714,7.3333,89.6,No,No,2,7.92,7.92,7.92,7.92,7.92,7.92,7.92,7.92,7.92,7.92,7.92,8.15,8.15,2,,,1,
Mac Jones,JAX,QB,87,87,14,0.5667,,27,0.45,0.6739,-0.0434,87,13,46,0.0667,333,5.55,0.4264,2.0685,439,2,13,6,0.1494,-92,0.1494,14,83,No,Yes,87,1,28.824,0.6687,Yes,0.2,6,0.1,0.0167,0.0333,0.3333,0.1333,0.3667,3.36,3.9308,4.2714,2.3368,9.5435,48.8,No,No,16,18.62,18.62,18.62,18.62,18.62,21.62,20.62,15.62,15.62,15.62,15.62,21.95,18.95,10,1,,,0.0115
Anthony Richardson,IND,QB,104,104,14,0.3816,4,22,0.2895,0.4444,-0.1501,104,13,8,0.0263,242,3.1842,0.3512,-0.9222,827,6,14,3,0.1346,-115,0.1346,14,136,No,Yes,104,1,38.1906,0.6328,No,0.3684,16,0.2105,0.0921,,0.4474,0.0395,0.2105,3.4882,3.6571,5.1357,2.5529,13.9032,20.6,No,No,13,27.18,28.18,27.68,28.18,28.18,31.18,28.68,20.18,20.18,20.18,19.68,30.6,22.6,11,1,3,,0.0192
Kirk Cousins,ATL,QB,134,133,2,0.5714,5,57,0.5429,0.7195,0.0385,133,11,22,0.019,746,7.1048,0.4062,2.6031,858,7,26,6,0.1955,-190,0.1955,2,14,No,Yes,133,1,40.6785,0.6941,Yes,0.2,14,0.1333,0.0667,0.0571,0.4381,0.1333,0.4381,2.821,3.2808,4.85,2.4331,9.8621,65,No,No,32,42.24,42.24,42.24,42.24,42.24,45.24,43.24,33.24,33.24,33.24,33.24,49.7,40.7,14,7,5,,
Joe Burrow,CIN,QB,228,228,20,0.65,21,90,0.5625,0.7328,0.0562,228,21,52,0.0375,1217,7.6063,0.3739,4.8269,1446,3,48,7,0.2105,-278,0.2105,20,195,No,Yes,228,1,84.0572,0.6313,No,0.1625,18,0.1125,0.0125,0.0813,0.2938,0.1313,0.4375,3.6206,3.3667,4.5,2.414,10.75,93.7,No,No,67,106.18,106.18,106.18,106.18,106.18,112.18,107.18,98.18,98.18,98.18,98.18,118.35,110.35,17,3,10,1,0.0132
