Name,Team,POS,playerStatsSnapsOffenseTotal,DropbacksTotal,AttemptsTotal,AttemptsCatchablePercentage,AttemptsInEndzoneTotal,CompletionsTotal,CompletionsPercentage,CompletionsAdjustedPercentage,CompletionsOverExpected,OpportunitiesTotal,DropsYardsLost,DropsPercentage,YardsTotal,YardsPerAttempt,YardsAfterCatchPercentage,YardsAdjustedNetPercentage,YardsAirTotal,TouchdownsTotal,InterceptionsTotal,PlayActionLabel,PressuredLabel,PressuredTotal,PressuredPercentage,PressuredExpected,PressuredOverExpected,BlitzedLabel,OffTargetThrowAttemptsPercentage,DeepThrowAttemptsTotal,DeepThrowAttemptsPercentage,TowThrowPercentage,HeroThrowPercentage,ThrowAccuracyHighlyAccuratePercentage,AverageTimeToThrow,AverageTimeToPressure,AverageDepthOfTarget,PasserRating,TargetsContestedLabel,TargetsCatchableLabel,playerStatsFirstDownsPassing,playerStatsFantasyPointsNonPpr,playerStatsFantasyPointsPpr,playerStatsFantasyPointsHalfPpr,playerStatsFantasyPointsHalfPprRb,playerStatsFantasyPointsPprTe,playerStatsFantasyPointsDraftKings,playerStatsFantasyPointsFanDuel,playerStatsFantasyPointsCbs,playerStatsFantasyPointsNfl,playerStatsFantasyPointsEspn,playerStatsFantasyPointsYahoo,playerStatsFantasyPointsFfpc,playerStatsFantasyPointsNffc,playerStatsGamesPlayed,RunPassOptionPercentage
Spencer Rattler,NO,QB,24,24,24,0.75,,16,0.6667,0.75,0.0467,24,4,0.0833,168,7,0.2976,7,233,,,No,No,6,0.25,8.711,-0.113,No,0.2083,3,0.125,,0.0833,0.5,2.6792,2.15,9.7083,86.8,No,Yes,8,6.72,6.72,6.72,6.72,6.72,6.72,6.72,6.72,6.72,6.72,6.72,8.4,8.4,7,
Marcus Mariota,WAS,QB,7,7,7,0.8571,1,5,0.7143,0.7143,0.0902,7,,,46,6.5714,0.3696,9.4286,89,1,,Yes,Yes,2,0.2857,3.6526,-0.2361,No,0.1429,2,0.2857,,0.1429,0.7143,3.6,3.45,12.7143,128.6,No,No,3,5.84,5.84,5.84,5.84,5.84,5.84,5.84,5.84,5.84,5.84,5.84,6.3,6.3,3,
Carson Wentz,KC,QB,2,2,2,1,,1,0.5,1,0.2639,2,12,0.5,10,5,0.7,5,15,,,No,No,,,0.5433,-0.2717,No,,,,,,,2.15,,7.5,64.6,No,Yes,,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.5,0.5,3,
Tyler Huntley,MIA,QB,9,9,9,1,,9,1,1,0.2103,9,,,74,8.2222,0.3378,8.2222,49,,,No,No,4,0.4444,3.4714,0.0587,Yes,,,,,,0.7778,2.8111,1.925,5.4444,100.9,No,Yes,5,2.96,2.96,2.96,2.96,2.96,2.96,2.96,2.96,2.96,2.96,2.96,3.7,3.7,5,
Joe Milton,NE,QB,1,1,1,1,,1,1,1,0.3722,1,,,12,12,-0.0833,12,13,,,Yes,Yes,1,1,0.5391,0.4609,No,,,,,,,3.7,3.6,13,116.7,No,Yes,1,0.48,0.48,0.48,0.48,0.48,0.48,0.48,0.48,0.48,0.48,0.48,0.6,0.6,1,
Geno Smith,SEA,QB,107,107,107,0.8224,11,85,0.7944,0.8224,0.0611,107,15,0.028,925,8.6449,0.4865,8.271,721,7,4,No,No,17,0.1589,40.261,-0.2174,Yes,0.1682,10,0.0935,0.0467,0.0467,0.5421,2.7564,2.4176,6.7383,108.9,No,No,46,61,61,61,61,61,64,64,57,57,57,57,70.25,66.25,17,
Drake Maye,NE,QB,27,27,27,0.8148,,19,0.7037,0.7778,-0.0016,27,18,0.0741,193,7.1481,0.4974,7.8889,159,1,,No,No,7,0.2593,10.5696,-0.1322,No,0.1852,1,0.037,0.037,0.037,0.4074,2.8444,2.4714,5.8889,102.9,No,No,12,11.72,11.72,11.72,11.72,11.72,11.72,11.72,11.72,11.72,11.72,11.72,13.65,13.65,13,
Justin Herbert,LAC,QB,95,95,95,0.8632,6,67,0.7053,0.8105,0.0909,95,85,0.1053,800,8.4211,0.3738,9.6842,848,6,,Yes,Yes,15,0.1579,37.9997,-0.2421,No,0.1368,10,0.1053,0.0211,0.0947,0.5579,2.8939,2.5733,8.9263,117,No,Yes,34,56,56,56,56,56,59,59,56,56,56,56,64,64,17,
Patrick Mahomes,KC,QB,92,92,92,0.75,4,61,0.663,0.7253,0.0208,92,25,0.0543,849,9.2283,0.4099,9.1739,907,2,1,Yes,Yes,34,0.3696,40.9331,-0.0754,Yes,0.2283,13,0.1413,0.0543,0.0543,0.337,3.1543,2.7971,9.9891,98.5,No,Yes,37,41.16,42.16,41.66,42.16,42.16,45.16,44.66,41.16,41.16,41.16,40.66,50.65,49.65,16,
Aidan O'Connell,LV,QB,51,51,51,0.6471,3,29,0.5686,0.66,-0.1232,51,14,0.0784,224,4.3922,0.5179,3.902,283,1,1,No,No,13,0.2549,19.0736,-0.1191,Yes,0.3529,3,0.0588,0.1176,,0.5294,2.7431,2.3308,5.8039,66.1,No,No,13,11.96,11.96,11.96,11.96,11.96,11.96,11.96,10.96,10.96,10.96,10.96,14.2,13.2,9,
Matthew Stafford,LA,QB,91,91,91,0.7473,11,62,0.6813,0.7143,-0.0349,91,26,0.033,646,7.0989,0.4985,6.8242,656,1,1,Yes,No,22,0.2418,36.6335,-0.1608,No,0.2308,3,0.033,0.022,0.011,0.4945,2.9088,2.6091,7.2088,87.5,No,Yes,26,28.84,28.84,28.84,28.84,28.84,31.84,31.84,27.84,27.84,27.84,27.84,35.3,34.3,16,
Brock Purdy,SF,QB,76,76,76,0.8026,6,51,0.6711,0.7333,0.0207,76,59,0.0526,596,7.8421,0.3909,4.8816,694,,5,No,No,26,0.3421,29.6346,-0.0478,Yes,0.1579,7,0.0921,0.0658,0.0526,0.4868,2.8355,2.4885,9.2237,63.3,No,Yes,27,18.84,18.84,18.84,18.84,18.84,21.84,21.84,13.84,13.84,13.84,13.84,24.8,19.8,15,
Justin Fields,PIT,QB,15,15,15,0.8,,11,0.7333,0.7333,-0.0129,15,,,118,7.8667,0.4661,7.8667,128,,,No,No,8,0.5333,7.1715,0.0552,No,0.2,2,0.1333,0.0667,,0.6,3.3467,3.0375,8.5333,96,No,No,5,4.72,4.72,4.72,4.72,4.72,4.72,4.72,4.72,4.72,4.72,4.72,5.9,5.9,10,
Tua Tagovailoa,MIA,QB,46,46,46,0.7826,2,35,0.7609,0.7826,0.0569,46,3,0.0217,425,9.2391,0.4259,10.1087,406,2,,Yes,No,9,0.1957,18.8795,-0.2148,No,0.1957,3,0.0652,0.0217,0.0217,0.5652,2.9543,2.4556,8.8261,118.5,No,No,22,25,25,25,25,25,28,28,25,25,25,25,29.25,29.25,11,
Gardner Minshew,LV,QB,36,36,36,0.8056,1,26,0.7222,0.75,-0.0052,36,11,0.0278,293,8.1389,0.471,7.4444,279,1,1,No,No,11,0.3056,13.834,-0.0787,No,0.1944,4,0.1111,0.0278,,0.5556,2.8028,2.3818,7.75,93.9,No,Yes,16,14.72,14.72,14.72,14.72,14.72,14.72,14.72,13.72,13.72,13.72,13.72,17.65,16.65,10,
Caleb Williams,CHI,QB,85,85,85,0.7059,5,56,0.6588,0.6824,0.0003,85,29,0.0235,631,7.4235,0.3376,7.6,981,3,1,No,No,19,0.2235,35.2674,-0.1914,Yes,0.2941,15,0.1765,0.0235,0.0235,0.4824,2.9804,2.5632,11.5412,94.8,No,Yes,36,36.24,36.24,36.24,36.24,36.24,39.24,39.24,35.24,35.24,35.24,35.24,42.55,41.55,17,
Kyler Murray,ARZ,QB,62,62,62,0.8548,2,52,0.8387,0.8387,0.061,62,,,551,8.8871,0.5626,9.5323,366,2,,No,No,6,0.0968,23.8473,-0.2879,No,0.129,4,0.0645,,0.0161,0.5161,2.8048,2.5,5.9032,114.4,No,Yes,28,30.04,30.04,30.04,30.04,30.04,33.04,33.04,30.04,30.04,30.04,30.04,35.55,35.55,17,
Jared Goff,DET,QB,88,88,88,0.8295,5,71,0.8068,0.8068,0.0384,88,,,746,8.4773,0.4933,8.4205,589,2,1,No,Yes,23,0.2614,35.1371,-0.1379,Yes,0.1591,5,0.0568,0.0114,0.0341,0.625,2.8898,2.7391,6.6932,104.8,Yes,Yes,42,36.84,36.84,36.84,36.84,36.84,39.84,39.84,35.84,35.84,35.84,35.84,44.3,43.3,17,
Tanner McKee,PHI,QB,4,4,4,0.75,,3,0.75,0.75,-0.0618,4,,,30,7.5,0.5333,7.5,20,,,No,Yes,3,0.75,1.6732,0.3317,No,0.25,,,,,0.5,3,2.9667,5,95.8,No,Yes,1,1.2,1.2,1.2,1.2,1.2,1.2,1.2,1.2,1.2,1.2,1.2,1.5,1.5,2,
Jacoby Brissett,NE,QB,15,15,15,0.6,3,7,0.4667,0.4667,-0.2536,15,,,57,3.8,0.4386,3.8,134,,,No,No,5,0.3333,6.6195,-0.108,No,0.3333,2,0.1333,0.0667,,0.2667,3.1333,2.98,8.9333,56.8,No,No,2,2.28,2.28,2.28,2.28,2.28,2.28,2.28,2.28,2.28,2.28,2.28,2.85,2.85,8,
Daniel Jones,NYG,QB,37,37,37,0.8108,,28,0.7568,0.8108,0.0726,37,11,0.0541,330,8.9189,0.4121,8.9189,313,,,Yes,No,13,0.3514,14.3903,-0.0376,No,0.1892,3,0.0811,0.027,0.027,0.4595,2.8297,2.4846,8.4595,102.3,No,Yes,14,13.2,13.2,13.2,13.2,13.2,16.2,16.2,13.2,13.2,13.2,13.2,16.5,16.5,10,
Joe Flacco,IND,QB,33,33,33,0.8182,1,25,0.7576,0.7879,0.0331,33,8,0.0303,237,7.1818,0.4515,7.0303,235,2,1,No,Yes,9,0.2727,13.7349,-0.1435,No,0.1515,2,0.0606,0.0303,,0.5758,2.9879,2.7333,7.1212,102.7,Yes,Yes,10,16.48,16.48,16.48,16.48,16.48,16.48,16.48,15.48,15.48,15.48,15.48,18.85,17.85,8,
