Name,Team,POS,playerStatsSnapsOffenseTotal,DropbacksTotal,AttemptsTotal,AttemptsCatchablePercentage,CompletionsTotal,CompletionsPercentage,CompletionsAdjustedPercentage,CompletionsOverExpected,OpportunitiesTotal,DropsYardsLost,DropsPercentage,YardsTotal,YardsPerAttempt,YardsAfterCatchPercentage,YardsAdjustedNetPercentage,YardsAirTotal,PlayActionLabel,PressuredLabel,PressuredTotal,PressuredPercentage,PressuredExpected,PressuredOverExpected,BlitzedLabel,OffTargetThrowAttemptsPercentage,TargetedReadCheckdownPercentage,ThrowAccuracyHighlyAccuratePercentage,AverageTimeToThrow,AverageTimeToPressure,AverageDepthOfTarget,PasserRating,TargetsContestedLabel,TargetsCatchableLabel,playerStatsFirstDownsPassing,playerStatsFantasyPointsNonPpr,playerStatsFantasyPointsPpr,playerStatsFantasyPointsHalfPpr,playerStatsFantasyPointsHalfPprRb,playerStatsFantasyPointsPprTe,playerStatsFantasyPointsDraftKings,playerStatsFantasyPointsFanDuel,playerStatsFantasyPointsCbs,playerStatsFantasyPointsNfl,playerStatsFantasyPointsEspn,playerStatsFantasyPointsYahoo,playerStatsFantasyPointsFfpc,playerStatsFantasyPointsNffc,playerStatsGamesPlayed,InterceptionsTotal,TowThrowPercentage,TouchdownsTotal,RunPassOptionPercentage
Aidan O'Connell,LV,QB,14,14,14,0.7857,10,0.7143,0.7143,-0.177,14,,,82,5.8571,1.0366,2.6429,-2,No,No,4,0.2857,5.4767,-0.1055,No,0.2143,1,0.2857,2.8429,2.825,-0.1429,56.3,No,No,2,2.28,2.28,2.28,2.28,2.28,2.28,2.28,1.28,1.28,1.28,1.28,3.1,2.1,9,1,0.0714,,
Tyler Huntley,MIA,QB,7,7,7,0.8571,5,0.7143,0.8571,-0.048,7,-1,0.1429,39,5.5714,0.9231,5.5714,-4,No,Yes,4,0.5714,3.3594,0.0915,No,0.1429,1,0.4286,3.3571,2.75,-0.5714,84.8,No,Yes,,1.56,1.56,1.56,1.56,1.56,1.56,1.56,1.56,1.56,1.56,1.56,1.95,1.95,5,,,,
Mason Rudolph,TEN,QB,20,20,20,0.85,16,0.8,0.8947,-0.0094,20,-6,0.05,109,5.45,1.0367,3.2,-14,No,No,10,0.5,8.7455,0.0627,No,0.1,1,0.65,3.11,2.5,-0.75,68.5,No,No,4,3.36,3.36,3.36,3.36,3.36,3.36,3.36,2.36,2.36,2.36,2.36,4.45,3.45,8,1,0.05,,
Aaron Rodgers,NYJ,QB,53,53,53,0.8679,39,0.7358,0.8302,-0.0449,53,-3,0.0943,354,6.6792,1.0706,7.434,-19,Yes,Yes,21,0.3962,22.4459,-0.0273,No,0.1132,1,0.6226,3.0302,2.7095,-0.3585,103.8,No,Yes,11,22.16,22.16,22.16,22.16,22.16,25.16,25.16,22.16,22.16,22.16,22.16,25.7,25.7,17,,,2,
Baker Mayfield,TB,QB,49,49,49,0.898,41,0.8367,0.8776,-0.0207,49,,0.0408,297,6.0612,1.1279,5.9592,-39,Yes,Yes,18,0.3673,21.3074,-0.0675,No,0.102,1,0.7143,3.0959,2.7056,-0.7959,97,No,Yes,11,18.88,18.88,18.88,18.88,18.88,18.88,18.88,17.88,17.88,17.88,17.88,21.85,20.85,17,1,0.0204,2,
Deshaun Watson,CLV,QB,18,18,18,0.9444,16,0.8889,0.8889,-0.016,18,,,51,2.8333,1.5294,2.8333,-20,No,No,7,0.3889,7.3224,-0.0179,No,0.0556,1,0.5,2.9333,2.1429,-1.1111,79.2,No,Yes,,2.04,2.04,2.04,2.04,2.04,2.04,2.04,2.04,2.04,2.04,2.04,2.55,2.55,7,,,,
Dak Prescott,DAL,QB,23,23,23,0.7826,17,0.7391,0.7391,-0.1064,23,,,116,5.0435,1.1293,5.0435,-6,No,No,10,0.4348,10.0694,-0.003,No,0.1739,1,0.5217,3.113,2.85,-0.2609,84.7,No,Yes,3,4.64,4.64,4.64,4.64,4.64,4.64,4.64,4.64,4.64,4.64,4.64,5.8,5.8,8,,,,
Spencer Rattler,NO,QB,25,25,25,0.96,21,0.84,0.92,0.0339,25,2,0.08,131,5.24,1.1069,5.24,-9,No,No,11,0.44,10.1815,0.0327,No,0.04,1,0.72,2.936,2.5818,-0.36,88.5,No,Yes,6,5.24,5.24,5.24,5.24,5.24,5.24,5.24,5.24,5.24,5.24,5.24,6.55,6.55,7,,,,
Carson Wentz,KC,QB,1,1,1,1,1,1,1,0.0762,1,,,1,1,2,1,-1,No,No,,,0.2113,-0.2113,No,,1,1,1.8,,-1,79.2,No,Yes,,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.05,0.05,3,,,,
Joe Milton,NE,QB,2,2,2,1,2,1,1,0.1261,2,,,16,8,0.75,8,4,No,No,1,0.5,0.9746,0.0127,No,,1,0.5,3.4,2.5,2,100,No,Yes,1,0.64,0.64,0.64,0.64,0.64,0.64,0.64,0.64,0.64,0.64,0.64,0.8,0.8,1,,,,
Tommy DeVito,NYG,QB,5,5,5,1,4,0.8,1,0.1514,5,2,0.2,28,5.6,0.5714,5.6,14,No,No,3,0.6,2.0053,0.1989,No,,1,0.8,2.9,2.8667,2.8,90,No,No,3,1.12,1.12,1.12,1.12,1.12,1.12,1.12,1.12,1.12,1.12,1.12,1.4,1.4,3,,,,
Derek Carr,NO,QB,33,33,33,0.9091,27,0.8182,0.8788,-0.0107,33,3,0.0606,140,4.2424,1.1786,4.2424,-12,No,No,13,0.3939,13.7522,-0.0228,Yes,0.0909,1,0.6061,2.9909,2.4308,-0.3636,84.3,No,Yes,6,5.6,5.6,5.6,5.6,5.6,5.6,5.6,5.6,5.6,5.6,5.6,7,7,10,,,,
Jordan Love,GB,QB,38,38,38,0.8421,32,0.8421,0.8421,-0.0583,38,,,280,7.3684,1.1286,7.3684,-45,No,Yes,19,0.5,16.9304,0.0545,No,0.1579,1,0.5,3.1579,2.6842,-1.1842,97.4,No,No,10,11.2,11.2,11.2,11.2,11.2,11.2,11.2,11.2,11.2,11.2,11.2,14,14,15,,0.0263,,
Bryce Young,CAR,QB,23,23,23,0.8696,17,0.7391,0.7826,-0.1251,23,-6,0.0435,103,4.4783,1.1845,4.4783,-31,Yes,Yes,8,0.3478,8.3616,-0.0157,No,0.087,1,0.5652,2.6826,2.2625,-1.3478,82.3,No,Yes,3,4.12,4.12,4.12,4.12,4.12,4.12,4.12,4.12,4.12,4.12,4.12,5.15,5.15,14,,,,
Jameis Winston,CLV,QB,15,15,15,0.9333,12,0.8,0.9333,0.0694,15,8,0.1333,82,5.4667,0.8171,2.4667,26,No,Yes,5,0.3333,5.7053,-0.047,Yes,0.0667,1,0.7333,2.78,2.28,1.7333,61.7,No,Yes,4,2.28,2.28,2.28,2.28,2.28,2.28,2.28,1.28,1.28,1.28,1.28,3.1,2.1,12,1,,,
